en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
											Last year ...
											was hell.
									","
											El año pasado...
											fue un infierno.
									","
											L'année dernière...
											fut un enfer.
									","
											Das letzte Jahr ...
											war die Hölle.
									","
											Geçen yıl...
											âdeta bir cehennemdi.
									",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
","
","
","
","
",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","
											(Kahkaha)
									",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
","
","
","
","
",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
											It was my first time eating
Nigerian ""jollof.""
									","
											Era la primera vez
que comía benachin nigeriano.
									","
											Ce fut la première fois
que je mangeai du « jollof » nigérien.
									","
											Ich aß zum ersten Mal
Nigerianischen ""Jollof"".
									","
											İlk defa Nijerya ''jollof''undan yedim.
									",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
","
","
","
","
",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","
											(Kahkaha)
									",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
","
","
","
","
",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
											Actually, in all seriousness,
											I was going through a lot
of personal turmoil.
											Faced with enormous stress,
											I suffered an anxiety attack.
											On some days, I could do no work.
											On other days,
											I just wanted to lay in my bed and cry.
									","
											En realidad, con toda seriedad,
											estaba atravesando muchos
problemas personales.
											Enfrentaba un enorme estrés,
											sufría un ataque de ansiedad.
											Algunos días, no podía trabajar.
											Otros días,
											solo quería echarme en la cama y llorar.
									","
											Sérieusement,
											je traversais beaucoup
de bouleversements personnels.
											Confronté à un stress énorme,
											je souffrais de crises d'anxiété.
											Certains jours,
je ne pouvais pas travailler.
											D'autres jours,
											je voulais m'allonger
dans mon lit et pleurer.
									","
											Im Ernst:
											Ich habe einige persönliche
Turbulenzen durchgemacht.
											Angesichts von enormen Stress
											erlitt ich eine Angstattacke.
											An manchen Tagen
konnte ich nicht arbeiten.
											An anderen Tagen
											wollte ich einfach nur
im Bett liegen und weinen.
									","
											Tüm ciddiyetimle söylüyorum,
											bireysel olarak cidden zor
bir dönemden geçiyordum.
											Boyumu aşkın bir stresle
karşı karşıya geldim,
											anksiyete atağı geçirdim.
											Bazı günler işimi yapamıyor,
											diğer günlerdeyse
											sadece yatağıma uzanıp ağlamak istiyordum.
									",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
"
","
","
","
","
",There's no shame in taking care of your mental health,Sangu Delle,9:06,"depression,activism,communication,entrepreneur,health,humanity,identity,health care,mental health,personal growth,social change,personality,society,vulnerability,TED Fellows,Africa"
