en,es,fr,title,speaker,duration,tags
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											First of all, for those of you who
											are not familiar with my work,
											I create multicultural characters,
											so characters from lots of different backgrounds.
											So before the present is the new future,
											a bit about the past is that I grew up in a family
											that was multi-everything — multi-racial, multi-cultural,
											black and white, Caribbean,
											Irish-American, German-American.
											There was Dominican
music blasting from stereos.
											There were Christians and Jews.
											That's a long story filled with
											intrigue and interfaith guilt and shame.
											But I was totally immersed in this world
											that was filled with everybody,
											and then I went on to the United Nations school,
											and that just completely —
									","
											Antes que nada, para quienes
											no estén familiarizados con mi trabajo,
											he creado personajes multiculturales,
											personajes de muchos diferentes contextos.
											Antes de que el presente
sea el nuevo futuro,
											algo de mi pasado es que
crecí en una familia
											que era multi-todo, 
multiracial, multicultural,
											negra y blanca, caribeña,
											irlandesa-norteamericana, alemana-norteamericana.
											Se escuchaba música 
dominicana en los estéreos.
											Había cristianos y judíos.
											Hay una larga historia llena
											de intrigas y culpas y vergüenza.
											Pero estaba totalmente 
inmersa en este mundo
											lleno de todas estas personas,
											y fui a la escuela de las Naciones Unidas,
											y que acabé por completo...
									","
											Tout d'abord, pour tous
ceux d'entre vous qui
											ne connaissent pas mon travail,
											je crée des personnages multi-culturels,
											des personnages de différents horizons.
											Avant le présent est le nouveau futur,
											un peu de mon passé, j'ai grandi
dans une famille
											multi-tout - multi-raciale,
multi-culturelle,
											noire et blanche, caribéenne,
											irlando-américaine, germano-américaine.
											On avait de la musique dominicaine
à fond la caisse.
											Il y a avait des Chrétiens, des Juifs.
											C'est une longue histoire remplie
											d'intrigue, de culpabilité
inter-religieuse et de honte.
											Mais j'étais totalement immergée 
dans ce monde
											rempli de monde,
											puis j'ai été à l'école des Nations-Unies
											et ça a complètement -
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											So I began sort of developing these voices
											and these people,
											all of whom were loosely based
on people I really know,
											and so, for example, in performing them,
											I would really try to inhabit them.
											And for example,
											I don't really talk like that,
											but that was one of my people,
											and I'm going to bring a few of my friends —
											I think of them as my friends —
											to this stage, in this spirit of the idea
											that the present is the new future,
											in sort of a meta way,
											because I thought about it, and the future, for me,
											what can be so frightening
											is that I don't know what's coming.
											I don't know if that's true for other people,
											but that notion of thinking about
											how we can understand the future
											and predict outcomes,
											for me, it's terrifying to not
know what might be coming.
											And so the idea that there are questions
											that I've never seen
											that my people are going to answer,
											and some of these characters
have been with me for ages,
											some of them don't even have names,
											I don't know what's going to happen.
											I don't know what's coming,
											and all I can do is remind myself
											that I told Chris I'd fly by the seat of my pants,
											and now that I'm up here it sort of feels like
											that dream where you don't have any pants on,
											and so I suppose I'm going to be
											flying by the seat of my ass.
									","
											Así que comencé a desarrollar estas voces
											y estas personas,
											todas basadas levemente 
en personas que conocía,
											y así, por ejemplo, al darles vida,
											yo realmente trataba de habitarlos.
											Y por ejemplo,
											realmente no hablo así,
											pero esa era una de mis personas,
											y les traeré a algunos amigos míos,
											los considero mis amigos,
											al escenario, en este espíritu de la idea
											de que el presente es el nuevo futuro,
											de alguna meta-manera,
											porque pensé en eso, y el futuro, para mí,
											lo que puede ser tan aterrador
											es que yo no sé qué viene.
											No sé si es cierto para otros,
											pero esa noción de pensar acerca
											de cómo entendemos el futuro
											y predecimos los resultados,
											para mí, es aterrador no saber
lo que puede suceder.
											Así que la idea de que hay preguntas
											que nunca he visto
											que mi pueblo va a responder, y
											algunos han estado conmigo por siglos,
											algunos ni siquiera tienen nombre,
											No sé lo que va a suceder.
											No sé lo que vendrá,
											y lo único que puedo hacer es recordarme
											que le dije a Chris volaría de mis pantalones,
											y ahora que estoy aquí se siente como
											esos sueños donde no tienes 
los pantalones puestos,
											por lo tanto supongo que
											volaré por el asiento de mi culo.
									","
											J'ai commencé a développer ces voix
											et ces gens,
											tous inspirés par d'autres personnes
que je connais bien,
											par exemple, en les interprétant,
											j'essaie vraiment de les habiter.
											Par exemple,
											je ne parle pas vraiment comme ça
											mais c'est une de mes connaissances.
											Je ferai vivre quelques-uns de mes amis -
											j'aime penser qu'ils sont mes amis -
											sur cette scène, avec à l'esprit
											que le présent est le nouveau futur,
											d'une façon métaphysique,
											parce que j'y ai pensé et, en ce qui 
me concerne, le futur,
											ce qui est si effrayant,
											c'est que je ne sais pas ce qui
s'en vient.
											Je ne sais pas si c'est vrai 
pour les autres,
											mais cette notion de penser que
											notre façon de comprendre le futur
											et prédire ses résultats,
											pour moi, c'est terrifiant de ne pas 
savoir ce qui s'en vient.
											L'idée qu'il y a des questions
											que je n'ai jamais vues
											auxquelles mes personnages vont répondre.
											Certains de ceux-ci sont avec moi
depuis longtemps,
											certains n'ont même pas de nom.
											Je ne sais pas ce qui va arriver.
											Je ne sais pas ce qui vient,
											je ne peux que me rappeler
											que j'ai dit à Chris que j'allais 
improviser
											et maintenant que je suis ici, 
je me sens comme
											dans les rêves on n'a pas de pantalon,
											et je suppose que je vais
											improviser à poil.
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											That said, let's just see who comes out.
											May we have the first question:
									","
											Dicho esto, vamos a ver qué sale.
											Tal vez la primera pregunta es:
									","
											Ceci dit, voyons qui viendra.
											Pouvons-nous avoir la première question ?
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											""Do you ever get headaches
											from the microchips implanted in your brain?""
											Right.
									","
											""¿Tienes dolores de cabeza
											por el microchip implantado
en tu cerebro?""
											Correcto.
									","
											« Avez vous des migraines
											à cause de la puce implantée dans
votre cerveau ? »
											D'accord.
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											Okay.
											Well first of all, I'll just say
											that I hope you can hear me okay.
											My name is Lorraine Levine,
											and the idea of microchips implanted in my brain,
											frankly, just putting on my glasses reminds me
											of thank God I'm not wearing the Google Glasses.
											No offense to them. I'm glad that you all enjoy them,
											but at my age,
											just putting on the regular ones I have
											already gives me too much information.
											Do you understand what I'm saying to you?
											I don't need to know more. I don't want to know.
											That's it. That's enough.
											I love you all. You're wonderful.
											It's fabulous to be here with such big machers
											again this year. Mwah!
									","
											Okey.
											Bueno, antes que nada, diré que
											espero que puedan escucharme bien.
											Me llamo Lorraine Levine,
											y la idea de los microchips 
implantados en mi cerebro,
											francamente, colocándome 
mis lentes me recuerda
											agradecerle a Dios que no estoy 
llevando Google Glasses.
											Sin ofenderlos. Estoy contenta 
de que Uds. los disfrutan,
											pero a mi edad,
											simplemente usando
los regulares que tengo
											recibo demasiada información.
											¿Entienden lo que les digo?
											No necesito saber más. No quiero saber.
											Eso es todo. Eso es suficiente.
											Los amo. Uds. son increíbles.
											Es fabuloso estar aquí con 
personas tan importantes
											nuevamente este año. ¡Mua!
									","
											Bon.
											Premièrement, je dirais
											que j'espère que vous m'entendez bien.
											Je m’appelle Lorraine Levine
											et l'idée de la puce implantée dans
mon cerveau,
											honnêtement, juste mettre mes lunettes
me rappelle
											que j'ai de la chance de ne pas porter
de lunettes Google.
											Rien contre eux. Je suis contente 
que vous les aimez
											mais à mon âge,
											mettre mes lunettes normales, à moi,
											me donne déjà trop d'information.
											Comprenez-vous ce que je dis ?
											Je n'ai pas besoin de plus. 
Je ne veux pas savoir.
											C'est tout. C'est assez.
											Je vous aime tous, vous êtes merveilleux.
											C'est génial d'être ici avec 
de grands « machers »
											encore cette année. Mouah!
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											Okay, next question. (Applause)
											Next, please.
									","
											Bien, siguiente pregunta. (Aplausos)
											Siguiente, por favor.
									","
											Question suivante. (Applaudissements)
											Suivante, s'il vous plaît.
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											""Is dating boring,
											now that humans reproduce asexually?""
									","
											""Es aburrida una cita,
											ahora que los seres humanos 
se reproducen asexualmente?""
									","
											« Est-ce que les sorties sont ennuyeuses,
											maintenant que les humains se 
reproduisent sans sexe ? »
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
											Who do we got?
									","
											¿Qué obtenemos?
									","
											Qui avons-nous ?
									",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
"
","
","
",What does the future hold? 11 characters offer quirky answers,Sarah Jones,18:36,"future,humor,performance,theater"
