fr,de,tr,es,title,speaker,duration,tags
"
","
","
","
",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
											Bonjour. Mon nom est David Rose.
											Je suis un entrepreneur en série devenu investisseur en série.
											Avec des pitchs sous PowerPoint pour capital-risqueurs,
											j'ai personnellement levé des dizaines de millions de dollars
											des capital-risqueurs grâce à des pitchs sous PowerPoint.
											Et, en étant de l'autre côté de la barrière,
											j'ai personnellement supervisé l'investissement
											de dizaines de millions de dollars dans des entreprises
											qui m'ont présenté des pitchs sous PowerPoint.
											Donc, je pense qu'on peut dire que je m'y connais un peu
											sur la manière de faire des pitchs.
									","
											Guten Morgen. Mein Name ist David Rose.
											Ich bin ein mehrfacher Unternehmer, jetzt mehrfacher Investor.
											Mit PowerPoint-Präsentationen habe ich
											mehrere 10 Mio. Dollar
											von Risikokapitalgebern akquiriert.
											Auf der anderen Seite der Gleichung
											habe ich die Investition mehrerer 10 Mio. Dollar
											in Unternehmen überwacht, die sich mir
											mittels PowerPoint präsentiert haben.
											Ich bin mir also sicher, ein bisschen
											über Investment-Akquise zu wissen.
									","
											Günaydın. Benim adım David Rose.
											Ben seri girişimciden dönme bir seri yatırımcıyım.
											Ve yatırımcılara PowerPointler sunarak
											ben şahsen yatırımcılardan PowerPoint sunumlarla
											onlarca milyon dolar topladım.
											Ve sonra, denklemin öbür tarafına geçerek,
											bana PowerPoint sunumları yapan şirketlere
											onlarca milyon dolar yatırım yapılmasını
											ben şahsen gözettim.
											O yüzden kanımca sunum yapma
											konusunda biraz birşeyler biliyorum denebilir.
									","
											Buenos días. Me llamo David Rose.
											Soy un empresario en serie 
convertido en inversor en serie.
											Usando presentaciones en PowerPoint 
a inversores de capital de riesgo (ICR),
											personalmente he conseguido 
decenas de millones de dólares
											de esos ICR 
con presentaciones en PowerPoint.
											Y después, 
desde el otro lado de la ecuación,
											he supervisado personalmente la inversión
											de decenas de millones 
de dólares en compañías
											que han intentado convencerme 
con presentaciones de PowerPoint.
											Así que creo que 
se puede decir que sé algo
											sobre el proceso de persuadir.
									",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
","
","
","
",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
											La toute première question que vous devez tous comprendre
											est : quelle est la chose la plus importante
											qu'un capital-risqueur cherche quand vous venez
											lui présenter une nouvelle idée d'affaire?
											Il y a évidemment toutes sortes de choses.
											Il y a le modèle économique, il y a des données financières,
											et il y a la demande,
											etc. Dans l'ensemble, parmi tout ce que vous avez à faire,
											quelle est la chose la plus importante dans laquelle le capital-risqueur
											va investir?
											Quelqu'un? Qu'est-ce que c'est?
											Le public : Les gens.
											Les gens? Vous! C'est ça : vous êtes la personne.
											Et donc tout l'objet d'un pitch pour capital-risqueurs
											est de les convaincre que vous êtes l'entrepreneur
											dans lequel ils vont investir leur argent
											et gagner beaucoup d'argent en retour.
									","
											Die allererste Frage, der Sie nachgehen sollten ist:
											Was ist die wichtigste Einzelheit,
											nach der ein Kapitalgeber sucht, wenn Sie ihm
											Ihre neue Geschäftsidee präsentieren?
											Derer gibt es offensichtlich viele.
											Es gibt Geschäftsmodelle, Finanzen,
											Märkte, usw.
											Aber, von allem, das Sie ausarbeiten müssen:
											was ist die wichtigste Einzelheit, in die
											der Kapitalgeber investieren wird?
											Wer weiß es? Bitte?
											Zuschauer: Menschen.
											Menschen? Sie! Das ist es – Sie sind der Mensch.
											Also ist der ganze Zweck der Präsentation der,
											die Kapitalgeber zu überzeugen, dass Sie
											der Unternehmer sind, in den Sie investieren
											und eine Menge Geld damit machen werden.
									","
											Peki, hepinizin cevaplaması gereken ilk soru
											şu: sunum yaptığınız yatırımcının
											siz ona yeni bir iş hakkında yanaştığınızda
											baktığı en önemli şey nedir?
											Ve tabi ki baktığı birçok şey var.
											İş modelleri var, finansallar var,
											ve pazarlar var
											ve o var bu var. Tümüne baktığınızda, yapmanız gereken
											bütün şeylerin içerisinde, yatırımcının yatırım yapıyor olacağı
											en önemli şey nedir?
											Kimse var mı? Ne?
											(Seyirci: İnsanlar)
											David S. Rose: İnsanlar mı? Sizsiniz! O kadar — o insan sizsiniz.
											Ve o yüzden, bir sunumunun bütün amacı
											yatırımcıya parasını yatırıp
											karşılığında birsürü para kazanacağı
											girişimcinin siz olduğuna ikna etmektir.
									","
											La primera pregunta 
que tienen que hacerse es:
											¿Qué es la cosa más importante
											que busca un ICR cuando alguien va a
											presentarle su nueva idea empresarial?
											Y obviamente hay muchas cosas:
											modelos de negocio, datos financieros
											y mercados y esas cosas.
											En general, 
de todas las cosas que hay que hacer,
											¿cuál es la más importante 
en la que un ICR
											va a invertir?
											¿Alguien sabe? ¿Qué?
											Público: Las personas.
											David S. Rose: ¿Las personas? ¡Ustedes! 
Eso es, ustedes son las personas.
											Y por tanto el propósito 
de toda la presentación a los ICR
											es convencerlos de que ustedes 
son los empresarios
											en los que van a invertir su dinero
											y que, a cambio, ganarán mucho dinero.
									",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
","
","
","
",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
											Maintenant, comment fait-on ça?
											On ne peut pas simplement arriver et dire:
											""Bonjour, je suis quelqu'un de vraiment bien,
											et vous devriez vraiment investir en moi"", n'est-ce pas?
											Donc, pendant votre pitch, vous avez très peu de temps…
											La plupart des pitchs…
											Les pitchs pour capital-risqueurs durent 15 minutes,
											la plupart devraient durer moins d'une demi-heure,
											l'attention des gens diminuant après 18 minutes.
											Des test l'ont prouvé.
											Alors, pendant ces 18 minutes, ou 10 minutes, ou 5 minutes,
											vous devez transmettre un ensemble d'idées différentes.
											Vous devez en fait transmettre environ 10 caractéristiques différentes
											pendant que vous êtes face à eux.
											Quelle est la chose la plus importante que vous avez à transmettre?
											Comment?
											Le public : L'intégrité.
											Eh bien! C'est une réponse directe que nous avons
											là-bas. Et je n'ai même pas eu à la suggérer.
											Vous avez raison, l'intégrité. Parce que c'est l'élément-clé.
											Je préférerais largement investir dans quelqu'un,
											parier sur quelqu'un, que je sais être franc
											plutôt que sur quelqu'un sur qui je me pose des questions
											sur ce qu'il cherche
											et sur ce qui se passe.
											Donc, la chose la plus importante est l'intégrité.
									","
											Aber wie stellt man das an?
											Sie können ja nicht einfach hingehen und sagen:
											„Hey, ich bin ein guter Junge/ein gutes Mädchen
											Sie sollten in mich investieren.“ Richtig?
											Während einer Geschäftspräsentation haben Sie nur wenige Minuten.
											Die meisten Präsentation
											bei Business Angels dauern 15 Minuten,
											bei Risikokapitalgebern meist eine halbe Stunde.
											Die Aufmerksamkeit lässt nach 18 Minuten nach,
											wie Tests gezeigt haben.
											In diesen 18 Minuten oder 10 oder 5 Minuten
											müssen Sie eine Menge Charaktereigenschaften zeigen.
											Tatsächlich sind es ca. 10 unterschiedliche Eigenschaften,
											die sie präsentieren müssen.
											Was ist die wichtigste dieser Eigenschaften?
											Bitte?
											Zuschauer: Integrität.
											Wow! Das war ein direkter Treffer.
											Und ich habe ihn nicht einmal eingeweiht.
											Richtig. Integrität. Denn das ist der Schlüssel.
											Ich würde viel lieber in jemanden investieren,
											also ein Risiko eingehen für jemanden,
											der unverfälscht ist als jemanden, bei dem
											ich mich frage, wonach er strebt und
											worum es wirklich geht.
											Die wichtige Sache ist also Integrität.
									","
											Şimdi, bunu nasıl yaparsınız?
											Yani gidip de,
											""Merhaba, ben çok iyi bir adamımdır, kızımdır, ve gerçekten bana yatırım
											yapmalısınız,"" diyemezsiniz. Değil mi?
											Yani, yatırımcı sunumunuz sırasında birkaç dakikanız olur, ve çoğu yatırımcı sunumları —
											çoğu melek yatırımcı sunumları
											yaklaşık 15 dakikadır —
											çoğu yatırımcı sunumları yarım saatten kısa olur.
											18 dakikadan sonra insanların ilgisi dağılmaya başlar,
											testler göstermiştir.
											O 18 dakikada, ya da 10 dakika, ya da beş dakika,
											bir sürü farklı nitelik iletmeniz gerekir.
											Aslında yaklaşık 10 farklı nitelik iletmeniz gerekli
											orada ayaktayken.
											İletmeniz gereken en önemli şey nedir?
											Ne?
											(Seyirci: Dürüstlük)
											DSR: Vay, vay, vay! Tam oradan doğru cevap geldi.
											Ve onu yönlendirmedim bile.
											Haklısın, dürüstlük. Çünkü bu işin anahtarı.
											Yani kimi gözettikleri
											ve neler olduğu
											hakkında herhangi bir olası şüphe olan biri yerine
											düzgün olduğunu bildiğim birine yatırım yapmayı —
											yani ona bir şans vermeyi — tercih ederim.
											Yani en önemli şey dürüstlük.
									","
											¿Y eso cómo se hace?
											No se puede ir y decir sencillamente:
											""Hola, soy un gran tipo o una gran chica
											y deben invertir en mí"". ¿Verdad?
											Durante la presentación a un ICR 
tienen pocos minutos,
											y la mayoría de presentaciones a ICR
											—15 minutos a ángeles inversores,
											debe ser de menos 
de media hora a los ICR—
											la atención de la gente empieza 
a disminuir a los 18 minutos,
											según los estudios.
											Así que en esos 18 minutos 
o 10 minutos o 5,
											hay que transmitir un montón 
de características distintas.
											Se deben transmitir 
unas 10 características diferentes
											mientras están ahí de pie.
											¿Qué es lo más importante 
que deben comunicar?
											¿Qué?
											Público: Integridad
											DSR: ¡Vaya, vaya! Respuesta correcta allá.
											Y ni siquiera se la tuve que decir.
											Es cierto, integridad. 
Porque es el punto clave.
											Yo prefiero invertir en alguien
											—me arriesgaría— 
que sepa que es honrado
											que en alguien que haga dudar
											acerca de por quién se preocupa
											y qué es lo que pasa.
											Lo más importante es la integridad.
									",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
","
","
","
",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
											Quelle est la chose la plus importante après l'intégrité?
											Voyons si vous pouvez la trouver.
											Le public: La confiance en soi.
											Presque! La passion.
											Bien, donc ici vous voulez…
											Les entrepreneurs sont par définition des personnes
											qui abandonnent quelque chose, qui commencent une nouvelle vie,
											qui créent et qui mettent leur vie dans quelque chose.
											Vous devez donc transmettre votre passion.
											Si vous n'êtes pas passionné par votre entreprise,
											pourquoi diable quelqu'un d'autre devrait l'être?
											Pourquoi devraient-ils mettre plus d'argent dans votre entreprise
											si vous n'êtes pas passionné?
											Donc l'intégrité et la passion, les choses les plus importantes.
									","
											Und was ist das zweitwichtigste nach Integrität?
											Mal sehen, ob Sie das wissen.
											Zuschauer: Selbstbewusstsein.
											Fast! Leidenschaft.
											Richtig. Existenzgründer sind
											per Definition Menschen,
											die etwas hinter sich lassen und eine neue Welt betreten,
											erschaffen und ihr Herzblut in etwas investieren.
											Sie müssen Leidenschaft zeigen.
											Wenn Sie für Ihr Unternehmen keine Leidenschaft zeigen,
											warum sollte es dann irgendjemand sonst tun?
											Warum sollte jemand Geld in Ihr Unternehmen stecken,
											wenn Sie es leidenschaftslos betreiben?
											Integrität und Leidenschaft sind also die beiden wichtigsten Dinge.
									","
											Dürüstlükten sonra en önemli ikinci şey ne?
											Bakalım bunu bilebilecek misiniz?
											(Seyirci: Kendine güven)
											DSR: Doğru sayılır! Tutku.
											Girişimciler, kelime anlamıyla bir şeyleri bırakan,
											orada yeni bir dünyaya başlayan,
											yaratan ve kendi kanını canını
											bu şeye koyan kişilerdir.
											Tutku göstermeniz lazım.
											Eğer kendi şirketiniz hakkında tutkulu değilseniz,
											başka kim tutkulu olsun ki?
											Siz bu konuda tutkulu değilseniz, şirketinize
											neden daha fazla para koysunlar ki?
											Peki, dürüstlük ve tutku: oradaki en önemli iki şey.
									","
											¿Lo segundo más importante 
tras la integridad?
											A ver si la aciertan.
											Público: La confianza.
											DSR: ¡Casi! La pasión.
											Bien, aquí está,
											los empresarios, por definición, son gente
											que deja atrás otra cosa, 
que empieza un nuevo mundo,
											creando y dejándose la sangre en ello.
											Tienen que transmitir pasión.
											Si no los apasiona su empresa,
											¿por qué debería 
hacerlo a otra persona?
											¿Por qué deberían poner más dinero
											si no los apasiona?
											Integridad y pasión
son lo más importante.
									",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
","
","
","
",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
"
											Ensuite, il y a toute une panoplie d'autres choses
											que vous avez à mettre dans le paquet
											que vous présentez à un capital-risqueur.
											L'expérience.
											Vous devez pouvoir dire, ""Hé, vous savez, j'ai déjà fait ça avant.""
											""Fait ça avant"", c'est lancer une entreprise, créer de la valeur,
											et mener quelque chose du début à la fin.
											C'est pour ça que les capital-risqueurs aiment investir dans les entrepreneurs en série.
											Parce que même si vous ne l'avez pas fait comme il faut la première fois,
											vous en avez tiré les leçons qui vont
											vous mettre en bonne position la prochaine fois.
									","
											Außerdem gibt es eine ganze Palette anderer Dinge,
											die Sie in das Paket stecken müssen,
											das Sie dem Investor präsentieren.
											Erfahrung.
											Sie müssen sagen können: „Hey, ich habe das schonmal gemacht.“
											Und das bedeutet, ein Unternehmen zu gründen, Werte schaffen
											und etwas von Anfang bis Ende zu führen.
											Deshalb investieren Kapitalgeber gerne in Wiederholungs-Unternehmer.
											Selbst, wenn Sie es zuvor nicht richtig gemacht haben
											haben Sie eine Lektion gelernt, die Ihnen
											beim nächsten Mal zugute kommt.
									","
											Yatırımcıya sunduğunuz pakette
											daha yapmanız gereken
											bir takım başka şeyler var.
											Deneyim.
											""Hey, bakın, ben bunu daha önce yaptım,"" diyebilmeniz lazım.
											Ve ""bunu yaptım"" demek bir girişimi başlatmak ve değer yaratmak,
											ve bir şeyi başından sonuna götürmek demek.
											İşte bu yüzden yatırımcılar seri girişimcileri severler.
											Çünkü ilk seferinde doğru yapmamış olsanız bile,
											sonraki seferde sizi bayağı ayakta tutacak
											dersleri aldınız.
									","
											Y luego hay un amplio 
abanico de otras cosas
											que tienen que incluir en este paquete
											que van a presentar a un ICR.
											Experiencia.
											Tienen que ser capaces de decir: 
""Ya he hecho esto antes"".
											Y ""esto"" es crear una empresa 
y generar capital
											y llevar algo de principio a fin.
											Por eso los ICR adoran invertir 
en empresarios en serie.
											Porque aunque no lo hayan 
hecho bien a la primera,
											aprendieron lecciones
											de gran utilidad la siguiente vez.
									",How to pitch to a VC,David S. Rose,14:39,"business,invention,investment,presentation,technology"
