en,fr,es,pt,title,speaker,duration,tags
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
											When I look in the mirror today,
											I see a justice and education scholar
at Columbia University,
											a youth mentor, an activist
											and a future New York state senator.
									","
											Quand je regarde dans le miroir,
											je vois un professeur
en justice et en éducation
											de l'université Columbia,
											un mentor pour les jeunes, un activiste
											et un futur sénateur
de l’État de New York.
									","
											Cuando me miro al espejo hoy,
											veo un académico de justicia y educación
en la Universidad de Columbia,
											un mentor de jóvenes, un activista
											y un futuro senador de Nueva York.
									","
											Quando hoje olho para o espelho,
											vejo um académico da justiça
e da educação
											na Universidade da Columbia,
											um mentor de jovens, um ativista
											e um futuro senador
do estado de Nova Iorque.
									",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
											(Cheering)
									","
											(Acclamations)
									","
											(Vítores)
									","
											(Aplausos)
									",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
											I see all of that
											and a man who spent
a quarter of his life in state prison —
											six years, to be exact,
											starting as a teenager on Rikers Island
											for an act that nearly cost
a man his life.
											But what got me from there to here
											wasn't the punishment I faced
as a teenager in adult prison
											or the harshness of our legal system.
											Instead, it was a learning
environment of a classroom
											that introduced me to something
I didn't think was possible for me
											or our justice system as a whole.
									","
											Je vois tout cela
											et un homme qui a passé un quart de sa vie
dans une prison d’État —
											six ans pour être exact,
											dès mon adolescence, à Rikers Island,
											pour un geste qui a failli
coûter la vie à un homme.
											Mais ce qui m'a mené de là-bas jusqu'ici
											n'est pas ma peine en tant qu'adolescent
dans une prison pour adultes
											ou la sévérité de notre système juridique.
											C'est plutôt l'environnement
d'apprentissage d'une salle de cours
											qui m'a fait découvrir une chose
que je ne pensais pas possible pour moi
											ou pour notre système juridique.
									","
											Veo todo eso
											y un hombre que pasó
un cuarto de su vida en la prisión...
											seis años, para ser exactos,
											comencé como adolescente
en el Correccional de Rikers Island
											por un acto que casi 
le costó la vida a un hombre.
											Pero lo que me llevó
a donde me encuentro hoy
											no fue el castigo que enfrenté como
adolescente en una prisión para adultos,
											ni la dureza de nuestro sistema judicial,
											sino el entorno de
aprendizaje de una clase,
											lo que me inició en algo que
no consideraba posible para mí
											o para el sistema judicial en su conjunto.
									","
											Vejo isso tudo
											e também um homem que passou
um quarto da vida numa prisão
											— seis anos, para ser exato.
											Comecei ainda era adolescente
na prisão de Rikers Island
											por um ato que quase
custou a vida de um homem.
											Mas o que me tirou de lá
e me trouxe até aqui
											não foi o castigo que enfrentei
em adolescente numa prisão de adultos
											ou a dureza do nosso sistema legal.
											Em vez disso, foi um ambiente
de aprendizagem duma sala de aulas
											que me apresentou a uma coisa
que eu não julgava possível para mim
											ou para o nosso sistema de justiça,
no seu todo.
									",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
											A few weeks before my release on parole,
											a counselor encouraged me to enroll
in a new college course
											being offered in the prison.
											It was called Inside Criminal Justice.
											That seems pretty
straightforward, though, right?
											Well, it turns out,
											the class would be made up
of eight incarcerated men
											and eight assistant district attorneys.
											Columbia University psychology
professor Geraldine Downey
											and Manhattan Assistant DA Lucy Lang
											co-taught the course,
											and it was the first of its kind.
									","
											Quelques semaines
avant ma libération conditionnelle,
											un conseiller m'a encouragé à m'inscrire
à un cours universitaire
											offert par la prison :
											« Au sein du système judiciaire ».
											Cela semble assez explicite,
n'est-ce pas ?
											Il s'est avéré
											que la classe était composée
de huit prisonniers
											et de huit substituts du procureur.
											La professeure de psychologie
à l'université Columbia Geraldine Downey
											et la substitute du procureur Lucy Lang
											ont donné ensemble le cours
											et c'était le premier de ce genre.
									","
											Unas semanas antes de ser puesto
en libertad condicional,
											un terapeuta me animó a inscribirme
en un nuevo curso universitario
											que se ofrecía en la prisión.
											Se llamaba ""Sobre la justicia criminal""
											Eso parece bastante sencillo, ¿no?
											Bueno, pues resulta que,
											la clase constaba de ocho reclusos
											y de ocho ayudantes de fiscal de distrito.
											La profesora de Psicología de la
Universidad de Columbia, Geraldine Downey,
											y el ayudante del fiscal del 
Distrito de Manhattan, Lucy Lang,
											impartieron el curso,
el primero de este tipo.
									","
											Umas semanas antes de sair
em liberdade condicional,
											um conselheiro encorajou-me
a inscrever-me
											num novo curso universitário
que a prisão oferecia.
											Chamava-se A Justiça Criminal por Dentro.
											Parece uma coisa muito simples, não é?
											Acontece que a turma
seria formada por oito presos
											e oito assistentes
de advogados distritais.
											Geraldine Downey, professora de psicologia
da Universidade de Columbia
											e Lucy Lang, assistente
do Distrito de Manhattan
											ensinavam o curso
que era o primeiro do género.
									",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
											I can honestly say
											this wasn't how I imagined
starting college.
											My mind was blown from day one.
											I assumed all the prosecutors
in the room would be white.
											But I remember walking into the room
on the first day of class
											and seeing three black prosecutors
											and thinking to myself,
											""Wow, being a black prosecutor —
											that's a thing!""
									","
											Je peux dire honnêtement
											que ce n'est pas ainsi que j'imaginais
démarrer l'université.
											J'ai été époustouflé dès le premier jour.
											J'avais supposé que tous les procureurs
dans la salle seraient blancs.
											Mais je me souviens être entré
dans la salle le premier jour de cours,
											d'avoir vu trois procureurs noirs
											et d'avoir pensé :
											« Être un procureur noir...
											c'est quelque chose ! »
									","
											Puedo decir sinceramente
											que no era como me imaginaba
el comienzo de la universidad.
											Me sorprendió desde el primer día.
											Supuse que todos los fiscales
serían blancos.
											Recuerdo que cuando entré en la sala
el primer día de clase
											vi a tres fiscales negros
											y pensé:
											""Guau, ser fiscal negro...
											¡es posible!""
									","
											Sinceramente, devo dizer
											que não era assim que eu imaginava
começar a faculdade.
											Fiquei surpreendido
logo no primeiro dia.
											Eu julgava que todos os promotores
na sala seriam brancos.
											Mas lembro-me de entrar na sala
no primeiro dia de aulas
											e ver três promotores negros
											e pensar para comigo:
											""Uau! Ser promotor negro é possível!""
									",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Risos)
									",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
											By the end of the first session,
											I was all in.
											In fact, a few weeks after my release,
											I found myself doing something
I prayed I wouldn't.
											I walked right back into prison.
											But thankfully, this time
it was just as a student,
											to join my fellow classmates.
											And this time,
											I got to go home when class was over.
									","
											D'ici à la fin de la séance,
											j'étais impliqué à 100%.
											Quelques semaines après ma libération,
											je me suis retrouvé à faire une chose
que j'avais prié de ne pas faire.
											Je suis retourné en prison.
											Mais heureusement, cette fois-ci
ce n'était qu'en tant qu'étudiant,
											pour rejoindre mes camarades de classe.
											Cette fois-ci,
											j'ai pu rentrer chez moi
après la fin du cours.
									","
											Al final de la primera sesión,
											estaba convencido.
											De hecho, unas semanas
después de ser liberado,
											me encontré haciendo algo
que esperaba no hacer.
											Regresé a la prisión.
											Pero por suerte, esta vez
solo era estudiante,
											para unirme a mis compañeros.
											Y esta vez,
											podía volver a casa cuando
terminó la clase.
									","
											No final da primeira sessão
eu estava convencido.
											Na verdade, poucas semanas
depois de libertado,
											encontrei-me a fazer uma coisa
que tinha jurado nunca mais fazer.
											Voltei à prisão.
											Felizmente, desta vez
era apenas como estudante,
											para me juntar aos meus colegas da turma.
											Desta vez, podia voltar para casa
quando a aula acabasse.
									",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
"
","
","
","
",What prosecutors and incarcerated people can learn from each other,Jarrell Daniels,12:04,"criminal justice,crime,education,social change,law,society,community,race,justice system"
