en,fr,es,title,speaker,duration,tags
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											My name is Mwende Katwiwa
											and I am a poet,
											a Pan-Africanist
											and a freedom fighter.
									","
											Mon nom est Mwende Katwiwa
											et je suis une poètesse,
											une panafricaniste
											et une combattante de la liberté.
									","
											Mi nombre es Mwnede Katwiwa
											y soy poetisa,
											panafricana
											y defensora de la libertad.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											I was 23 years old
											when I first heard
about Reproductive Justice.
											I was working at Women with a Vision,
											where I learned that Reproductive Justice
was defined by Sister Song as:
											One: A woman's right to decide
if and when she will have a baby
											and the conditions
under which she will give birth.
											Two: A woman's right
to decide if she will not have a baby
											and her options for preventing
or ending a pregnancy.
											And three: A woman's right
to parent the children she already has
											in safe and healthy environments
											without fear of violence
											from individuals or the government.
									","
											J'avais 23 ans
											quand j'ai entendu parler
de la justice reproductive.
											Je travaillais pour un magazine féminin
											où j'ai appris que Sister Song définissait
la justice reproductive comme étant :
											une : le droit d'une femme de décider
si et quand elle aura un bébé
											et les conditions dans lesquelles
elle donnera naissance.
											Deux : le droit d'une femme de décider
si elle ne veut pas avoir de bébé
											et ses options pour éviter
ou mettre un terme à une grossesse.
											Et trois : le droit d'une femme d'être
une mère pour les enfants qu'elle a déjà
											dans des environnements sûrs et sains
											sans craindre de violence
											de la part d'individus ou du gouvernement.
									","
											Tenía 23 años
											cuando por primera vez escuché 
sobre la justicia reproductiva.
											Trabajaba en ""Woman With A Vision"",
											donde aprendí que Sister Song 
definió la justicia reproductiva como:
											Uno, el derecho de la mujer de decidir 
si quiere tener un bebé y cuándo tenerlo
											y las condiciones en las que dará a luz.
											Dos: el derecho de la mujer 
a decidir no tener un bebé
											y elegir opciones para prevenir
o interrumpir un embarazo.
											Y tres: el derecho de la mujer 
a criar los hijos que ya tiene
											en ambientes seguros y sanos
											sin miedo a la violencia
											por parte de individuos o el gobierno.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											I've always wanted to be a mother.
									","
											J'ai toujours voulu être une mère.
									","
											Siempre he querido ser madre.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											Growing up, I heard
all about the joys of motherhood.
									","
											En grandissant, j'ai tout entendu
sur les joies de la maternité.
									","
											En mi infancia, escuché todo 
sobre la dicha de ser madre.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											I used to dream of watching my womb
weave wonder into this world.
									","
											Je rêvais de voir mon ventre
mettre une merveille au monde.
									","
											Solía soñar con ver mi vientre gestar 
un milagro y traerlo a este mundo.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											See, I knew I was young.
									","
											Je savais que j'étais jeune.
									","
											Bueno, yo sabía que era joven.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											But I figured,
									","
											Mais je me disais
									","
											Pero supuse
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											it couldn't hurt to start planning
for something so big, so early.
									","
											que cela ne pouvait pas faire de mal
de prévoir une chose si importante si tôt.
									","
											que no sería malo comenzar a planificar 
algo tan grande, tan anticipadamente.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											But now,
											I'm 26 years old.
									","
											Mais maintenant,
											j'ai 26 ans.
									","
											Pero ahora
											tengo 26 años.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
","
","
",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
"
											And I don't know if I have what it takes
to stomach motherhood in this country.
									","
											Et j'ignore si j'ai ce qu'il faut
pour encaisser la maternité dans ce pays.
									","
											Y no sé si tengo lo que se necesita 
para ser madre en este país.
									",Black life at the intersection of birth and death,"Mwende ""FreeQuency"" Katwiwa",7:49,"activism,art,humanity,personal growth,identity,performance art,poetry,race,performance,society,writing,social change,spoken word,women"
