es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
											Muchas gracias.
									","
											Muito obrigado.
									","
											Çok teşekkür ederim.
									","
											Merci beaucoup.
									",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
","
","
","
",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
											Vine a vivir a los Estados Unidos hace 12 años
											con mi esposa Terry y nuestros dos hijos.
											A decir verdad, nos mudamos a Los Ángeles,
(Risas)
											creyendo que nos habíamos
mudado a Estados Unidos,
											pero de todos modos, hay tan solo 
un corto vuelo desde Los Ángeles
											a Estados Unidos.
									","
											Mudei-me para os E.U.A. há 12 anos
											com a minha mulher Terry
e os nossos dois filhos.
											Quer dizer, na verdade, mudámo-nos para
Los Angeles — (Risos) —
											pensando que nos mudáramos 
para os E.U.A.,
											mas ainda assim, é um voo curto,
de Los Angeles
											para os E.U.A.
									","
											Amerika'ya 12 yıl önce taşındım,
											eşim Terry ve iki çocuğumuzla.
											Doğrusu, aslına bakarsanız, Los Angeles'a taşındık—(kahkaha)—
											Amerika'ya geleceğiz sanmıştık.
											her neyse, Los Angeles'dan kısa bir uçak yolculuğuyla ulaşıyorsunuz
											Amerika'ya.
									","
											J'ai déménagé en Amérique il y a 12 ans
											avec ma femme Terry 
et nos deux enfants.
											En fait, en vérité, nous avons déménagé 
à Los Angeles - (Rires) -
											pensant que nous emménagions 
en Amérique,
											mais peu importe, c'est à un saut de puce 
de Los Angeles
											en Amérique en avion.
									",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
","
","
","
",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
											Llegué aquí hace 12 años,
											y cuando lo hice, me advirtieron varias cosas,
											como, «Los estadounidenses 
no entienden la ironía».
											¿Han oído de esta idea?
											No es cierto. He viajado a lo largo 
y ancho de este país.
											No he encontrado ninguna evidencia de que los
estadounidenses no entiendan la ironía.
											Es uno de esos mitos culturales
											como, «los británicos son reservados».
											No sé por qué la gente piensa esto.
											Hemos invadido cuanto país hemos encontrado.
											(Risas)
											Pero, no es cierto que los 
estadounidenses no entienden la ironía,
											solo quería que supieran lo que la gente
											dice a sus espaldas.
											Ya saben, cuando salen 
de habitaciones en Europa,
											la gente dice que, por suerte, 
nadie fue irónico en su presencia.
									","
											Cheguei aqui há 12 anos,
											e quando cheguei, disseram-me muitas coisas,
											como: ""Os americanos não percebem a ironia.""
											Já ouviram esta ideia?
											Não é verdade. Viajei por este país todo,
em todo o seu comprimento e largura.
											Não encontrei provas de que os americanos
não percebem a ironia.
											É um daqueles mitos culturais,
											como: ""Os ingleses são reservados.""
											Não sei porque é que as pessoas pensam isto.
											Invadimos todos os países que encontrámos.
											(Risos)
											Mas não é verdade que os americanos
não percebam a ironia,
											mas quero só que saibam
que é o que as pessoas
											dizem sobre vocês nas vossas costas.
											Quando saem de uma sala de estar na Europa,
											as pessoas dizem: ""Ainda bem que ninguém
foi irónico na vossa presença.""
									","
											Buraya 12 yıl önce geldim
											ve buraya gelince insanlar bir sürü şey söylediler,
											mesela, ""Amerikalılar hicivden anlamazlar.""
											Hiç bu fikirle karşılaştınız mı?
											Bu doğru değil. Bu ülkeyi baştan uca dolaştım.
											Amerikalıların hicivden anlamadıklarına dair bir kanıt bulamadım.
											Bu da o kültürel efsanelerden biri,
											mesela ""İngilizler mesafelidir."" gibi.
											İnsanlar neden böyle düşünüyorlar bilmiyorum.
											Karşımıza çıkan her ülkeyi istila ettik.
											(Kahkaha)
											Ama Amerikalılar'ın hicivden anlamadıkları doğru değil.
											Ama bilmenizi isterim ki insanlar arkanızdan
											böyle konuşuyorlar.
											Bilirsiniz, Avrupa'da oturma odasından çıkınca,
											insanlar konuşurlar, neyse ki siz oradayken alaylık hale düşmediniz.
									","
											Je débarque ici il y a 12 ans,
											et à peine arrivé, 
on me dit diverses choses,
											comme, « les Américains 
ne saisissent pas l'ironie. »
											Cette idée vous a-t-elle 
déjà traversé l’esprit ?
											Ce n'est pas vrai. J'ai parcouru 
ce pays de long en large.
											Je n'ai trouvé aucune preuve 
que les Américains ne saisissent pas l'ironie.
											C'est encore un de ces mythes culturels,
											comme, « Les Britanniques sont réservés ».
											Je ne sais pas pourquoi 
les gens pensent ça.
											Nous avons envahi tous les pays 
que nous avons rencontrés.
											(Rires)
											Mais ce n'est pas vrai 
que les Américains ne saisissent pas l'ironie,
											mais je veux juste que vous sachiez 
que c'est ce que les gens
											disent de vous derrière votre dos.
											Vous savez, lorsque vous quittez 
les salons en Europe,
											les gens disent qu’heureusement, 
personne n'a été ironique en votre présence.
									",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
","
","
","
",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
											Pero yo sabía que los 
estadounidenses entienden la ironía
											cuando supe de la ley de educación
«Ningún Niño Rezagado».
											Porque quien haya pensado en
ese nombre, entiende de ironía,
											¿no?, porque...
											(Risas) 
(Aplausos)
											...Porque están dejando 
a millones de niños rezagados.
											Entiendo que ese no es un nombre 
muy atractivo para una ley:
											Millones de Niños Rezagados. Lo entiendo.
											¿Cuál es el plan? Bien, proponemos
											dejar a millones de niños rezagados,
											y así es como va a implementarse.
									","
											Mas eu soube que os americanos
percebem a ironia
											quando me deparei com aquela lei
""Nenhuma Criança Fica Para Trás"".
											Porque quem quer que se tenha lembrado
daquele título, percebe a ironia.
											Não é? Porque...
											(Risos) (Aplausos)
											porque está a deixar para trás
milhões de crianças.
											Percebo que não seria um 
nome atrativo para a lei:
											""Milhões de Crianças Ficam Para Trás"".
Eu percebo isso.
											Qual é o plano? Bem, propomos
											deixar milhões de crianças para trás,
											e é assim que vai funcionar.
									","
											Amerikalılar'ın hicivden anladığını
											""Hiçbir Çocuk Geri Kalmasın"" yasasını duyduğumda anlamıştım.
											Çünkü bu başlığı kim düşünse buradaki hicivden anlıyor,
											değil mi, çünkü—
											(Kahkaha) (Alkış)
											çünkü bu yasa milyonlarca çocuğu geride bırakıyor.
											Şimdi anlayabiliyorum, şu bir yasa için pek de cazip bir isim olmazdı:
											Milyonlarca Çocuk Geride Kalsın. Anlıyorum.
											Plan nedir? Evet, milyonlarca çocuğu
											geride bırakmayı düşünüyoruz,
											yasa bu şekilde işleyecek
									","
											Mais j’ai su que les Américains 
avaient le sens de l’ironie
											quand je suis tombé sur cette loi 
« Aucun enfant abandonné en chemin ».
											Parce que, peu importe qui a pondu ce titre, 
il a le sens de l’ironie,
											n'est-ce pas ? Parce que
											- (Rires) (Applaudissements) -
											parce que précisément cette loi abandonne 
des millions d'enfants sur le bord du chemin.
											Bon maintenant, je peux comprendre 
que ce n'est pas un nom très attrayant pour une loi :
											des millions d'enfants abandonnés. 
Je peux le concevoir.
											« - Quel est le plan? » 
« - Eh bien, nous proposons
											d’abandonner des millions d'enfants en chemin,
											et voici comment cela va fonctionner... »
									",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
","
","
","
",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
"
											Y está funcionando de maravilla.
											En algunos lugares del país,
											el 60 % de los niños abandonan la preparatoria.
											En comunidades indígenas estadounidenses,
											esa cifra es del 80 %.
											Si dividiéramos esa cifra a la mitad, se estima
											que generaría una ganancia neta
a la economía de EE.UU.
											de casi un billón de dólares en 10 años.
											Desde un punto de vista económico,
											el resultado indica que sería bueno, ¿no es así?
											De hecho, cuesta una enorme cantidad de dinero
											deshacer el daño de la crisis de deserción escolar.
									","
											E está a funcionar perfeitamente.
											Em algumas partes do país,
											60% dos miúdos desistem do Secundário.
											Nas comunidades nativoamericanas,
											são 80% dos miúdos.
											Se baixássemos este número para metade,
uma estimativa é
											que traria um lucro para
a economia americana,
											ao longo de 10 anos,
de quase 1 bilião de dólares.
											Da perspetiva económica,
											isto é um bom cálculo, não é,
que deveríamos aplicar?
											Na verdade, é enorme o custo
											de limpar os estragos da crise
do abandono escolar.
									","
											ve çok güzel işe yarıyor.
											Ülkenin bazı kesimlerinde,
											öğrencilerin %60'ı okulu bırakıyor.
											Yerli Amerikan toplumlarında
											bu oran %80.
											Eğer bu oranı yarıya indirirsek, bir düşünceye göre
											Amerika ekonomisine 10 yıldan fazla sürede
											yaklaşık bir trilyon dolar net kazanç sağlayacak.
											Ekonomik açıdan bir yaklaşıma göre,
											bu yapmamız gereken önemli bir işlem, değil mi?
											Aslında okulu bırakma krizinin zararlarını
											temizlemek çok büyük paralara mal oluyor.
									","
											Et ça marche à merveille.
											Dans certains coins du pays,
											60 % des enfants abandonnent le lycée.
											Dans les communautés amérindiennes,
											c'est 80 % des enfants.
											Si on réduisait ce nombre de moitié, 
on estime que
											ça créerait un gain net 
pour l'économie américaine
											de près de 1 000 milliards de dollars 
sur les 10 prochaines années.
											D'un point de vue économique,
											c’est un bon calcul, n'est-ce pas, 
que nous devrions faire cela ?
											En réalité, ça coûte très cher
											d'éponger les dégâts du décrochage scolaire.
									",How to escape education's death valley,Sir Ken Robinson,19:11,"culture,education,teaching,student"
