pt,es,fr,title,speaker,duration,tags
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Há 100 anos,
											existiam 2000 tipos de pêssegos,
											quase 2000 variedades de ameixas
											e cerca de 800 variedades
de maçãs nos EUA.
											Hoje, resta somente
uma amostra deste número,
											e encontram-se atualmente ameaçadas
graças à industrialização da agricultura,
											às pragas e à alteração climática.
									","
											Hace cien años
											había unas 2000 variedades de duraznos,
											cerca de 2000 variedades
diferentes de ciruelas
											y unas 800 variedades conocidas
de manzanas cultivadas en EE. UU.
											Hoy solo queda una fracción de ellas,
											y lo que queda está amenazado por 
la industrialización de la agricultura,
											las plagas y el cambio climático.
									","
											Il y a cent ans,
											il existait 2 000 variétés de pêches,
											près de 2 000 variétés de prunes,
											et presque 800 variétés de pommes
cultivées aux États-Unis.
											Aujourd'hui, il n'en reste
que quelques-unes,
											et ce qu'il reste est menacé
par l'industrialisation de l'agriculture,
											les maladies et le changement climatique.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Entre as variedades ameaçadas,
encontramos a Blood Cling,
											um pêssego de polpa vermelha, introduzido
na América por missionários espanhóis,
											e posteriormente cultivado
pelos povos nativos durante séculos;
											um alperce introduzido
por imigrantes chineses
											que vieram trabalhar
na Ferrovia Transcontinental;
											e inúmeras variedades de ameixas
originárias do Médio Oriente,
											e introduzidas por imigrantes
italianos, franceses e alemães.
											Nenhuma destas variedades é autóctone.
											A maioria das nossas árvores de fruto
foram cá introduzidas,
											incluindo as maçãs,
os pêssegos e as cerejas.
											Para além de alimento,
											a nossa cultura está embutida
nestas peças de fruta.
											Falamos de quem as cultivou
e delas se ocupou,
											que tanto as valorizava
que resolveu trazê-las consigo
											como elo de ligação às suas origens,
											refletem o modo como foram
transmitidas e partilhadas.
											Estas frutas fazem parte 
da nossa história.
											E eu tive o privilégio de a poder estudar
											através de uma obra da minha autoria,
""A Árvore de 40 frutos"".
									","
											Las variedades amenazadas 
incluyen el ""Blood Cling"",
											un durazno de pulpa roja que trajeron
a América los misioneros españoles,
											luego cultivado por los indígenas
americanos durante siglos;
											un albaricoque que trajeron 
los inmigrantes chinos
											que vinieron a trabajar en 
el ferrocarril transcontinental;
											e incontables variedades de ciruelas 
originarias del Medio Oriente
											que luego trajeron los inmigrantes 
italianos, franceses y alemanes.
											Ninguna de estas variedades es autóctona.
											De hecho, casi todos nuestros 
árboles frutales fueron importados,
											incluidos los manzanos,
los durazneros y los cerezos.
											Son algo más que alimento,
											estas frutas forman parte
de nuestra cultura;
											por la gente que las cultivó y las cuidó,
											que las valoraban tanto
											que las trajeron con ellos
como una conexión con su hogar,
											y por cómo las han transmitido
y compartido con otros.
											En muchos sentidos, 
estas frutas son nuestra historia
											y tuve la inmensa fortuna de averiguarlo
											mediante una obra de arte que creé 
titulada el ""Árbol de 40 frutas"".
									","
											Parmi ces variétés, on trouve
la pêche de vigne,
											une pêche à la chair rouge apportée en
Amérique par les missionnaires espagnols,
											puis cultivée par les Amérindiens
pendant des siècles.
											Un abricot apporté
par des migrants chinois
											venus travailler sur le chantier
du chemin de fer transcontinental.
											Et une infinité de variétés de prunes
originaires du Moyen Orient,
											puis apportées par des migrants
italiens, français et allemands.
											Aucune de ces variétés n'est indigène.
											En fait, presque tous les fruits
ont été introduits,
											y compris les pommes,
les pêches et les cerises.
											Au-delà du simple fruit,
											on parle ici de notre culture.
											Les gens qui en ont pris soin
et qui les ont cultivés,
											tenaient tellement à eux
qu'ils les ont apportés ici,
											comme un lien avec leur origine,
											et c'est ainsi qu'ils les ont
transmis et partagés.
											De bien des façons,
ces fruits sont notre histoire.
											Et j'ai eu la chance de découvrir cela
											via un projet artistique que
j'ai créé : « L'Arbre aux 40 fruits ».
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											A árvore de 40 frutos
trata-se de uma árvore
											capaz de dar 40 variedades diferentes
de frutos com caroço.
											Falamos de pêssegos, ameixas,
alperces, nectarinas e cerejas,
											todos eles a crescer numa só árvore,
											feita de modo a parecer uma árvore normal
durante a maior parte do ano,
											até à época da primavera, quando floresce
em tons de rosa e branco,
											para depois no verão
dar uma panóplia de diferentes frutos.
											Comecei este projeto
puramente por razões artísticas:
											queria alterar a realidade do quotidiano,
											e, para dizer a verdade,
											criar um momento brilhante,
onde podemos ver uma árvore
											a dar flores de diferentes tons
											e frutos de diferentes variedades.
									","
											El Árbol de 40 frutas es un solo árbol
											que produce 40 variedades 
distintas de fruta de hueso,
											es decir, duraznos, ciruelas, 
albaricoques, nectarinas y cerezas
											todas creciendo en un mismo árbol.
											Se diseñó para que parezca un árbol 
normal durante casi todo el año,
											hasta la primavera,
cuando florece en rosa y blanco
											y luego, en verano, da una variedad 
de frutas diferentes.
											Empecé el proyecto por motivos
meramente artísticos:
											quería cambiar la realidad del día a día
											y, para ser honesto,
crear un momento de asombro
											en el que la gente viera el árbol florecer
con todos estos colores diferentes
											y producir tal variedad de frutas.
									","
											L'Arbre aux 40 fruits est un arbre
											qui porte 40 variétés de fruits à noyaux.
											Des pêches, des prunes, des abricots,
des nectarines et des cerises,
											tout ça sur le même arbre.
											Il est conçu pour être un arbre normal
pendant presque toute l'année
											sauf au printemps, quand il fleurit
en rose et blanc,
											et en été, quand il porte
une multitude de fruits différents.
											J'ai commencé ce projet
pour des raisons purement artistiques :
											je voulais changer
la réalité du quotidien,
											et, pour être honnête,
											créer ce moment d'étonnement
quand les gens voient cet arbre
											fleurir de plein de couleurs différentes
											et porter tous ces fruits variés.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Criei a árvore de 40 frutos
através de enxertos.
											Colhi enxertos no inverno, guardei-os,
											e enxertei-os na primavera.
											Na realidade, quase todas as árvores
de fruto são enxertadas,
											porque a semente é geneticamente
diferente da árvore mãe.
											Quando encontramos
uma variante de que gostamos,
											a maneira de a propagarmos
é cortar uma estaca duma árvore
											e enxertá-la numa outra árvore
											— parece loucura
											que cada maçã Macintosh
venha da mesma árvore
											que foi enxertada uma e outra vez
durante gerações.
											Mas também significa que as árvores
não podem ser preservadas pela semente.
											Conheço os enxertos
desde que me lembro.
											O meu bisavô ganhava a vida
a enxertar pomares de pêssegos
											no sudeste da Pensilvânia.
											Apesar de não o ter conhecido,
											sempre que o seu nome era mencionado,
											era reconhecido
											pela capacidade quase mística
ou mágica de enxertar.
									","
											Creé el Árbol de 40 frutas
por medio del proceso de injerto.
											En invierno recolectaba esquejes,
											los almacenaba y en primavera,
los injertaba en las puntas de las ramas.
											De hecho, casi todos 
los árboles frutales están injertados,
											porque la semilla de un árbol frutal 
es una variante genética del padre.
											Así que cuando encontramos una variedad 
que nos gusta mucho,
											la forma en que la propagamos 
es tomando un esqueje de un árbol
											e insertándolo en otro,
											algo extraño, si se piensa en ello:
											cada manzana ""Macintosh""
procede de un solo árbol
											que ha sido injertado una y otra vez
de generación en generación.
											Pero también significa que los frutales 
no pueden preservarse por semillas.
											He sabido de los injertos 
desde que tengo memoria.
											Mi bisabuelo se dedicaba
a injertar huertos de duraznos
											en el sudeste de Pensilvania.
											Y aunque nunca lo conocí,
cuando alguien decía su nombre,
											se apresuraban a decir
											que sabía injertar como si tuviera 
una capacidad mágica o mística.
									","
											J'ai créé l'Arbre aux 40 Fruits
grâce à la technique de la greffe.
											Je récolte des boutures
en hiver, je les mets de côté
											et je les greffe à l'extrémité
d'une branche au printemps.
											En fait, la plupart des arbres
fruitiers sont greffés,
											car la graine d'un arbre fruitier
est une variante génétique du parent.
											Donc quand on trouve une variété
qu'on aime vraiment,
											la manière de la propager est
d'en prendre une bouture sur un arbre
											et de la greffer sur un autre.
											C'est quand même fou de penser
											que toutes les pommes Macintosh
viennent d'un seul arbre
											qui a été greffé à plusieurs reprises
de génération en génération.
											Mais cela veut aussi dire qu'une graine
ne peut pas perpétuer un arbre fruitier.
											Aussi loin que je m'en souvienne,
on m'a parlé de la greffe.
											Mon arrière-grand-père vivait
de la greffe des pêchers
											dans le sud-est de la Pennsylvanie.
											Je ne l'ai jamais rencontré,
											mais à chaque fois que
quelqu'un parlait de lui,
											on finissait par dire
											qu'il savait si bien greffer qu'on aurait
cru à un pouvoir magique, surnaturel.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
","
","
",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
"
											Escolhi o número 40
para a árvore de 40 frutos
											porque, nas religiões ocidentais,
											este número é visto não como
a dúzia quantificável ou o infinito,
											mas como um número
impossível de contar.
											É uma multitude de valor ou um prémio.
											Mas o problema, quando comecei,
											é que não encontrei
40 variedades desses frutos,
											apesar de viver em Nova Iorque,
											que, há um século,
											era um dos principais
produtores desses frutos.
											Enquanto acabavam com
os pomares de investigação
											e os antigos pomares,
											eu colhia amostras
											e enxertava-as nas minhas árvores
no meu viveiro.
									","
											Elegí el número 40
para el Árbol de 40 frutas
											porque está presente
en la religión occidental,
											no como la docena cuantificable
ni como el infinito,
											sino como un número más allá del cálculo.
											Es la abundancia o multiplicidad.
											Pero el problema fue que cuando empecé,
											no encontraba 40 variedades 
diferentes de estas frutas,
											a pesar de que vivo 
en el estado de Nueva York
											que, hace un siglo,
											era uno de los principales
productores de estas frutas.
											Mientras destruían
los huertos de investigación
											y los antiguos huertos,
											recolectaba sus ramas y las injertaba
en los árboles de mi vivero.
									","
											J'ai choisi le nombre 40 pour cet arbre,
											on le retrouve
dans les religions occidentales,
											c'est plus que les doigts des mains,
sans dépasser l'imagination,
											c'est un nombre indénombrable.
											C'est une abondance ou une multitude.
											Mais le problème quand j'ai commencé,
											c'est que je n'arrivais pas à trouver
40 variétés de fruits à noyaux,
											bien que je vive dans l'État de New York,
											qui, il y a un siècle,
											était l'un des principaux États
producteurs de ces fruits.
											Alors que certains détruisaient
des vergers expérimentaux
											ou très anciens,
											je récupérais des branches
											et je les greffais sur les arbres
de ma pépinière.
									",How one tree grows 40 different kinds of fruit,Sam Van Aken,11:24,"trees,art,plants,natural resources,nature,ecology,biodiversity,botany,environment,community"
