en,es,fr,tr,title,speaker,duration,tags
"
","
","
","
",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
											So, let me thank you
for the opportunity to talk about
											the biggest international story
of your professional lifetime,
											which is also the most important
international challenge
											the world will face
for as far as the eye can see.
									","
											Quiero agradecerles la oportunidad
que me han dado de hablar
											sobre la historia internacional más
grande de sus vidas profesionales,
											la cual es también el mayor reto global
											que el mundo enfrentará
por el resto de sus días.
									","
											Permettez-moi de vous remercier
de m'offrir cette occasion de parler
											de la plus grande histoire internationale
dans votre vie professionnelle,
											qui s'avère également être l'enjeu
international le plus crucial
											auquel le monde est confronté
jusqu'au ras du cou.
									","
											Meslek hayatınızın en büyük uluslararası
meselesi olmasının yanı sıra
											görüldüğü kadarıyla dünyanın yüzleşeceği
en büyük uluslararası sorun olan
											bu konu hakkında bana konuşma
fırsatı sunduğunuz için
											sizlere teşekkür etmek istiyorum.
									",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
","
","
","
",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
											The story, of course,
is the rise of China.
											Never before have so many people
risen so far so fast,
											on so many different dimensions.
											The challenge is the impact
of China's rise —
											the discombobulation
this will cause the Unites States
											and the international order,
											of which the US has been
the principal architect and guardian.
											The past 100 years have been what
historians now call an ""American Century.""
											Americans have become
accustomed to their place
											at the top of every pecking order.
											So the very idea of another country
											that could be as big and strong
as the US — or bigger —
											strikes many Americans
as an assault on who they are.
									","
											Se trata del crecimiento de China.
											Nunca antes tanta gente ha
crecido tanto y tan rápido,
											en tantos aspectos distintos.
											El reto es el impacto
del crecimiento de China;
											el desconcierto que ello
le causará a EE. UU.
											y al orden internacional,
											del cual EE. UU. ha sido
el arquitecto y guardián principal.
											Los historiadores han nombrado los últimos
100 años como ""El siglo estadounidense"".
											Los estadounidenses 
se han acostumbrado a estar
											en la cima del orden jerárquico.
											La sola idea de que haya otro país
											posiblemente tan grande y fuerte
como EE. UU. —o más grande—
											les parece a los estadounidenses
un robo de su identidad.
									","
											Cette histoire,
c'est l'émergence de la Chine.
											Nulle part ailleurs, tant de gens
se sont élevés si vite,
											sur tant de différents plans.
											L'enjeu concerne l'impact
de l'émergence de la Chine —
											les troubles que cela va
provoquer aux États-Unis
											et à l'ordre international,
											dont les États-Unis sont
l'architecte principal et le gardien.
											Les historiens appellent les 100 dernières
années le « siècle américain. »
											Les Américains se sont habitués
à leur position
											au sommet de toutes les pyramides.
											Par conséquent, l'idée même
qu'un autre pays
											puisse être aussi grand et puissant
que les États-Unis, voire plus grand,
											est pour les Américains,
une injure à leur identité.
									","
											Tabii ki Çin'in yükselişinden
bahsediyorum.
											Şu ana kadar hiçbir topluluk
bu kadar farklı yönden
											bu derece hızla gelişmemişti.
											Bahsettiğim bu sorun Çin'in yükselişi;
											ABD'ye ve ABD'nin ana mimarı
ve koruyucusu olduğu
											uluslararası düzene etkisi
											ve bunun yol açacağı kargaşa.
											Geçtiğimiz asır tarihçilerin de dediği
gibi bir ""Amerikan Yüzyılı"" olmuştur.
											Amerikalılar var olan tüm
hiyerarşilerde tepede olmaya
											bir hayli alışmış durumdalar.
											Bu yüzden birçok Amerikalı
başka bir ülkenin ABD kadar
											hatta ABD'den bile büyük
ve güçlü olması düşüncesini
											kendilerilerine yönlendirilen
bir hakaret olarak kabul eder.
									",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
","
","
","
",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
											For perspective on what
we're now seeing in this rivalry,
											it's useful to locate it
on the larger map of history.
											The past 500 years have seen 16 cases
											in which a rising power
threatened to displace a ruling power.
											Twelve of those ended in war.
											So just in November, we'll all pause
to mark the 100th anniversary
											of the final day of a war
that became so encompassing,
											that it required historians to create
an entirely new category: world war.
											So, on the 11th hour of the 11th day
											of the 11th month in 1918,
											the guns of World War I fell silent,
											but 20 million individuals lay dead.
									","
											Para tener una mejor
perspectiva de esta rivalidad,
											necesitamos recurrir a la historia.
											En los pasados 500 años hubo 16 casos
											en los que un poder creciente amenazó
con desplazar a un poder dominante.
											Doce de ellos resultaron en guerra.
											Tan solo en noviembre, todos
marcaremos el centésimo aniversario
											del último día de una guerra
que acaparó tanto que requirió
											a los historiadores crear una
nueva categoría: guerra mundial.
											Así que a las 11 del día 11
											del mes 11 de 1918,
											las armas de la Primera
Guerra Mundial callaron,
											pero 20 millones de personas
yacían muertas.
									","
											Pour prendre du recul sur ce que
nous observons dans cette rivalité,
											il est utile de le positionner
sur la ligne du temps de l'histoire.
											Les 500 dernières années ont subi 16 cas
											où des puissances émergentes ont menacé
de renverser le pouvoir en place.
											Douze ont abouti à des guerres.
											En novembre, nous ferons tous une pause
pour célébrer le 100ème anniversaire
											du dernier jour d'une guerre
qui est devenue si globale
											qu'elle a poussé les historiens à créer
une nouvelle catégorie : guerre mondiale.
											Donc, à la onzième heure du onzième jour
											du onzième mois de 1918,
											les armes de la Première
Guerre mondiale se sont tues,
											après avoir tué 20 millions de personnes.
									","
											Olaylara tarih merceğinden bakmak
bu çekişme sürecinde gördüklerimizi
											daha iyi yorumlamada
bize yardımcı olacaktır.
											Geçtiğimiz 500 yıl boyunca
yükselen bir gücün
											hükmeden gücü yerinden etmekle
tehdit ettiği 16 durum meydana geldi.
											Bunların on ikisi savaşla sonuçlandı.
											Bildiğiniz gibi Kasım ayında,
büyüklüğünden dolayı
											tarihçlerin dünya savaşı diye
yeni bir kategori yaratmasına yol açan
											savaşın son gününün
100. yıl dönümünü anacağız.
											1918'in 11. ayının
											11. gününün 11. saatinde
											ardında 20 milyon ölü bırakan
											I. Dünya Savaşı sona erdi.
									",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
","
","
","
",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
											I know that this
is a sophisticated audience,
											so you know about the rise of China.
											I'm going to focus, therefore,
on the impact of China's rise,
											on the US, on the international order
											and on the prospects for war and peace.
											But having taught at Harvard
over many years,
											I've learned that from time to time,
it's useful to take a short pause,
											just to make sure we're all
on the same page.
											The way I do this is, I call a time-out,
											I give students a pop quiz —
ungraded, of course.
											So, let's try this. Time-out, pop quiz.
									","
											Sé que son una audiencia sofisticada,
											saben sobre el crecimiento de China.
											Por esa razón, me enfocaré en
el impacto del crecimiento de China
											sobre EE. UU. y el orden internacional,
											y en las expectativas de guerra y paz.
											He sido profesor en Harvard
por muchos años,
											y he aprendido que de vez en cuando
se necesita hacer una pequeña pausa
											para asegurarse de que
estemos en la misma sintonía.
											Digo tiempo fuera
											y le doy a los estudiantes un quiz
que no cuenta para calificación.
											Así que hagámoslo. Tiempo
fuera, hora de quiz.
									","
											Je sais que vous êtes très instruits ;
											vous êtes donc au courant
de l'émergence de la Chine.
											C'est pourquoi je souhaite vous parler
de l'impact de son émergence,
											sur les États-Unis, l'ordre international
											et l'éventualité
de la guerre et de la paix.
											Comme j'ai enseigné à Harvard
très longtemps,
											j'ai appris que de temps en temps,
il est utile de faire une petite pause
											et de s'assurer que l'on est bien
tous sur la même longueur d'onde.
											Je demande un temps mort
											et je donne un questionnaire éclair
aux étudiants, pour le fun.
											Essayons ça. Temps mort, quizz.
									","
											Sizlerin gayet birikimli
olduğunu biliyorum.
											Çin'in yükselişinden haberdarsınızdır.
											Bu yüzden odaklanacağım konu,
Çin'in yükselişinin ABD,
											uluslararası düzen
											ve savaş ile barış ihtimalleri
üzerindeki etkisi.
											Ancak Harvard'taki öğretim hayatımdan
											zaman zaman kısa aralar vermenin
yararlı olduğunu öğrendim.
											Konuyu takip edebileceğinizden
emin olmak için sadece.
											Bunu şu şekilde yapıyorum: Mola veriyorum,
											sonra sürpriz bir sınav yapıyorum,
not vermiyorum tabii.
											Deneyelim şimdi bunu.
Mola, sürpriz sınav.
									",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
","
","
","
",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
											Question:
											forty years ago, 1978, China sets out
on its march to the market.
											At that point, what percentage
of China's one billion citizens
											were struggling to survive
on less than two dollars a day?
											Take a guess — 25 percent?
											Fifty?
											Seventy-five?
											Ninety.
											What do you think?
											Ninety.
											Nine out of every 10
on less than two dollars a day.
											Twenty eighteen, 40 years later.
											What about the numbers?
											What's your bet?
											Take a look.
											Fewer than one in 100 today.
											And China's president has promised
that within the next three years,
											those last tens of millions
will have been raised up
											above that threshold.
											So it's a miracle, actually,
in our lifetime.
											Hard to believe.
											But brute facts are even harder to ignore.
											A nation that didn't even appear
on any of the international league tables
											25 years ago
											has soared,
											to rival — and in some areas,
surpass — the United States.
									","
											Pregunta:
											Hace cuarenta años, en 1978, China
emprende su marcha hacia el mercado.
											En ese punto, ¿qué porcentaje de los
mil millones de ciudadanos chinos
											luchaban por sobrevivir con
menos de dos dólares al día?
											Adivinen... ¿El 25 %?
											¿El 50 %?
											¿El 75 %?
											Noventa.
											¿Qué opinan?
											Era el noventa.
											Nueve de cada 10 con menos
de dos dólares diarios.
											2018, cuarenta años después.
											¿Cuántos creen?
											¿Pueden adivinar?
											Verán...
											Menos de uno en 100 hoy en día.
											Y el presidente de China prometió
que en los siguientes tres años,
											esas últimas decenas
de millones habrán crecido
											por encima del promedio.
											Es un milagro, en verdad,
en nuestras vidas.
											Difícil de creer.
											Pero la información bruta
es más difícil de ignorar.
											Una nación que ni siquiera apareció
en ninguna mesa de liga internacional
											hace 25 años,
											ha progresado
											como para rivalizar —y en algunas
áreas, superar— a EE. UU.
									","
											Question :
											Il y a quarante ans, en 1978, le Chine
s'est mise en marche vers les marchés.
											À ce moment, quel pourcentage
du milliard de citoyens chinois
											se battaient pour survivre
avec moins de deux dollars par jour ?
											Devinez — 25% ?
											50 ?
											75 ?
											90 ?
											Qu'en pensez-vous ?
											90.
											Neuf personnes sur 10 vivaient
avec moins de deux dollars par jour.
											2018, on est quarante ans plus tard.
											Quel pourcentage ?
											Vous dites quoi ?
											Regardez.
											Moins d'une personne sur 100.
											Et le président de la Chine a promis
que, dans les trois prochaines années,
											ces quelques derniers millions
de personnes auront dépassé ce seuil.
											C'est un miracle,
du moins, à notre époque.
											Difficile à croire.
											Mais les faits brutaux sont
encore plus difficiles à ignorer.
											Une nation qui ne faisait partie
d'aucun classement international
											il y a 25 ans,
											a grimpé en flèche
											et vient rivaliser et dépasser
dans certains domaines, les États-Unis.
									","
											Soru:
											Çin kırk yıl önce, yani 1978'de, 
piyasaya girmek için ilk adımını atmıştır.
											O esnada, Çin'in bir milyarlık
nüfusunun yüzde kaçı
											günlük iki dolardan daha azıyla
hayat mücadelesi veriyordu?
											Tahminde bulunun. %25?
											%50?
											%75?
											%90.
											Ne sizce?
											%90.
											On kişiden dokuzu günlük iki
dolardan daha azıyla geçiniyormuş.
											2018'de, kırk yıl sonra.
											Şimde ne rakamlar?
											Tahmininiz ne?
											Bir göz atın.
											Bugün yüzde birden daha az.
											Çin'in devlet başkanı
önümüzdeki üç yıl içinde
											kalan yüzde birlik kesimin de
											barajı geçeceğinin sözünü veriyor.
											Bu adeta bir mucize.
											İnanması güç.
											Ancak verileri göz ardı
etmek mümkün değil.
											25 yıl önce hiçbir uluslararası tabloda
											yer bile almayan ülke
											ABD'yle rekabet etmeye
											hatta bazı alanlarda
ABD'yi geçmeye başladı.
									",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
"
","
","
","
",Is war between China and the US inevitable?,Graham Allison,18:43,"United States,Asia,china,politics,global issues,war,economics,future,Foreign Policy,history,peace"
