en,fr,es,tr,title,speaker,duration,tags
"
","
","
","
",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
											This story begins in 1985,
											when at age 22,
											I became the World Chess Champion
											after beating Anatoly Karpov.
											Earlier that year,
											I played what is called
simultaneous exhibition
											against 32 of the world's
best chess-playing machines
											in Hamburg, Germany.
											I won all the games,
											and then it was not considered
much of a surprise
											that I could beat 32 computers
at the same time.
											To me, that was the golden age.
									","
											Cette histoire commence en 1985
											quand, à l'âge de 22 ans,
											je suis devenu champion du monde d'échecs
											en battant Anatoly Karpov.
											Plus tôt cette même année,
											j'ai participé à ce qu'on appelle
une série de parties simultanées
											contre 32 des machines joueuses d'échecs
les plus performantes
											à Hambourg.
											Je les ai toutes gagnées
											et à l'époque,
ça n'avait rien de surprenant
											que je puisse battre 32 ordinateurs
simultanément.
											Ah, pour moi, c'était l'âge d'or.
									","
											Esta historia empieza en 1985,
											cuando a mis 22 años,
											gané el Campeonato Mundial de Ajedrez
											tras vencer a Anatoli Kárpov.
											A principios de ese año,
											jugué lo que se llama 
partidas simultáneas
											contra 32 de las mejores 
máquinas de ajedrez en el mundo
											en Hamburgo, Alemania.
											Gané todas,
											y no se consideró una gran sorpresa
											que pudiera ganarle a 32 computadoras
al mismo tiempo.
											Para mí, esa fue la edad de oro.
									","
											Hikâye 1985 yılında,
											ben daha 22 yaşımdayken
											Anatoly Karpov'u yenip
											Dünya Satranç Şampiyonu olmamla başlıyor.
											O yılın başlarında,
											Almanya Hamburg'da,
simultane satranç denen bir oyunda

											dünyanın en iyi 32 satranç makinesiyle
											aynı anda oynadım.
											Tüm oyunları ben kazandım.
											32 bilgisayarı aynı anda yenmeme rağmen
											o zamanlar buna pek
şaşıran olmamıştı, tabii.
											O benim altın çağımdı.
									",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
","
","
","
",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
","
","
","
",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
											Machines were weak,
											and my hair was strong.
									","
											Les machines avaient
peu de puissance
											et moi, j'avais des cheveux.
									","
											Las máquinas eran débiles,
											y mi cabello era fuerte.
									","
											Makineler zayıftı,
											saçlarım da gürdü.
									",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
","
","
","
",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
","
","
","
",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
											Just 12 years later,
											I was fighting for my life
against just one computer
											in a match
											called by the cover of ""Newsweek""
											""The Brain's Last Stand.""
											No pressure.
									","
											Douze ans plus tard seulement,
											je me retrouvais à m'échiner contre
un seul ordinateur
											dans une partie,
											surnommée en couverture de Newsweek,
											« le dernier combat du cerveau ».
											Pas de pression, donc.
									","
											Doce años después,
											luchaba a muerte contra una computadora
											en una partida
											llamada en la portada de ""Newsweek""
											""El último combate del cerebro"".
											Sin presión.
									","
											Bundan yalnızca 12 yıl sonra,
											canımı zor kurtardığım bir maçta
tek bir bilgisayara karşı savaşıyordum.
											Bu maça,
											Newsweek dergisinin kapağında
											""Beynin Son Çırpınışı"" demişlerdi.
											Baskı yok canım.
									",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
","
","
","
",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Don't fear intelligent machines. Work with them,Garry Kasparov,15:20,"algorithm,computers,data,future,intelligence,innovation,potential,robots,social change,technology,AI"
