en,tr,title,speaker,duration,tags
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											Hello everybody,
thanks for having me today.
											I'm a little bit injured,
											but it takes more than a car
to stop me from talking to you.
									","
											Herkese merhaba,
beni ağırladığınız için teşekkürler.
											Küçük bir kaza geçirdim
											ama sizinle konuşmamı durdurmak için
bir arabadan daha fazlası lazım.
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											(Laughter)
									","
											(Gülüşmeler)
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											(Applause)
									","
											(Alkış)
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											Maybe a tank?
									","
											Tank olabilir mesela.
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											So today, I want to talk
about the microprinter,
											about my work, how everything started,
											what was my motivation to build
the smallest 3-D printer in the world.
											Let's start with my daily business.
											So, my normal working field is called
two-photon polymerization.
											It sounds very nerdy, it is very nerdy.
									","
											Bugün, mikroyazıcılar hakkında
konuşmak istiyorum,
											çalışmalarımdan, her şeyin nasıl
başladığından,
											dünyadaki en küçük 3D yazıcıyı yapma
motivasyonumdan bahsedeceğim.
											Gündelik işlerimle başlayalım.
											Normalde uzmanlık alanım, çift fotonlu
polimerizasyon üzerinedir.
											Tam bir entelektüel asosyal işi 
gibi görünüyor değil mi?
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											(Laughter)
									","
											(Gülüşmeler)
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											What do you need for making this stuff?
											You need a complex laser system,
											a so-called femtosecond laser system,
											which you focus onto a very tiny spot —
very, very, very tiny —
											and this is a very expensive,
not very durable laser system. (Laughs)
											And on the other hand, you need
a very complex positioning system.
											We call it ""Agathe,""
because it's very heavy,
											and we thought Agathe was a nice name.
									","
											Bu tarz işler yapmak için
neye ihtiyacımız var?
											Karmaşık bir lazer sistemiyle,
											-ki biz ona femtosaniye lazer sistemi
diyoruz-
											çok küçük bir noktaya odaklanmanız lazım,
çok, ama çok küçük —
											ve bu pahalı bir işlem,
çok uzun ömürlü bir lazer sistemi değil.
											Öte yandan, karmaşık bir konum 
sistemine ihtiyacınız var.
											Biz ona ""Agathe,""diyoruz,
çünkü oldukça ağır,
											ve Agathe'nin güzel bir isim
olduğunu düşündük.
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											(Laughter)
									","
											(Gülüşmeler)
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
											And, well, you need this system
to move the laser through,
											for example, at the very accurate
level, about 200 nanometers,
											so very accurate.
											And, well, what can you do with that?
											You can do things
that you cannot see with your eyes.
											So you can print out whatever you want,
											you can print out a tower bridge,
you can print out Agathe's husband ...
									","
											Lazeri hareket ettirmek için,
böyle bir sisteme,
											mesela, yüksek doğruluk seviyesinde,
200 nanometre civarında,
											ihtiyacınız var.
											Tamam da, ne yapabiliriz ki bununla?
											Gözünüzle göremeyeceğiniz şeyler
yapabilirsiniz.
											İstediğiniz ne olursa 
olsun basabilirsiniz,
											Tower Bridge'i de basabilirsiniz,
Agathe'nin eşini de...
									",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
"
","
",The world's smallest 3D printer,Klaus Stadlmann,8:28,"TEDx,design,engineering,industrial design,technology"
