en,pt,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","
",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
											I am holding something remarkably old.
											It is older than any human artifact,
											older than life on Earth,
											older than the continents
and the oceans between them.
											This was formed
over four billion years ago
											in the earliest days of the solar system
											while the planets were still forming.
											This rusty lump of nickel and iron
may not appear special,
											but when it is cut open ...
											you can see that it is different
from earthly metals.
											This pattern reveals metallic crystals
that can only form out in space
											where molten metal
can cool extremely slowly,
											a few degrees every million years.
											This was once part
of a much larger object,
											one of millions left over
after the planets formed.
											We call these objects asteroids.
									","
											Eu estou a segurar em algo 
notavelmente velho.
											É mais velho do que qualquer
outro artefacto humano,
											mais velho do que a vida na Terra,
											mais velho que os continentes 
e que os oceanos que os separam.
											Isto foi formado há mais 
de quatro mil milhões de anos
											nos primeiros dias do sistema solar
											enquanto os planetas
ainda se estavam a formar.
											Este pedaço enferrujado de níquel e ferro
pode não parecer especial,
											mas quando se corta ao meio...
											podem ver que é diferente 
dos metais terrestres.
											Este padrão revela cristais metálicos 
que só se podem formar no espaço
											onde o metal fundido
pode arrefecer muito lentamente,
											alguns graus a cada milhão de anos.
											Isto fez parte de um objeto muito maior,
											um dos milhões restantes
depois da formação dos planetas.
											Nós chamamos a estes objetos asteroides.
									","
											Elimde gerçekten çok yaşlı bir şey tutuyorum.
											Herhangi bir insan yapıtından 
bile daha eski,
											Dünya'daki yaşamdan bile,
											kıtalardan ve onların arasındaki
okyanuslardan da daha eski.
											Bu şey yaklaşık olarak
4 milyar yıl önce
											güneş sisteminin ilk günlerinde
											gezegenlerin oluşumu
devam ederken oluşmuş.
											Bu paslı, nikel ve demir topağı
özel gözükmeyebilir,
											ama kesilip açıldığında...
											bunun dünya metallerinden farkı
olduğunu görebilirsiniz.
											Bu desen, sadece erimiş metallerin 
aşırı derecede yavaş,
											yani her milyon yılda 
bir birkaç derece soğuduğu
											uzayda şekil alabilecek metalik
kristalleri ortaya çıkarır.
											Bu, daha büyük bir nesnenin 
bir parçasıydı,

											ki bu nesne gezegenlerin oluşumundan sonra
kalan milyonlarcasından biriydi.
											Biz bunları asteroitler olarak 
adlandırıyoruz.
									","
											J'ai dans ma main quelque chose
d'extrêmement ancien,
											plus ancien que n'importe quel objet 
fabriqué par l'homme,
											plus ancien que la vie sur Terre,
											plus ancien que les continents
et les océans qui les séparent.
											Ceci a été formé il y a plus
de quatre milliards d'années,
											durant les premiers jours
du système solaire
											alors que les planètes prenaient forme.
											Ce bloc rouillé en nickel et en fer 
pourrait ne pas paraître spécial,
											mais quand on le coupe...
											on peut voir que c'est différent
des métaux terrestres.
											Ce motif révèle des cristaux métalliques
se formant uniquement dans l'espace,
											où le métal fondu
refroidit très lentement,
											quelques degrés
tous les millions d'années.
											Cela appartenait à un objet
beaucoup plus grand
											issu de résidus provenant
de la formation des planètes.
											On appelle ces objets des astéroïdes.
									","
											Estoy sosteniendo algo 
extraordinariamente antiguo.
											Es más antiguo que cualquier
artefacto humano,
											más antiguo que la vida en la Tierra,
											más antiguo que los continentes 
y los océanos entre ellos.
											Esto se formó 
hace más de cuatro mil millones de años
											en los primeros días del Sistema Solar
											cuando los planetas
aún se estaban formando.
											Este pedazo oxidado de níquel y hierro
puede no parecer especial,
											pero cuando lo cortamos...
											se puede ver que es diferente
de los metales terrestres.
											Este patrón revela cristales metálicos 
que sólo pueden formarse en el espacio
											donde el metal fundido se enfría
de manera sumamente lenta;
											unos pocos grados cada millón de años.
											Esto fue una vez parte de un objeto 
mucho más grande,
											uno de los millones sobrantes 
cuando se formaron los planetas.
											Llamamos a estos objetos asteroides.
									",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
","
","
","
","
",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
											Asteroids are our oldest
and most numerous cosmic neighbors.
											This graphic shows near-Earth asteroids
orbiting around the Sun,
											shown in yellow,
											and swinging close to the Earth's orbit,
											shown in blue.
											The sizes of the Earth, Sun and asteroids
have been greatly exaggerated
											so you can see them clearly.
											Teams of scientists across the globe
are searching for these objects,
											discovering new ones every day,
											steadily mapping near-Earth space.
											Much of this work is funded by NASA.
											I think of the search for these asteroids
as a giant public works project,
											but instead of building a highway,
we're charting outer space,
											building an archive
that will last for generations.
									","
											Os asteroides são os nossos mais 
antigos vizinhos cósmicos.
											Este gráfico mostra os asteroides
que estão a orbitar à volta do Sol,
											que aparece a amarelo,
											e a balançar perto da órbita da Terra,
que aparece a azul.
											Os tamanhos da Terra, do Sol 
e dos asteroides foram exagerados
											para que os possam ver bem.
											Equipas de cientistas de todo o mundo 
estão à procura destes objetos,
											e descobrem novos todos os dias,
											mapeando o espaço perto da Terra.
											Muito deste trabalho
é financiado pela NASA.
											Penso na procura de asteroides como 
um gigantesco projeto de obras públicas,
											mas em vez de construirmos uma 
autoestrada, estamos a traçar o espaço,
											a construir um arquivo
que vai servir muitas gerações.
									","
											Asteroidler bizim en eski ve
sayıca en fazla olan kozmik komşumuzdur.
											Grafik, güneşin etrafında dönen 
Dünya'ya yakın asteroitleri
											sarı olarak
											ve Dünya'nın yörüngesine yakın
olarak geçenleri
											mavi olarak göstermektedir.
											Dünya'nın, Güneş'in ve astreoitlerin 
boyutları büyük oranda abartılmıştır
											bu nedenle çok net bir biçimde
görebilmektesiniz.
											Tüm dünyadaki bilim adamı
takımları bu nesneleri araştırıyor,
											her gün yeni birini keşfediyor,
											sürekli Dünya'ya yakın boşluğu 
haritalandırıyor.
											Bu çalışmaların çoğu NASA 
tarafından fonlanıyor.
											Bu asteroitlerin araştırılmasını büyük bir 
kamu çalışması olarak düşünüyorum,
											fakat karayolu inşa etmek yerine,
uzayın haritasını çiziyoruz,
											kuşaklar boyu sürecek 
arşiv inşa ediyoruz.
									","
											Les astéroïdes sont nos plus anciens
et nombreux voisins cosmiques.
											Cette image montre des astéroïdes
orbitant autour du Soleil
											en jaune,
											et évoluant près de l'orbite de la Terre,
											en bleu clair.
											La taille de la Terre, du Soleil
et des astéroïdes a été agrandie
											pour les voir plus facilement.
											Différentes équipes de scientifiques
cherchent ces objets
											et en découvrent toujours de nouveaux,
											en analysant l'espace entourant la Terre.
											Ce projet est soutenu par la NASA.
											Je pense à la recherche des astéroïdes
comme à un projet de travaux publics,
											mais au lieu de construire une autoroute,
on quadrille l'espace,
											tout en créant une archive
pour les générations futures.
									","
											Los asteroides son nuestros vecinos
cósmicos más antiguos y numerosos.
											Esta gráfica muestra
asteroides cercanos a la Tierra,
											orbitando alrededor del Sol, 
en color amarillo
											y oscilando cerca a la órbita terrestre,
en color azul.
											Las medidas de la Tierra,
el Sol y los asteroides

											se aumentaron 
para que puedan verlos con claridad.
											Equipos de científicos de todo el mundo
están buscando estos objetos;
											descubriendo nuevos cada día,
											constantemente trazando
el espacio cercano a la Tierra.
											Gran parte de este trabajo 
es financiado por la NASA.
											Buscar asteroides es como un gran proyecto
de obras públicas,
											pero en vez de construir una carretera,
trazamos el espacio exterior
											construyendo un archivo 
que durará por generaciones.
									",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
","
","
","
","
",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
											These are the 1,556 near-Earth asteroids
discovered just last year.
											And these are all of the known
near-Earth asteroids,
											which at last count was 13,733.
											Each one has been imaged, cataloged
											and had its path
around the Sun determined.
											Although it varies
from asteroid to asteroid,
											the paths of most asteroids
can be predicted for dozens of years.
											And the paths of some asteroids can be
predicted with incredible precision.
											For example, scientists
at the Jet Propulsion Laboratory
											predicted where the asteroid Toutatis
was going to be four years in advance
											to within 30 kilometers.
											In those four years,
											Toutatis traveled 8.5 billion kilometers.
											That's a fractional precision
											of 0.000000004.
									","
											Estes são 1556 asteroides
descobertos apenas no ano passado.
											E estes são todos os asteroides 
conhecidos que estão perto da Terra,
											que na última contagem eram 13 733.
											Cada um deles foi fotografado, catalogado
											e o seu caminho à volta do Sol
está determinado.
											Embora varie de asteroide para asteroide,
											o caminho da maioria dos asteroides 
pode ser previsto para dezenas de anos.
											E alguns destes caminhos podem ser
previstos com uma precisão incrível.
											Por exemplo, cientistas 
no Jet Propulsion Laboratory
											previram onde é que o asteroide Toutatis
iria estar daí a quatro anos
											com uma margem de 30 km.
											Nesses quatro anos,
											o Toutatis viajou 8500 milhões de km.
											Esta é uma precisão fracionária
											de zero vírgula, zero, zero, zero, zero,
											zero, zero, zero, zero, quatro.
									","
											Bunlar geçen yıl keşfedilen
1.556 Dünya'ya yakın asteroid.
											Ve bunlar da Dünya'ya yakın olan 
tüm asteroitler,
											son olarak 13.733 taneler.
											Her biri resimlendi, katologlandı
											ve güneşin etrafındaki yörüngeleri
belirlendi.
											Asteroitten asteroide farklılık 
göstermesine rağmen
											birçok asteroidin yörüngesi
düzinelerce yıl için tahmin edilebilir.
											Ve bazı asteroidlerin yörüngesi
inanılmaz bir hassaslıkla tahmin edilebilir.
											Örneğin, Jet Propulsion Laboratuvarındaki
bilim adamları
											Tautatis asteroitinin dört yıl sonra
30 km. doğrulukla nerede olacağını
											tahmin etmişlerdi.
											Bu 4 yıl içinde
											Tautatis 8.5 milyar kilometre yol aldı.
											Bunun doğruluk oranı da
											0.000000004.

									","
											Ceux-ci sont les 1 556 astéroïdes
découverts seulement l'année passée.
											Et ceux-ci sont tous
les astéroïdes géo-croiseurs connus,
											qui au dernier décompte étaient 13 733.
											Tous ont été numérisés, catalogués
											et leur parcours autour du Soleil
a été déterminé.
											Même si cela change
d'astéroïde en astéroïde,
											leur parcours peut être
prévu sur des douzaines d'années
											Et certains peuvent être prévus
avec une précision incroyable.
											Ainsi, les scientifiques
du Jet Propulsion Laboratory
											avaient prévu où l'astéroïde Toutatis
allait aller 4 ans à l'avance
											dans un rayon de 30 kilomètres.
											Pendant ces quatre années,
											Toutatis a parcouru
8,5 milliards de kilomètres.
											Avec une précision fractionnaire
											de 0,000000004.
									","
											Estos son los 1,556 asteroides cercanos 
a la Tierra descubiertos el año pasado.
											Y estos son todos los asteroides
cercanos a la tierra conocidos,
											que en el último recuento fueron 13,733.
											Cada uno ha sido 
visualizado, catalogado
											y se ha determinado su trayectoria
al rededor del Sol.
											Aunque varía de asteroide a asteroide,
											sus trayectorias se puedes predecir
con docenas de años.
											Y la de algunos asteroides se puede
predecir con una exactitud increíble.
											Por ejemplo, científicos del
laboratorio Jet Propulsion
											predijeron dónde iba a estar 
el asteroide Toutatis cuatro años antes,
											a menos de 30 km.
											En esos cuatro años,
											Toutatis recorrió 8.5 miles 
de millones de km.
											Esa es una precisión fraccionaria
											de 0.000000004
									",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
","
","
","
","
",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
","
","
","
","
",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
"
											Now, the reason I have
this beautiful asteroid fragment
											is because, like all neighbors,
											asteroids sometimes drop by unexpectedly.
									","
											A razão pela qual eu tenho
este lindo fragmento de asteroide
											é porque, como todos os vizinhos,
											os asteroides às vezes 
aparecem inesperadamente.
									","
											Şimdi, benim bu güzel asteroid
parçasına sahip olmamın sebebi
											tüm diğer komşular gibi
											bazen asteroitler beklenmedik 
bir şekilde ziyarette bulunabilirler.
									","
											Pourquoi ai-je ce magnifique
fragment d'astéroïde?
											Parce que, comme tous les voisins,
											les astéroïdes rendent
visite sans prévenir.
									","
											La razón por la que tengo
este hermoso fragmento de asteroide
											es porque, como todos los vecinos,
											los asteroides a veces 
caen inesperadamente.
									",Adventures of an asteroid hunter,Carrie Nugent,6:06,"astronomy,asteroid,adventure,discovery,exploration,collaboration,global issues,NASA,nature,physics,science,technology,solar system,TED Fellows,universe,space,TED Books"
