es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
											Este es mi abuelo.
											Y este es mi hijo.
											Mi abuelo me enseñó a trabajar con madera
											cuando yo era un niño,
											y también me enseñó la idea de que
											si se corta un árbol para convertirlo en algo,
											se debe honrar la vida de ese árbol y hacerlo tan hermoso
											como sea posible.
											Mi niño me recordó
											que con toda la tecnología y todos los juguetes del mundo,
											a veces, pequeños bloques de madera,
											si se apilan alto,
											pueden volverse algo increíblemente estimulante.
									","
											Este é o meu avô.
											E este é o meu filho.
											O meu avô ensinou-me a trabalhar a madeira
											quando eu era pequeno
											e também me passou a ideia de que,
											se cortarmos uma árvore 
e a transformarmos em algo,
											devemos honrar a sua vida
											e torná-la tão bonita quanto possível.
											O meu filho recordou-me
											que, entre toda a tecnologia 
e brinquedos do mundo,
											às vezes um simples bloco de madeira
											— se o empilharmos —
											é mesmo algo incrivelmente inspirador.
									","
											Bu benim büyükbabam
											ve bu benim oğlum
											Ben küçük bir çocukken
											büyükbabam bana tahta ile çalışmayı öğretti
											ve bana şunu da öğretti ki
											eğer bir ağacı bir şeye dönüştürmek için kesersen
											o şeyi yapabileceğin en güzel şekilde yaparak
											o ağacın hayatını onurlandır
											Benim küçük oğlum bana hatırlattı ki
											dünyadaki tüm teknoloji ve tüm oyuncaklar için
											bazen sadece küçük bir tahta parçası için dahi
											eğer onu uzun şekilde istiflersen
											aslında oldukça ilham verici bir şey ortaya çıkar.
									","
											Voici mon grand-père.
											Et voici mon fils.
											Mon grand-père m'a appris à travailler le bois
											quand j'étais un petit garçon,
											et il m'a aussi appris que,
											si on coupe un arbre pour en faire quelque chose,
											on doit honorer la vie de l'arbre et le rendre
											aussi beau que possible.
											Mon petit garçon m'a rappelé
											que malgré toute la technologie
et tous les jouets du monde,
											parfois un simple petit bloc de bois,
											si vous en faites une pile bien haute,
											peut-être quelque chose
d'incroyablement passionnant.
									",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
","
","
","
",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
											Estos son mis edificios.
											Construyo por todo el mundo
											desde nuestras oficinas en Vancouver y Nueva York.
											Construimos edificios de diversos tamaños y estilos
											y de diversos materiales, dependiendo de dónde estamos.
											Pero la madera es el material que más me gusta.
											Voy a contartes la historia de la madera.
											Parte de la razón por la que me encanta es que, cada vez
											que la gente entra a uno de mis edificios de madera,
											me doy cuenta que reaccionan de manera totalmente diferente.
											Nunca he visto a nadie entrar a uno de mis edificios
											y abrazar una columna de acero o de concreto,
											pero si he visto hacerlo en edificios de madera.
											He visto cómo la gente toca la madera,
											y creo que hay una razón para ello.
											Al igual que los copos de nieve, no hay dos piezas
											de madera iguales en ningun lugar de la Tierra.
											Es maravillosa.
											Me gusta pensar que la madera
											deja las huellas dactilares de la madre naturaleza en nuestros edificios.
											Las huellas de la madre naturaleza conectan
											nuestros edificios con la naturaleza en el entorno construido.
									","
											Estes são os meus edifícios.
											Construo por todo o mundo
											a partir do nosso gabinete 
em Vancouver e Nova Iorque.
											Construímos edifícios de diferentes 
tamanhos, estilos e materiais,
											dependendo de onde estamos.
											Mas a madeira é o material 
de que mais gosto.
											Vou-vos contar a história da madeira.
											Parte da razão por que 
gosto dela é porque,
											sempre que as pessoas entram 
nos meus edifícios de madeira,
											vejo que reagem de forma 
totalmente diferente.
											Nunca vi ninguém entrar 
num dos meus edifícios
											e abraçar uma coluna de aço ou betão,
											mas já vi isso acontecer 
num edifício de madeira.
											Vi mesmo como as pessoas tocam na madeira,
											e acho que há uma razão para isso.
											Tal como os flocos de neve, 
não há dois bocados de madeira
											que possam ser iguais na Terra.
											É uma coisa maravilhosa.
											Gosto de pensar que a madeira
											põe impressões digitais da Mãe Natureza 
nos nossos edifícios.
											São as impressões digitais 
da Mãe Natureza
											que fazem com que os nossos edifícios
											nos liguem à Natureza 
no ambiente construído.
									","
											Bunlar benim binalarım.
											Vancouver ve New York'taki ofisimizin dışında
											dünyanın her tarafında inşa ediyorum.
											Ve biz nerede olduğumuza bağlı olarak değişik boyutlarda
											değişik şekillerde ve değişik malzemelerden binalar inşa ediyoruz
											Fakat tahta benim en sevdiğim malzeme
											ve size tahta hakkındaki hikayeyi anlatacağım.
											Tahtayı sevme sebebimin bir kısmı tahtadan binalarımdan
											birine insanlar girdiğinde her seferinde
											onların tamamen farklı tepki verdiklerini fark ediyor olmam.
											Hiçbir zaman birinin binalarımdan birine girip
											çelik ya da betondan bir kolona sarıldığını görmedim
											fakat tahta bir binada bunun olduğunu gerçekten gördüm.
											Gerçekten insanların tahtaya nasıl dokunduğunu gördüm
											ve sanırım bunun bir sebebi var.
											Tıpkı kar taneleri gibi dünyanın hiçbir yerinde
											iki tahta parçası birbirinin aynısı olamaz.
											Bu muhteşem bir şey.
											Tahtanın binalarımıza Doğa Ananın
											parmak izlerini bıraktığını düşünmeyi seviyorum.
											Doğa Ananın parmak izleri sayesinde
											binalarımız inşa edilmiş ortamda bizi doğaya bağlıyor.
									","
											Voici mes bâtiments.
											Je construis partout dans le monde,
											depuis nos bureaux de Vancouver et de New York.
											Et nous construisons des bâtiments
de tailles et de styles différents,
											avec des matériaux différents,
en fonction de l'endroit.
											Mais le bois est le matériau que j'aime le plus,
											et je vais vous raconter une histoire de bois.
											Et, si j'aime le bois, c'est en partie parce que,
											à chaque fois que les gens entrent
dans un de mes bâtiments en bois,
											je me rends compte qu'ils réagissent
de manière complètement différente.
											Je n'ai jamais vu quelqu'un entrer
dans un de mes bâtiments,
											et serrer dans ses bras une colonne d'acier
ou de béton ;
											en revanche, je l'ai vraiment vu se produire
dans un bâtiment en bois.
											J'ai pu voir comment les gens touchent le bois,
											et je pense qu'il y a une raison à ça.
											Comme pour les flocons de neige,
il n'y a pas deux bouts de bois identiques
											à la surface de la Terre.
											C'est merveilleux.
											J'aime me dire que le bois
											est l'empreinte digitale de Mère Nature
dans nos bâtiments.
											Ce sont les empreintes de Mère Nature qui font que
											nos bâtiments nous connectent à la nature
dans notre environnement artificiel.
									",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
","
","
","
",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
											Ahora, vivo en Vancouver, cerca de un bosque
											de la altura de 33 pisos.
											Aquí en las costas de California, los bosques de secuoyas
											llegan a 40 pisos de altura.
											Pero los edificios que diseñamos en madera
											tienen solo cuatro pisos en la mayoría de los lugares.
											Es que, en verdad, los códigos de construcción no permiten hacerlos
											más altos de cuatro pisos, en muchos lugares;
											eso es cierto aquí en los EE.UU.
									","
											Eu vivo em Vancouver, 
perto de uma floresta
											que cresce a uma altura de 30 andares.
											Ao longo da costa aqui na Califórnia,
											a floresta de sequoias cresce 
até à altura de 40 andares.
											Mas os edifícios em madeira 
que imaginamos
											têm apenas quatro andares 
na maioria dos lugares na Terra.
											Até as normas de construção limitam 
a nossa capacidade de construir
											muito mais do que quatro andares 
em muitos lugares.
											Isso é verdade aqui 
nos Estados Unidos da América.
									","
											Şu anda Vancouver'da 33 kat yüksekliğe kadar büyüyen
											bir ormanın yakınında yaşıyorum.
											California'da kıyıya doğru inişte sekoya ormanı
											40 kat yüksekliğe kadar büyüyor.
											Fakat tahtadan yapılan binaları düşündüğümüzde
											dünyanın çoğu yerinde sadece 4 kat yükseklikte oluyorlar.
											İmar kanunları bile inşa etme olanağımızı
											dört kaz yükseklikten daha uzun olacak şekilde kısıtlıyor
											ve bu durum burada ABD'de de geçerli.
									","
											J'habite a Vancouver, près d'une forêt
											qui pousse jusqu'à une hauteur de 33 étages.
											Ici, le long de la côte Califonienne, la forêt de séquoias
											pousse jusqu'à un hauteur de 40 étages.
											Mais les bâtiments de bois auxquels nous pensons
											ne se montent qu'à quatre étages
dans la plupart des endroits du globe.
											Même les règles de construction
limitent notre capacité de construire
											plus haut que quatre étages dans beaucoup d'endroits,
											et c'est le cas ici aux États-Unis.
									",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
","
","
","
",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
											Ahora, no es así en todas partes.
											Tenía que haber algunas excepciones
											y las cosas van a cambiar, eso espero.
											La razón por la que lo creo es que
											hoy en día la mitad de nosotros vive en ciudades,
											y ese número va a crecer al 75 %.
											Ciudades y densidades significan que nuestros edificios
											van a seguir siendo grandes,
											y creo que la madera puede jugar un papel en las ciudades.
											Pienso así porque 3.000 millones de personas
											en el mundo, en los próximos 20 años,
											necesitarán nuevos hogares.
											Esto es, el 40 % del mundo va a necesitar
											nuevas construcciones en los próximos 20 años.
											De cada tres personas en las ciudades, hoy, una
											vive en tugurios.
											1.000 millones de personas viven en barriadas deprimidas.
											100 millones de personas están sin hogar.
											El gran desafío para los arquitectos,
											y para la sociedad, respecto a la construcción,
											es encontrar soluciones para todas esas personas.
									","
											Ora bem, há exceções,
											mas é necessário haver
algumas exceções.
											As coisas vão mudar, espero eu.
											A razão por que penso assim
											é que hoje metade das pessoas 
vivem em cidades,
											e esse número vai crescer 75%.
											As cidades e a densidade significam
											que os nossos edifícios 
vão continuar a ser grandes.
											Acho que há um lugar 
para a madeira nas cidades.
											E acho isso porque 
três mil milhões de pessoas
											no mundo hoje, nos próximos 20 anos,
											vão precisar de uma nova casa.
											Isso dá 40% do mundo
											a precisar de uma nova construção 
nos próximos 20 anos.
											Hoje em dia, uma em cada três pessoas 
que vivem nas cidades
											vive numa barraca.
											Isso dá mil milhões da população mundial 
a viver em barracas.
											Cem milhões de pessoas 
no mundo são sem-abrigo.
											A escala de desafio para os arquitetos
											e para a sociedade lidarem
com a construção
											é encontrar uma solução 
para dar uma casa a essas pessoas.
									","
											Şimdi bazı istisnalar bulunuyor
											fakat bazı istisnaların olması gerekiyor
											ve umuyorum işler ileride değişecek.
											ve böyle düşünmemin sebebi şu ki
											bugün yarımız şehirlerde yaşıyor
											ve bu sayı yüzde 75'e yükselecek.
											Şehirler ve yoğunluk binalarımızın büyük olmaya
											devam edeceği anlamına geliyor,
											ve bence şehirlerde tahtanın da oynayacağı bir rol bulunuyor.
											Ve böyle düşünüyorum çünkü bugün dünyada
											üç milyar insan önümüzdeki 20 yıl içinde
											yeni bir eve ihtiyaç duyacak.
											Bu dünyanın yüzde 40'ı önümüzdeki 20 yıl içinde kendileri için
											yeni bir bina inşa edilmesine ihtiyaç duyacak demektir.
											Şimdi, bugün şehirlerde yaşayan her üç insandan biri
											aslında bir gecekonduda yaşıyor.
											Bu dünyada bir milyar insan gecekonduda yaşıyor demektir.
											Dünyada yüz milyon insan evsiz.
											İnşa etme konusunda mimarlar için
											ve toplum için meydan okumanın boyutu
											bu insanları ev sahibi yapacak bir çözümün bulunmasıdır.
									","
											Certes, il y a des exceptions,
											mais il est nécessaire d'avoir des exceptions,
											et les choses vont changer, j'espère.
											Et la raison pour laquelle je pense ainsi,
											c'est qu'aujourd'hui, la moitié d'entre nous
habite dans des villes,
											et ce chiffre va augmenter jusqu'à 75 pour cent.
											Les villes et la densité vont faire que nos bâtiments
											continueront à être grands,
											et je pense qu'il y a un rôle pour le bois dans les villes.
											Je pense cela
parce que trois milliards de personnes
											dans le monde aujourd'hui,
auront besoin d'une nouvelle maison
											dans les 20 prochaines années.
											C'est 40 pour cent de la population modiale
qui aura besoin
											d'un nouveau bâtiment construit pour elle
dans les 20 prochaines années.
											Actuellement, une personne sur trois
habitant en ville
											habite en réalité dans un bidonville.
											Ça fait un milliard de personnes dans le monde
qui vivent dans un bidonville.
											Cent million de personnes dans le monde
sont sans-abris.
											L'immensité du défi pour les architectes
											comme pour la société,
en matière de construction,
											est de trouver une solution pour abriter ces gens.
									",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
","
","
","
",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
"
											Pero el desafío es que, al mudarnos a ciudades,
											estas se construyen con estos dos materiales:
											acero y concreto; que son muy buenos.
											Pero son materiales del siglo pasado.
											También son materiales de alta demanda de energía
											y con altas emisiones de gases de efecto invernadero en su producción.
											El acero representa alrededor del 3 % de las emisiones
											de efecto invernadero producidas por el hombre
											y el concreto es más del 5 %.
											Así que, si lo piensan, el 8 %
											de nuestra contribución a los gases de efecto invernadero hoy,
											viene de estos dos materiales solamente.
											No pensamos mucho en eso y, por desgracia,
											tampoco ni siquiera pensamos mucho en construcciones, creo,
											tanto como deberíamos.
											Estas son las estadísticas de los EE.UU. sobre el impacto de los gases de efecto invernadero.
											Casi la mitad de los gases de efecto invernadero están relacionados con el sector de la construcción,
											y, si nos fijamos en la energía, es lo mismo.
											Notarán que el transporte es el segundo de la lista,
											pero esto es algo que siempre hemos oído.
											Y aunque mucho se trata de energía,
											también es sobre el carbono.
											El problema que veo es que, en definitiva,
											aparece un choque frontal entre la solucion al problema
											de atender a las 3 mil millones de personas que necesitan un hogar,
											y por otra parte, el cambio climático; choque que
											va a suceder, o que ya está ocurriendo.
									","
											Mas, à medida que nos mudamos 
para as cidades, o problema é que
											elas são construídas
nestes dois materiais,
											aço e betão, e são materiais ótimos.
											São os materiais do século passado.
											Mas são também materiais 
com uma energia muito grande
											e emissões de gases de estufa 
muito elevadas no seu processo.
											O aço representa cerca de 3%
											das emissões de gases de estufa pelo homem
											e o betão mais de 5%.
											Se pensarem nisso, 8%
											da nossa contribuição atual 
para os gases de estufa
											vêm exclusivamente destes dois materiais.
											Não pensamos muito nisso e, infelizmente,
											acho que nem pensamos nos edifícios
											tanto quanto deveríamos.
											Esta é uma estatística dos EUA 
sobre o impacto dos gases de estufa.
											Cerca de metade dos gases de estufa
											está relacionada com 
a indústria da construção.
											Se olharmos para a energia, 
passa-se o mesmo.
											Hão de reparar que os transportes 
vêm em segundo lugar na lista,
											mas essa é a conversa que mais ouvimos.
											Apesar de muito disso ser sobre energia,
											também é sobre carbono.
											No fundo, o problema que eu vejo
											é o conflito sobre como resolver
											este desafio de servir esses 
três mil milhões de pessoas,
											que precisam de uma casa, 
e a mudança climática
											que estão numa rota de colisão, 
prestes a acontecer ou já a acontecer.
									","
											Fakat meydan okuma şu ki, biz şehirlere taşındıkça
											şehirler şu iki malzemeden inşa ediliyor
											çelik ve beton, ve bunlar harika malzemeler.
											bunlar geçen yüzyılın malzemeleri.
											Fakat bunlar aynı zamanda işlenmeleri sırasında oldukça
											yüksek enerji ve sera gazı salınımı ortaya çıkaran malzemeler
											İnsanoğlunun sera gazı salınımının yüzde üçünü
											çelik oluşturuyor
											ve betonun oranı yüzde beşin üzerinde.
											Yani bir düşünürseniz bugün sera gazlarına
											katkımızın yüzde sekizi
											yalnızca bu iki malzemeden geliyor.
											bunun hakkında fazla düşünmüyoruz ve ne yazık ki
											bence aslında binalarımız hakkında bile
											yapmamız gerektiği kadar düşünmüyoruz.
											Bu ABD'nin sera gazına etkisi ile ilgili bir istatistik.
											Sera gazı salınımımızın neredeyse yarısı inşaat endüstrimiz ile ilgili
											ve eğer enerjiye bakacak olursak, orada da durum aynı.
											Taşımanın listede yaklaşık olarak ikinci sırada olduğunu fark edeceksiniz
											fakat bu bizim hakkında en fazla duyduğumuz muhabbet.
											ve bunun çoğu enerji ile ilgili olsa da
											aynı zamanda karbon ile de ilgili.
											benim gördüğüm kadarıyla sorun, nihayetinde
											bu sorunu nasıl çözeceğimiz hakkındaki uyuşmazlık
											bir eve ihtiyacı olan üç milyar insana nasıl hizmet edileceği
											ve iklim değişikliği gerçekleşmek üzere olan ya da zaten gerçekleşen
											bir kafa kafaya çarpışma.
									","
											Nous habitons de plus en plus nombreux en ville,
mais le problème c'est que
alors que
											les villes sont construites dans ces deux matériaux,
											l'acier et le béton,
et ce sont des matériaux magnifiques.
											Ce sont les matériaux du siècle dernier.
											Mais ce sont aussi des matériaux
qui consomment beaucoup d'énergie
											et produisent beaucoup d'émissions de gaz à effet de serre
lors de leur fabrication.
											L'acier représente à peu près trois pour cent
											des émissions de gaz à effet de serre de l'humanité,
											et pour le béton, c'est plus de cinq pour cent.
											Donc, si on fait le calcul,
											huit pour cent de notre apport
de gaz à effet de serre aujourd'hui,
											vient de ces deux seuls matériaux.
											Mais nous n'y pensons pas beaucoup,
et, malheureusement,
											nous ne pensons même pas aux bâtiments,
je crois,
											autant que nous le devrions.
											Voici une statistique des États-Unis
sur l'effet des gaz à effet de serre.
											Presque la moitié de nos gaz à effet de serre
sont en rapport avec l'industrie du bâtiment,
											et si nous regardons l'énergie,
c'est la même histoire.
											Vous remarquerez que le transport
n'est que deuxième sur la liste,
											mais c'est le sujet
dont nous entendons le plus parler.
											Et bien qu'il s'agisse surtout d'énergie,
											le carbone compte aussi énormément.
											Le problème que je vois, en fin de compte,
											c'est que nos façons de résoudre
le problème du logement
											de ces trois milliards de personnes
qui ont besoin d'un foyer,
											et le problème du changement climatique,
vont entrer en collision frontale,
											si ce n'est pas déjà le cas.
									",Why we should build wooden skyscrapers,Michael Green,12:22,"architecture,design,materials"
