es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
											Quisiera hablarles
											de por qué muchos proyectos de e-salud fracasan.
											Y creo, realmente, que lo más importante de eso
											es que dejamos de escuchar a los pacientes.
											Y una de las cosas que hicimos en la Universidad Radbound
											fue designar a un director de la escucha.
											Y no de una manera muy científica,
											ella alzó una pequeña taza de café o té
											y preguntó a pacientes, familia y conocidos:
											“¿Qué pasa?""
											""¿Cómo podemos ayudarlo?”
											Y solemos pensar,
											que éste es uno de los mayores problemas
											por lo que todos, o tal vez no todos,
											pero la mayoría de los proyectos de e-salud fracasan,
											ya que dejamos de escuchar.
									","
											Gostaria de vos falar
											sobre a razão pela qual muitos projectos de e-health (saúde electrónica) falham.
											E acho mesmo que é principalmente
											porque parámos de ouvir os doentes.
											E uma das coisas que fizemos na Universidade de Radboud
											foi nomear um responsável por ouvir.
											Não de uma forma muito científica —
											ela prepara uma pequena chávena de café ou de chá
											e pergunta aos doentes, família, parentes,
											""O que se passa?
											Como é que o podíamos ajudar?""
											E pensamos, gostamos de pensar,
											que este é um dos maiores problemas
											por que todos — talvez não todos —
											mas a maioria dos projectos de e-health falham,
											desde que parámos de ouvir.
									","
											Sizlere neden birçok e-sağlık
											projelerinin başarısız olduğu hakkında konuşmak istiyorum.
											Ve bence gerçekten en önemli olan tarafı
											hastaları dinlemeyi bırakmış olmamız.
											Ve Radboud Üniversitesi'nde yaptığımız şeylerden biri
											bir dinleme yetkilisi atamak oldu.
											Çok da bilimsel bir şekilde değil —
											Biraz çay ya da kahve hazırlıyor ve hastalara
											ailelere, yakınlara şunu soruyor:
											""Nasıl gidiyor?
											Size nasıl yardımcı olabiliriz?""
											Ve bize göre, böyle düşünmek istiyoruz,
											bu, tüm — belki hepsi değil — ama çoğu e-sağlık
											projesinin başarısız olmasına
											neden olan büyük sorunlardan biri,
											dinlemeyi bıraktığımızdan beri.
									","
											Je voudrais vous entretenir
											de la raison pour laquelle beaucoup de projets de santé en ligne échouent.
											Je pense vraiment que la principale raison
											en est que nous avons cessé d'écouter nos patients.
											L'une des choses que nous avons faites à l'Université Radboud,
											a été de nommer un responsable en chef de l'écoute.
											D'une façon pas très scientifique,
											elle sort une petite tasse de café ou de thé,
											et demande aux patients, aux familles, aux proches :
											"" Qu'est-ce qui vous arrive ?
											Comment pouvons-nous vous aider ? ""
											Nous pensons, nous aimons à penser,
											que c'est l'une des causes principales
											de l'échec de tous les projets de santé en ligne -
											peut-être pas tous, mais la plupart -
											depuis que nous avons cessé d'écouter.
									","
											Ich würde mich mit Ihnen gerne darüber unterhalten,
											warum so viele elektronische Gesundheits-Projekte fehlschlagen.
											Und ich denke, dass der wichtigste Punkt dabei ist,
											dass wir aufgehört haben, mit unseren Patienten zu reden.
											Und eines der Dinge, die wir an der Radboud-Universität
											eingeführt haben, war, einen Haupt-Zuhörer anzustellen.
											Dabei geht sie nicht besonders wissenschaftlich vor –
											sie stellt eine Tasse Kaffee oder Tee hin
											und fragt die Patienten, Familien, Verwandten,
											""Wie geht's?
											Wie können wir euch helfen?""
											Und wir denken, wir wollen denken,
											dass dies eines der Hauptprobleme ist,
											warum alle – vielleicht nur die meisten
											der elektronischen Gesundheits-Projekte fehlschlagen:
											Weil wir aufgehört haben zuzuhören.
									",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
","
","
","
","
",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
											Ésta es mi báscula Wi-Fi. Es algo muy sencillo.
											Tiene una perilla de encendido y apagado
											Todas las mañanas me subo.
											Y sí, tengo un desafío
											como pueden ver.
											Me puse el reto de llegar a 95 Kg.
											Pero es tan simple,
											que cada vez que me conecto, envía mi información
											a Google Health.
											Y mi médico de cabecera tiene acceso a él también.
											Así, él puede ver cuál es mi problema de peso,
											no en el mismo momento en que necesite asistencia cardiológica
											o alguna urgencia de ese estilo,
											sino verla hacia atrás.
											Pero hay otra cosa.
											Como algunos de Uds. saben, tengo más de 4 000 seguidores en Twitter.
											Así, cada mañana
											me conecto a mi báscula Wi-Fi
											y antes de subir a mi auto, la gente comienza a hablarme:
											“Lucien, hoy creo que necesitas un almuerzo liviano.”
									","
											Esta é a minha balança WiFi. É uma coisa muito simples.
											Tem um botão, ligar/desligar.
											E todas as manhas eu salto para cima dela.
											E sim, eu tenho um desafio,
											como podem ver.
											E coloquei o meu desafio nos 95kg.
											Mas a questão é que é feito de forma tão simples
											que quando fico em cima,
											ela também envia os meus dados pelo Google Health.
											E também são colhidos pelo meu médico de família,
											por isso ele pode ver qual é o meu problema no peso,
											não no momento exacto
											em que eu preciso de apoio cardiológico ou algo parecido,
											mas também olhando para trás.
											Mas há mais uma coisa.
											Como alguns de vocês poderão saber, eu tenho mais de 4 mil seguidores no Twitter.
											Por isso, todas as manhãs
											eu ponho-me em cima da minha balança WiFi
											e antes de estar no meu carro, as pessoas começam a falar comigo:
											""acho que precisas de um almoço leve hoje, Lucien.""
									","
											Bu benim WiFi terazim. Çok basit birşey.
											Bir tane düğmesi var, açık/kapalı.
											Ve her sabah, üstüne çıkıyorum.
											Ve evet, bir hedefim var,
											gördüğünüz gibi.
											Ve hedefim 95 kilo olmak.
											Ama o kadar kolay birşey ki, ne zaman
											üstüne çıksam,
											verilerimi Google Health'e de yolluyor.
											Pratisyen hekimim de bu verileri alıyor,
											böylece kilo bakımından ne sorunum olduğunu görüyor,
											kardiyolojik desteğe ya da
											benzer birşeye ihtiyacım olduğu o anda değil,
											ama ayrıca geçmişe bakıyor.
											Ama başka bir şey var.
											Bazılarınızın bildiği gibi, Twitter'da 4.000'den fazla takipçim var.
											Her sabah,
											WiFi terazime çıkıyorum
											ve daha arabama binmeden, insanlar benimle konuşmaya başlıyorlar,
											""Bence bugün hafif bir öğle yemeği yemen gerekiyor, Lucien.""
									","
											Voici ma balance WiFi. C'est un appareil très simple.
											Elle a un bouton, allumé / éteint.
											Tous les matins, je grimpe dessus.
											Eh oui, je me suis fixé un objectif,
											comme vous pouvez le voir.
											Je l'ai fixé à 95 kg.
											Mais l'important, c'est que de façon très simple,
											à chaque fois que je grimpe dessus,
											elle envoie mes données sur Google Health.
											Celles-ci sont recueillies par mon médecin généraliste,
											de façon à ce qu'il puisse examiner ma courbe de poids,
											non seulement au moment même
											où j'ai besoin de soins cardiologiques, ou autres,
											mais aussi en remontant dans mon passé.
											Voici autre chose.
											Comme vous le savez peut-être, j'ai plus de 4 000 abonnés à mon compte Twitter.
											Alors chaque matin,
											je saute sur ma balance WiFi,
											et avant même que je ne sois dans ma voiture, les gens commencent à me dire :
											« Je crois qu'un repas léger serait bon pour toi aujourd'hui, Lucien. »
									","
											Das hier ist meine WLAN-Waage. Ein sehr einfaches Ding.
											Sie hat einen Knopf, An/Aus.
											Und jeden Morgen springe ich darauf.
											Und ja, ich habe eine Aufgabe,
											wie Sie vielleicht erkennen.
											Ich habe meine Aufgabe bei 95 kg angesetzt.
											Es funktioniert ganz einfach:
											Jedes Mal, wenn ich auf die Waage springe,
											schickt sie meine Daten auch an Google Health.
											Und dort werden sie auch von meinem Allgemeinarzt abgerufen,
											damit er erkennen kann, wo mein Gewichtsproblem liegt,
											und zwar nicht nur in dem Moment,
											in dem ich kardiologische Unterstützung oder so brauche,
											sondern auch mit einem Blick in die Vergangenheit.
											Es gibt aber noch etwas.
											Vielleicht ist Ihnen das bekannt, ich habe über 4.000 Follower auf Twitter.
											Also jeden Morgen
											springe ich auf meine WLAN-Waage
											und die Leute reden schon mit mir, bevor ich im Auto sitze:
											""Zum Mittagessen lieber nur ein kleiner Salat heute, Lucien.""
									",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
","
","
","
","
",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
											(Risas)
									","
											(Risos)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Gelächter)
									",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
","
","
","
","
",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
											Eso es lo mejor que puede pasar,
											ya que es presión de los pares
											usada para ayudar a los pacientes,
											pues podría usarse para la obesidad,
											y también
											para que los pacientes dejen de fumar.
											Por otra lado, puede emplearse
											para mover a la gente de sus sillas
											y juntos desarrollar alguna actividad recreativa
											para tener más control de su salud.
									","
											Mas isso é a coisa mais simpática que pode acontecer,
											uma vez que isto é pressão dos pares,
											pressão dos pares usada para ajudar os doentes —
											já que isto pode ser usado para a obesidade,
											pode ser usada
											para cessação tabágica em doentes.
											Mas por outro lado, também podia ser usada
											para fazer com que as pessoas saiam das suas cadeiras
											e tentem trabalhar juntas em algum tipo de actividade lúdica
											para terem mais controlo sobre a sua saúde.
									","
											Ama bu olabilecek en ince davranış,
											çünkü bu arkadaş baskısı
											arkadaş baskısı eskiden hastalara yardım ederdi —
											bu obezite için kullanılabiliyorsa,
											hastaların sigarayı
											bırakmaları için de kullanılabilir.
											Ama öte yandan, insanları sandalyelerinden
											kaldırmak ve sağlıkları üzerinde daha fazla
											kontrol kazanmak için bir tür oyun aktivitesinde beraber
											çalışmalarını sağlamak için de kullanılabilir.
									","
											Mais c'est très bien ainsi,
											on appelle ça la pression des pairs,
											c'est utilisé pour aider les patients,
											on peut l'utiliser pour l'obésité,
											on peut l'utiliser
											pour arrêter de fumer.
											D'autre part, on pourrait l'utiliser
											pour faire que les gens se bougent un peu,
											et essaient de travailler ensemble sur un projet ludique,
											pour mieux contrôler leur santé.
									","
											Aber das ist das Netteste, was passieren kann,
											weil dies der Gruppenzwang ist,
											Gruppenzwang, um Patienten zu helfen,
											denn das könnte gegen Fettleibigkeit eingesetzt werden,
											oder es könnte
											Patienten das Rauchen abgewöhnen.
											Es könnte aber auch dazu verwendet werden, die
											Menschen aus ihren Stühlen zu kriegen,
											und sie dazu zu bringen, gemeinsam irgendeine Art Spiel zu spielen,
											um ihre Gesundheit besser zu kontrollieren.
									",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
","
","
","
","
",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
"
											A partir de la semana próxima estará disponible
											este pequeño baumanómetro
											conectado a un iPhone u otro dispositivo.
											Y la gente podrá, desde sus casas,
											tomar su presión arterial,
											enviársela a su médico,
											y compartirlo con otros, por ejemplo,
											por 100 dólares.
											Éste es el punto donde los pacientes asumen una posición,
											vuelven a recuperar el control
											y a ser capitanes de su propio barco;
											pero también nos puede ayudar al cuidado de la salud
											debido a los desafíos que enfrentamos,
											como el disparo de los costos de la atención medica,
											la duplicación de la demanda y otros temas.
									","
											A partir da próxima semana, vai estar disponível em breve.
											Vai haver este medidor de tensão arterial
											ligado a um iPhone ou outra coisa.
											E as pessoas vão ser capazes, desde as suas casas,
											de medir a sua tensão arterial,
											enviá-la para o seu médico
											e, eventualmente, partilhá-la com outros, por exemplo,
											por cerca de 100 dólares.
											E este é o ponto em que os doentes se colocam em posição
											e podem recuperar, não apenas o seu próprio controlo outra vez,
											serem o capitão do seu próprio barco,
											mas também nos podem ajudar nos cuidados de saúde
											devido aos desafios que enfrentamos,
											como a explosão dos custos com os cuidados de saúde
											procura duplicada e coisas assim.
									","
											Gelecek haftadan itibaren, kullanıma hazır olacak.
											iPhone'a ya da benzer birşeye bağlı
											bu küçük tansiyon aleti olacak.
											Ve insanlar, kendi evlerinden, tansiyonlarını
											ölçebilecek,
											doktorlarına yollayabilecek
											ve sonunda başkalarıyla, mesela yüz doların üzerinde
											bir fiyata paylaşabilecekler.
											Ve bu noktada hastalar pozisyona geçip, sadece tekrar
											kendi kontrollerini kazanıp, kendi gemilerinin kaptanı
											olmayacaklar, ama ayrıca
											sağlık sigortası maliyet patlaması,
											iki katına çıkmış arz ve bunun gibi yüzleştiğimiz
											sorunlar nedeniyle sağlık sigortası
											alanında bize yardım edecekler.
									","
											Ceci sera bientôt disponible, la semaine prochaine.
											On aura ce petit tensiomètre
											connecté à un iPhone, ou autre.
											Les gens pourront prendre leur tension
											depuis chez eux,
											l'envoyer à leur médecin,
											et finalement la communiquer à d'autres, par exemple,
											pour un peu plus de cent dollars.
											Nous en sommes au point où les patients peuvent prendre les commandes,
											et se saisir à nouveau, non seulement du contrôle de leur propre vie,
											être le capitaine de leur propre navire,
											mais peuvent aussi nous aider à résoudre
											les questions de santé qui se posent à nous,
											telles que l'explosion des coûts de santé,
											le doublement des besoins, et tout ça.
									","
											Ab nächster Woche kommt das auf den Markt.
											Es wird dieses kleine Blutdruck-Messgerät geben,
											das man an ein iPhone oder so anschließt.
											Und es wird den Menschen ermöglichen, von zuhause
											ihren Blutdruck zu messen,
											ihn an ihren Arzt zu schicken
											und ihn beispielsweise mit anderen zu teilen,
											für etwas mehr als 100 Dollar.
											An diesem Punkt kommen die Patienten ins Spiel.
											Sie können nicht nur wieder die Kontrolle übernehmen,
											Kapitän auf ihrem eigenen Schiff sein,
											sondern können uns auch beim Gesundheitswesen helfen
											angesichts der Herausforderungen, die vor uns liegen,
											sowie die Kostenexplosion des Gesundheitswesens,
											doppelte Nachfrage, und so weiter.
									",Crowdsource your health,Lucien Engelen,6:12,"TEDx,health,health care,medicine,public health,technology,exercise"
