en,es,de,tr,title,speaker,duration,tags
"
","
","
","
",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
											Who here is fascinated
by life under the sea?
									","
											De los aquí presentes, ¿quién tiene
fascinación por la vida submarina?
									","
											Wer hier ist fasziniert vom Leben
unter der Wasseroberfläche?
									","
											Aranızda kimler deniz altındaki yaşamı
büyüleyici buluyor?
									",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
","
","
","
",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
											Fantastic.
									","
											Excelente.
									","
											Fantastisch.
									","
											Harika.
									",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
","
","
","
",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
											Now, what did we just do?
											Let's dissect this for a second.
											The simple action
of an individual raising a hand
											led many others to do the same.
											Now, it's true that when individuals
in a social network
											have common priorities,
											it's often beneficial to copy one another.
											Think back to grade school and dressing
like the cool kids made you ""cool.""
											But copying behavior
is also common in wild animals.
											For example, some birds
copy the alarm calls of other birds
											to spread information
about approaching predators.
											But could copying behavior in wild animals
											affect entire ecosystems
that we humans depend on?
									","
											Ahora bien, ¿qué es
lo que acabamos de hacer?
											Analicemos un segundo.
											Con el simple hecho de levantar la mano,
											una persona indujo a muchas otras
a hacer lo mismo.
											Lo cierto es que, cuando
las personas de una red social
											tienen prioridades en común,
											copiarse unas a otras
suele ser una ventaja.
											Recordemos cuando en la escuela primaria
											nos vestíamos como los chicos ""cool""
para parecernos a ellos.
											Pero es también común que los animales
silvestres imiten comportamientos.
											Por ejemplo, algunos pájaros imitan
el sonido de alarma de otras aves
											para divulgar información
sobre la cercanía de predadores.
											Pero ¿es posible que este comportamiento
imitativo de los animales silvestres
											afecte ecosistemas enteros, 
de los que los humanos dependemos?
									","
											Was haben wir gerade getan?
											Nehmen wir das mal kurz auseinander.
											Die einfache Aktion
des Händehebens einer Person
											führte dazu, dass viele dasselbe taten.
											Es stimmt, dass, wenn Individuen
in einem sozialen Netzwerk
											gemeinsame Prioritäten haben,
											es oft Nutzen bringt,
einander nachzuahmen.
											In Ihrer Schulzeit zogen Sie sich
wie die coolen Kids an,
											um selbst cool zu sein.
											Aber das Imitieren von Verhalten
ist auch wilden Tieren gemein.
											Zum Beispiel ahmen einige Vögel
den Alarmruf anderer Vögel nach,
											um das Nahen eines Raubtiers
im Umfeld anzukündigen.
											Könnten aber Verhaltensimitationen
bei wilden Tieren
											ganze Ökosysteme beeinflussen,
											von denen wir Menschen abhängen?
									","
											Biz şimdi ne yaptık?
											Bunu bir inceleyelim.
											Bir kişinin elini kaldırması
gibi basit bir hareket,
											diğerlerini de etkiledi.
											Sosyal iletişimde kişilerin ortak
önceliklerinin
											olduğu doğrudur.
											Birbirini taklit etmek bazen faydalıdır.
İlkokulu düşünün.
											Havalı çocuklar gibi giyinmenin sizi
havalı yaptığı zamanlar...
											Davranışı taklit, vahşi hayvanlarda da
yaygındır.
											Örneğin bazı kuşlar diğerlerinin uyarı 
çağrısını kopyalarlar.
											Yaklaşan bir avcının olduğu bilgisini 
yaymak amacıyla.
											Fakat vahşi hayvanlardaki davranışı taklit
											insanlığın dayandığı bütün ekosistemi
etkileyebilir mi?
									",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
","
","
","
",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
											I was led to this question
while studying coral reefs,
											which support millions of people
through fisheries and tourism
											here in Africa and around the world.
											But coral reefs depend on fish
											that perform a critical job
by eating algae.
											Because if left unchecked,
											these algae can kill coral
and take over entire coral reefs,
											a costly change that is difficult
or impossible to reverse.
									","
											Esta pregunta surgió cuando
investigaba los arrecifes de coral,
											que son el sustento
de millones de personas
											a través de la pesca y del turismo
aquí en África y en todo el mundo.
											Pero los arrecifes de coral 
dependen de los peces,
											que cumplen un rol fundamental
al comerse las algas.
											Porque si esas algas no son controladas,
											pueden matar a los corales
e invadir arrecifes enteros
											—sin dudas un cambio de alto costo
y difícil, o imposible, de revertir—
									","
											Ich stieß auf diese Frage,
als ich Korallenriffe erforschte,
											die Millionen von Menschen
hier in Afrika und auf der Welt
											durch Fischfang
und Tourismus unterstützen.
											Doch Korallenriffe benötigen Fische,
											die eine sehr wichtige Aufgabe
erledigen: Algen fressen.
											Bleiben sie unkontrolliert,
											können die Algen Korallen töten
und ganze Korallenriffe an sich reißen.
											Das ist ein teurer Preis, der nur schwer
oder unmöglich umzukehren ist.
									","
											Mercan resifleri incelerken bu soruyla
karşılaştım.
											Balıkçılık ve turizmiyle Afrika'daki ve
dünyadaki
											pek çok kişiyi ayakta tutan
											mercan resifleri, yosun yiyerek
											önemli bir işi yapan balıkların
eline bakar.
											Çünkü başıboş bırakılırsa
											bu yosunlar mercanı öldürebilir
ve bütün mercan resifini ele geçirebilir.
											Pahalıya mal olan bu değişimi geriye 
döndürmek çok zor ya da imkansızdır.
									",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
","
","
","
",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
											So to understand
how fish may prevent this,
											I spy on them
											while they're eating algae,
											which can be difficult for them to do
											in open parts of the reef
exposed to predators,
											some of which, on rare occasion,
											appear to realize I'm watching them.
									","
											Para comprender cómo hacen
los peces para prevenirlo,
											los espío
											mientras comen algas,
											lo cual puede resultarles difícil
											en zonas abiertas del arrecife,
expuestas a los depredadores,
											algunos de los cuales
—aunque en muy pocas ocasiones—
											parecen advertir que 
los estoy observando.
									","
											Um also zu verstehen,
wie Fische dies verhindern können,
											spioniere ich sie aus,
											während sie Algen fressen.
											Das kann schwierig für sie sein,
											wenn sie an offenen Stellen des Riffs
Raubtieren ausgesetzt sind.
											Einige von ihnen scheinen
ab und zu zu verstehen,
											dass ich sie beobachte.
									","
											Bu balıklar bunu nasıl önlüyor 
anlamak için
											onları gözetledim.
											Yosunları yerken
											ki bu mercanın açıklıklarında 
avcılara maruz kalarak
											yapılacak zor bir iştir.
											Nadiren bazıları
											benim onları izlediğimi
anlamış gibi gözüküyor.
									",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
","
","
","
",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
											(Laughter)
									","
											(Risas)
									","
											(Lachen)
									","
											(Gülüşmeler)
									",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
"
","
","
","
",Could fish social networks help us save coral reefs?,Mike Gil,4:43,"TED Fellows,animals,Anthropocene,biology,biosphere,communication,fish,environment,nature,science,sustainability,oceans,coral reefs"
