en,es,de,fr,title,speaker,duration,tags
"
","
","
","
",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
											I'd like to take you back
about seven years in my life.
											Friday afternoon,
											a few days before Christmas 2009,
											I was the director of operations
											at a consumer products company
in San Francisco,
											and I was called into a meeting
that was already in progress.
											That meeting turned out
to be my exit interview.
											I was fired, along with several others.
											I was 64 years old at the time.
											It wasn't completely unexpected.
											I signed a stack of papers,
											gathered my personal effects,
											and left to join my wife
											who was waiting for me
at a nearby restaurant,
											completely unaware.
											Fast-forward several hours,
											we both got really silly drunk.
									","
											Me gustaría que me acompañaran
en el tiempo 7 años atrás.
											Viernes por la tarde,
											pocos días antes de la Navidad de 2009.
											Yo era el director de operaciones
											de una empresa de productos 
de consumo en San Francisco,
											y me llamaron a una reunión 
que ya había empezado.
											Esa reunión resultó ser 
mi entrevista de salida.
											Fui despedido, junto con unos cuantos más.
											En ese entonces tenía 64 años.
											No fue completamente inesperado.
											Firmé una pila de papeles,
											junté mis efectos personales,
											y me fui para encontrarme con mi esposa
											que estaba esperándome 
en un restaurante cerca de ahí,
											completamente ajena al tema.
											Pasadas varias horas,
											nos emborrachamos de verdad.
									","
											Folgen Sie mir 7 Jahre
in die Vergangenheit.
											Ein Freitagnachmittag,
											wenige Tage vor Weihnachten 2009.
											Ich war Produktionsleiter eines 
Konsumgüterherstellers in San Francisco.
											Ich wurde zu einer Besprechung gerufen,
die bereits im Gange war.
											Sie war mein Entlassungsgespräch.
											Ich wurde mit mehreren andern entlassen.
											Zu der Zeit war ich 64 Jahre alt.
											Es war keine große Überraschung.
											Ich unterschrieb einen Stapel Papiere,
											packte meine Sachen
und wollte meine Frau treffen,
											die in einem Restaurant in der Nähe
auf mich wartete
											und nichts Böses vermutete.
											Wenige Stunden später
waren wir beide vollkommen blau.
									","
											Je voudrais vous emmener
7 ans en arrière.
											Un vendredi après midi,
											quelques jours avant Noël 2009.
											J'étais directeur des opérations
											d'une société de produits de consommation 
à San Francisco,
											et j'ai été appelé dans une réunion 
qui était déjà en cours.
											Cette réunion s'est avérée 
être mon entretien de licenciement.
											J'ai été viré, avec plusieurs autres.
											J'avais 64 ans.
											Ce n'était pas totalement inattendu.
											J'ai signé une pile de papiers,
											rassemblé mes affaires personnelles,
											et j'ai rejoint ma femme
											qui m'attendait dans un restaurant proche,
											sans savoir ce qui venait
de m'arriver.
											Quelques heures plus tard,
											nous étions tous deux assez
fortement ivres.
									",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
","
","
","
",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
											(Laughter)
									","
											(Risas)
									","
											(Gelächter)
									","
											(Rires)
									",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
","
","
","
",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
											So, 40 plus years of continuous employment
											for a variety of companies,
large and small,
											was over.
											I had a good a network,
a good reputation —
											I thought I'd be just fine.
											I was an engineer
in manufacturing and packaging,
											I had a good background.
											Retirement was, like for so many people,
											simply not an option for me,
											so I turned to consulting
for the next couple of years
											without any passion whatsoever.
									","
											Así más de 40 años de empleo continuo
											en varias empresas, grandes y pequeñas,
											se habían acabado.
											Tenía una buena red, 
una buena reputación...
											creí que estaría bien.
											Era ingeniero en fabricación y envasado.
											Tenía un buen historial.
											La jubilación, como para muchas personas,
											simplemente no era una opción para mí.
											Entonces recurrí a la consultoría 
durante el siguiente par de años,
											sin pasión alguna.
									","
											Mehr als 40 Jahre lang
habe ich ununterbrochen
											für unterschiedliche Groß- und 
Kleinunternehmen gearbeitet.
											Das war nun vorbei.
											Ich hatte ein gutes Netzwerk,
einen guten Ruf —
											Ich dachte, alles wäre okay.
											Ich arbeitete als Techniker in der
Fertigungs- und Verpackungsindustrie.
											Ich hatte Erfahrung.
											Ruhestand war für mich,
wie für so viele, einfach keine Option.
											Darum wurde ich für die nächsten Jahre
											zu einem leidenschaftslosen
Unternehmensberater.

									","
											Ainsi, une période de plus de 40 années
d'emploi continu
											dans différentes entreprises, 
grandes et petites,
											était terminée.
											J'avais un bon réseau,
une bonne réputation,
											je pensais que tout irait bien.
											J'étais ingénieur dans la fabrication
et l'emballage.
											J'avais un bon profil.
											La retraite n'était,
comme pour beaucoup de gens,
											tout simplement pas une option pour moi.
											J'ai commencé à travailler comme
consultant,
											mais sans aucune passion.
									",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
","
","
","
",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
											And then an idea began to take root,
											born from my concern for our environment.
											I wanted to build my own business,
											designing and manufacturing
biodegradable packaging from waste —
											paper, agricultural, even textile waste —
											replacing the toxic,
disposable plastic packaging
											to which we've all become addicted.
											This is called clean technology,
											and it felt really meaningful to me.
											A venture that could help to reduce
the billions of pounds
											of single-use plastic packaging
dumped each year,
											and polluting our land,
our rivers and our oceans,
											and left for future
generations to resolve —
											our grandchildren,
											my grandchildren.
									","
											Y entonces se empezó a gestar una idea,
											a partir de mi preocupación 
por nuestro ambiente.
											Quería construir mi propio negocio,
											diseñar y fabricar con residuos 
embalajes biodegradables,
											con papel y residuos agrícolas
e incluso textiles,
											reemplazando los tóxicos 
envases de plástico desechables
											a los que nos hemos vuelto adictos.
											Esto se denomina tecnología limpia,
											y me pareció muy significativa.
											Una empresa que podría ayudar a reducir 
los miles de millones de kilos
											de envases de plástico de un solo uso
que se tiran cada año
											y contaminan la tierra,
los ríos y océanos,
											dejando el problema para que
lo resuelvan las futuras generaciones...
											nuestros nietos,
											mis nietos,
									","
											Doch dann kam mir eine Idee,
											die aus meinem Interesse
für Umweltschutz entstand.
											Ich wollte meine eigene Firma gründen,
											die biologisch abbaubare
Verpackungen aus Abfallprodukten,
											Papier-, Agrar- sowie 
Textilabfälle, herstellt
											und somit giftige Einwegverpackungen
aus Plastik ersetzt,
											von denen wir heute alle abhängig sind.
											Das Ganze nennt sich saubere Technologie,
											und schien mir 
eine wichtige Sache zu sein.
											Ein Unternehmen, das dabei helfen könnte,
											die tausenden Tonnen an jährlich 
weggeworfenen Einweg-Plastikverpackungen
											die unsere Land, unsere Flüsse
und unsere Meere verschmutzen
											und die wir unseren
zukünftigen Generationen hinterlassen —
											unseren Enkelkindern,

											meinen Enkelkindern.
									","
											Et puis une idée a commencé à germer
en moi,
											née de ma préoccupation
pour l'environnement.
											Je voulais créer ma propre entreprise,
											pour concevoir et fabriquer des emballages
biodégradables à partir de déchets
											— papiers, agricoles, même des
déchets textiles —
											pour remplacer l'emballage plastique 
jetable et toxique
											duquel nous sommes tous
devenus dépendants.
											On appelle cela la technologie propre,
											et cela avait vraiment du sens pour moi.
											Une entreprise qui pourrait aider
à réduire les milliards de kilos
											d'emballages plastiques à usage unique 
jetés chaque année,
											et qui polluent nos terres, 
nos rivières et nos océans,
											un problème à résoudre laissé
aux générations futures,
											à nos petits-enfants,
											à mes petits-enfants.
									",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
","
","
","
",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
"
											And so now at the age of 66,
											with 40 years of experience,
											I became an entrepreneur
for the very first time.
									","
											Por eso ahora a los 66 años,
											con 40 años de experiencia,
											me convertí en emprendedor
por primera vez.
									","
											Also machte ich mich mit 66 Jahren,
											40 davon mit Arbeitserfahrung,
											zum ersten Mal 
in meinem Leben selbständig.
									","
											Et maintenant, à l'âge de 66 ans,
											avec 40 ans d'expérience,
											je suis devenu entrepreneur 
pour la première fois.
									",How I became an entrepreneur at 66,Paul Tasner,6:58,"TED Residency,entrepreneur,plastic,business,innovation,aging,green,sustainability"
