es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
											Con frecuencia mis estudiantes me preguntan:
											""¿Qué es la sociología?"".
											Y les respondo: ""Es la ciencia
											que estudia la manera en la que las personas
											están influidas por cosas que no ven"".
											Y me dicen: ""¿Entonces cómo puedo llegar a ser sociólogo?
											¿Cómo puedo entender esas fuerzas invisibles?"".
											Y les contesto: ""Con la empatía.
											Comiencen con la empatía.
											Todo comienza por la empatía.
											Sálganse de sus zapatos,
											pónganse en los del otro"".
									","
											Öğrencilerim bana sık sık sorarlar:
											""Soyoloji nedir?""
											Ben de onlara, ""İnsanoğlunun
											görmediği şeyler tarafından
											etkilenme şekilleri üzerine yapılan çalışmadır."" derim.
											Onlar da, ""E, ben nasıl sosyolog olabilirim?
											Bu görünmez güçleri nasıl anlayabilirim?"" diye sorarlar.
											Ve ben de, ""Empati.
											Empatiyle başla.
											Herşey empatiyle başlar.
											Kendin olmaktan çıkıp,
											başka bir insanın yerine geç."" derim.
									","
											Mes étudiants me demandent souvent,
											""Qu'est-ce que la sociologie?""
											Et je leur dis: «C'est l'étude
											de la manière dont les êtres humains
											sont façonnés par des choses qu'ils ne voient pas. ""
											Et ils disent: ""Alors, comment puis-je être un sociologue?
											Comment puis-je comprendre ces forces invisibles?
											Et je dis, ""l'empathie.
											Commencez par l'empathie.
											Tout commence avec l'empathie.
											Oubliez qui vous êtes
											pour vous mettre dans la peau d'une autre personne. ""
									","
											Meine Studenten fragen mich oft,
											""Was ist Soziologie?""
											Ich sage ihnen, ""Es ist die Lehre
											von der Art, in der Menschen von
											den Dingen geformt werden, die sich nicht sehen.""
											Sie fragen, ""Wie kann ich ein Soziologe sein?
											Wie kann ich diese unsichtbaren Kräfte verstehen?""
											Und ich sage, ""Empathie.
											Fangt mit Empathie an.
											Es beginnt alles mit Empathie.
											Tretet heraus aus euren Fußstapfen,
											und tretet in die Fußstapfen einer anderen Person.""
									",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
","
","
","
",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
											Les pongo un ejemplo.
											Me imagino mi vida
											como si hace cien años
											China fuese el país más poderoso del mundo
											y vinieran a los Estados Unidos
											en busca de carbón,
											y lo encontraran, y hallaran grandes cantidades aquí.
											Y rápidamente comenzaran a embarcar todo ese carbón,
											tonelada a tonelada,
											vagón a vagón, barco a barco,
											enviándolo hacia China y otras partes del mundo.
											Y al hacerlo se enriquecieran fabulosamente.
											Y construyeran bellas ciudades
											energizadas con ese carbón.
											Y aquí en Estados Unidos,
											quedáramos en la penuria económica, con privaciones.
											Esto es lo que vería.
											Vería gente luchando por sobrevivir,
											sin saber cómo era la cosa ni qué vendría después.
											Y yo me haría una pregunta:
											""¿Cómo es posible que seamos tan pobres aquí en Estados Unidos,
											siendo el carbón un recurso tan valioso,
											que de tanto dinero?
											Y me daría cuenta
											de que los chinos se congraciaron
											con una pequeña clase dirigente aquí en Estados Unidos
											que se robó todo ese dinero, toda esa riqueza solo para ellos.
											Y el resto de nosotros, la gran mayoría,
											luchando por sobrevivir.
											Y los chinos le dieron a esa pequeña clase dirigente
											grandes cantidades de armas y tecnología sofisitcada
											para asegurarse de que la gente como yo
											no hablara en contra de esa relación.
											¿Suena esto conocido?
									","
											Buyrun size bir örnek vereyim.
											Hayat şöyle olsaydı,
											yüz yıl önce,
											Çin dünyanın en güçlü ulusu olsaydı
											ve Birleşik Devletlere gelip
											kömür arasalardı,
											ve bulsalardı, hatta, gerçekten çok fazla kömür bulsalardı.
											Ve ardından, bu kömürü taşımaya başlasalardı,
											tonlarca,
											demiryolu araçlarına ve teknelere doldurarak,
											Çin'e ya da dünyanın başka bir yerine götürselerdi.
											Ve böyle yaparak inanılmaz bir zenginliğe ulaşsalardı.
											Ve bu kömür desteğiyle
											mükemmel şehirler kursalardı.
											Ve burada, Birleşik Devlerlerde,
											bize ekonomik çaresizlik ve yoksulluk kalsaydı.
											Tüm gördüğüm bu olsaydı.
											İnsanların hayatta kalmaya çalıştıklarını görseydim,
											sırada ne olduğunu bilmeksizin uğraştıklarını.
											Ve kendime bunu sorsaydım.
											""Nasıl oluyor da biz burada Birleşik Devletlerde böyle yoksul olabiliriz,
											kömür bu kadar değerli bir kaynakken,
											bunca paraya değerken?
											Sonra farketseydim ki,
											Çinliler kendilerini Birleşik Devletlerdeki
											küçük zengin egemen sınıfa kabul ettirmişler.
											Bu sınıf da, tüm para ve zenginlikten kendileri faydalanıyorlar.
											Geride kalan bizlerse, yani çoğunluk,
											yaşamaya çalışıyor.
											Ve Çinliler bu küçük egemen elite
											bir sürü askeri silah ve gelişmiş teknoloji sağlayarak
											benim gibi insanların
											bu ortaklığa karşı ses çıkarmamızı engelliyor.
											Bu size bi yerden tanıdık geldi mi?
									","
											Ici, je vais vous donner un exemple.
											Donc, j'imagine que ma vie,
											si il y a cent ans
											la Chine avait été la nation la plus puissante du monde
											et que les Chinois étaient venus aux États-Unis
											à la recherche de charbon,
											et qu'ils en avaient trouvé, et, en fait, qu'ils en avaient trouvé beaucoup ici même.
											Et si très vite, ils avaient commencé à expédier ce charbon,
											tonne par tonne,
											wagon par wagon, chargement de bateau par chargement de bateau,
											vers la Chine et ailleurs dans le monde.
											Et si ils étaient devenus fabuleusement riche en faisant ça.
											Et qu'ils avaient construit de belles villes
											toutes alimentées par ce charbon.
											Et qu'ici aux États-Unis,
											nous avions connu le marasme économique, la privation.
											C'est ce que j'ai vu.
											J'ai vu des gens qui luttent pour s'en sortir,
											ne sachant pas ce qui était quoi et ce qui allait suivre.
											Et puis je me suis posé la question.
											Je dis: ""Comment est-il possible que nous puissions être si pauvre ici aux États-Unis,
											parce que le charbon est une ressource riche,
											ça représente tant d'argent? ""
											Et j'ai réalisé,
											parce que les Chinois avaient gagné les bonnes grâces
											d'une petite classe dirigeante ici aux États-Unis
											qui a volé tout cet argent et toutes ces richesses pour leur propre bénéfice.
											Et le reste d'entre nous, la grande majorité d'entre nous,
											luttons pour nous en sortir.
											Et les Chinois ont donné à cette petite élite dirigeante
											des tas d'armes et de technologies militaires sophistiquées
											pour veiller à ce que des gens comme moi
											ne s'élevent pas contre cette relation.
											Est-ce ça vous rappelle quelque chose?
									","
											Also, ich gebe Ihnen ein Beispiel.
											Ich stelle mir mein Leben vor,
											wenn vor hundert Jahren
											China die mächtigste Nation auf der Welt gewesen wäre
											und sie auf der Suche nach Kohle
											in die Vereinigten Staaten gekommen wären,
											und sie sie gefunden hätten, und sie in Wahrheit jede Menge davon hier gefunden hätten.
											Und sehr bald hätten sie begonnen, diese Kohle abzutransportieren,
											Tonne um Tonne,
											Zugwagon um Zugwagon, Bootsladung um Bootsladung,
											zurück nach China und überall in die Welt.
											Und sie würden unglaublich reich während sie das täten.
											Sie bauten schöne Städte,
											die alle von dieser Kohle betrieben würden.
											Und hier vor Ort in den Vereinigten Staaten
											erlebten wir wirtschaftliche Verzweiflung, Entbehrung.
											Das würde ich sehen.
											Ich sähe Menschen, kämpfen um zurecht zu kommen,
											nicht wissend, was was ist und was als nächstes kommt.
											Und ich würde mir selbst die Frage stellen.
											Ich dächte, ""Wie kann es sein, dass wir hier in den Vereinigten Staaten so arm sind,
											denn Kohle ist so ein wertvoller Rohstoff,
											es ist so viel Geld?""
											Und mir würde klar,
											dass das so wäre, weil die Chinesen dich bei der
											kleinen herrschenden Klasse hier in Amerika eingeschmeichelt hätten,
											die das ganze Geld und diesen ganzen Wohlstand für sich selbst stählen.
											Und der Rest von uns, die große Mehrheit von uns,
											kämpft, um über die Runden zu kommen.
											Und die Chinesen gäben dieser kleinen herrschenden Elite
											jede Menge militärischer Waffen und ausgeklügelte Technologie,
											um sicher zu stellen, dass Menschen wie ich
											nicht gegen diese Art von Beziehung demonstrierten.
											Klingt das bekannt?
									",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
","
","
","
",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
											E hicieran cosas como entrenar a los estadounidenses
											para que ayudaran a proteger el carbón.
											Y por todas partes habría símbolos chinos;
											por todas partes recordatorios constantes.
											Y allá en China,
											¿qué dirían en China?
											Nada. No hablarían de nosotros. No se mencionaría el carbón.
											Si se les preguntara,
											dirían: ""Bueno, como sabes, necesitamos el carbón.
											Mejor dicho, yo no voy ha bajar mi termostato.
											Ni lo piensen"".
											Entonces, me molestaría, me enfurecería,
											igual que mucha gente del común.
											Lucharíamos y la cosa se pondría realmente fea.
											Y los chinos responderían de forma muy ruda.
											Y en cualquier momento mandarían sus tanques
											y luego sus tropas
											y mucha gente moriría.
											Una situación muy, muy difícil.
									","
											Ve Amerikalılara kömürü korumaları için
											eğitim falan veriyorlar.
											Ve heryer Çince işaretlerle dolu —
											heryer, hep aklımızda olsun diye.
											Ve Çin'de
											Çin'de ne konuşuluyor?
											Hiç birşey. Bizimle ilgili konuşmuyorlar. Kömürden bahsetmiyorlar.
											Soracak olursanız,
											""Kömürü bilirsiniz, bizim kömüre ihtiyacımız var.
											Yani, hadi ama, ısıtıcımı kapatmayı planlamıyorum.
											Böyle birşey bekleyemezsin."" diyeceklerdir.
											Ve ben sinirleniyorum, çok kızıyorum,
											diğer herkes de öyle.
											Ve karşı koymaya başlıyoruz, işler çirkinleşiyor.
											Ve Çinliler de çirkin bir şekilde yanıt veriyor.
											Ve farkına bile varmadan, tanklar gönderiliyor
											ve askeri birlikler geliyor,
											ve onlarca insan ölüyor,
											ve bu çok, çok zor bir durum.
									","
											Et ils ont fait les choses comme former les Américains
											à aider à protéger le charbon.
											Et partout, il y avait des symboles de la Chine -
											partout, un rappel constant.
											Et de retour en Chine,
											que disent-ils en Chine?
											Rien. Ils ne parlent pas de nous. Ils ne parlent pas du charbon.
											Si vous leur demandez,
											ils diront: ""Eh bien, vous savez le charbon, nous avons besoin du charbon.
											Je veux dire, allez, je ne vais pas baisser mon thermostat.
											Vous ne pouvez pas attendre ça de moi. ""
											Et alors je me fâche, et j'en ai marre,
											comme beaucoup de gens ordinaires.
											Et nous nous défendons, et ça devient vraiment moche.
											Et les Chinois répondre d'une manière très moche.
											Et avant qu'on ait le temps de nous en apercevoir, ils envoient les blindés
											puis ils envoyent les troupes,
											et beaucoup de gens meurent,
											et c'est une situation très, très difficile.
									","
											Und sie täten Dinge, wie den Amerikanern
											beizubringen, beim Beschützen der Kohle zu helfen.
											Und überall, wären Symbole der Chinesen –
											überall, eine permanente Erinnerung.
											Und drüben in China,
											was sagen sie in China?
											Nichts. Sie sprechen nicht über uns. Sie sprechen nicht über die Kohle.
											Wenn Sie sie gefragt würden,
											dann würden sie sagen, "" Nun, wissen Sie, wir brauchen die Kohle.
											Ich meine, kommen Sie schon, ich werde doch mein Thermostat nicht runterdrehen.
											Das können Sie nicht erwarten.""
											Und so werde ich wütend, und ich werde stocksauer,
											wie es viele durchschnittliche Menschen werden.
											Und wir kämpfen dagegen, und es wird wirklich hässlich.
											Und die Chinesen antworten in wirklich hässlicher Weise.
											Und bevor wir es sehen, schicken sie Panzer
											und dann schicken sie Truppen
											und eine Menge Menschen sterben,
											und es ist eine sehr, sehr schwierige Situation.
									",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
","
","
","
",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
											¿Pueden ustedes imaginarse lo que sentirían
											si estuviesen en mis zapatos?
											¿Pueden imaginarse que a la salida de este edificio
											vieran un tanque ahí
											o un camión lleno de soldados?
											Piensen lo que sentirían.
											Porque sabrían por qué están ahí y qué están haciendo.
											Sentirían indignación y miedo.
											Si pueden, eso es empatía; eso es la empatía.
											Han dejado sus zapatos y se han metido en los míos.
											Hay que sentirlo.
									","
											Peki siz nasıl hissederdiniz,
											benim yerimde olsaydınız?
											Bu binadan çıkıp da, dışarda askerlerle dolu
											bir tank görmenin nasıl birşey olduğunu
											hayal edebiliyor musunuz?
											Sadece bir düşünün.
											Neden burda olduklarını biliyorsunuz, burada neler yaptıklarını biliyorsunuz.
											Ve nefretle dolusunuz, korkuyu hissediyorsunuz.
											Eğer yapabiliyorsanız — işte bu empatidir.
											Kendiniz olmaktan çıkıp, benim yerime girdiniz.
											Ve bunu hissettiniz.
									","
											Pouvez-vous imaginer ce que vous vous ressentiriez
											si vous étiez à ma place?
											Pouvez-vous imaginer sortant de ce bâtiment
											et voir un blindé là-bas
											ou d'un camion rempli de soldats?
											Et imaginez ce que vous ressentiriez.
											Parce que vous savez pourquoi ils sont là, et vous savez ce qu'ils font ici.
											Et vous ressentez la colère et vous ressentez la peur.
											Si vous le pouvez, c'est de l'empathie - c'est de l'empathie.
											Vous avez quitté votre peau, et vous vous êtes mis dans la mienne.
											Et vous devez ressentir cela.
									","
											Können Sie sich vorstellen, wie Sie sich fühlen würden,
											wenn Sie an meiner Stelle wären?
											Können Sie sich vorstellen, aus diesem Gebäude zu gehen
											und einen Panzer draußen stehen zu sehen
											oder einen LKW voller Soldaten?
											Und stellen Sie sich nur vor, wie Sie sich fühlen würden.
											Denn Sie wissen, warum sie hier sind, und Sie wissen, was sie hier tun.
											Und Sie fühlen gerade diese Wut und Sie fühlen diese Angst.
											Wenn Sie das können, dann ist es Empathie — das ist Empathie.
											Sie haben Ihre Position verlassen und Sie haben an meiner gestanden.
											Und Sie müssen das fühlen.
									",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
","
","
","
",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
"
											Bien, esto es sólo el principio.
											Sólo la iniciación.
											Ahora vamos a hacer
											el experimento verdaderamente radical.
											Para lo que queda de esta charla, lo que quiero que hagan
											es ponerse en los zapatos
											de un árabe musulmán común
											que vive en Oriente Próximo;
											en particular, en Irak.
											Y para ayudarles,
											quizás usted es miembro de esta familia de clase media en Bagdad
											y desea lo mejor para sus hijos.
											Quiere que sus niños tengan una vida mejor.
											Y mira los noticieros, les pone atención,
											lee los diarios, va a la cafetería con sus amigos,
											y mira los periódicos de todo el mundo.
											E inclusive, a veces ve por satélite
											a CNN de Estados Unidos.
											Y oye lo que piensan los estadounidenses.
											Pero en realidad sólo quiere una vida mejor para usted.
											Eso es lo que desea.
											Usted es un árabe musulmán que vive en Irak
											que solo quiere una vida mejor para usted.
									","
											Pekala, bu sadece ısınmaydı.
											Isınma alıştırması.
											Şimdi gerçek radikal bir
											deneyim yaşayacağız.
											Şimdi, konuşmamın geri kalan kısmında, sizden istediğim
											kendinizi sıradan bir
											Arap Müslümanın yerine koymanız
											Orta doğuda yaşayan —
											bilhassa, Irak'ta.
											Bu size yardım etsin,
											belki de siz Bağdat'ta bu orta sınıf ailenin bir üyesisiniz —
											ve çocuklarınız için en iyisini istiyorsunuz.
											Çocukların daha bir hayatı olsun istiyorsunuz.
											Haberleri izliyor, dikkat ediyorsunuz,
											gazete okuyor, arkadaşlarınızla kahveye gidiyorsunuz,
											ve dünyanın her yerinden gazetelere göz atıyorsunuz.
											Bazen uydu yayınlarını bile izliyorsunuz,
											Birleşik Devletler'den CNN.
											Yani Amerikalıların ne düşündükleriyle ilgili bilginiz var.
											Ama gerçekten, sadece daha iyi bir hayat istiyorsunuz.
											Tüm istediğiniz bu.
											Irak'ta yaşayan Müslüman bir Arapsınız.
											Kendiniz için daha iyi bir hayat istiyorsunuz.
									","
											Bon, ça, c'est l'échauffement.
											C'est l'échauffement.
											Maintenant, nous allons passer
											à la véritable expérience radicale.
											Et donc pour le reste de mon discours, ce que je veux que vous fassiez
											c'est de vous mettre dans la peau
											d'un arabe musulman
											qui vit au Moyen-Orient -
											en particulier, en Irak.
											Et donc pour vous aider,
											vous êtes peut-être un membre de cette famille de classe moyenne à Bagdad -
											et ce que vous voulez c'est le meilleur pour vos enfants.
											Vous voulez que vos enfants aient une vie meilleure.
											Et vous regardez les nouvelles, vous faites attention,
											vous lisez le journal, vous descendez au café avec vos amis,
											et vous lisez les journaux du monde entier.
											Et parfois vous regarder même la télé par satellite,
											CNN en provenance des États-Unis.
											Vous avez donc une idée de ce que les Américains pensent.
											Mais vraiment, tout ce que vous voulez, c'est avoir une vie meilleure.
											C'est ce que vous voulez.
											Vous êtes arabe musulman vivant en Irak.
											Vous voulez avoir une vie meilleure.
									","
											Okay, das war also das Aufwärmen.
											Das war das Aufwärmen.
											Jetzt werden wir das wirklich
											radikale Experiment angehen.
											Und für den Rest meines Vortrages möchte ich, dass Sie sich
											in die Position einen durchschnittlichen
											arabischen Moslem versetzen,
											der im Mittleren Osten lebt —
											um genau zu sein, im Irak.
											Um Ihnen zu helfen,
											vielleicht sind Sie ein Mitglied dieser Familie der Mittelschicht aus Baghdad —
											und Sie wollen das beste für Ihre Kinder.
											Sie wollen, dass Ihre Kinder ein besseres Leben haben.
											Und Sie sehen die Nachrichten, Sie sind aufmerksam,
											Sie lesen die Zeitung, Sie gehen mit Ihren Freunden ins Café,
											und Sie lesen die Zeitungen aus allen Teilen der Welt.
											Und manchmal sehen Sie sogar Satellitenfernsehen,
											CNN aus den Vereingten Staaten.
											Sie haben also ein Gefühl dafür, was die Amerikaner denken.
											Aber eigentlich wollen Sie einfach ein besseres Leben für sich selbst.
											Das ist es, was Sie wollen.
											Sie sind ein arabischer Moslem, der im Irak lebt.
											Sie möchten ein besseres Leben für sich.
									",A radical experiment in empathy,Sam Richards,18:07,"TEDx,culture,empathy,global issues,iraq,society,sociology,war"
