en,es,de,fr,title,speaker,duration,tags
"
","
","
","
",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
											I want you to touch your face.
											Go on.
											What do you feel?
											Soft? Squishy?
											It's you, right? You're feeling you?
											Well, it's not quite true.
											You're actually feeling
thousands of microscopic creatures
											that live on our face and fingers.
											You're feeling some of the fungi
											that drifted down
from the air ducts today.
											They set off our allergies
											and smell of mildew.
											You're feeling some
of the 100 billion bacterial cells
											that live on our skin.
											They've been munching away
at your skin oils and replicating,
											producing the smells of body odor.
											You're likely even touching
the fecal bacteria
											that sprayed onto you the last time
you flushed a toilet,
											or those bacteria that live
in our water pipes
											and sprayed onto you
with your last shower.
											Sorry.
									","
											Quiero que se toquen la cara.
											Adelante.
											¿Qué sienten?
											¿Suave? ¿Blando?
											Son Uds., ¿verdad? ¿Sienten que lo son?
											Bueno, no es del todo cierto.
											Realmente están sintiendo
miles de criaturas microscópicas
											que viven en nuestra cara y dedos.
											Están sintiendo algunos de los hongos
											que cayeron hoy de los conductos de aire.
											Nos provocaron alergias
											y olor a moho.
											Están sintiendo algunas de las 
100 000 millones de células de bacterias
											que viven en nuestra piel,
											y han estado masticando la grasitud 
de la piel y se han replicado,
											produciendo los olores del cuerpo.
											Es probable que estén en contacto
con las bacterias fecales
											de la última vez que
descargaron el inodoro,
											o las bacterias que viven
en las tuberías de agua
											con las que entraron en contacto
en la última ducha.
											Lo siento.
									","
											Bitte berühren Sie ihr Gesicht.
											Machen Sie weiter.
											Was fühlen Sie?
											Weich? Wabbelig?
											Sie sind es, richtig? Fühlen Sie sich?
											Das stimmt aber nicht ganz.
											Tatsächlich fühlen Sie tausende
mikroskopische Lebewesen,
											die auf unserem Gesicht
und unseren Fingern leben.
											Sie fühlen einige Pilze,
											die heute durch die Luftschächte wehten.
											Sie lösen unsere Allergien aus
und riechen nach Schimmel.
											Sie fühlen einige der
100 Milliarden Bakterien,

											die auf unserer Haut leben.
											Sie mampfen Ihr Hautöl, reproduzieren sich
											und produzieren den Körpergeruch.
											Wahrscheinlich berühren Sie
auch die Fäkalbakterien,
											die beim letzten Toilettenspülen
auf Sie rieselten
											oder die Bakterien, die in
unseren Wasserrohren leben
											und beim letzten Duschen
auf Sie niederregneten.
											Entschuldigung.
									","
											Touchez-vous le visage.
											Allez-y.
											Que sentez-vous ?
											Quelque chose de doux ? De souple ?
											C'est vous, n'est-ce pas ?
Vous vous sentez ?
											Ce n'est pas tout à fait vrai.
											Ce que vous sentez sont des milliers
de créatures microscopiques
											qui vivent sur votre visage
et sur vos doigts.
											Vous sentez quelques champignons
											qui sont tombés
par la conduite d'air aujourd'hui.
											Ils provoquent nos allergies
											et sentent la moisissure.
											Vous sentez quelques-unes
des 100 milliards de cellules bactériennes
											qui vivent sur votre peau.
											Elles grignotent votre peau
et se multiplient,
											produisant votre odeur corporelle.
											Il est même probable
que vous touchiez les bactéries fécales
											pulvérisées sur vous la dernière fois
que vous avez tiré la chasse,
											ou ces bactéries qui vivent
dans nos canalisations d'eau
											et pulvérisées sur vous
lors de votre dernière douche.
											Désolée.
									",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
","
","
","
",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
											(Laughter)
									","
											(Risas)
									","
											(Lachen)
									","
											(Rires)
									",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
","
","
","
",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
											You're probably even giving
a microscopic high five
											to the two species of mites
that live on our faces,
											on all of our faces.
											They've spent the night
squirming across your face
											and having sex on the bridge of your nose.
									","
											Probablemente estén saludando
a nivel microscópico
											a las dos especies de ácaros
que viven en nuestros rostros,
											en todos nuestros rostros.
											Han pasado la noche
contoneándose en sus rostros
											y teniendo sexo en el puente de la nariz.
									","
											Vielleicht geben Sie sogar
einen winzigen Gruß
											an die zwei Milbenarten,
die auf unserem Gesicht leben,
											auf all unseren Gesichtern.
											Nachts drehen sie sich auf Ihrem Gesicht
											und haben Sex auf Ihrem Nasenbein.
									","
											Vous êtes peut-être même
en train de donner un tope-là
											aux deux espèces de mites
qui vivent sur nos visages,
											sur tous nos visages.
											Elles ont passé la nuit
à se tortiller sur votre visage
											et à se reproduire
sur l'arête de votre nez.
									",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
","
","
","
",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
											(Laughter)
									","
											(Risas)
									","
											(Lachen)
									","
											(Rires)
									",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
","
","
","
",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
"
											Many of them are now leaking
their gut contents onto your pores.
									","
											Muchos de ellos evacúan
su contenido intestinal en sus poros.
									","
											Viele lassen ihren Darminhalt
in Ihre Poren rieseln.
									","
											Elles répandent maintenant
le contenu de leurs boyaux
											sur vos pores.
									",Meet the microscopic life in your home — and on your face,Anne Madden,10:07,"bacteria,biology,biomechanics,biotech,future,health,innovation,microbes,microbiology,nature,science,technology,fungi"
