es,tr,de,pt,title,speaker,duration,tags
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Quisiera hablarles hoy
											sobre una forma completamente 
nueva de pensar sobre el sexo
											y la educación sexual, 
por comparación.
									","
											Bugün sizinle cinsel aktiviteye ve cinsel eğitime
											karşılaştırmalı olarak yepyeni bir açıdan
											bakmayla ilgili konuşmak istiyorum.
									","
											Ich möchte heute mit Ihnen 
über einen ganz neuen Weg reden,
											über sexuelle Aktivitäten
											und sexuelle Erziehung zu denken; 
durch einen Vergleich.
									","
											Hoje gostaria de vos falar
											sobre uma forma completamente 
nova de pensar a atividade sexual
											e a educação sexual, usando metáforas.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Si hablas con alguien 
hoy en Estados Unidos
											sobre el sexo,
											pronto descubrirán que 
no solo están hablando
											sobre relaciones sexuales,
											sino también sobre béisbol.
											Porque el béisbol es la 
metáfora cultural dominante
											que los estadounidenses 
usan para pensar
											y hablar sobre el sexo,
											y lo sabemos porque tenemos
											todo este vocabulario en Inglés
											que parece que habla sobre béisbol
											pero realmente se refiere al sexo.
									","
											Bugün, Amerika'da herhangi birisiyle
											cinsel aktiviteyle ilgili konuşursanız,
											kısa sürede fark edeceksiniz ki
											sadece cinsellikle ilgili konuşmuyorsunuz.
											Aynı zamanda beyzbol hakkında da konuşuyorsunuz.
											Çünkü beyzbol, Amerikalılar'ın cinsel aktiviteyle ilgili
											düşünmeye ve konuşmaya alışık olduğu
											dominant kültürel bir benzetmedir.
											Bunu biliyoruz çünkü
											İngilizce'de beyzbol hakkındaymış gibi görünen
											ama aslında cinsellikle ilgili olan
											bir dil mevcut.
									","
											Wenn Sie heute mit jemandem in Amerika
											über sexuelle Aktivitäten sprechen,
											werden Sie schnell herausfinden,
											dass Sie nicht nur über Sex sprechen.
											Sie reden auch über Baseball.
											Denn Baseball ist die 
vorherrschende kulturelle Metapher,
											die Amerikaner verwenden,
											um über sexuelle Aktivitäten 
nachzudenken und zu reden;
											und wir wissen dies, weil es
											all diese Wörter in der englischen Sprache gibt,
											die scheinbar Baseball thematisieren,
											aber in Wirklichkeit sexuelle Aktivitäten meinen.
									","
											Se hoje em dia falarmos 
com alguém nos EUA
											sobre atividade sexual,
											cedo vamos perceber
que não estamos a falar
											sobre atividade sexual.
											Estamos também a falar de basebol.
											Porque o basebol é
a metáfora cultural dominante
											que os americanos usam
quando pensam em sexo
											e quando falam sobre atividade sexual.
											Sabemos isto,
											porque existe
toda uma sublinguagem no inglês
											em que aparentemente falamos de basebol,
											mas na realidade estamos a falar
da atividade sexual.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											así que, por ejemplo, puedes ser 
un ""lanzador"" o un ""receptor""
											dependiendo de si
											realizas un acto sexual 
o si te hacen un acto sexual.
											Por supuesto, están las bases,
											que se refieren a actividades 
sexuales específicas
											que ocurren en un orden determinado,
											cuyo resultado final es anotar una carrera
											o anotar un cuadrangular,
											lo que normalmente 
significa tener el coito
											hasta llegar al orgasmo,
											al menos para el chico.
											(Risas)
											Puedes ser ponchado 
lo que significa
											que no has conseguido 
tener nada de sexo.
											Y si eres un calientabanquillos,
											puede que seas virgen 
o alguien que por
											la razón que sea 
no está en el partido,
											quizás por tu edad o 
debido a tu habilidad
											o a tu destreza.
											El bate es el pene,
											y el foso es la vulva o vagina.
											El guante del receptor 
es el condón.
											un bateador ambidiestro 
es alguien bisexual,
											y los gays y lesbianas jugamos 
para el equipo contrario.
											Y por último tenemos esta expresión:
											""Si hay césped en 
el campo, juega la bola.""
											Que generalmente se refiere a que
											si alguien joven, 
concretamente una chica joven,
											ya tiene vello púbico a su edad,
											tiene edad suficiente para 
poder tener relaciones sexuales.
									","
											Yani, örneğin, atıcı ya da yakalayıcı olabilirsiniz
											ve bu ya sizin cinsel hareketi uyguladığınızı
											ya da size cinsel hareket uygulandığını belirtir
											Tabii ki, bir düzende gerçekleşen
											ve belirli cinsel aktivitelere atıfta bulunulan
											kurallar vardır ve
											bunlar sonunda sayıyla ya da
											sayı turu ile sonuçlanmaktadır
											ki bu da orgazm olma noktasına kadar
											vajinal cinsel temasta bulunmak demektir,
											en azından erkekler için.
											(Kahkahalar)
											Vuruşu kaçırabilirsiniz, bu da demek oluyor ki
											hiçbir cinsel aktivite yaşamazsınız.
											Eğer siz bir yedek oyuncuysanız
											bir bakiresinizdir ya da herhangi bir sebepten ötürü
											oyunda değilsinizdir
											belki yaşınızdan, belki yeteneğinizden
											ya da becerilerinizden ötürü olabilir.
											Bir beyzbol sopası penistir
											ve yedek kulübesi de dişilik organı ya da vajinadır.
											Eldiven ya da yakalayıcının beyzbol eldiveni prezervatiftir.
											Değişken vurucu biseksüel kişidir
											ve biz gayler ve lezbiyenler diğer takım için oynarız.
											Bir de şu var:
											""Eğer sahada çim varsa, top oynayın.""
											Bu da genellikle şu anlama gelir
											eğer genç bir insanın, genellikle genç bir kadının,
											cinsel organı kıllanacak kadar yaşı varsa,
											seks yapılacak yaşa gelmiş demektir.
									","
											Zum Beispiel könnten Sie 
ein Werfer oder Fänger sein,
											und das hängt damit zusammen, ob Sie
											einen sexuellen Akt durchführen oder ihn empfangen.
											Natürlich gibt es auch ""Bases"",
											die bestimmte sexuelle Aktivitäten meinen,
											die in einer bestimmten Reihenfolge ablaufen,
											und letztendlich zu einem ""Scoring Run"" führen
											oder einem ""Homerun"",
											was im Regelfall vaginalen Geschlechtsverkehr
											bis zum Punkt des Orgasmus bedeutet;
											zumindest für den Mann.
											(Lachen)
											Sie könnten ausholen, was bedeutet,
											dass Sie überhaupt keinen Sex haben.
											Und wenn Sie ein ""Bankwärmer"" sind,
											könnten Sie eine Jungfrau sein, oder jemand,
											der aus irgendeinem Grund nicht im Spiel ist,
											vielleicht wegen Ihrem Alter, 
oder Ihrer Begabung
											oder wegen Ihrer Fähigkeiten.
											Ein Schläger ist ein Penis,
											und ein grasiges Erdloch sind 
Schamlippen, oder eine Vagina.
											Ein Handschuh oder Fanghandschuh ist ein Kondom.
											Ein beidhändiger Schlagmann 
ist eine bisexuelle Person,
											und wir Schwulen und Lesben 
spielen für das andere Team.
											Und dann gibt es noch das hier:
											""Wenn es Gras auf dem Feld gibt, spiel den Ball"".
											Und das verweist in der Regel darauf,
											dass wenn eine junge Person, 
besonders oft eine junge Frau,
											alt genug ist, um Schambehaarung zu haben,
											alt genug, um Sex zu haben.
									","
											Assim, por exemplo, podemos ser
quem lança ou quem apanha,
											e isso tem a ver com o facto
											de ser-se ativo ou passivo
durante o ato sexual.
											Claro que há bases
											que se referem a atividades sexuais
específicas,
											que ocorrem segundo uma ordem específica
											que podem resultar em marcar um ponto
											ou em obter vantagem 
que permita vir a marcar um ponto
											o que é geralmente
ter uma relação vaginal
											até atingir o orgasmo,
											pelo menos para o homem.
											(Risos)
											Pode-se falhar, o que significa
											que não consegue ter 
qualquer atividade sexual.
											E ""ficar no banco""
											significa ser virgem ou alguém que,
											por qualquer razão, não está no jogo,
											talvez por causa da idade,
por causa da capacidade
											ou por causa da competência.
											Um taco é um pénis,
											e o fosso é uma vulva, ou uma vagina.
											A luva do recetor é um preservativo.
											Um batedor ambidestro 
é uma pessoa bissexual,
											e nós, gays e lésbicas
jogamos na equipa adversária.
											E há esta frase:
											""Se houver relva no campo, há jogo.""
											O que normalmente se refere
											a que, se uma pessoa, 
especificamente uma rapariga,
											tiver idade suficiente 
para ter pelos púbicos,
											então tem idade suficiente 
para fazer sexo.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Este modelo del béisbol 
es sumamente problemático.
											Es sexista. Es homófobo.
											Es competitivo. Enfocado en los objetivos.
											Y no puede derivar 
en una sexualidad sana
											ni en jóvenes ni en adultos.
											Así que necesitamos 
un nuevo modelo.
											Estoy aquí hoy para 
ofrecerles ese nuevo modelo.
											Y está basado en
											la pizza.
									","
											Bu beyzbol modeli inanılmaz derecede problemli.
											Bu cinsiyetçi. Bu heteroseksüelci.
											Rekabetçi. Amaca yönelik.
											Bu, gençlerde ya da yetişkinlerde
											sağlıklı cinsel gelişmeyle sonuçlanamaz.
											Bu yüzden yeni bir modele ihtiyacımız var.
											Bugün size yeni bir model sunmak için buradayım.
											Bu örnek Pizza'yı
											esas almakta.
									","
											Dieses Baseball-Modell 
ist unglaublich problematisch.
											Es ist sexistisch, heterosexistisch.
											Es ist wetteifernd und zielgerichtet.
											Und es kann nicht zu einer 
gesunden Sexualität führen,
											die sich bei jungen Leuten 
oder Erwachsenen entwickelt.
											Also brauchen wir ein neues Modell.
											Ich bin heute hier, um Ihnen 
dieses neue Modell vorzustellen.
											Und es basiert auf
											Pizza.
									","
											Este modelo baseado no basebol 
é incrivelmente problemático.
											É sexista. É heterossexista.
											É competitivo. É centrado no objetivo.
											Não pode resultar 
num desenvolvimento saudável
											da sexualidade nos jovens ou adultos.
											Precisamos de um modelo novo.
											Estou aqui hoje para vos oferecer 
esse modelo novo.
											E é baseado
											na ""pizza"".
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											La pizza es algo 
universalmente conocido
											y la mayoría de la gente la asocia 
con una experiencia positiva.
											Así que hagamos lo siguiente.
											Vamos a coger el béisbol y 
la pizza y a compararlos
											al hablar de tres aspectos 
de las relaciones sexuales:
											aquello que desencadena 
las relaciones sexuales
											lo que ocurre durante el sexo,
											y el resultado esperado 
de la relación sexual.
									","
											Şimdi, pizza evrensel olarak anlaşılan bir şey
											ve çoğu insan pizzayı olumlu deneyimlerle bağdaştırır.
											Hadi şöyle yapalım.
											Beyzbolu ve pizzayı ele alalım ve cinsel aktivitenin
											üç aşamasını konuşurken bunları karşılaştıralım:
											cinsel aktivite için tetikleyici unsur,
											cinsel aktivite esnasında olanlar
											ve cinsel aktivitenin beklenilen sonucu.
									","
											Pizza wird allgemein verstanden
											und die meisten Menschen 
verbinden positive Erfahrungen damit.
											Also starten wir.
											Lassen Sie uns Baseball und 
Pizza miteinander vergleichen,
											wenn wir drei Aspekte
sexueller Aktivität betrachten:
											Den Auslöser für sexuelle Aktivität,
											was währendessen passiert,
											und das erwartete Ergebnis der sexuellen Aktivität.
									","
											A ""pizza"" é algo que 
universalmente entendemos
											e que a maioria de nós associa 
a uma experiência positiva.
											Vamos comparar.
											Vamos pegar no basebol e na ""pizza"" 
e compará-los,
											quando falamos sobre três aspetos 
da atividade sexual:
											o gatilho para a atividade sexual,
											o que acontece durante a atividade sexual,
											e o resultado esperado 
da atividade sexual.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
