en,fr,es,title,speaker,duration,tags
"
","
","
",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
											It was a fantastic new pink suit
											with big buttons and shoulder pads.
											It was 1997,
											and I was the new boss of Griffin's Foods,
											an iconic cookie and snacks
company in New Zealand.
											It was my first time
as the leader of a company,
											and I was on the stage
to give a big speech
											about our ambitious new goals.
									","
											C'était un formidable
nouveau tailleur rose
											avec de gros boutons et des épaulettes.
											C'était l'année 1997
											et j'étais la nouvelle patronne
chez Griffin's Food,
											une entreprise emblématique de biscuits
et d'en-cas en Nouvelle-Zélande.
											J'étais pour la première fois
dirigeante d'une entreprise
											et j'étais sur scène
pour donner un grand discours
											sur nos nouveaux et ambitieux objectifs.
									","
											Llevaba un traje nuevo rosa precioso
con botones y hombreras.
											Era el año 1997
											y yo era la nueva jefa de Griffin's Foods,
											una emblemática empresa neozelandesa 
de galletas y aperitivos.
											Era la primera vez 
que lideraba una empresa
											y estaba en el escenario
para dar un gran discurso
											de nuestros nuevos 
y ambiciosos objetivos.
									",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
","
","
",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
											I knew exactly what my call to action was,
											which was ""One in every four times
a Kiwi eats a snack,
											it will be one of ours.""
											I emphasized that we knew
how to measure our results
											and that our future was in our control.
											Embarrassingly enough,
											I finished up with ""If not this, what?
											If not us, who?
											And if not now, when?""
									","
											Je savais exactement quel était
mon appel à l'action :
											« Une fois sur quatre
qu'un Kiwi mange un en-cas,
											ce sera un des nôtres. »
											J'ai souligné le fait que nous savions
mesurer nos résultats
											et que notre avenir était dans nos mains.
											De façon embarrassante,
											j'ai fini avec : « Si pas cela, quoi ?
											Si pas nous, qui ?
											Si pas maintenant, quand ? »
									","
											Sabía perfectamente que 
iba a empezar con la frase
											""Una de cada cuatro veces, 
que un kiwi se tome un aperitivo
											será uno de los nuestros"".
											Hice hincapié en que sabíamos
cómo medir nuestros resultados
											y que el futuro lo controlábamos nosotros.
											Como si no fuera suficiente vergonzoso,
											terminé diciendo ""Si no esto, ¿qué?
											Si no somos nosotros, ¿quién?
											Y si no ahora, ¿cuándo?"".
									",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
","
","
",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
											I got this huge round of applause
											and I was really,
really pleased with myself.
											I wanted so much to be a good leader.
											I wanted to be followed by a devoted team,
											I wanted to be right.
											In short, I wanted to be a hero.
											A hero selling chips
and biscuits in a pink suit.
									","
											J'ai reçu une salve d'applaudissements
											et j'étais très satisfaite de moi.
											Je voulais tant être une bonne dirigeante.
											Je voulais être suivie
par une équipe dévouée,
											je voulais avoir raison.
											Pour faire court,
je voulais être une héroïne.
											Une héroïne vendant des chips
et des biscuits dans un tailleur rose.
									","
											Recibí una gran ola de aplausos
											y estaba muy orgullosa de mí misma.
											Deseaba ser una buena líder.
											Que un equipo dedicado me siguiera,
											quería tener razón.
											Resumiendo, quería ser una heroína.
											Heroína que vende aperitivos y galletas
con un traje rosa.
									",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
","
","
",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
","
","
",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
"
											What happened after that speech?
											Nothing.
									","
											Que s'est-il passé après ce discours ?
											Rien.
									","
											¿Qué pasó tras mi discurso?
											Nada.
									",A guide to collaborative leadership,Lorna Davis,14:12,"leadership,society,women in business,business,work,collaboration"
