en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
											Like many of you, I'm one of the lucky people.
											I was born to a family where education was pervasive.
											I'm a third-generation PhD, a daughter of two academics.
											In my childhood, I played around in my father's university lab.
											So it was taken for granted that I attend some of the best universities,
											which in turn opened the door to a world of opportunity.
									","
											Como muchos de Uds., soy una de las afortunadas.
											Nací en una familia en la que la educación lo impregnaba todo.
											Soy la tercera generación de doctores, hija de dos académicos.
											De niña jugué alrededor del laboratorio universitario de mi padre.
											Así que se daba por hecho que asistiría a una de las mejores universidades,
											lo que me abrió la puerta a un mundo de oportunidades.
									","
											Comme beaucoup d'entre vous, 
je fais partie des chanceux.
											Je suis née dans une famille 
où l'éducation était omniprésente.
											Fille de deux universitaires, je suis
la troisième génération à obtenir un doctorat.
											Quand j'étais enfant, je jouais dans le laboratoire 
de mon père à l'université.
											On tenait pour acquis que j'aille étudier dans les meilleures universités,
											ce qui plus tard m'a offert de nombreuses possibilités.
									","
											Wie so viele hier gehöre ich
zu den Glücklichen.
											In meiner Familie wurde 
Bildung großgeschrieben.
											Doktorin in der dritten Generation,
Tochter zweier Akademiker.
											Als Kind spielte ich oft
im Universitätslabor meines Vaters.
											Es war also selbstverständlich, dass ich
einige der besten Universitäten besuchte,
											was mir wiederum eine Welt 
voller Möglichkeiten eröffnete.
									","
											Çoğunuz gibi ben de 
şanslı insanlardan biriyim.
											Eğitimle çok haşır neşir
bir ailede doğdum.
											Üçüncü nesil doktoralıyım
ve her iki ebeveynim de akademisyen.
											Çocukluğumda, babamın üniversitedeki 
laboratuvarında oynardım.
											Bu nedenle en iyi üniversitelerden 
birkaçına girmem kolay oldu
											ve bu da bana fırsatlarla dolu 
bir dünyanın kapısını açtı.
									",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
","
","
","
","
",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
											Unfortunately, most of the people in the world are not so lucky.
											In some parts of the world, for example, South Africa,
											education is just not readily accessible.
											In South Africa, the educational system was constructed
											in the days of apartheid for the white minority.
											And as a consequence, today there is just not enough spots
											for the many more people who want and deserve a high quality education.
											That scarcity led to a crisis in January of this year
											at the University of Johannesburg.
											There were a handful of positions left open
											from the standard admissions process, and the night before
											they were supposed to open that for registration,
											thousands of people lined up outside the gate in a line a mile long,
											hoping to be first in line to get one of those positions.
											When the gates opened, there was a stampede,
											and 20 people were injured and one woman died.
											She was a mother who gave her life
											trying to get her son a chance at a better life.
									","
											Por desgracia, la mayoría no es tan afortunada.
											En algunos lugares, como Sudáfrica,
											no se accede fácilmente a la educación.
											Allí el sistema educativo se estableció
											durante la segregación racial para la minoría blanca,
											por eso hoy no hay suficientes plazas
											para los muchos que desean y merecen una educación de alta calidad.
											Esta escasez provocó una crisis en enero de este año
											en la Universidad de Johannesburgo.
											Quedaba un puñado de plazas
											y la noche anterior
											a que se abriera el registro,
											miles aguardaban en una fila de 1,5 km.
											esperando conseguir una plaza.
											Cuando las puertas abrieron hubo una estampida,
											20 personas resultaron heridas y una mujer falleció.
											Era una madre que dio su vida intentando
											obtener para su hijo la oportunidad de una vida mejor.
									","
											Malheureusement, la plupart des gens 
dans le monde n'ont pas cette chance.
											Dans certaines parties du monde, 
par exemple en Afrique du Sud,
											l'éducation n'est tout simplement pas accessible.
											En Afrique du Sud, le système éducatif a été bâti
											à l'époque de l'apartheid pour la minorité blanche.
											Et par conséquent, aujourd'hui, il n'y a pas assez d'endroits
											pour tous ceux qui veulent et méritent 
une éducation de haute qualité.
											Cette pénurie a conduit à une crise en janvier dernier
											à l'Université de Johannesburg.
											Il restait quelques places disponibles en passant
											par le processus standard d'admission, 
et la nuit précédant
											l'ouverture des inscriptions,
											des milliers de personnes faisaient la queue 
devant la porte sur plus d'un kilomètre
											avec l'espoir d'être le premier dans la file 
pour obtenir une de ces places.
											A l'ouverture des portes, il y a eu une bousculade,
											20 personnes ont été blessées et une femme est morte.
											C'était une mère qui a donné sa vie
											en essayant d'offrir la possibilité
d'une vie meilleure à son fils.
									","
											Leider haben die meisten Menschen
auf der Welt nicht so viel Glück.
											In einigen Teilen der Welt, 
z. B. in Südafrika,
											ist Bildung nur schwer zugänglich.
											Das Bildungssystem in Südafrika wurde
											zu Zeiten der Apartheid
für die weiße Minderheit entwickelt.
											Dadurch gibt es heutzutage
einfach nicht genügend Plätze
											für die vielen Menschen, die eine hochwertige
Ausbildung wollen und verdienen.
											Dieser Mangel führte
im Januar diesen Jahres zu einer Krise
											an der University of Johannesburg.
											Es gab noch ein paar freie Studienplätze
											im Standardzulassungsverfahren,
und in der Nacht,
											bevor die Registrierung für 
diese Plätze beginnen sollte,
											stellten sich Tausende von Menschen
in einer kilometerlangen Schlange vor dem Tor an.
											Sie hofften, 
einen dieser Plätze zu ergattern.
											Als sich die Tore öffneten,
kam es zu einer Massenpanik,
											bei der 20 Menschen verletzt wurden
und eine Frau starb.
											Es war eine Mutter,
die bei dem Versuch,
											ihrem Sohn ein besseres Leben zu 
ermöglichen, ihr Leben verlor.
									","
											Ne yazık ki dünyadaki pek çok insan 
bu kadar şanslı değil.
											Dünyanın bazı bölgelerinde, 
örneğin, Güney Afrika'da,
											eğitime erişim kolay değil.
											Güney Afrika'nın eğitim sistemi, 
ırk ayrımı döneminde
											beyaz azınlığa göre düzenlenmişti.
											Sonuç olarak bugün hâlâ, 
yüksek kalitede eğitim isteyen
											ve bunu hak eden pek çok kişiye 
yeterli kontenjan bulunmuyor.
											Bu yetersizlik, bu yıl Haziran ayında 
Johannesburg Üniversitesi'nde
											bir krize yol açtı.
											Üniversitedeki standart kabul 
işlemlerinden sonra
											çok az sayıda boş kontenjan kalmıştı 
ve üniversitenin kayıtlar için
											açılacağı günün gecesinde
binlerce insan
											kapının dışında bir buçuk
kilometrelik bir kuyruk oluşturdu,
											bu kontenjanlardan birine yerleşebilmek
için sıradaki ilk kişi olmayı umuyorlardı.
											Kapılar açıldığında bir izdiham oldu,
											20 kişi yaralandı ve bir kadın öldü.
											Oğlununa daha iyi bir hayat sağlamaya
											çalışırken hayatını kaybeden bir anneydi.
									",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
","
","
","
","
",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
											But even in parts of the world like the United States
											where education is available, it might not be within reach.
											There has been much discussed in the last few years
											about the rising cost of health care.
											What might not be quite as obvious to people
											is that during that same period the cost of higher education tuition
											has been increasing at almost twice the rate,
											for a total of 559 percent since 1985.
											This makes education unaffordable for many people.
									","
											Pero incluso donde la educación está disponible, como en EE.UU.,
											puede estar fuera del alcance.
											En los últimos años se ha discutido mucho
											sobre el creciente costo de la asistencia médica.
											No obstante, durante el mismo periodo
											el costo de la educación superior
											ha incrementado
											hasta un total de 559 % desde 1985.
											Esto hace la educación inaccesible para muchos.
									","
											Mais même dans des endroits comme les États-Unis
											où l'éducation est disponible, elle pourrait être 
hors de portée.
											On a beaucoup parlé ces dernières années
											de l'augmentation du coût des soins de santé.
											Ce que moins de gens savent peut-être
											est que, durant cette même période, les frais de scolarité 
de l'enseignement supérieur
											ont augmenté presque deux fois plus vite,
											pour atteindre 559 % depuis 1985.
											Ça rend l'éducation inaccessible pour beaucoup de gens.
									","
											Aber selbst in Teilen der Welt 
wie den Vereinigten Staaten,
											wo Bildung vorhanden ist, ist sie 
nicht unbedingt erreichbar.
											In den letzten Jahren wurde viel
											über die steigenden Kosten 
im Gesundheitswesen diskutiert.
											Viele wissen vielleicht nicht,
											dass sich in der gleichen Zeit 
die Studiengebühren
											um fast das Zweifache erhöht haben,
											seit 1985 um insgesamt 559%.
											Dadurch wird Bildung für viele unbezahlbar.
									","
											Fakat Amerika gibi dünyanın
eğitimin yaygın olduğu
											bazı bölgelerinde bile
ona erişim kolay olmayabilir.
											Son birkaç yıldır, 
sağlık hizmetlerinin artan ücretleri
											çok fazla tartışılıyor.
											İnsanların bu kadar 
dikkatini çekmeyen diğer şey şu;
											aynı dönemde,1985'ten bu yana,
yüksek öğrenim ücretleri,
											neredeyse iki kat daha hızla,
											toplam %559 oranında arttı.
											Bu durum, eğitimi pek çok kişi 
için maddi olarak imkânsız kılıyor.
									",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
","
","
","
","
",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
											Finally, even for those who do manage to get the higher education,
											the doors of opportunity might not open.
											Only a little over half of recent college graduates
											in the United States who get a higher education
											actually are working in jobs that require that education.
											This, of course, is not true for the students
											who graduate from the top institutions,
											but for many others, they do not get the value
											for their time and their effort.
									","
											Finalmente, incluso quienes logran terminar la universidad
											pueden no tener oportunidades.
											Poco más de la mitad de los universitarios
											recién graduados en EE.UU.
											tienen empleos que requieren ese nivel de formación.
											Ciertamente, esto es diferente
											para los graduados de las instituciones de prestigio,
											pero muchos otros no recuperan el valor
											de su tiempo y esfuerzo.
									","
											Enfin, même pour ceux qui parviennent 
à l'enseignement supérieur,
											les opportunités peuvent manquer.
											Seule une petite moitié des diplômés récents des facultés
											aux États-Unis qui suivent un enseignement supérieur
											travaillent effectivement dans des emplois 
qui exigent cette éducation.
											Ceci, bien sûr, n'est pas vrai pour les étudiants
											diplômés des établissements les plus renommés,
											mais beaucoup d'autres ne trouvent pas leur compte
											par rapport au temps et aux efforts qu'ils investissent.
									","
											Selbst jenen mit einer Hochschulausbildung
											bietet sich nicht unbedingt 
die passende Gelegenheit.
											Nun knapp über die Hälfte der derzeitigen
											Hochschulabsolventen 
in den Vereinigten Staaten
											hat tatsächlich einen Job, 
der diese Qualifikation voraussetzt.
											Natürlich gilt dies nicht für Studierende,
											die an Top-Hochschulen abschließen,
											doch für viele andere zahlen sich die investierte
											Zeit und Mühe nicht aus.
									","
											Sonunda, yüksek öğrenim 
görmeyi başaranlara da
											fırsat kapıları açılmayabiliyor.
											Birleşik Devletler'de 
yüksek öğrenim gören
											üniversite mezunlarının
sadece yarısından biraz fazlası
											bu eğitimi gerektiren bir işte çalışıyor.
											Bu durum elbette
en iyi üniversitelereden
											mezun olanlar için geçerli değil.
											Ancak diğer pek çok kişi 
harcadığı zamanın
											ve çabalarının karşılığını alamıyor.
									",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
","
","
","
","
",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
"
											Tom Friedman, in his recent New York Times article,
											captured, in the way that no one else could, the spirit behind our effort.
											He said the big breakthroughs are what happen
											when what is suddenly possible meets what is desperately necessary.
											I've talked about what's desperately necessary.
											Let's talk about what's suddenly possible.
									","
											Tom Friedman, en un artículo para el New York Times,
											reflejó, como ninguno, el espíritu de nuestro proyecto.
											Dijo que las grandes innovaciones ocurren cuando
											lo que de repente es posible encuentra lo desesperadamente necesario.
											He hablado sobre lo que es desesperadamente necesario.
											Ahora hablemos sobre lo que de repente es posible.
									","
											Tom Friedman, dans son article récemment 
publié dans le New York Times,
											a saisi comme personne l'esprit qui anime notre effort.
											Il a dit que les grandes avancées surviennent
											quand ce qui est soudain possible rencontre 
ce qui est désespérément nécessaire.
											J'ai parlé de ce qui est désespérément nécessaire.
											Parlons un peu de ce qui est soudain possible.
									","
											Tom Friedman brachte unsere 
Bemühung in seinem jüngsten
											Artikel in der New York Times 
unnachahmbar auf den Punkt:
											""Große Durchbrüche finden statt,
											wenn das plötzlich Mögliche auf 
das verzweifelt Benötigte trifft.""
											Über das verzweifelt Benötigte 
habe ich bereits gesprochen.
											Kommen wir zu dem plötzlich Möglichen.
									","
											Gazeteci Tom Friedman, 
New York Times'daki son köşe yazısında,
											hiç kimsenin yapamayacağı bir şekilde, 
çabalarımızın ardındaki ruhu yakaladı.
											Büyük ilerlemelerin, yapılmasına
şiddetle ihtiyaç duyulan şeyle,
											yapılması birdenbire mümkün olan şeyin
buluştuğu anlarda gerçekleştiğini yazdı.
											Şiddetle ihtiyaç duyulan şeyi söyledim.
											Birdenbire mümkün olan şey 
hakkında konuşalım.
									",What we're learning from online education,Daphne Koller,20:40,"Internet,computers,education,global issues,code"
