en,fr,es,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
											After years of experiments,
											you’ve finally created 
the pets of the future–
											nano-rabbits!
											They’re tiny, they’re fuzzy…
											and they multiply faster 
than the eye can see.
									","
											Après des années de recherche,
											vous venez de créer l'animal
domestique de l'avenir :
											le nano-lapin.
											Il est tout petit, tout doux...
											et se multiplie plus vite
que son ombre.
									","
											Tras años de experimentos,
											finalmente has creado
las mascotas del futuro:
											¡los nanoconejos!
											Son pequeños, peluditos...
											y se multiplican más rápido
de lo observable a simple vista.
									","
											Após anos de experiências,
											conseguiste criar finalmente
os animais de estimação do futuro
											— nano-coelhos!
											São minúsculos, são peludos...
											e multiplicam-se mais depressa
do que os olhos conseguem ver.
									","
											Yıllar süren deneylerden sonra
											en sonunda geleceğin
ev hayvanlarını yarattın–
											nano-tavşanlar!
											Küçükler, kabarıklar 
ve olabildiğine hızlı çoğalıyorlar.
									",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
","
","
","
","
",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
											In your lab there are 36 habitat cells,
											arranged in an inverted pyramid,
											with 8 cells in the top row.
											The first has one rabbit,
											the second has two, and so on,
											with eight rabbits in the last one.
											The other rows of cells are empty…
											for now.
											The rabbits are hermaphroditic,
											and each rabbit in a given 
cell will breed once
											with every rabbit in the horizontally 
adjacent cells,
											producing exactly one offspring each time.
											The newborn rabbits will 
drop into the cell
											directly below the 
two cells of its parents,
											and within minutes will mature 
and reproduce in turn.
											Each cell can hold 10^80 nano-rabbits –
											that’s a 1 followed by 80 zeros –
											before they break free 
and overrun the world.
											Your calculations have given you a 
46-digit number
											for the count of rabbits 
in the bottom cell–
											plenty of room to spare.
									","
											Votre labo est équipé de 36 cages,
											positionnées en pyramide inversée.
											Il y a huit cages sur la rangée du haut.
											Dans la première cage, il y a un lapin.
											Dans la deuxième, deux lapins
et ainsi de suite.
											Il y a donc huit lapins
dans la dernière cage.
											Toutes les autres rangées sont vides,
											pour l'instant.
											Les lapins sont hermaphrodites
											et chacun d'eux dans une cellule
donnée se reproduira une fois
											avec chaque lapin dans les cellules
adjacentes sur le plan horizontal.
											Il procréera précisément
un rejeton à chaque fois.
											Les lapins nouveaux-nés
seront logés dans une cage
											directement en dessous
de celles de leurs parents.
											En quelques instants, il deviendra pubère
et pourra se reproduire aussi.
											Chaque cage peut contenir
un nombre de lapins de 10 puissance 80,
											soit, 1 suivi par 80 zéros,
											avant qu'ils ne s'échappent
et envahissent le monde.
											Selon vos estimations,
on obtient un nombre de 46 chiffres
											de lapins dans la cellule du bas.
											Il reste encore plein d'espace.
									","
											En tu laboratorio hay 36 celdas,
											dispuestas en forma de pirámide invertida,
											con ocho celdas en la fila superior.
											La primera tiene un conejo,
											la segunda tiene dos, y así sucesivamente
											hasta llegar a ocho conejos
en la última celda.
											El resto de las celdas están vacías...
											de momento.
											Los conejos son hermafroditas,
											y cada conejo de cada celda 
se reproducirá una vez
											con cada conejo de la celda
adyacente en la fila horizontal,
											dando a luz exactamente
a una cría por vez.
											Los conejos recién nacidos
caerán en la celda
											ubicada inmediatamente debajo
de las dos celdas de sus padres,
											alcanzarán la madurez en minutos,
y se reproducirán a su turno.
											Cada celda puede alojar 10^80 nanoconejos,
											es decir, un 1 seguido de 80 ceros,
											antes de que escapen y dominen el mundo.
											Tus cálculos te han dado
un número de 46 dígitos
											al contabilizar los conejos
de la última celda.
											Hay espacio de sobra.
									","
											No teu laboratório
há 36 células ""habitat"",
											dispostas segundo uma pirâmide invertida,
											com oito células na fila do topo.
											A primeira célula tem um coelho,
											a segunda tem dois,
e assim sucessivamente,
											com oito coelhos na última célula.
											As outras filas de células estão vazias,
por enquanto.
											Os coelhos são hermafroditas,
											e cada coelho numa determinada célula
acasalará uma vez
											com cada coelho nas células
horizontais adjacentes,
											produzindo exatamente
um rebento de cada vez.
											Os coelhos recém-nascidos
cairão na célula
											diretamente abaixo 
das duas células dos seus pais
											e, em minutos, tornar-se-ão adultos
e reproduzir-se-ão, por sua vez.
											Cada célula pode conter
10^80 nano-coelhos
											— ou seja, um 1 seguido de 80 zeros —
											antes de se libertarem
e de se espalharem pelo mundo.
											Os teus cálculos deram-te
um número com 46 algarismos
											para a contagem de coelhos
na célula de baixo.
											Ainda fica muito espaço disponível.
									","
											Laboratuvarında 36 yaşam hücresi var,
											ters piramit şeklinde düzenlenmiş
ve en üst sırada 8 hücre mevcut.
											İlk hücrede bir tavşan var,
											ikincide iki ve böyle gidiyor;
											sonuncuda ise sekiz tavşan.
											Diğer hücre sıraları boş...
											şimdilik.
											Tavşanlar hermafrodit olup
											belli bir hücredeki her tavşan
											yatay bitişik hücredeki
her bir tavşanla bir kere çiftleşerek
											her seferinde tek bir yavru verecek.
											Yenidoğan tavşan
ebeveynlerinin hücrelerinin
											tam altında yer alan hücreye düşecek
											ve dakikalar içinde
yetişkin olup yavrulayacak.
											Her hücrede 10^80
nano-tavşan bulunabilir –
											yani 1'i takip eden 80 sıfır kadar –
											sonra serbest kalıp dünyayı kaplayacaklar.
											Hesaplamalarınıza göre
en alt hücredeki tavşan sayısı
											46 basamaklı bir sayı kadar–
											yeterince yer var.
									",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
","
","
","
","
",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
											But just as you pull the lever 
to start the experiment,
											your assistant runs in with terrible news.
											A rival lab has sabotaged your code
											so that all the zeros at the end 
of your results got cut off.
											That means you don’t actually know
											if the bottom cell will be able to hold 
all the rabbits –
											and the reproduction is already underway!
											To make matters worse,
											your devices and calculators 
are all malfunctioning,
											so you only have a few minutes 
to work it out by hand.
											How many trailing zeros should there be
											at the end of the count of rabbits 
in the bottom habitat?
											And do you need to pull the emergency 
shut-down lever?
									","
											Alors que vous allez ouvrir les cages
pour commencer votre expérience,
											votre technicien accourt
avec une terrible nouvelle.
											Un laboratoire concurrent
vient de saboter le code
											et le système efface tous les zéros
à la fin des résultats obtenus.
											Bref, vous ne savez pas exactement
											si la cellule dans le bas de la pyramide,
pourra contenir tous les lapins.
											Mais la reproduction a déjà commencé.
											Pour ne rien arranger,
											vos équipements et systèmes analytiques
ne fonctionnent plus bien.
											Il ne vous reste plus
qu'à faire le calcul à la main.
											Combien de zéros devrait-il y avoir
											à droite du nombre final de lapin
dans la dernière cellule du bas ?
											Devriez-vous interrompre
l'expérience en urgence ?
									","
											Tan pronto como tiras de la palanca
para empezar el experimento,
											tu asistente llega
con una noticia espantosa.
											Un laboratorio rival
ha saboteado tu código
											para eliminar todos los ceros
finales de tus resultados.
											Eso quiere decir que realmente no sabes
											si la última celda podrá 
alojar todos los conejos,
											y ya se están reproduciendo.
											Para empeorar las cosas,
											todos tus dispositivos y calculadoras
no funcionan correctamente,
											así que solo tienes unos minutos
para hacer el cálculo a mano.
											¿Cuántos ceros debería haber
											al final del número de conejos
en la última celda?
											Y ¿necesitas tirar de la palanca de
emergencia para detener el experimento?
									","
											Mas, quando acionas a alavanca
para iniciar a experiência,
											o teu assistente aparece
com notícias terríveis.
											Um laboratório rival
sabotou o teu código
											para desaparecerem todos os zeros 
no final dos resultados.
											Isso significa que, afinal, não sabes
											se a célula de baixo poderá
conter todos os coelhos
											e a reprodução já está em marcha.
											Para piorar as coisas,
											os teus aparelhos e calculadoras
estão a funcionar mal
											e só tens uns minutos
para fazer os cálculos à mão.
											Quantos zeros à direita poderá haver
											no final da contagem de coelhos
no ""habitat"" de baixo?
											Precisarás de acionar a alavanca
de emergência para pôr fim a tudo?
									","
											Tam kolu çelip deneye başlayacakken
											asistanın korkunç haberlerle
koşarak geliyor.
											Rakip bir laboratuvarın
kodunu sabote etmesiyle
											sonuçlarının sonundaki
tüm sıfırlar kesilip atılmış.
											Yani artık en alttaki hücrenin tüm 
tavşanları alıp almayacağını bilmiyorsun –
											ve üreme neredeyse başladı!
											Daha da kötüsü
											tüm cihaz ve hesap
makinelerin arıza veriyor,
											bu yüzden elle halletmek için
sadece birkaç dakikan var.
											En alttaki yaşam hücresinde birikecek
											nihai tavşan sayısının
sonunda kaç sıfır olmalı?
											Ya da acil durum
durdurma kolunu çekmeli misin?
									",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
","
","
","
","
",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
											Pause the video now if you want 
to figure it out for yourself.
									","
											Mettez la vidéo sur pause
pour faire le calcul.
									","
											[Pausa el video ahora
si quieres descubrirlo por ti mismo]
									","
											[Suspende aqui o vídeo
se quiseres resolver sozinho]
									","
											Kendi başınıza düşünmek için
videoyu burada durdurun.
									",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
","
","
","
","
",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
"
											Answer in 3
									","
											Solution dans 3 secondes.
									","
											[La respuesta en 3]
									","
											[Resposta em: 3
									","
											Cevap için 3
									",Can you solve the multiplying rabbits riddle?,Alex Gendler,4:26,"TED-Ed,math,animation"
