es,tr,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
											Muchos de ustedes conocerán probablemente la historia de los dos vendedores
											que viajaron a África en los primeros años del siglo XX.
											Los mandaron para ver si era factible
											vender zapatos.
											Y desde allí enviaron telegramas a Manchester.
											Uno de ellos escribió: ""Ninguna posibilidad. Stop.
											No usan zapatos"".
											Y el otro escribió: ""Magnífica oportunidad.
											Todavía no tienen zapatos"".
											(Risas)
									","
											Muhtemelen bir çoğunuz 1900'lü yıllarda
											Afrika'da geçen, iki satıcı ile ilgili hikayeyi biliyordur.
											Oralarda ayakkabı satmak için bir fırsat
											olup olmadığını öğrenmek amacıyla gönderilmişlerdi.
											Sonrasında Manchester'a telgraf gönderdiler.
											Ve bir tanesi şöyle yazdı: ""Durum ümitsiz. Nokta.
											Ayakkabı giymiyorlar.""
											Ve diğeri de şöyle yazdı: ""Büyük fırsat.
											Henüz ayakkabıları yok.""
											(Kahkahalar)
									","
											Probalement nombre d'entre vous connaissent l'histoire des deux marchants
											qui se rendirent en Afrique dans les années 1900.
											Ils furent envoyés là-bas pour y chercher des opportunités
											de vendre des chaussures.
											Chacun d'eux envoya un télégramme à Manchester.
											Le premier écrivit: ¨Situation désespérée. Stop.
											Ils ne portent pas de chaussures.¨
											Le deuxième écrivit: ¨Opportunités incroyables.
											Ils ne portent pas encore de chaussures.¨
											(Rires)
									","
											Kennen Sie die Geschichte der beiden Geschäftsmänner,
											die Anfang 1900 nach Afrika gingen?
											Sie sollten nach Möglichkeiten suchen,
											Schuhe zu verkaufen.
											Beide schickten Telegramme nach Manchester.
											Der eine schrieb: „Situation hoffnungslos. Stop.
											Hier trägt niemand Schuhe.“
											Der andere schrieb: „Großartige Gelegenheit.
											Hier hat noch niemand Schuhe.“
											(Lachen)
									","
											Provavelmente muitos de vocês conhecem 
a história dos dois vendedores
											que foram a África nos primeiros anos 
do século XX.
											Foram enviados para ver se havia 
alguma oportunidade
											para vender sapatos,
											e escreveram telegramas com a resposta 
para Manchester.
											Um deles escreveu:
""Não há esperança.
											""Eles não usam sapatos.""
											E o outro escreveu:
""Oportunidade fantástica!
											""Eles ainda não têm sapatos!"".
											(Risos)
									",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
","
","
","
","
",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
											En el mundo de la música clásica la situación es similar
											porque algunos piensan
											que la música clásica está agonizando.
											Y otros pensamos que todavía no han visto nada.
											Y en vez de analizar estadísticas y tendencias
											y hablarles de todas las orquestas que dejan de tocar
											y las empresas discográficas que cierran,
											pensé que esta noche era mejor hacer un experimento — un experimento.
											En realidad, no es un experimento porque sé el resultado.
									","
											Şimdi, klasik müzik dünyasında da benzeri bir durum söz konusu,
											çünkü bazı insanlar
											klasik müziğin ölmek üzere olduğunu düşünüyor.
											Ve aramızdan bazıları da henüz bir şey görmediğinizi düşünüyor.
											İstatistik ve modalardan,
											kapanan orkestralardan,
											müzik şirketlerinin iflas etmesinden bahsetmek yerine,
											bu gece bir deney yapmamız gerektiğini düşündüm. Bir deney.
											Aslında bir deney de denemez, çünkü sonucun ne olacağını biliyorum.
									","
											La situation est similaire dans le monde de la musique classique,
											car il y a certaines personnes qui pensent
											que la musique classique est moribonde.
											Mais certains d'entre nous pensent que vous n'avez encore rien vu.
											Et plutôt que d'exposer des statistiques et des tendances
											et de vous parler de tous les orchestres qui sont en train de fermer,
											et des maisons de disques qui sont en train de plier boutique,
											J'ai pensé que nous devrions faire une expérience ce soir — une expérience
											En fait, ce n'est pas vraiment une expérience car j'en connais l'issue.
									","
											Es gibt eine ähnliche Situation in der Welt der klassischen Musik.
											Manche Menschen denken,
											die klassische Musik stirbt aus.
											Und es gibt jene, die sagen: „Ihr habt noch nix gesehen.“
											Statt Statistiken und Trends zu untersuchen
											und Ihnen von Orchester-Schließungen zu berichten
											und von Musikverlagen, die zusammengelegt werden
											dachte ich, wir sollten ein Experiment unternehmen – ein Experiment.
											Eigentlich ist es kein Experiment, denn ich kenne das Ergebnis.
									","
											Há uma situação idêntica no mundo da 
música clássica,
											porque há algumas pessoas que pensam
											que a música clássica está a morrer.
											E há alguns de nós que pensam que 
vocês ainda não viram nada.
											E em vez de analisar
estatísticas e tendências,
											e de vos falar sobre orquestras que 
estão a deixar de tocar,
											e de editoras que estão a fechar,
											eu pensei que poderíamos fazer
uma experiência esta noite.
											Na verdade, não é uma experiência, 
porque eu sei o resultado.
									",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
","
","
","
","
",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
											Pero es como un experimento. Ahora, antes...
											(Risas)
											... antes de comenzar debo hacer dos cosas.
											Una es recordarles cómo un chico de siete años
											suena cuando toca el piano.
											Tal vez tengan a este chico en casa.
											Suena un poco así.
											(Piano)
											Veo que algunos reconocen a este chico.
											Ahora, si practica durante un año y toma clases, tiene ocho
											y suena así.
											(Piano)
											Practica otro año y toma clases; ya tiene nueve
											(Piano)
											Practica un año más y toma clases; ya tiene diez.
											(Piano)
											Aquí en general dejan.
											(Risas)
											(Aplausos)
											Ahora, si hubieran esperado, si hubieran esperado un año más
											habrían escuchado esto:
											(Piano)
									","
											Fakat deneye de benziyor. Şimdi, şey yapmadan önce —
											(Kahkahalar)
											— başlamadan önce iki şey yapmam gerekiyor.
											İlk olarak size yedi yaşında bir çocuk piyano çalarken,
											müziğin neye benzediğini hatırlatmak istiyorum.
											Belki de bu çocuk evinizde var.
											Müziği şuna benzer.
											(Piyano)
											Bir kısmınızın bu çocuğu anımsadığını görüyorum.
											Şimdi, eğer bir yıl çalışır ve dersler alırsa, şimdi sekiz yaşındadır
											ve müziği şuna benzer.
											(Piyano)
											Ardından bir yıl daha çalışır ve dersler alır, şimdi dokuz yaşındadır.
											(Piyano)
											Sonra bir daha çalışır ve dersler alır, şimdi on yaşındadır.
											(Piyano)
											Bu noktadan sonra genellikle vazgeçerler.
											(Kahkahalar)
											(Alkışlar)
											Şimdi, eğer bekleseydiniz, eğer bir yıl daha bekleseydiniz,
											şunu duymuş olurdunuz:
											(Piyano)
									","
											Mais c'est comme une expérience. Maintenant, avant de —
											(Rires)
											— avant que nous commencions je dois faire deux choses.
											Premièrement, je veux vous rappeler à quoi ressemble un enfant de sept ans
											quand il joue du piano.
											Peut être que c'est enfant vit chez vous.
											Ca ressemble à ça.
											(Piano)
											Je vois que certains d'entre vous ont reconnu cet enfant.
											Si il pratique pendant un an et prend des leçons, il a maintenant huit ans
											et il joue comme ceci.
											(Piano)
											Ensuite il pratique encore pendant un an et prend des leçons; il a maintenant neuf ans.
											(Piano)
											Puis il pratique pendant encore un an et prend des leçons; il a dix ans.
											(Piano)
											A ce stade, en général ils abandonnent.
											(Rires)
											(Applaudissements)
											Mais si vous aviez attendu, attendu un an de plus,
											vous auriez entendu ceci:
											(piano)
									","
											Aber es ist wie ein Experiment. Bevor wir aber...
											(Lachen)
											... bevor wir beginnen brauche ich zwei Dinge.
											Erstens: ich möchte Sie daran erinnern,
											wie ein Siebenjähriger Klavier spielt.
											Vielleicht haben Sie dieses Kind zuhause.
											Er klingt in etwa so.
											(Klavier)
											Einige von Ihnen scheinen, dieses Kind zu kennen.
											Wenn er ein Jahr übt und Unterricht nimmt ist er nun acht
											und klingt so:
											(Klavier)
											Dann übt er ein weiteres Jahr; jetzt ist er neun.
											(Klavier)
											Dann übt er ein weiteres Jahr; jetzt ist er zehn Jahre alt.
											(Klavier)
											An diesem Punkt geben sie meistens auf.
											(Lachen)
											(Applaus)
											Wenn Sie nur ein weiteres Jahr gewartet hätten
											hätten Sie dies gehört:
											(Klavier)
									","
											Mas é como se fosse uma experiência.
											Antes de começarmos...
											(Risos)
											Antes de começarmos, eu preciso de 
fazer duas coisas.
											Uma é lembrar-vos de como soa 
uma criança de 7 anos
											quando toca piano.
											Talvez tenham esta criança em casa.
											Soa mais ou menos assim.
											(Piano)
											Vejo que alguns de vós
reconhecem esta criança.
											Se a criança praticar durante 1 ano 
e tiver aulas, tem agora 8 anos
											e soa assim.
											(Piano)
											Pratica mais um ano e tem aulas — 
tem agora 9 anos.
											(Piano)
											Pratica mais um ano e tem aulas — 
tem agora 10 anos.
											(Piano)
											Por esta altura, normalmente,
eles desistem.
											(Risos)
											(Aplausos)
											Mas, se tivesse esperado mais um ano,
											talvez tivessem ouvido isto.
											(Piano)
									",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
","
","
","
","
",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
											Lo que pasó no fue quizás lo que pensaron,
											o sea, que de repente se entusiasmó, se comprometió,
											se dedicó más, cambió de profesor, llegó a la pubertad o lo que sea.
											Lo que pasó en realidad, es que se redujeron los acentos.
											Verán, la primera vez tocaba
											con un acento en cada nota.
											(Piano)
											Y la segunda con un acento nota por medio.
											(Piano)
											Pueden verlo observando mi cabeza.
											(Risas)
											El de nueve años, el de nueve años
											pone un acento cada cuatro notas.
											(Piano)
											Y el de diez años cada ocho notas.
											(Piano)
											Y el de once años, un acento en toda la frase.
											(Piano)
									","
											Şimdi, ne olduğu muhtemelen aklınıza gelen şey değil,
											ki o da, aniden şehvetli, tutkulu, ilgili olduğu
											yeni bir öğretmeninin olduğu, ergenlik çağına girdiği veya her neyse.
											Gerçekte olan şey ise, dürtülerinin azalmış olması.
											Görüyorsunuz, ilk kez çaldığında
											her notada bir tempo tutuyor.
											(Piyano)
											İkincisinde, her ikinci notada bir tempo tutuyor.
											(Piyano)
											Bunu kafamı takip ederek görebilirsiniz.
											(Kahkahalar)
											Dokuz yaşındaki, dokuz yaşındaki,
											her dört notada bir tempo tutar.
											(Piyano)
											Ve on yaşındaki her sekiz notada.
											(Piyano)
											11 yaşındakinde ise tek bir tempo ile bütün bölüm.
											(Piyano)
									","
											Ce qui s'est passé n'est pas ce que vous pensez,
											par exemple qu'il s'est soudainement passionné, impliqué,
											qu'il a eu un nouveau professeur, qu'il a atteint la puberté, ou autre.
											En fait c'est le nombre d'impulsions qui a changé.
											Voyez, la première fois il jouait
											avec une impulsion sur chaque note.
											(piano)
											La deuxième avec une impulsion toutes les deux notes.
											(Piano)
											Vous pouvez le voir en regardant ma tête.
											(Rires)
											A neuf ans, à neuf ans
											il mettait une impulsion toutes les quatre notes.
											(Piano)
											Et a dix ans, toutes les huit notes.
											(piano)
											Et à onze ans, une impulsion pour l'ensemble du phrasé.
											(Piano)
									","
											Es ist aber nicht passiert, was Sie vielleicht denken.
											Dass er plötzlich leidenschaftlich wurde, engagiert
											einen neuen Lehrer bekam, in die Pubertät kam, oder was auch immer.
											In Wirklickeit wurde nur die Anzahl der Akzente reduziert.
											Beim ersten Mal hob er
											jede einzelne Note hervor.
											(Klavier)
											Beim zweiten Mal jede zweite Note.
											(Klavier)
											Sie können es an meinem Kopf sehen.
											(Lachen)
											Der Neunjährige
											setzte alle vier Noten einen Akzent.
											(Klavier)
											Und der Zehnjährige alle acht Noten.
											(Klavier)
											Und der Elfjährige nur einen Akzent im gesamten Abschnitt.
											(Klavier)
									","
											O que aconteceu não foi o que, 
se calhar, pensaram,
											ou seja, que a criança se entusiasmou, 
se comprometeu, se dedicou mais,
											arranjou um novo professor,
											chegou à puberdade, ou que quer que seja.
											Na realidade, o que aconteceu foi que 
os impulsos foram reduzidos.
											Vejam, na primeira vez,
											a criança toca
com um impulso em cada nota.
											(Piano)
											Depois, com um impulso a cada duas notas.
											(Piano)
											Podem ver isso
olhando para a minha cabeça.
											(Risos)
											A criança de 9 anos
											coloca um impulso a cada 4 notas.
											(Piano)
											E a de 10 anos, um impulso a cada 8 notas.
											(Piano)
											A de 11 anos, um impulso na frase inteira.
											(Piano)
									",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
","
","
","
","
",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
"
											Lo sé — No sé cómo llegamos a esta posición.
											(Risas)
											No pensé: voy a mover el hombro así, mover el cuerpo.
											No, la música me empujó,
											por eso lo llamo tocar con un solo glúteo.
											(Piano)
											Puede ser el otro glúteo.
											(Piano)
											Saben, una vez un señor asistió a una presentación que hice
											cuando trabajaba con un joven pianista.
											Era presidente de una empresa de Ohio.
											Y yo estaba trabajando con este joven pianista
											y dije: ""El problema es que tocas con los dos glúteos.
											Deberías tocar con un solo glúteo"".
											Y moví su cuerpo así mientras tocaba.
											Y de pronto la música despegó. Levantó vuelo.
											El público suspiró asombrado al oír la diferencia.
											Y después recibí una carta de este hombre.
											Decía: ""Me conmovió.
											Volví y transformé toda mi empresa
											en una empresa de un solo glúteo"".
											(Risas)
									","
											Biliyorum — bu duruşu nasıl aldığımı bilmiyorum.
											(Kahkahalar)
											Omzumu, vücudumu oynatacağımı söylemedim.
											Hayır, müzik beni oynattı,
											bu yüzden bunu, tek-kalçalı çalma olarak adlandırıyorum.
											(Piyano)
											Diğer kalça da olabilir.
											(Piyano)
											Bir keresinde bir beyefendi yapmakta olduğum bir sunumu izliyordu.
											O zamanlar genç bir piyanist ile birlikte çalışıyordum.
											Ohio'da bir şirketin başkanıydı.
											Ve ben bu genç piyanist ile birlikte çalışıyordum
											ve şunu söyledim: ""Senin sorunun çift-kalçalı müzisyen olman.
											Tek-kalçalı bir müzisyen olmalısın.""
											Ve o çalarken vücudunu bu şekilde kaldırdım.
											Ve bir anda müzik havalandı, uçuşa geçti.
											Farkı duyunca seyirciler nefes nefese kaldı.
											Sonrasında bu beyefendiden bir mektup aldım.
											Şöyle diyordu: ""Öyle etkilendim ki,
											geri döndüm ve tüm şirketimi
											tek-kalçalı şirkete dönüştürdüm.""
											(Kahkahalar)
									","
											Et oui — Je ne sais pas comment je me suis retrouvé dans cette position.
											(Rires)
											Je ne me suis pas dit ¨je vais bouger mon épaule, bouger mon corps¨.
											C'est la musique qui m'a poussé.
											C'est pour ça que j'appelle ça ¨Jouer sur une fesse.¨
											(piano)
											Ca peut être l'autre fesse.
											(Piano)
											Un jour, un homme regardait une des mes présentations
											alors que je travaillais avec un jeune pianiste.
											Il était président d'une compagnie de l'Ohio.
											Je travaillais avec le jeune pianiste
											et j'ai dit:¨ Ton problème c'est que tu es un jour sur deux fesses.
											Tu devrais jouer sur une fesse¨.
											Et j'ai bougé son corps comme ça pendant qu'il jouait.
											Soudain la musique a pris son essor. Elle s'est envolée.
											Il y a eu un glapissement dans l'auditoire quand ils ont entendu la différence.
											Puis j'ai reçu une lettre de cet homme.
											Il disait, ¨j'ai été si ému
											que je suis rentré et j'ai transformé toute ma compagnie
											en une compagnie sur une fesse"".
											(Rires)
									","
											Ich weiß nicht, wie wir in diese Position gekommen sind.
											(Lachen)
											Ich wollte meine Schulter nicht verrrücken, meinen Körper bewegen.
											Nein. Die Musik hat meinen Körper geschoben.
											Deshalb nenne ich es „Spielen auf einer Pobacke“.
											(Klavier)
											Kann auch die andere Pobacke sein.
											(Klavier)
											Ein Herr hatte mal eine meiner Präsentationen gesehen,
											in der ich mit einem jungen Pianisten arbeitete.
											Er war ein Firmenchef aus Ohio.
											Ich arbeitete mit diesem jungen Pianisten
											und sagte: „Das Problem ist, dass Du ein Zwei-Pobacken-Spieler bist.
											Du solltest ein Ein-Pobacken-Spieler sein.“
											Und ich bewegte seinen Körper während er spielte.
											Und plötzlich hob die Musik völlig ab.
											Die Zuschauer haben nach Luft geschnappt als sie den Unterschied hörten.
											Später bekam ich einen Brief von besagtem Herrn.
											Er schrieb: „Ich war so bewegt.
											Nachdem ich zurück war habe ich meine ganze Firma
											zu einer Ein-Pobacken-Firma gemacht.“
											(Lachen)
									","
											Não sei como chegámos a esta posição.
											(Risos)
											Eu não disse: ""Vou levantar os ombros,
mexer o meu corpo"".
											Não, a música empurrou-me,
											que é a razão pela qual eu chamo a isto 
tocar com uma nádega.
											(Piano)
											Pode ser a outra nádega!
											(Piano)
											Sabem, um senhor estava uma vez
a assistir a uma das minhas palestras
											e eu estava a trabalhar
com um jovem pianista.
											O senhor era presidente
de uma empresa em Ohio.
											Eu estava a trabalhar com o pianista
											e disse-lhe: ""O teu problema é que és 
um pianista de duas nádegas"".
											""Devias ser um pianista
de uma só nádega.""
											E movi-o assim,
enquanto ele estava a tocar.
											E de repente, a música descolou.
Levantou voo.
											O público ficou espantado quando 
ouviu a diferença.
											E dias depois, recebi uma carta
desse senhor.
											Ele escreveu: ""Fiquei tão comovido
que, quando voltei,
											""transformei a minha empresa inteira
											""numa empresa de uma só nádega.""
											(Risos)
									",The transformative power of classical music,Benjamin Zander,20:43,"conducting,creativity,culture,entertainment,live music,music,performance"
