en,es,pt,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
											The history of civilization,
in some ways, is a history of maps:
											How have we come to understand
the world around us?
											One of the most famous maps works
because it really isn't a map at all.
									","
											La historia de la civilización es
de alguna forma una historia de mapas:
											¿cómo hemos llegado a entender
el mundo a nuestro alrededor?
											Uno de los mapas más famosos funciona
porque, en realidad, no es un mapa.
									","
											A história da civilização é, de certa
forma, uma história de mapas.
											Como é que começámos a entender
o mundo à nossa volta?
											Um dos mapas mais famosos
é bom porque não é de todo um mapa.
									","
											L'histoire de la civilisation
est une histoire de cartes :
											comment avons-nous compris
le monde qui nous entoure ?
											Une des cartes
les plus célèbres fonctionne
											car ce n'est pas du tout une carte.
									","
											Medeniyet tarihi, bazı yönlerden
aslında haritalar tarihi:
											Çevremizdeki dünyayı
anlamayı nasıl başardık?
											Dünyanın en iyi haritalarından birinin
işe yarama sebebi aslında harita olmaması.
									","
											Die Geschichte von Kultur
ist irgendwie eine Geschichte von Karten:
											Wie verstehen wir die Welt um uns herum?
											Eine der berühmtesten Karten funktioniert,
weil sie keine echte Karte ist.
									",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
","
","
","
","
","
",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
											[Small thing. Big idea.]
									","
											[Cosa pequeña.]
											[Idea grande.]
									","
											[Um pequeno detalhe.
Uma grande ideia.]
									","
											[Petite chose. Grande idée.]
									","
											[Küçük şey. Büyük fikir.]
									","
											[Kleines Ding. Große Idee.]
									",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
","
","
","
","
","
",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
											[Michael Bierut on
the London Tube Map]
									","
											[Michael Bierut habla
del plano del metro de Londres]
									","
											[Michael Bierut sobre
o Mapa do Metro de Londres]
									","
											[Michael Bierut au sujet
du plan du métro de Londres]
									","
											[Michael Bierut
Londra Metrosu Haritası üzerine]
									","
											[Michael Bierut:
Die Karte der Londoner U-Bahn]
									",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
","
","
","
","
","
",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
											The London Underground
came together in 1908,
											when eight different
independent railways merged
											to create a single system.
											They needed a map to represent that system
											so people would know where to ride.
											The map they made is complicated.
											You can see rivers,
bodies of water, trees and parks —
											the stations were all crammed together
at the center of the map,
											and out in the periphery, there were some
that couldn't even fit on the map.
											So the map was geographically accurate,
but maybe not so useful.
									","
											El metro de Londres se formó en 1908,
											cuando se unieron
ocho vías férreas independientes
											para crear un solo sistema.
											Necesitaban un mapa
para representar ese sistema
											para que la gente supiese por dónde ir.
											El mapa que hicieron es complicado.
											Se pueden ver ríos,
cuerpos de agua, árboles y parques.
											Todas las estaciones estaban apiñadas
al centro del mapa,
											y había algunas en la periferia
que ni cabían en el mapa.
											Así que el mapa era
preciso geográficamente,
											pero quizás no tan útil.
									","
											O metro de Londres
foi formado em 1908,
											quando foram fundidas
oito linhas diferentes e independentes
											para criar um único sistema.
											Era necessário um mapa
para representá-lo,
											para as pessoas saberem como viajar.
											O mapa por eles elaborado
era complicado.
											Viam-se rios,
oceanos, árvores e parques
											— as estações estavam todas
amontoadas no centro do mapa,
											e, na periferia, algumas
nem cabiam no mapa.
											O mapa podia ter uma elevada precisão
geográfica, mas não tinha muita utilidade.
									","
											Le métro de Londres a pris forme en 1908,
											lorsque huit voies ferrées
indépendantes ont fusionné
											pour créer un seul système.
											Il fallait un plan
pour représenter ce système
											afin que les gens sachent où aller.
											Le plan qu'ils ont créé était compliqué.
											On y voit les rivières,
les plans d'eau, les arbres, les parcs —
											les stations étaient toutes
resserrées au milieu du plan
											et à la périphérie, il y en avait
qui n'étaient même pas sur le plan.
											Le plan était géographiquement correct
mais peut-être pas si utile.
									","
											Londra Metrosu,
sekiz farklı bağımsız demiryolunun
											tek bir ortak sistem yaratmak için
											birleştirilmesiyle, 1908'de oluştu.
											İnsanların gidecekleri yeri
görebilmeleri için
											sistemi gösterecek bir harita lazımdı.
											Yaptıkları harita çok karışıktı.
											Nehirleri, su birikintilerini,
ağaç ve parkları görüyorsunuz —
											istasyonlar haritanın merkezinde
birbirine girmiş,
											dış kenarda da haritaya bile
sığmayan bazı yerler vardı.
											Yani harita coğrafi olarak doğru
ama pek kullanışlı değildi.
									","
											Die Londoner U-Bahn entstand 1908,
											als sich 8 verschiedene
Eisenbahnen verbanden,
											ein einziges System zu bilden.
											Sie brauchten dafür eine Karte,
damit die Leute wussten,
											wohin sie fuhren.
											Die Karte, die sie machten,
ist kompliziert.
											Sie enthält Flüsse, Seen, Bäume und Parks;
											im Zentrum lagen
die Haltestellen eng beieinander,
											während am Rand einige
nicht mehr auf die Karte passten.
											Die Karte war räumlich exakt,
aber nicht sehr nützlich.
									",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
","
","
","
","
","
",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
											Enter Harry Beck.
											Harry Beck was a 29-year-old
engineering draftsman
											who had been working on and off
for the London Underground.
											And he had a key insight,
											and that was that people
riding underground in trains
											don't really care
what's happening aboveground.
											They just want to get
from station to station —
											""Where do I get on? Where do I get off?""
											It's the system that's important,
not the geography.
											He's taken this complicated
mess of spaghetti,
											and he's simplified it.
											The lines only go in three directions:
											they're horizontal, they're vertical,
or they're 45 degrees.
											Likewise, he spaced the stations equally,
											he's made every station color
correspond to the color of the line,
											and he's fixed it all
so that it's not really a map anymore.
											What it is is a diagram,
											just like circuitry,
											except the circuitry here
isn't wires conducting electrons,
											it's tubes containing trains
conducting people from place to place.
									","
											Entra Harry Beck.
											Harry Beck era un delineante
de ingeniería, de 29 años,
											que había estado trabajando
interrumpidamente
											para el metro de Londres.
											Y él tuvo una idea clave: a la gente
que viaja en trenes subterráneos
											no le importa mucho lo que está pasando
sobre el nivel de la tierra.
											Quieren ir de estación
a estación, nada más:
											""¿Dónde subo? ¿Dónde bajo?""
											Es el sistema que importa,
no la geografía.
											Beck tomó ese lío de espaguetis
											y lo simplificó.
											Las líneas solo van en tres direcciones:
											son horizontales, verticales, 
o de 45 grados.
											Asimismo, él repartió las estaciones
de manera uniforme,
											hizo que el color de cada estación
corresponda al color de la línea
											y organizó todo en algo que 
ya realmente no es un mapa.
											Es un diagrama,
											igual que la circuitería,
											excepto que la circuitería aquí
no son alambres que conducen electrones,
											sino tubos que contienen trenes
											que llevan a la gente de un lugar a otro.
									","
											Entra em cena Harry Beck.
											Harry Beck era um engenheiro
de projetos, de 29 anos,
											que trabalhara durante
certos períodos no metro de Londres
											e teve uma ideia genial.
											Era que as pessoas
que andavam de metro
											não se importavam
com o que acontecia por cima delas.
											Apenas queriam ir
de estação em estação.
											""Onde devo entrar?
Onde devo sair?""
											O sistema é que é importante,
não a geografia.
											Ele pegou nesta confusão
complicada do mapa,
											e simplificou-a.
											As linhas vão apenas
em três direções:
											são horizontais, verticais
ou oblíquas por 45 graus.
											As estações foram também
espaçadas de forma igual,
											a cor de cada estação passou
a corresponder à cor da linha,
											e tudo ficou resolvido,
deixando de ser um mapa.
											Passou a ser um diagrama,
											tal como um circuito,
											exceto que agora o circuito
não são fios que conduzem eletrões,
											são linhas com comboios que levam
as pessoas para diferentes sítios.
									","
											Arrive Harry Beck.
											Harry Beck a 29 ans
et est dessinateur industriel.
											Il a travaillé par intermittence
pour le métro de Londres.
											Il avait une idée clé :
											les gens empruntant le métro
											se fichent un peu
de ce qu'il se passe à la surface.
											Ils veulent juste aller
d'une station à une autre —
											« Je monte où et je descends où ? »
											C'est le système qui importe,
pas la géographie.
											Il a pris ce plat de spaghettis
compliqué et chaotique
											et l'a simplifié.
											Les lignes vont dans trois directions :
											horizontalement, verticalement
ou avec un angle de 45 degrés.
											Il a également espacé
les stations de la même façon,
											la couleur de chaque station
correspond à la couleur de la ligne
											et il a tout arrangé pour que ce ne soit
plus vraiment un plan.
											C'est un diagramme,
											comme un circuit,
											sauf que le circuit ne contient pas
des câbles conducteurs d'électrons
											mais des tunnels de métro
											avec des trains conduisant des gens
d'un endroit à un autre.
									","
											Harry Beck'e gelelim.
											Harry Beck, Londra Metrosu için
zaman zaman çalışmış
											29 yaşında bir mühendislik çizimcisiydi.
											Önemli bir şeyi anlamıştı,
											metrodaki insanlar aslında
											yukarıda neler olup bittiğini
umursamıyorlardı.
											Sadece bir duraktan 
diğerine gitmek istiyorlardı.
											''Nerede biniyorum, nerede iniyorum?''
											Önemli olan sistem, coğrafi kısmı değil.
											Birbirine karışmış spagettiyi aldı
											ve bunu kolaylaştırdı.
											Hatlar sadece üç yönde gidiyor:
											ya yataylar, ya dikeyler
ya da 45 derecelik açıdalar.
											İstasyonlar arasında
eşit boşluklar bıraktı,
											her istasyonun rengini, bağlı olduğu
hattın rengine tekabül ettirdi
											ve artık bir harita olmayacak şekilde
hepsini düzenledi.
											Oluşan şey bir şemaydı,
											tıpkı bir devre gibi,
											ancak devrede olduğu gibi
elektronlara bağlanan kablolar yok,
											insanları bir yerden bir yere taşıyan
içi vagon dolu tüneller var.
									","
											Auftritt Harry Beck.
											Harry Beck war ein 29-jähriger
technischer Zeichner,
											der ab und an für
die Londoner U-Bahn arbeitete.
											Er hatte die Einsicht, dass Leute,
											die unterirdisch in Zügen fuhren,
											sich nicht kümmerten,
was über dem Boden los war.
											Sie wollten nur von Station zu Station:
											""Wo muss ich einsteigen? Wo aus?""
											Das System ist wichtig,
nicht die Geografie.
											Er nahm diese komplizierten Spaghetti
											und vereinfachte sie.
											Die Linien laufen in nur 3 Richtungen:
											waagerecht, senkrecht,
oder in 45° Neigung.
											Haltestellen verteilte er gleichmäßig
											und gab jeder Station
die Farbe ihrer Linie.
											Er änderte alles so,
dass es keine Karte mehr ist.
											Es ist ein Diagramm.
											Wie ein Schaltplan,
											nur dass hier keine Drähte
Elektronen leiten,
											sondern Tunnel mit Zügen
leiten Leute von Ort zu Ort.
									",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
"
","
","
","
","
","
",The genius of the London Tube Map,Michael Bierut,3:14,"design,map,transportation,history"
