en,tr,fr,title,speaker,duration,tags
"
","
","
",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
											Vision is the most important
											and prioritized sense that we have.
											We are constantly looking
											at the world around us,
											and quickly we identify and make sense
											of what it is that we see.
									","
											Görme, bizim sahip olduğumuz en önemli
											ve en öncelikli duyumuzdur.
											Sürekli
											etrafımızdaki dünyaya bakıyor
											ve gördüklerimizi hızla
											tanımlıyor ve anlamlandırıyoruz.
									","
											La vue est le sens le plus important
que nous avons
											et nous lui donnons la priorité.
											Nous observons en permanence
											le monde autour de nous
											et nous identifions et comprenons
rapidement
											ce que nous voyons.
									",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
","
","
",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
											Let's just start with an example
											of that very fact.
											I'm going to show you
a photograph of a person,
											just for a second or two,
											and I'd like for you to identify
											what emotion is on his face.
											Ready?
											Here you go. Go with your gut reaction.
											Okay. What did you see?
											Well, we actually surveyed
											over 120 individuals,
											and the results were mixed.
											People did not agree
											on what emotion they saw on his face.
											Maybe you saw discomfort.
											That was the most frequent response
											that we received.
											But if you asked the person on your left,
											they might have said regret or skepticism,
											and if you asked somebody on your right,
											they might have said
something entirely different,
											like hope or empathy.
											So we are all looking
											at the very same face again.
											We might see something
											entirely different,
											because perception is subjective.
											What we think we see
											is actually filtered
											through our own mind's eye.
									","
											İsterseniz bu gerçeği anlatan
											bir örnek ile başlayalım.
											Şimdi size bir - iki saniye boyunca
											bir kişinin fotoğrafını göstereceğim
											ve sizden
											onun yüzündeki ifadeyi
tanımlamanızı isteyeceğim.
											Hazır mısınız?
											İşte. İçgüdülerinize göre cevaplayın.
											Tamam. Ne gördünüz?
											Aslında, biz 120'nin üzerinde insana
											bunu uyguladık ve
											sonuçlar oldukça karışıktı.
											İnsanlar, gördükleri ifade hakkında
											ortak bir kanıya varamadılar.
											Belki bir rahatsızlık gördünüz.
											Bu bizim en sık
											aldığımız cevaptı.
											Ama, eğer solunuzda
oturan insana sorarsanız,
											pişmanlık ya da kuşku
gördüklerini söyleyebilirler
											ve eğer sağınızdaki kişiye sorarsanız
											bambaşka bir fikir sunabilirler,
											umut veya empati gibi.
											Sonuç olarak,
											hepimiz aynı ifadeye bakıyoruz, yine.
											Ve birbirinden tamamen
											farklı şekilde yorumluyoruz,
											çünkü algılama özneldir.
											Gördüklerimizi sandıklarımız
											aslında
											aklımız tarafından süzgeçten geçirilmiştir.
									","
											Je vais juste vous donner un exemple
											de ce simple fait.
											Je vais vous montrer
la photo d'une personne
											pendant une seconde ou deux,
											et j'aimerais que vous identifiez
											l'émotion qu'exprime son visage.
											Prêts ?
											C'est parti. Laissez parler
vos premières impressions.
											Ok.
Qu'avez-vous vu ?
											Eh bien, nous avons réalisé une étude
											sur 120 personnes,
											et les résultats étaient divers.
											Les gens n'étaient pas du même avis
											sur l'émotion qu'ils avaient lue
sur son visage.
											Peut-être avez-vous vu du malaise.
											C'est la réponse la plus fréquente
											que nous avons reçue.
											Mais si vous demandez à la personne
à votre gauche,
											elle dira peut-être du regret,
ou du doute,
											et si vous demandez à votre droite,
											vous aurez peut-être une réponse
complètement différente,
											comme l'espoir ou l'empathie.
											Nous regardons tous
											exactement le même visage.
											Nous voyons parfois
											des choses très différentes
											parce que la vue est subjective.
											Ce que nous croyons voir
											est en réalité filtré
											par notre esprit.
									",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
","
","
",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
											Of course, there are many other examples
											of how we see the world
through own mind's eye.
											I'm going to give you just a few.
											So dieters, for instance,
											see apples as larger
											than people who are not counting calories.
											Softball players see the ball as smaller
											if they've just come out of a slump,
											compared to people who 
had a hot night at the plate.
											And actually, our political beliefs also
											can affect the way we see other people,
											including politicians.
											So my research team and I
decided to test this question.
											In 2008, Barack Obama
was running for president
											for the very first time,
											and we surveyed hundreds of Americans
											one month before the election.
											What we found in this survey
											was that some people, some Americans,
											think photographs like these
											best reflect how Obama really looks.
											Of these people, 75 percent
											voted for Obama in the actual election.
											Other people, though,
thought photographs like these
											best reflect how Obama really looks.
											89 percent of these people
											voted for McCain.
											We presented many photographs of Obama
											one at a time,
											so people did not realize
that what we were changing
											from one photograph to the next
											was whether we had artificially lightened
											or darkened his skin tone.
									","
											Tabi ki, aklımızın gözünden
dünyayı nasıl gördüğümüze dair
											daha farklı pek çok örnek vardır.
											Ben size sadece birkaçını vereceğim.
											Örneğin diyet yapanlar,
											kalori saymayanlara göre
											elmaları çok daha büyük görürler.
											Başarısız dönemden çıkan softball oyuncuları
											o akşam başarılı performans
sergileyen oyunculara kıyasla
											topu daha küçük görürler.
											Ve aslında, siyasi düşüncelerimiz
											diğer insanlara bakış açımızı etkiler
											buna politikacılar da dahildir.
											Araştırma ekibim ve ben,
bu soruyu test etmeye karar verdik.
											2008'de, Barack Obama ilk defa
											başkanlık için yarışıyordu
											ve yüzlerce Amerikalıya
											seçimden bir ay önce anket yaptık.
											Bu anketten anladığımız
											bazı insanlar, bazı
Amerikalılar bu tarz fotoğrafların
											Obama'nın aslında nasıl göründüğünü
											en iyi şekilde yansıttığını düşünüyor.
											Bu insanların %75'i
											seçimde gerçekten de Obama'ya oy verdi.
											Diğer kişiler de, bu fotoğrafların Obama'yı
											gerçekte olduğu gibi yansıttığını düşündü.
											Bu kişilerin %89'u ise
											McCain'e oy verdi.
											Obama'nın pek çok fotoğrafını
											tek tek gösterdik ki,
											bu sayede insanlar bir fotoğraftan diğerine
											değiştirdiğimiz tek şeyin
											yapay olarak ten rengini
											biraz aydınlatıp kararttığımızı
fark etmesinler.
									","
											Bien entendu,
il y a plein d'autres exemples
											de la façon dont nous voyons le monde
à travers notre esprit.
											Je vais vous en montrer
quelques-uns.
											Les gens qui font un régime,
par exemple,
											voient les pommes plus grandes
											que ceux qui ne comptent pas
les calories.
											Les joueurs de soft-ball
voient la balle plus petite
											s'ils viennent de subir une défaite
											que s'ils ont brillé
sur le terrain.
											En fait, même nos convictions politiques
											peuvent influencer la façon
dont nous voyons les gens,
											y compris les hommes politiques.
											Mon équipe et moi-même
avons décidé de tester cette hypothèse.
											En 2008, Barack Obama
était candidat à la présidence
											pour la toute première fois,
											et nous avons mené une étude
sur des centaines d'Américains,
											un mois avant les élections.
											Voici ce que nous avons découvert
lors de cette étude :
											certaines personnes,
certains Américains,
											estimaient que ce genre de photos
											rendaient l'image la plus fidèle
d'Obama.
											Parmi ces gens-là,
75 % ont voté pour Obama
											lors de l'élection.
											D'autre personnes, cependant,
pensaient que ce genre de photos
											donnaient l'image la plus fidèle
d'Obama.
											89 % de ces gens
											ont voté pour McCain.
											Nous leur avons présenté
de nombreuses photos,
											l'une après l'autre,
											de sorte que les gens n'ont pas vu
que ce qui changeait
											d'une photo à l'autre
											n'était que la façon
dont nous avions artificiellement
											éclairci ou assombri
sa couleur de peau.
											Comment cela se fait-il ?
									",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
","
","
",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
											So how is that possible?
											How could it be that
when I look at a person,
											an object, or an event,
											I see something very different
											than somebody else does?
											Well, the reasons are many,
											but one reason requires that we understand
											a little bit more about how our eyes work.
											So vision scientists know
											that the amount of information
											that we can see
											at any given point in time,
											what we can focus on,
is actually relatively small.
											What we can see with great sharpness
											and clarity and accuracy
											is the equivalent
											of the surface area of our thumb
											on our outstretched arm.
											Everything else around that is blurry,
											rendering much of what is presented
											to our eyes as ambiguous.
											But we have to clarify
											and make sense of what it is that we see,
											and it's our mind that
helps us fill in that gap.
											As a result, perception
is a subjective experience,
											and that's how we end up seeing
											through our own mind's eye.
									","
											Peki, bu nasıl mümkün oldu?
											Bir insana, nesneye veya olaya baktığımda
											nasıl oluyor da
											diğer insanlardan
											çok daha farklı görüyorum?
											Aslında bunun birden fazla nedeni var,
											ama bunlardan bir tanesi
											gözlerimizin nasıl gördüğünü
anlamamızı gerektiriyor.
											Bu alandaki uzmanlar diyor ki,
											belirli bir sürede
											görebildiğimiz ve odaklanabildiğimiz
											bilginin miktarı
											aslında oldukça az.
											Kesin bir netlikle ve doğru bir şekilde
											görebildiklerimiz,
											uzattığımız kolumuzun üzerindeki
											bir baş parmağımızın
											yüzey alanı kadardır.
											Geri kalan her şey bulanıktır
											gözlerimize görünenlerin çoğu
											belirsiz olarak nitelendirilir.
											Ama yine de, gördüklerimizi netleştirmek
											ve anlamlandırmak zorundayız
											ve bu boşluğu doldurmada
bize yardımcı olan aklımızdır.
											Sonuç olarak, algılama
öznel bir deneyimdir
											ve bu da bizim nasıl olup da
kendi akıl gözümüzle
											görebildiğimizi açıklar.
									","
											Comment se peut-il que
lorsque je regarde une personne,
											un objet, ou un événement,
											je voie quelque chose
de très différent
											de quelqu'un d'autre ?
											Eh bien, les raisons en sont nombreuses.
											Pour comprendre,
il nous faut en savoir un peu plus
											sur la façon dont nos yeux fonctionnent.
											Les spécialistes de la vision savent
											que la quantité d'information
											que nous pouvons percevoir
à un instant donné,
											sur laquelle nous pouvons nous concentrer,
											est en fait relativement petite.
											Ce que nous voyons
avec beaucoup de netteté,
											de clarté et de précision
											correspond à la surface
											de notre pouce
											au bout de notre bras.
											Tout ce qu'il y a autour est flou,
											ce qui fait que la plupart
de ce qui se présente
											à notre regard est ambigu.
											Mais nous avons besoin de clarifier
											et de comprendre ce que nous voyons,
											et c'est notre esprit qui nous aide
à remplir les blancs.
											C'est ce qui fait que la perception
est une expérience subjective,
											c'est ainsi que nous nous retrouvons
											à voir avec notre esprit.
									",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
","
","
",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
"
											So, I'm a social psychologist,
											and it's questions like these
											that really intrigue me.
											I am fascinated by those times
											when people do not see eye to eye.
											Why is it that somebody might
											literally see the glass as half full,
											and somebody literally sees it
											as half empty?
											What is it about what one person
is thinking and feeling
											that leads them to see the world
											in an entirely different way?
											And does that even matter?
											So to begin to tackle these questions,
											my research team and I
decided to delve deeply
											into an issue that has received
											international attention:
											our health and fitness.
											Across the world,
											people are struggling
to manage their weight,
											and there is a variety of strategies
											that we have to help us
keep the pounds off.
											For instance, we set
the best of intentions
											to exercise after the holidays,
											but actually, the majority of Americans
											find that their New Year's resolutions
											are broken by Valentine's Day.
											We talk to ourselves
											in very encouraging ways,
											telling ourselves this is our year
											to get back into shape,
											but that is not enough to bring us back
											to our ideal weight.
											So why?
											Of course, there is no simple answer,
											but one reason, I argue,
											is that our mind's eye
											might work against us.
											Some people may literally see exercise
											as more difficult,
											and some people might literally
											see exercise as easier.
									","
											Ben bir sosyal psikoloğum
											ve bunun gibi sorular
											benim gerçekten ilgimi çekiyor.
											İnsanların aynı görüşte
olmadığı zamanlarda
											gerçekten büyüleniyorum.
											Gerçekten niye bazı insanlar
											bardağın yarısını dolu olarak görürken,
											diğerleri ise
											yarısını boş olarak nitelendiriyor?
											İnsanların dünyayı tamamen
farklı görmesine yol açan
											düşünceler ve hisler
											gerçekten nelerdir?
											Ve bu o kadar da önemli mi?
											Bu soruları ele almaya başladığımızda
											araştırma ekibim ve ben
											uluslararası dikkat çeken bir konuyu
											derinlemesine incelemeye karar verdik:
											sağlığımız ve formumuz.
											Tüm dünyada
											insanlar kilolarını kontrol etmeye çalışıyor
											ve kilo almamızı engellemek için
											pek çok strateji geliştirilmiş durumda.
											Örneğin, tatillerden sonra
egzersiz yapmak gibi
											niyetlerle yola çıkıyoruz
											ama aslında, Amerikalıların çoğu
											yeni yıl dileklerinin
											Sevgililer Günü'ne kadar
bozulduğunu görüyor.
											Kendimize
											her türlü cesaret verici yoldan
											bu yılın formumuzu geri kazanmak için
											""o yıl"" olduğunu söylüyoruz,
											fakat bu bizi ideal
kilomuza götürmek için
											yeterli olmuyor.
											Peki neden?
											Tabii ki, bunun yanıtı basit değil
											ama diyebilirim ki, bir sebepten
											akıl gözümüz
											bize karşı çalışabilir.
											Bazı insanlar egzersiz yapmayı
											çok daha zor bulabilir
											ve bazıları da
											egzersizi daha kolay olarak görebilir.
									","
											Je suis une psychologue sociale,
											et c'est le genre de questions
											qui m'intéressent vraiment.
											Je suis fascinée par ces moments
											où les gens ne partagent pas
la même vision des choses.
											Comment se fait-il
											que l'un voit littéralement
le verre à moitié plein,
											alors que l'autre
le voit littéralement
											à moitié vide ?
											Qu'est-ce qui fait
que la façon de penser d'une personne
											la conduit à voir le monde
											d'une manière complètement différente ?
											Et est-ce que cela a
une importance quelconque ?
											Pour commencer à aborder
ces problèmes,
											mon équipe de recherche et moi-même
avons décidé d'approfondir
											une question qui préoccupe
											tous les pays :
											notre santé et notre forme physique.
											Dans le monde entier,
											les gens ont du mal
à perdre du poids,
											et nous disposons
d'une grande variété de stratégies
											pour nous aider à ne pas grossir.
											Par exemple, nous prenons
la ferme résolution
											de faire du sport
après les vacances ;
											mais en fait,
la majorité des Américains
											voient leurs résolutions
du Nouvel An
											abandonnées dès la St-Valentin.
											Nous nous prodiguons
											les meilleurs encouragements
											pour nous convaincre
que c'est la bonne année
											pour retrouver la forme,
											mais ça ne suffit pas
pour retrouver
											à notre poids idéal.
											Pourquoi ?
											Bien sûr,
il n'existe pas de réponse simple.
											Mais je soutiens
que l'une des raisons à cela
											est que notre esprit
											travaille contre nous.
											Il se pourrait que certaines personnes
voient littéralement l'exercice
											comme plus difficile,
											et que certains autres
voient littéralement
											l'exercice comme plus facile.
									",Why some people find exercise harder than others,Emily Balcetis,14:08,"TEDx,decision-making,health,mind,psychology,motivation,exercise"
