en,pt,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											I'm going to talk about
how AI and mankind can coexist,
											but first, we have to rethink
about our human values.
											So let me first make a confession
about my errors in my values.
									","
											Eu vou falar sobre como a IA 
e a espécie humana podem coexistir,
											mas primeiro, temos de repensar 
os valores humanos.
											Por isso vou confessar 
os erros nos meus valores.
									","
											Hoy voy a hablar sobre cómo
la humanidad y la IA pueden coexistir,
											pero antes tenemos que meditar sobre
nuestros valores como humanos.
											Primero quisiera hacer una confesión
de mis errores en mis valores.
									","
											Je vais parler de la façon dont
l'IA et l'humanité peuvent coexister,
											mais avant ça, nous devons nous 
interroger sur nos valeurs humaines.
											Laissez-moi commencer par une confession :
Mes erreurs dans mon échelle des valeurs.
									","
											Bugün yapay zekâ ve insanoğlunun nasıl
birlikte var olabileceğinden konuşacağım
											ama öncelikle insani değerlerimiz
hakkında yeniden düşünmeliyiz.
											İzin verin öncelikle kendi değerlerim 
hakkındaki hataları paylaşayım.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											It was 11 o'clock, December 16, 1991.
											I was about to become a father
for the first time.
											My wife, Shen-Ling,
lay in the hospital bed
											going through a very difficult
12-hour labor.
											I sat by her bedside
											but looked anxiously at my watch,
											and I knew something that she didn't.
											I knew that if in one hour,
											our child didn't come,
											I was going to leave her there
											and go back to work
											and make a presentation about AI
											to my boss, Apple's CEO.
											Fortunately, my daughter
was born at 11:30 —
									","
											Eram 11 horas, dia 16 de dezembro de 1991.
											Eu estava prestes a ser pai 
pela primeira vez.
											A minha mulher, Shen-Ling,
estava na cama do hospital
											a ter um parto muito difícil
de 12 horas.
											Sentei-me ao pé dela
											mas olhava nervosamente para o relógio.
											Eu sabia algo que ela não sabia.
											Sabia que, se dentro de uma hora,
											ainda não tivéssemos o bebé,
											eu ia deixá-la ali
											e voltar para o trabalho,
											para fazer uma apresentação
sobre a Inteligência Artificial
											para o meu chefe, o CEO da Apple.
											Felizmente, a minha filha nasceu às 11:30
									","
											Eran las 11 en punto, 
del 16 de diciembre de 1991.
											Estaba a punto de convertirme
en padre por primera vez.
											Shen-Ling, mi esposa,
yacía en una cama del hospital,
											y ya llevaba 12 horas difíciles de parto.
											Me encontraba sentado a su lado
											pero miraba con ansiedad el reloj,
											sabiendo algo que ella ignoraba.
											Y era que si en una hora,
											nuestro hijo no nacía,
											la iba a dejar sola en la cama
											para volver al trabajo
											y hacerle una presentación sobre IA
											a mi jefe, el CEO de Apple.
											Por fortuna, mi hija nació a las 11:30...
									","
											C'était le 16 décembre 1991,
il est 11 heures.
											J'étais sur le point de devenir père
pour la première fois.
											Ma femme, Shen-Ling, 
était sur un lit de l'hôpital
											avec déjà 12 heures de travail 
éprouvant.
											J'étais assis auprès d'elle
											mais je regardais ma montre avec anxiété.
											Je savais quelque chose
qu'elle ne savait pas.
											Je savais que si dans une heure,
											notre enfant n'était pas arrivé,
											j'allais la laisser là
											pour retourner au travail
											et faire mon exposé sur l'IA
											à mon chef, le PDG d'Apple.
											Heureusement, ma fille est née à 11h30.
									","
											16 Aralık 1991 tarihinde saat 11'de
											ilk defa baba olmak üzereydim.
											Karım Shen-Ling hastane odasında
											12 saatlik zorlu bir doğumun
henüz başındaydı.
											Yatağının yanında oturmuş,
											endişeli bir şekilde saatime bakıyordum
											çünkü karımdan bir şey saklıyordum.
											Eğer çocuğumuz
											bir saat içinde doğmazsa
											onu orada yalnız bırakıp
											işe geri dönecek
											ve Apple'ın CEO'su olan işverenime
											yapay zekâ hakkında bir sunum yapacaktım.
											Neyse ki kızım 11:30'da doğdu.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rire)
									","
											(Gülme sesleri)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											sparing me from doing the unthinkable,
											and to this day, I am so sorry
											for letting my work ethic
take precedence over love for my family.
									","
											poupando-me a fazer algo impensável,
											e até hoje, lamento imenso
											ter deixado que a minha ética de trabalho 
fosse superior ao amor pela minha família.
									","
											salvándome de hacer lo impensado.
											Y hasta este día, siento mucho
											que mi ética de trabajo
se antepusiera al amor a mi familia.
									","
											M'évitant de commettre l'irréparable,
											et aujourd'hui, je me sens toujours penaud
											d'avoir laissé ma conscience
professionnelle prendre le pas
											sur l'amour de ma famille.
									","
											o düşünülemez şeyi yapmaktan beni alıkoydu
											ve bugüne dek hâlâ...
											...iş etiğimin ailemin önüne geçmesine
izin verdiğim için çok üzgünüm.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkış)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											My AI talk, however, went off brilliantly.
									","
											Já a apresentação sobre a IA 
correu muitíssimo bem.
									","
											Por otro lado, mi presentación
sobre IA salió brillante.
									","
											Ma présentation sur IA, toutefois, 
s'est fort bien déroulée.
									","
											Yapay zekâ konuşmam ise harika gitti.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülüşmeler)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											Apple loved my work
and decided to announce it
											at TED1992,
											26 years ago on this very stage.
											I thought I had made one of the biggest,
most important discoveries in AI,
											and so did the ""Wall Street Journal""
on the following day.
									","
											A Apple adorou o meu trabalho
											e decidiu anunciá-lo na TED1992,
											há 26 anos, neste mesmo palco.
											Eu pensava que tinha feito uma das maiores
e mais importantes descobertas na IA,
											tal como o ""Wall Street Journal"",
no dia seguinte.
									","
											A Apple le encantó mi presentación
y decidieron hacerla pública
											en TED 1992,
											hace 26 años en este mismo escenario.
											Creí que había hecho uno
de los más grandes descubrimientos en IA
											y lo mismo pensó el
""Wall Street Journal"" al día siguiente.
									","
											Apple a aimé mon travail 
et a décidé de le communiquer
											lors de TED 1992,
											il y a 26 ans, sur cette même estrade.
											Je croyais avoir fait une de plus grandes 
et importantes découvertes sur l'IA,
											tout comme le Wall Street Journal
qui le publia le lendemain.
									","
											Apple çalışmamı çok beğendi
											TED1992'de bunu duyurmaya karar verdi,
											26 yıl önce bu sahnede.
											En büyük ve en önemli yapay zekâ
keşiflerinden birini yaptığımı sandım,
											bir sonraki gün
Wall Street Journal da öyle düşünmüştü.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											But as far as discoveries went,
											it turned out,
											I didn't discover India, or America.
											Perhaps I discovered
a little island off of Portugal.
											But the AI era of discovery continued,
											and more scientists
poured their souls into it.
											About 10 years ago, the grand AI discovery
											was made by three
North American scientists,
											and it's known as deep learning.
									","
											Mas à medida que se sucediam
as descobertas,
											veio-se a perceber
											que eu não tinha descoberto a Índia, 
nem a América.
											Talvez tivesse descoberto uma pequena ilha
na costa de Portugal.
											Mas a era da descoberta da IA continuou,
											e mais cientistas 
se entregavam de corpo e alma.
											Há cerca de 10 anos, 
a grande descoberta na IA
											foi feita por três cientistas
norte-americanos,
											e é conhecida como aprendizagem profunda.
									","
											Pero en lo que respecta a descubrimientos,
											resultó que,
											no descubrí América o India.
											Quizás descubrí algo así como
una pequeña isla cerca de Portugal.
											Pero la era del descubrimiento
para la IA continuó,
											y más científicos pusieron
alma y corazón en ello.
											Hace unos 10 años,
el mayor descubrimiento sobre las IAs
											lo lograron tres científicos 
norteamericanos,
											y se conoce como aprendizaje profundo.
									","
											Mais aussi importante 
que cette découverte fut,
											il s'est avéré que je n'avais découvert 
ni l'Inde, ni l'Amérique,
											mais peut être une petite île 
au large du Portugal.
											Mais le temps des découvertes 
continuait pour l'IA,
											et toujours plus de scientifiques 
s'y consacraient.
											Il y a 10 ans, 
la grande découverte sur l'IA
											a été faite par trois 
chercheurs américains.
											C'est l'apprentissage profond,
ou « Deep Learning. »
									","
											Fakat bu keşiflerin doğasına bakınca
											görünen o ki
											Amerika veya Hindistan'ı keşfetmemiştim.
											Ama belki Portekiz'in
küçük bir adası olabilir.
											Fakat yapay zekâ çağı keşifleri devam etti
											ve daha fazla bilim insanı 
bu konuya kendini adadı.
											Yaklaşık 10 yıl önce
o büyük yapay zekâ keşfi
											iki Kuzey Amerikalı
bilim insanı tarafından yapıldı
											ve derin öğrenme olarak biliniyor.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											Deep learning is a technology
that can take a huge amount of data
											within one single domain
											and learn to predict or decide
at superhuman accuracy.
											For example, if we show
the deep learning network
											a massive number of food photos,
											it can recognize food
											such as hot dog or no hot dog.
									","
											A aprendizagem profunda é uma tecnologia
que consegue receber imensos dados
											num só domínio
											e aprende a prever ou a decidir 
com uma exatidão super-humana.
											Por exemplo, se mostrarmos à rede 
de aprendizagem profunda
											um número enorme de fotos de comida,
											ela consegue reconhecer a comida
											como sendo ou não sendo 
um cachorro quente.
									","
											El aprendizaje profundo es una tecnología
que permite usar grandes bases de datos,
											dentro de un solo sitio dominio,
											y que aprende a decidir o predecir
con precisión sobrehumana.
											Por ejemplo, si se le muestra 
a la red de aprendizaje profundo
											una cantidad masiva de fotos de comidas,
											puede reconocer
											cuándo es un ""hot dog"" y cuándo no lo es.
									","
											Le « Deep Learning » est une technologie 
qui avale une grande quantité de données
											sur un seul domaine
											et apprend à faire des prédictions 
avec une exactitude surhumaine.
											Par exemple, si on montre 
à ce réseau de neurones
											une énorme quantité de photos 
de nourritures
											il pourra reconnaître les aliments
											pour les classer en « hot dog »
ou « pas hot dog. »
									","
											Derin öğrenme teknolojisi,
çok büyük miktarda veriyi
											tek bir domain içinde toplayabilir
											ve süper insan doğruluğuyla
karar veya öngörüler gerçekleştirebilir.
											Örneğin derin öğrenme ağına
											inanılmaz sayıda yiyecek resmi gösterirsek
											yiyeceği tanıyarak
											sosisli sandviç
olup olmadığını anlayabilir.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											Or if we show it many pictures
and videos and sensor data
											from driving on the highway,
											it can actually drive a car
as well as a human being
											on the highway.
											And what if we showed
this deep learning network
											all the speeches made by President Trump?
											Then this artificially
intelligent President Trump,
											actually the network —
									","
											Ou se lhe mostrarmos muitas imagens
e vídeos e dados de sensores
											de condução na autoestrada,
											consegue mesmo conduzir um carro
tão bem quanto um ser humano
											na autoestrada.
											E se mostrássemos a esta rede
de aprendizagem profunda
											todos os discursos feitos
pelo Presidente Trump?
											Então este presidente Trump
artificialmente inteligente,
											ou seja, a rede...
									","
											O si le mostramos un sinfín de fotos,
vídeos y datos de sensores
											sobre cómo conducir en la autopista,
											el programa logrará conducir un vehículo
en la autopista como un humano.
											¿Qué pasaría si le mostráramos 
a la red de aprendizaje profundo
											todos los discursos del presidente Trump?
											Entonces, esta IA del presidente Trump,
											digo la red...
									","
											Ou si on lui donne pleins d'images, 
de vidéos et de données de capteurs
											récoltées en conduisant 
sur la voie rapide,
											il va véritablement savoir conduire 
une voiture aussi bien qu'un humain
											sur la voie rapide.
											Et que se passerait-il si on montrait à 
ce réseau d'apprentissage profond
											tous les discours 
fait par le président Trump ?
											Alors, ce président Trump 
artificiellement intelligent,
											en fait, le réseau,
									","
											Ya da bir otoyolda sürülen
bir arabaya ilişkin
											fotoğraf ve video ve sensör
verilerini gösterirsek
											bu teknoloji arabayı tıpkı bir insan gibi
											kendi başına otoyolda sürebilir.
											Peki ya bu yapay zekâ ağına
											Başkan Trump'ın
tüm konuşmalarını göstersek?
											o zaman bu yapay zekâlı Trump,
											demek istediğim ağ,
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											can —
									","
											consegue...
									","
											Podría...
									","
											pourrait...
									","
											şunu...
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											You like double oxymorons, huh?
									","
											Gostam de contradições duplas, não é?
									","
											Les gustan las contradicciones, ¿verdad?
									","
											Vous aimez les doubles oxymores, non ?
									","
											Tezat sanatını seviyorsunuz demek?
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											So this network, if given the request
to make a speech about AI,
											he, or it, might say —
									","
											Portanto, esta rede, se lhe pedirmos 
para fazer um discurso sobre IA,
											poderá dizer:
									","
											Si a esta red, le dan la orden
de hacer un discurso sobre las IAs,
											él, o eso, podría decir algo como...
									","
											Donc ce réseau, si on lui demande 
de faire un discours sur l'IA
											il pourrait dire...
									","
											Eğer bu ağdan yapay zekâ hakkında
konuşma yapmasını isterseniz
											bunları söyleyebilir:
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											(Recording) Donald Trump:
It's a great thing
											to build a better world
with artificial intelligence.
									","
											(Gravação) Donald Trump:
É uma coisa fantástica
											criar um mundo melhor
com inteligência artificial.
									","
											(Grabación) Donald Trump:
Es grandioso
											poder construir un mundo mejor
usando inteligencia artificial.
									","
											(Enregistrement) Donald Trump : 
« C'est super
											de bâtir un monde meilleur 
avec l'intelligence artificielle. »
									","
											(Ses kaydı) Donald Trump: Yapay zekâ ile
											daha iyi bir dünya yaratıyor
olabilmek harika bir şey.
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
","
","
","
","
",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
"
											Kai-Fu Lee: And maybe in another language?
									","
											Kai-Fu Lee: E talvez noutra língua?
									","
											Kai-Fu Lee: ¿Y qué tal en otro idioma?
									","
											Kai-Fu-Lee : Et dans une autre langue ?
									","
											Kai-Fu Lee: Veya başka bir dilde
									",How AI can save our humanity,Kai-Fu Lee,14:49,"AI,media,future,invention,innovation,technology,machine learning,society,computers,intelligence"
