en,es,pt,title,speaker,duration,tags
"
","
","
","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
											Nearly everyone in the world
is part of some community,
											whether large or small.
											And all of these communities
have similar needs.
											They need light,
											they need heat
											they need air-conditioning.
											People can't function very well
when it's too hot or too cold.
											They need food to be grown or provided,
distributed and stored safely.
											They need waste products to be collected,
removed and processed.
											People in the community need to be able
to get from one place to another
											as quickly as possible.
											And a supply of energy is the basis
for all of these activities.
											Energy in the form of electricity
provides light and air-conditioning.
											Energy in the form of heat keeps us warm.
											And energy in chemical
form provides fertilizer;
											it drives farm machinery
and transportation energy.
									","
											Casi todos formamos parte 
de una comunidad en el mundo,
											grande o pequeña.
											Y todas estas comunidades
tienen necesidades muy parecidas.
											Necesitan luz,
											necesitan calor,
											necesitan refrigeración.
											La gente no funciona demasiado bien
si hace mucho calor o mucho frío.
											Necesitan cultivar o producir alimentos,
											y distribuirlos y almacenarlos
de forma segura.
											Los desechos deben recolectarse,
eliminarse y procesarse.
											En una comunidad, la gente necesita
trasladarse de un lugar a otro
											de la forma más rápida posible.
											Y estas actividades no serían 
factibles sin suministro de energía.
											La energía en forma de electricidad
genera luz y refrigeración,
											en forma de calor nos mantiene calientes,
											en su forma química 
nos proporciona los fertilizantes,
											pone en funcionamiento maquinarias
agrícolas y de transporte.
									","
											Quase toda a gente no mundo
faz parte duma comunidade,
											seja ela grande ou pequena.
											Todas essas comunidades
têm necessidades semelhantes.
											Precisam de luz, precisam de calor,
											precisam de ar condicionado.
											As pessoas não funcionam bem
se estiver demasiado calor ou frio.
											Precisam de produzir, fornecer, distribuir
e guardar alimentos com segurança.
											Precisam que o lixo seja recolhido,
eliminado e processado.
											Precisam de se deslocar
de um lado para o outro,
											o mais depressa possível.
											E o fornecimento de energia é a base
para todas estas atividades.
											A energia sob a forma de eletricidade
fornece luz e ar condicionado.
											sob a forma de calor, mantém-nos quentes.
											A energia sob a forma química
fornece-nos fertilizantes,
											faz mover as máquinas agrícolas
e transportam a energia.
									","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
","
","
","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
											Now, I spent 10 years working at NASA.
											In the beginning of my time there in 2000,
											I was very interested in communities.
											But this is the kind of community
I was thinking of —
											a lunar community
											It had all of the same needs
as a community on Earth would have,
											but it had some very unique constraints.
											And we had to think about
how we would provide energy
											for this very unique community.
											There’s no coal on the Moon.
											There's no petroleum.
											There’s no natural gas.
											There's no atmosphere.
											There’s no wind, either.
											And solar power had a real problem:
											the Moon orbits the Earth once a month.
											For two weeks, the sun goes down,
											and your solar panels
don't make any energy.
											If you want to try to store
enough energy in batteries for two weeks,
											it just simply isn't practical.
											So nuclear energy
was really the only choice.
									","
											Trabajé 10 años en la NASA,
											y cuando comencé allí en el año 2000,
											mi interés eran las comunidades.
											Pero me interesaba este tipo de comunidad:
											una comunidad lunar.
											Tenía las mismas necesidades
que una comunidad terrestre,
											pero con algunas limitaciones
muy particulares.
											Y el desafío era cómo proporcionar energía
											a esta comunidad tan especial.
											En la luna, no hay carbón.
											No hay petróleo.
											No hay gas natural.
											No hay atmósfera.
											Tampoco hay viento.
											Y la energía solar era
un verdadero problema.
											La luna gira alrededor
de la Tierra una vez al mes.
											Durante dos semanas, el sol queda oculto
											y los paneles solares 
no pueden generar energía.
											Si quisiéramos almacenar energía
en baterías para dos semanas,
											no sería nada práctico.
											Por eso, la única opción
era la energía nuclear.
									","
											Eu passei 10 anos a trabalhar na NASA.
											Quando comecei a trabalhar ali, em 2000,
											eu estava muito interessado
em comunidades.
											Mas o tipo de comunidade
em que eu pensava
											era uma comunidade lunar.
											Tinha todas as mesmas necessidades
que uma comunidade na Terra,
											mas tinha limitações muito especiais.
											Tínhamos de pensar
em como fornecer energia
											a esta comunidade muito especial.
											Na Lua não há carvão,
											não há petróleo,
											não há gás natural.
											Não há atmosfera.
Também não há vento.
											A energia solar era um problema.
											A Lua dá a volta à Terra uma vez por mês.
											Durante duas semanas, o Sol fica oculto
											e os painéis solares
não podem gerar energia.
											Não é nada prático armazenar
suficiente energia em baterias,
											para duas semanas,
											Portanto, a energia nuclear
era a única opção.
									","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
","
","
","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
											Now, back in 2000, I didn't really know
too much about nuclear power,
											so I started trying to learn.
											Almost all of the nuclear power
we use on Earth today uses water
											as a basic coolant.
											This has some advantages,
but it has a lot of disadvantages.
											If you want to generate electricity,
you have to get the water a lot hotter
											than you normally can.
											At normal pressures, water will boil
at 100 degrees Celsius.
											This isn't nearly hot enough
to generate electricity effectively.
											So water-cooled reactors have to run
at much higher pressures
											than atmospheric pressure.
											Some water-cooled reactors run
at over 70 atmospheres of pressure,
											and others have to run at as much as
150 atmospheres of pressure.
											There's no getting around this;
											it's simply what you have to do
if you want to generate electricity
											using a water-cooled reactor.
											This means you have to build
a water-cooled reactor
											as a pressure vessel,
											with steel walls
over 20 centimeters thick.
											If that sounds heavy,
that's because it is.
									","
											Pero allá por el 2000, yo no sabía
mucho de energía nuclear,
											así que empecé a investigar.
											Casi toda la energía nuclear
actual se basa en el uso de agua
											como refrigerante básico.
											Si bien tiene su ventajas, también
presenta muchas desventajas.
											Para generar electricidad, se debe
elevar la temperatura del agua
											a niveles muy superiores a los normales.
											Bajo presión normal,
el agua hierve a 100 °C,
											que es muy poca temperatura para generar
electricidad de manera efectiva.
											por eso los reactores
refrigerados por agua
											funcionan a una presión 
muy superior a la atmosférica.
											Algunos de estos reactores funcionan
a más de 70 atmósferas de presión,
											y otros llegan a las 150 atmósferas.
											No hay otra manera.
											Es lo que se requiere
para generar electricidad
											con un reactor refrigerado por agua.
											Por eso el reactor debe construirse
como un recipiente a presión
											con paredes de acero
de más de 20 cm de espesor.
											Si parece pesado, pues lo es.
									","
											Mas, em 2000, eu não sabia muito
sobre a energia nuclear,
											por isso comecei a estudá-la.
											Quase toda a energia nuclear
que obtemos na Terra usa água,
											como refrigerante de base,
											Isso tem as suas vantagens
mas tem muitos inconvenientes.
											Para gerar eletricidade,
temos de elevar a temperatura da água
											a níveis superiores aos normais.
											A uma pressão normal,
a água ferve a 100 graus Celsius.
											Essa temperatura não é suficiente
para gerar eletricidade com eficácia.
											Assim, os reatores a água funcionam
											com pressões muito mais altas
do que a pressão atmosférica.
											Alguns reatores a água funcionam
a mais de 70 atmosferas de pressão
											e outros chegam a funcionar
a 150 atmosferas de pressão.
											Não há volta a dar.
											É o que temos de fazer
se queremos gerar eletricidade
											com um reator a água.
											Assim, temos de construir esses reatores
como um recipiente à pressão
											com paredes de aço
com 20 cm de espessura.
											Se isso parece demais,
é porque é mesmo.
									","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
","
","
","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
											Things get a lot worse
if you have an accident
											where you lose pressure
inside the reactor.
											If you have liquid water
at 300 degrees Celsius
											and suddenly you depressurize it,
											it doesn't stay liquid for very long;
											it flashes into steam.
											So water-cooled reactors are built
inside of big, thick concrete buildings
											called containment buildings,
											which are meant to hold all of the steam
that would come out of the reactor
											if you had an accident
where you lost pressure.
											Steam takes up about 1,000 times
more volume than liquid water,
											so the containment building
ends up being very large,
											relative to the size of the reactor.
									","
											El problema surge cuando
se produce un accidente
											con pérdida de presión en el reactor.
											Si el agua líquida a 300 °C
se despresuriza de repente,
											se transforma instantáneamente en vapor.
											Por ello, estos reactores se construyen
dentro de edificios de hormigón macizo
											llamados edificios de contención,
											capaces de soportar todo el vapor
que saldría del reactor
											en caso de un accidente
con pérdida de presión.
											El vapor ocupa unas 1000 veces 
más volumen que el agua líquida.
											Por ello, el edificio de contención
es mucho más grande que el reactor.
									","
											As coisas ainda pioram
se houver um acidente
											com perda de pressão
no interior do reator.
											Se a água líquida a 300º C
perde pressão, de repente,
											não se mantém líquida,
transforma-se logo em vapor.
											Assim, esses reatores são construídos
dentro de enormes edifícios de betão
											chamados edifícios de contenção
											concebidos para aguentar
todo o vapor que sairia do reator
											no caso de um acidente
com perda de pressão.
											O vapor ocupa mil vezes
mais volume do que a água líquida,
											por isso, o edifício de contenção
é muito maior do que o tamanho do reator.
									","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
","
","
","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
"
											Another bad thing happens
if you lose pressure
											and your water flashes to steam.
											If you don't get emergency coolant
to the fuel in the reactor,
											it can overheat and melt.
											The reactors we have today
use uranium oxide as a fuel.
											It's a ceramic material
similar in performance
											to the ceramics we use to make
coffee cups or cookware
											or the bricks we use to line fireplaces.
											They're chemically stable,
											but they're not very good
at transferring heat.
											If you lose pressure, you lose your water,
											and soon your fuel will melt down
											and release the radioactive
fission products within it.
									","
											Hay otro gran problema que ocurre
si se pierde presión y se evapora el agua.
											Sin un refrigerante de emergencia,
											el combustible en el reactor
puede sobrecalentarse y fundirse.
											El combustible de los reactores
actuales es el óxido de uranio.
											Es un material cerámico
de comportamiento muy parecido
											al que se usa para fabricar
tazas u ollas de cocina,
											o ladrillos para revestir
chimeneas domésticas.
											Son químicamente estables,
pero ineficientes para transmitir calor.
											Si se pierde la presión,
se pierde el agua,
											se funde el combustible y se liberan
los productos radiactivos de la fisión.
									","
											Há outro problema que ocorre
com a perda de pressão
											e com a vaporização da água.
											Sem um refrigerante de emergência,
											o combustível no reator
pode aquecer demais e derreter.
											O combustível dos reatores atuais
é o óxido de urânio.
											É um material cerâmico
com um desempenho semelhante
											à cerâmica usada para fabricar
chávenas ou loiça de cozinha
											ou os tijolos usados
para forrar as lareiras.
											São estáveis quimicamente, mas
pouco eficazes para transmitir calor.
											Se perdermos pressão, perdemos a água
											o combustível derrete-se e libertam-se
os produtos radioativos da fissão.
									","Thorium, an alternative nuclear fuel",Kirk Sorensen,9:59,"TEDx,alternative energy,nuclear energy,technology"
