en,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
											As a little girl, I always imagined
											I would one day run away.
											From the age of six on,
											I kept a packed bag with some clothes
											and cans of food tucked away
											in the back of a closet.
											There was a deep restlessness in me,
											a primal fear that I would fall prey
											to a life of routine and boredom.
											And so, many of my early memories involved
											intricate daydreams where
I would walk across borders,
											forage for berries,
											and meet all kinds of strange people
											living unconventional lives on the road.
									","
											Em pequena, sempre imaginei
											que um dia fugiria.
											A partir dos meus 6 anos,
											passei a guardar uma mala com roupas
											e latas de comida escondidas
											na parte de trás de um roupeiro.
											Sentia uma profunda inquietação,
											um medo primordial de que seria vítima
											de uma vida de rotina e aborrecimento.
											Por isso, muitas das minhas
primeiras memórias envolviam
											sonhar acordada e de forma
elaborada onde passaria fronteiras,
											a recolher bagas
											e a conhecer todo o tipo 
de pessoas estranhas,
											com vidas fora do convencional,
pela estrada fora.
									","
											Küçük bir kız olarak, bir gün
											kaçan giden biri olmayı hayal ettim.
											Altı yaşından beri,
											bazı elbiselerimi davul toplu
											konserve yiyceklerimi de
											dolabın arkasında tutuyorum.
											İçimde derin bir rahatsızlık var
											hayatın tek düzeliğine ve sıkkınlığa
											kurban düşeceğime dair ilkel bir korku.
											Ve bu yüzden çocukluk dönemi hatıralarımın çoğu
											sınırlarda yürüyüp, çilek peşinde koştuğum
											ve farklı farklı insanlarla karşılaştığım
											yollarda sıradışı bir hayat sürdüğüm
											karma karışık hayallerdi.
									","
											Petite, j'avais toujours imaginé
											qu'un jour, je fuguerai.
											Dès l'âge de six ans,
											j'avais préparé un sac 
avec des vêtements
											et des boîtes de conserve
											que je gardais dans mon placard.
											J'avais cette profonde angoisse,
											une peur intrinsèque d'être piégée
											
dans un train-train quotidien.
											Une grande partie de mes souvenirs
											est donc composée de rêves éveillés,
où je traversais des frontières,
											récoltais des baies
											et où je rencontrais 
toutes sortes de gens étranges
											vivant des vies hors du commun 
sur ma route.
									","
											Als kleines Mädchen stellte ich mir vor,
											dass ich eines Tages von Zuhause weglaufe.
											Seit dem sechsten Lebensjahr
											bewahrte ich eine Tasche
mit Kleidung und Konservendosen
											in meinem Wandschrank auf.
											In mir war eine tiefe Unruhe,
											eine Angst, Opfer zu werden,
											von einem Leben
voller Routine und Langeweile.
											Viele meiner frühkindlichen Erinnerungen
											beinhalteten komplizierte Wachträume,
in denen ich Grenzen überschritt,
											Beeren sammelte
und allerlei seltsame Leute traf,
											die unkonventionelle Leben
auf der Straße führten.
									",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
","
","
","
","
",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
											Years have passed, but many of the adventures
											I fantasized about as a child —
											traveling and weaving my way
											between worlds other than my own —
											have become realities through my work
											as a documentary photographer.
											But no other experience has felt as true
											to my childhood dreams
											as living amongst and documenting the lives
											of fellow wanderers across the United States.
											This is the nomadic dream,
											a different kind of American dream
											lived by young hobos, travelers,
											hitchhikers, vagrants and tramps.
									","
											Os anos passaram, mas muitas das aventuras
											que fantasiava em criança,
											a viajar e a tecer o meu caminho
											entre mundos para além do meu próprio,
											tornaram-se realidade 
através do meu trabalho
											como fotógrafa documental.
											Mas nenhuma outra experiência 
senti como tão fiel
											aos meus sonhos de infância,
											do que viver entre companheiros 
errantes pelos Estados Unidos
											e documentar as suas vidas.
											Este é o sonho nómada,
											um tipo diferente de sonho americano
											vivido por jovens trabalhadores
migratórios, viajantes,
											pedintes de boleia, vadios e vagabundos.
									","
											Yıllar geçti, ama çocuk olarak
											hayalini kurduğum birçok macera —
											benim dünyam dışındaki dünyalar arasında
											seyahat ederken ve yoluma dokunurken —
											bir belgesel fotorafçısı olarak
											işim aracıyla bunlar gerçek oldu.
											Ama hiçbir başka deneyim
çocukluk rüyalarımı
											yaşayanlar arasında olmak kadar
											ve Birleşik Devlet boyunca gezgin arkadaşların
											arasında yasamak kadar gerçek hissettirmedi.
											Bu bir göçebe hayali
											Amerikan rüyasının bir başka türü
											genç rençperlerin, gezginler, 

											otostopçuların ve serseriler yaşadığı...
									","
											Les années ont passé, 
mais une grande partie
											de ces rêveries d'enfance —
											voyager, me faufiler entre des mondes
											autres que le mien —
											sont devenues réalité 
à travers mon travail
											de photographe documentaire.
											Cependant, aucune expérience n'a été
											plus fidèle à mes rêves d'enfant
											que celle que j'ai vécue 
parmi d'autres voyageurs
											au travers des États-Unis, 
pour en faire un documentaire.
											C'est le rêve nomade,
											un autre genre de rêve américain
											vécu par de jeunes SDF, voyageurs,
											auto-stoppeurs, vagabonds et clochards.
									","
											Die Jahre sind vergangen,
aber viele meiner Abenteuer,
											von denen ich als Kind fantasierte —
											zu reisen; meinen Weg zu erfinden
zwischen Welten, anders als der meinen —
											wurden durch meine Arbeit
als Dokumentarfotografin Wirklichkeit.
											Aber keine andere Erfahrung
											kam meinen Kindheitsfantasien so nah,
											wie die, wie andere Herumtreiber zu leben
											und ihr Leben überall in den USA
zu dokumentieren.
											Das ist der Traum vom nomadischen Leben,
											eine andere Art amerikanischer Traum,
											gelebt von jungen Landstreichern,
Herumreisenden,
											Trampern, Nichtsesshaften und Vagabunden.
									",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
","
","
","
","
",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
											In most of our minds,
											the vagabond is a creature from the past.
											The word ""hobo"" conjures up an old
											black and white image
											of a weathered old man covered in coal,
											legs dangling out of a boxcar,
											but these photographs are in color,
											and they portray a community
											swirling across the country,
											fiercely alive and creatively free,
											seeing sides of America that no one else
											gets to see.
									","
											Na maioria das nossas mentes,
											o vagabundo é uma criatura do passado.
											A palavra ""vagabundo"" evoca
											uma velha imagem a preto e branco,
											de um homem velho coberto com carvão,
											pernas para fora de uma 
carruagem de mercadorias.
											Mas estas fotos são a cor
											e retratam uma comunidade
											que percorre todo o país,
											ferozmente viva e criativamente livre,
											observando lados da América
											que mais ninguém consegue ver.
									","
											Birçoğumuzun aklınızda,
											aylaklar-serseriler geçmişten gelen canavarlar.
											""Gezici rençper"" kelimesi
											bacakları vagondan sarkan
											kömürle kaplı yıpranmış
											yaşlı bir adamı çağrıştırıyor.
											ama bu fotoraflar renkli
											ve onlar ülke çapında
											fırıl fırıl dönen,
											oldukça canlı ve yaratıcı bir şekilde özgür,
											Amerikan'ın kimsenin görmediği taraflarını
											gören bir topluluğu tanımlıyor.
									","
											Dans la plupart de nos esprits,
											le vagabond est une créature 
sortie du passé,
											le mot « vagabond » évoque 
une image ancienne,
											en noir et blanc,
											celle d'un vieil homme abîmé, 
couvert de charbon,
											les jambes pendouillant d'un wagon.
											Mais ces photographies 
sont en couleur
											et dépeignent une communauté
											tourbillonnant dans le pays,
											férocement vivante et 
à la créativité sauvage,
											observant des facettes de l'Amérique
											qu'elle est seule à connaître.
									","
											In den meisten Köpfen
											ist der Vagabund Teil der Vergangenheit.
											Das Wort ""Landstreicher"" erinnert
											an ein Schwarz-Weiß-Foto
											eines dem Wetter ausgesetzten,
verrußten Mannes,
											der seine Beine aus einem
Waggon baumeln lässt.
											Aber diese Fotos sind in Farbe:
											Sie porträtieren eine Gemeinschaft,
die im Land herumwirbelt,
											heftig lebendig und schöpferisch frei.
											Sie sehen das Amerika,
das sonst niemand zu sehen bekommt.
									",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
","
","
","
","
",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
											Like their predecessors, today's nomads
											travel the steel and asphalt arteries
											of the United States.
											By day, they hop freight trains,
stick out their thumbs,
											and ride the highways with anyone
											from truckers to soccer moms.
											By night, they sleep beneath the stars,
											huddled together with their packs of dogs,
											cats and pet rats between their bodies.
									","
											Tal como os seus antecessores,
											os nómadas de hoje viajam 
pelas estradas de aço e asfalto
											dos Estados Unidos.
											De dia, saltam para comboios de mercadorias,
levantam os polegares
											e andam pelos caminhos com qualquer um,
											desde camionistas a mães de futebol.
											À noite, eles dormem sob as estrelas,
											amontoados com as suas matilhas de cães,
											gatos e ratos de companhia 
entre os seus corpos.
									","
											Onların öncelleri gibi, bugünün göçebeleri
											Birleşik Devletler'in çelik ve asfalt
											arterlerinde seyahat ediyorlar.
											Gün başlarken, yük trenlerinden atılıyorlar
baş parmaklarını kaldırıyorlar
											ve kamyonculardan futbolcu annelerine
											kim gelirse onlarla yolculuk ediyorlar.
											Akşam, yıldızların altında
											birlikte köpeklerine, kedilerine ve
											evcil farelerine sokularak uyuyorlar.
									","
											Comme leurs prédécesseurs, 
les nomades d'aujourd'hui
											parcourent les artères 
d'asphalte et d'acier
											des États-Unis.
											De jour, ils sautent dans 
des wagons de fret, font du stop,
											et parcourent les autoroutes 
avec n'importe qui,
											des chauffeurs poids lourds aux mamans 
courant entre activités extra-scolaires
											De nuit, ils dorment à la belle étoile,
											lovés entre eux, 
avec leur troupeaux de chiens,
											chats et rats domestiques.
									","
											Wie ihre Vorgänger bereisen
die heutigen Nomaden
											die Hauptverkehrsadern
der Vereinigten Staaten
											aus Stahl und Asphalt.
											Am Tag springen sie auf Güterzüge
oder strecken den Daumen raus,
											und fahren auf der Autobahn mit jedem mit,
											egal ob Lkw-Fahrer
oder nicht berufstätige Mütter.
											Nachts schlafen sie unter den Sternen,
											gekauert an ihr Rudel aus Hunden,
											Katzen und Haustierratten
zwischen ihren Körpern.
									",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
","
","
","
","
",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
											Some travelers take to the road by choice,
											renouncing materialism, traditional jobs
											and university degrees in exchange 
for a glimmer of adventure.
											Others come from the underbelly of society,
											never given a chance to mobilize upwards:
											foster care dropouts, teenage runaways escaping
											abuse and unforgiving homes.
									","
											Alguns viajantes metem-se 
à estrada por opção,
											renunciam ao materialismo, 
aos empregos tradicionais
											e aos graus universitários, em troca 
de um vislumbre de aventura.
											Outros vêm da parte inferior da sociedade,
											nunca tiveram uma oportunidade de ascender:
											rejeitados de adoções,
											adolescentes fugitivos a escapar de abusos
											e de casas implacáveis​​.
									","
											Yolları tercih eden bazı gezginler
											maddeciliği, geleneksel işleri
											ve üniversite derecelerini 
bir maceranın zayıf ışığına tercih ediyor.
											Ama diğer toplumun alt kesimlerinden
											gelenlerin yukarlara doğru tırmanmaya şanşı yok:
											evlatlık olup bakıcılardan kaçanlar, kaçan ergenler,
											tacize uğrayanlar ve evinden atılalar.
									","
											Certains voyageurs choisissent 
la vie sur la route.
											Ils renoncent au matérialisme, 
au travail conventionnel,
											aux diplômes universitaires 
et choisissent l'aventure.
											D'autres proviennent 
des bas-fonds de la société,
											privés de l'opportunité 
d'en gravir les échelons,
											sortis de familles d'accueil,
											des adolescents s'étant échappés
de familles abusives et hostiles.
									","
											Manche Reisende haben sich 
dieses Leben ausgesucht,
											verzichten auf Materielles,
herkömmliche Arbeit
											und Uni-Abschlüsse im Tausch
gegen einen Hauch von Abenteuer.
											Andere kommen von der
Schattenseite der Gesellschaft;
											sie bekamen sie nie,
die Chance zum sozialen Aufstieg:
											Ausbrecher aus Pflegefamilien,
jugendliche Ausreißer
											auf der Flucht vor Missbrauch
und unversöhnlichen Elternhäusern.
									",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
","
","
","
","
",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
											Where others see stories of privation
											and economic failure,
											travelers view their own existence
											through the prism of liberation and freedom.
											They'd rather live off of the excess
											of what they view as a wasteful consumer society
											than slave away at an unrealistic chance
											at the traditional American dream.
											They take advantage of the fact
											that in the United States,
											up to 40 percent of all food ends up in the garbage
											by scavenging for perfectly good produce
											in dumpsters and trash cans.
											They sacrifice material comforts in exchange
											for the space and the time to explore
											a creative interior,
											to dream, to read, to work on music, art and writing.
									","
											Onde outros veem histórias de privação
											e fracasso económico,
											os viajantes visualizam 
a sua própria existência
											através da perspetiva 
da libertação e liberdade.
											Preferem viver fora do excesso
											do que veem como uma sociedade 
de consumo e de desperdício,
											do que aprisionados 
numa possibilidade irrealista
											no sonho americano tradicional.
											Eles aproveitam-se do facto
											de, nos Estados Unidos,
											cerca de 40% de todos 
os alimentos acabarem no lixo,
											para procurar produtos perfeitamente bons
											em lixeiras e caixotes do lixo.
											Sacrificam o conforto material
											em troca do espaço e do tempo
											para explorar um interior criativo,
											para sonhar, para ler, para trabalhar 
em música, arte e escrita.
									","
											Diğerlerinin ekonomik başarısızlık
											ve yokluk gördüğü yerde,
											gezginler liberalizm ve özgürlük
											prizmasından kendi var oluşlarını görüyorlar.
											boşa giden ve tüketici bir toplum olarak
											gördüklerinin aşırılılıklarındansa
											geleneksel Amerikan rüyasında
											gerçek dışı bir şansla çok çalışarak yaşıyorlar.
											Birleşik Devletler'de
											yiyeceklerin yüzde 40'nın
											sonunun çöpte bittiği gerçeğinden yola çıkarak
											çöplüklerin ve çöp tenekelerinin karıştırıp yiyecek toplamak için
											mükemmel bir üretim yeri olduğudur.
											Nesnel rahatlığı yer ve zaman karşılığında
											içsel bir yaratıcılığı keşfetmek için,
											hayal kurmak, okumak,
											müzik, sanat ve edebiyatta çalışmak için feda ediyorlar
									","
											Là où certains verront 
des histoires de privation
											et d'échec financier,
											les voyageurs voient leur existence
											à travers le prisme 
de la délivrance et de la liberté.
											Ils préfèrent vivre en dehors de l'excès
											de ce qu'ils perçoivent comme 
une société de consommation et de gâchis,
											que de se rendre esclaves 
de l'espoir irréel
											de vivre le rêve américain.
											Ils profitent du fait que,
											aux États-Unis,
											jusqu'à 40% de la nourriture 
est jetée.
											Ils récupèrent donc des produits 
parfaitement comestibles
											dans les poubelles et déchetteries.
											Ils sacrifient leur confort matériel
											au profit de l'espace et du temps
pour explorer
											leur créativité intérieure,
											pour rêver, lire, travailler leur musique, 
leur art ou l'écriture.
									","
											Was andere als Geschichten von Entbehrung
und wirtschaftlichem Versagen ansehen,
											betrachten die Reisenden
											durch das Prisma
der Befreiung und Freiheit.
											Lieber zehren sie vom Überfluss einer —
											aus ihrer Sicht —
verschwenderischen Konsumgesellschaft,
											als sich mit einer unrealistischen Chance
											auf den herkömmlichen
""American Dream"" abzurackern.
											Sie nutzen die Tatsache aus,
											dass in den USA bis zu 40 %
der Lebensmittel im Abfall landen,
											in dem sie nach einwandfreien
Nahrungsmitteln
											in Containern und Abfalleimern suchen.
											Sie opfern materiellen Komfort
											im Austausch gegen den Raum und die Zeit,
											ihr kreatives Inneres zu entdecken,
um zu träumen, zu lesen,
											Musik zu machen, Kunst zu erschaffen
und zu schreiben.
									",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
"
","
","
","
","
",A glimpse of life on the road,Kitra Cahana,5:00,"TED Fellows,art,global issues,journalism,photography,travel,youth"
