en,fr,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
											For your son’s sixth birthday,
											you’ve promised to get him the cutest 
creature in creation:
											the cuddly.
											It’s hard to believe that it’s a cousin of
the terrifying duddly
											or the hideous fuddly.
											They’re all members of the Wuddly species,
											and the process of adopting 
them is deeply peculiar.
									","
											Votre fils fête ses six ans,
											et vous lui avez promis de lui offrir la
créature la plus mignonne de la création :
											le câlinou.
											Difficile de croire que c'est
un cousin du monstrueux terrifiou
											ou du hideux effrayou.
											Ils font tous partie de l'espèce
des Merveilloux.
											et le processus pour les adopter
est très particulier.
									","
											Oğlunuzun altıncı doğum günü için
											ona olası en hoş yaratığı 
almaya söz verdiniz:
											Cuddly.
											Onun, korkutucu duddly'nin
ve iğrenç fuddly'nin
											kuzeni olduğu kimin aklına gelir.
											Hepsi Wuddly türünün üyesi
											ve bunları sahiplenme süreci
oldukça garip.
									","
											Para o 6.º aniversário do teu filho,
											prometeste dar-lhe
a criatura mais fofinha existente:
											o ""cuddly"".
											É difícil acreditar que ele
seja primo do pavoroso ""Duddly""
											ou do horrível ""fuddly"".
											São todos membros da espécie ""Wuddly"".
											O processo para adotá-los
é muito peculiar.
									","
											Para el cumpleaños sexto de tu hijo,
											le prometiste darle la criatura
más linda de la creación:
											el mimoso.
											Es difícil creer que es primo del dudoso
											o del espantoso terroroso.
											Todos ellos son miembros 
de la especie adorablioso,
											y el proceso para adoptarlos
es sumamente peculiar.
									",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
","
","
","
","
",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
											It takes 100 eggs to make a single 
animal in genus Wuddly.
											When 100 eggs are placed together 
in an incubator,
											they undergo egg fusion, and combine 
in the following way.
											Blue and purple combine to make red eggs.
											Red and blue combine to make purple eggs,
											and red and purple 
combine to make blue eggs.
									","
											Il faut 100 œufs pour faire un seul
animal de la famille des Merveilloux.
											Lorsque les 100 œufs sont placés
ensemble dans un incubateur,
											ils fusionnent pour se combiner
de la façon suivante.
											Les œufs bleus et violets se combinent
et créent des œufs rouges.
											Les œufs rouges et bleus se combinent
et créent des œufs violets,
											les œufs rouges et violets se combinent
et créent des œufs bleus.
									","
											Wuddly cinsinden tek bir hayvan
yapmak için 100 yumurta gerekiyor.
											100 yumurta birlikte kuluçka
makinesine yerleştirildiğinde
											yumurta füzyonu ile
aşağıdaki şekilde birleşiyorlar.
											Mavi ve mor birleşerek
kırmızı yumurtaları,
											kırmızı ve mavi birleşerek
mor yumurtaları
											ve kırmızı ile mor birleşerek
mavi yumurtaları oluşturur.
									","
											São precisos 100 ovos para fazer
um só animal com genes ""Wuddly"".
											Quando se juntam 100 ovos
numa incubadora,
											eles são objectos de fusão,
e combinam-se da seguinte maneira.
											Azul e violeta combinam-se
para criar ovos vermelhos.
											Vermelho e azul combinam-se
para criar ovos violetas,
											e vermelho e violeta combinam-se
para criar ovos azuis.
									","
											Se necesitan 100 huevos para hacer 
un solo animal del género adorablioso.
											Cuando se ponen 100 huevos juntos
en una incubadora,
											experimentan una fusión 
y se combinan de la siguiente manera.
											El azul y el morado se combinan 
para hacer huevos rojos.
											El rojo y el azul se combinan
para hacer huevos morados,
											y el rojo y el morado
se combinan para hacer huevos azules.
									",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
","
","
","
","
",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
											The most plentiful eggs pair up first,
											and if two piles are even,
											an egg comes from one of them at random.
											They keep combining until 
there’s just one left.
											If the final egg is blue,
											a Cuddly hatches out of it.
											Purple eggs give you Duddlies,
											and Red eggs give you Fuddlies.
									","
											Les œufs les plus nombreux
se combinent en premier,
											et si deux piles sont égales,
											l'œuf sortira de l'une des deux
de façon aléatoire.
											Ils continuent à se combiner
jusqu'à ce qu'il n'en reste plus qu'un.
											Si le dernier œuf est bleu,
											un Câlinou en sortira.
											Un œuf violet vous donnera un Terrifiou,
											et un œuf rouge vous donnera un Effrayou.
									","
											Sayıca fazla olan yumurtalar önce birleşir
											ve eğer iki yığının sayıları aynıysa
											bunlardan biri rastgele oluşur.
											Tek bir tane kalana kadar
birleşme devam eder.
											Son yumurta mavi ise
											yumurtadan bir Cuddly çıkar.
											Mor ise bir Duddly
											ve kırmızı ise bir Fuddly çıkar.
									","
											Os ovos mais abundantes
formam-se primeiros,
											e, se duas pilhas são iguais,
											origina-se um ovo
casualmente de um deles.
											Eles continuam a combinar-se
até restar só um.
											Se o último ovo for azul,
											um ""cuddly"" eclode desse.
											Ovos violetas dão ""duddlies"",
											e ovos vermelhos dão ""fuddlies"".
									","
											Se emparejan primero las pilas 
que tienen más huevos,
											y si las dos pilas son pares,
											un huevo se crea aleatoriamente.
											Se mantienen combinándose
hasta que queda solo uno.
											Si el último huevo es azul,
											un mimoso sale de allí.
											Los huevos morados te darán dudosos,
											y los huevos rojos te darán terrorosos.
									",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
","
","
","
","
",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
											The incubator currently has 99 eggs in it.
											23 are blue, 33 are purple, 
and 43 are red.
											You can begin the process of egg fusion
by adding an egg of any color to the room.
											When all the eggs have combined
into a single egg,
											the creature that hatches will bond 
with you on sight,
											which is why getting a Cuddly 
is so important.
											After all, you made a promise to your son.
									","
											L'incubateur a 99 œufs :
											23 bleus, 33 violets et 43 rouges.
											Vous pouvez commencer le processus
de fusion des œufs
											en ajoutant un œuf de n'importe quelle
couleur dans l'incubateur..
											Lorsque tous les œufs se seront
combinés en un seul,
											la créature qui en sortira se liera
à vous au premier regard,
											c'est pourquoi obtenir un Câlinou
est si important.
											Après tout, vous avez fait
une promesse à votre fils.
									","
											Şu an kuluçka makinesinde 99 yumurta var.
											23 mavi, 33 mor ve 43 kırmızı.
											Herhangi renkte bir yumurta
ekleyerek işlemi başlatabilirsiniz.
											Tüm yumurtalar birleşip
tek bir yumurta oluştuğunda
											çıkacak yaratık görür görmez
size bağlanacak.
											İşte bu yüzden bir Cuddly çıkması önemli.
											Sonuçta oğlunuza bir söz verdiniz.
									","
											A incubadora contém atualmente 99 ovos.
											23 azuis, 33 violetas,
e 43 vermelhos.
											Podes começar
o processo de fusão de ovos
											adicionando um ovo
de qualquer cor no seu lugar.
											Quando todos os ovos se tiverem
combinado num único ovo,
											a criatura que eclode vai ligar-se
contigo à primeira vista,
											e é por isso que é tão importante
conseguir um ""cuddly"".
											Afinal, fizeste
uma promessa ao teu filho.
									","
											La incubadora ahora tiene 99 huevos.
											23 son azules, 33 son morados,
y 43 son rojos.
											Puedes iniciar el proceso
de fusión de huevos
											añadiendo un huevo de cualquier
color a la incubadora,
											Cuando todos los huevos 
se hayan combinado en un solo huevo,
											la criatura que nace se unirá contigo
a primera vista,
											por esto es importante
conseguir un mimoso.
											Después de todo,
se lo prometiste a tu hijo.
									",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
","
","
","
","
",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
"
											Which color egg should you add 
to the incubator to get a cuddly?
									","
											De quelle couleur doit être l'œuf
à ajouter pour obtenir un Câlinou ?
									","
											Bir cuddly almak için makineye
hangi renkte yumurta eklemelisiniz?
									","
											De que cor deve ser o ovo
que vais colocar na incubadora
											para conseguir um ""cuddly""?
									","
											¿Qué color de huevo deberías agregar a la
incubadora para conseguir un mimoso?
									",Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,3:16,"animation,TED-Ed,math,animals,education"
