en,pt,tr,title,speaker,duration,tags
"
","
","
","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
											So earlier this year,
											I was informed that I would be
doing a TED Talk.
											So I was excited, then I panicked,
											then I was excited, then I panicked,
											and in between the excitement
and the panicking,
											I started to do my research,
											and my research primarily consisted
of Googling how to give a great TED Talk.
									","
											No início deste ano,
											informaram-me que eu iria
fazer uma palestra TED.
											Fiquei entusiasmada, depois em pânico,
depois entusiasmada, depois em pânico,
											e algures entre o entusiasmo e o pânico
											comecei a fazer a minha pesquisa,
											e a minha pesquisa consistiu basicamente
em pesquisar no Google
									","
											Bu yılın başlarında
											bir TED konuşması
yapacağımın bilgisini aldım.
											Heyecanlandım, panikledim,
											sonra heyecanlandım, sonra panikledim,
											heyecan ve panik arasında
											araştırmamı yapmaya
başladım ve öncelikli olarak
											Google'da iyi bir TED
konuşmasının nasıl yapıldığını araştırdım.
									","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
","
","
","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
											(Laughter)
									","
											como fazer uma boa palestra TED.
									","
											(Gülüşmeler)
									","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
","
","
","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
											And interspersed with that,
											I was Googling Chimamanda Ngozi Adichie.
											How many of you know who that is?
									","
											(Risos)
											E entre essas pesquisas,
											pesquisei no Google
por Chimamanda Ngozi Adichie.
									","
											Bununla birlikte Google'da
											Chimamanda Ngozi Adichie'yi araştırdım.
											O'nu kaçınız tanıyor?
									","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
","
","
","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
											(Cheers)
									","
											Quantos de vocês sabem quem é?
									","
											(Tezahüratlar)
									","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
","
","
","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
											So I was Googling her
because I always Google her
											because I'm just a fan,
											but also because she always has
important and interesting things to say.
											And the combination of those searches
											kept leading me to her talk
											on the dangers of a single story,
											on what happens
when we have a solitary lens
											through which to understand
certain groups of people,
											and it is the perfect talk.
											It's the talk that I would have given
if I had been famous first.
									","
											(Aplausos)
											Estava a pesquisá-la no Google,
como estou sempre a fazer, pois sou fã,
											mas também porque ela tem sempre coisas
importantes e interessantes a dizer.
											E a combinação dessas duas pesquisas,
											continuava a levar-me até à palestra dela
											sobre os perigos de uma única história,
											sobre o que acontece
quando temos um entendimento limitado
											acerca de certos grupos de pessoas,
											e é a palestra perfeita.
									","
											Google'da onu araştırdım,
çünkü bunu hep yaparım,
											çünkü bir hayranıyım ve
											çünkü daima söyleyecek
önemli ve ilginç şeyleri vardır.
											Bu araştırmaların sonucunda
											tek bir hikâyenin tehlikeleri ve
											bazı insanları anlamak için tek bir açıdan
											baktığımız zaman
neler olduğu üzerine yaptığı
											konuşmasına yönlendim,
											muhteşem bir konuşma.
											Ondan önce meşhur olsaydım,
bu konuşmayı ben yapardım.
									","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
"
","
","
","If a story moves you, act on it",Sisonke Msimang,12:46,"activism,Africa,communication,collaboration,community,empathy,humanity,journalism,global issues,inequality,motivation,news,Internet,society,personal growth,storytelling,social change,writing"
