tr,en,title,speaker,duration,tags
"
","
",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
											Birçoğumuzun muzdarip olduğu
											bir önsezi yetersizliğinden bahsedeceğim.
											Belirli tür bir tehlikeyi
sezmek gerçekten bir yetersizliktir.
											Bir senaryo anlatacağım,
											korkunç olduğunu düşündüğüm
											ve gerçekleşmesi muhtemel olan
											ve görünen o ki
											iyi bir kombinasyon da değil.
											Yine de korkmak yerine
çoğunuz, bahsettiklerimin
											havalı olduğunu düşüneceksiniz.
									","
											I'm going to talk
about a failure of intuition
											that many of us suffer from.
											It's really a failure
to detect a certain kind of danger.
											I'm going to describe a scenario
											that I think is both terrifying
											and likely to occur,
											and that's not a good combination,
											as it turns out.
											And yet rather than be scared,
most of you will feel
											that what I'm talking about
is kind of cool.
									",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
","
",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
											Yapay zekâdaki kazanımlarımızın
											nihayetinde bizi nasıl 

											mahvedeceğinden bahsedeceğim.
											Hatta bence, bizi mahvetmeyeceğini
veya kendimizi mahvetmeyi bize
											aşılamayacağını düşünmek çok güç.
											Fakat sizler de benim gibiyseniz,
											bunları düşünmenin zevkli
olacağını keşfedeceksiniz.
											Ve bu yanıtta sorunun bir parçası.
											Bu yanıt sizi endişelendirmeli.
											Bu konuşmada sizi, olası bir
küresel bir kıtlığa,
											iklim değişikliği veya 
başka bir afetten dolayı,
											torunlarınız veya 
onların torunlarının muhtemelen
											bu şekilde yaşama durumuna
											yakın olduğuna ikna ediyor olsaydım,
											""İlginç.
											Bu TED konuşmasını beğendim.""
											diye düşünmezdiniz.
									","
											I'm going to describe
how the gains we make
											in artificial intelligence
											could ultimately destroy us.
											And in fact, I think it's very difficult
to see how they won't destroy us
											or inspire us to destroy ourselves.
											And yet if you're anything like me,
											you'll find that it's fun
to think about these things.
											And that response is part of the problem.
											OK? That response should worry you.
											And if I were to convince you in this talk
											that we were likely
to suffer a global famine,
											either because of climate change
or some other catastrophe,
											and that your grandchildren,
or their grandchildren,
											are very likely to live like this,
											you wouldn't think,
											""Interesting.
											I like this TED Talk.""
									",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
","
",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
											Kıtlık eğlenceli değildir.
											Diğer taraftan bilim 
kurgudaki ölüm ise eğlencelidir
											ve bu noktada beni yapay zekâdaki
											en çok endişelendiren gelişmelerden biri,
											önümüzde uzanan tehlikelere,
uygun duyarlı bir yanıtı
											sıralayamıyor gibi görünüyoruz.
											Bu yanıtı sıralayamıyorum ve 
bu konuşmayı yapıyorum.
									","
											Famine isn't fun.
											Death by science fiction,
on the other hand, is fun,
											and one of the things that worries me most
about the development of AI at this point
											is that we seem unable to marshal
an appropriate emotional response
											to the dangers that lie ahead.
											I am unable to marshal this response,
and I'm giving this talk.
									",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
","
",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
											İki kapının önünde duruyoruz gibi.
											1 numaralı kapının ardında
											zeki makine üretmedeki
gelişmeleri durduruyoruz.
											Her nedense bilgisayarlarımızın donanım
											ve yazılımı daha iyi olmayı durduruyor.
											Şimdi bir dakikanızı ayırın ve bunun
											neden olabileceğini değerlendirin.
											Yani, zekâ ve otomasyonun ne kadar
											değerli olduğu göz önüne alındığında,
											yapabilirsek, teknolojimizi geliştirmeye
devam edeceğiz.
											Bunu yapmamızı ne engelleyebilir?
											Büyük çaplı bir nükleer savaş mı?
											Küresel bir salgın mı?
											Asteroit çarpması mı?
											Justin Bieber'in Amerika Başkanı 
olması mı?
									","
											It's as though we stand before two doors.
											Behind door number one,
											we stop making progress
in building intelligent machines.
											Our computer hardware and software
just stops getting better for some reason.
											Now take a moment
to consider why this might happen.
											I mean, given how valuable
intelligence and automation are,
											we will continue to improve our technology
if we are at all able to.
											What could stop us from doing this?
											A full-scale nuclear war?
											A global pandemic?
											An asteroid impact?
											Justin Bieber becoming
president of the United States?
									",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
","
",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
"
											(Kahkahalar)
									","
											(Laughter)
									",Can we build AI without losing control over it?,Sam Harris,14:27,"brain,AI,choice,history,future,humanity,innovation,intelligence,invention,mind,machine learning,neuroscience,potential,robots,science,technology,society"
