en,es,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
											There are no bad buttons,
there are only bad people.
											How does that sound? OK?
									","
											No hay botones malos;
solo hay personas malas.
											¿De acuerdo?
									","
											Kötü düğme diye bir şey yok,
kötü insanlar var.
											Bu nasıl sizce?
									","
											Es gibt keine schlechen Knöpfe,
bloß schlechte Menschen.
											Wie hört sich das an? Okay?
									","
											Il n'y a pas de mauvais boutons,
seulement de mauvaises personnes.
									",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
","
","
","
","
",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
											[Small thing.]
											[Big idea.]
									","
											[Cosa pequeña.]
											[Idea grande.]
									","
											[Küçük şey.]
											[Büyük fikir.]
									","
											[Kleine Sache.]
											[Große Idee.]
									","
											[Petite chose.]
											[Grande idée.]
									",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
","
","
","
","
",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
											[Isaac Mizrahi on
the Button]
									","
											[Isaac Mizrahi habla del botón]
									","
											[Isaac Mizrahi Düğme hakkında konuşuyor.]
									","
											[Isaac Mizrahi auf dem Knopf]
									","
											[Isaac Mizrahi au sujet du bouton]
									",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
","
","
","
","
",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
											No one knows who invented the button.
											It might have shown up
as early as 2000 BCE.
											It was decorative when it first started,
											just something pretty
sewn onto your clothes.
											Then about 3,000 years later,
											someone finally invented the buttonhole,
											and buttons were suddenly useful.
									","
											Nadie sabe quién inventó el botón.
											Quizá su origen se remonte al 2000 AEC.
											Era decorativo al principio,
											solo algo bonito cosido a la ropa.
											Luego, unos 3000 años más tarde,
											alguien por fin inventó el ojal
											y, de repente, los botones
se volvieron útiles.
									","
											Düğmeyi kimin icat ettiğini 
kimse bilmiyor.
											Milattan 2.000 yıl önce
ortaya çıkmış olabilir.
											İlk çıktığında dekoratifti,
											kıyafetlerinize dikebileceğiniz
hoş bir şeydi.
											3.000 yıl sonra ise
											birisi düğme deliklerini icat etti
											ve düğmeler aniden faydalı oldu.
									","
											Keiner weiß, wer den Knopf erfunden hat.
											Vielleicht tauchte er bereits
2 000 v.Chr. auf.
											Am Anfang war er dekorativ,
											etwas Schönes, das an 
Kleidung genäht wurde.
											Dann, ungefähr 3 000 Jahre später,
											erfand endlich jemand das Knopfloch
											und Knöpfe waren plötzlich nützlich.
									","
											Personne ne sait qui a inventé le bouton.
											Il est peut-être apparu
dès l'an 2000 avant Jésus Christ.
											A ses débuts, il était décoratif,
											une jolie chose cousue sur vos vêtements.
											Puis, environ 3 000 ans plus tard,
											quelqu'un a enfin inventé la boutonnière
											et les boutons devinrent utiles.
									",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
","
","
","
","
",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
											The button and the buttonhole
is such a great invention.
											Not only does it slip
through the buttonhole,
											but then it kind of falls into place,
											and so you're completely secure,
like it's never going to open.
											The design of a button hasn't changed much
since the Middle Ages.
											It's one of the most enduring
designs in history.
									","
											El botón con el ojal
es una invención excelente.
											El botón no solo se desliza por el ojal,
											sino que luego encaja en su posición
											y entonces se tiene la seguridad
											de que la prenda nunca se abrirá.
											El diseño del botón no ha cambiado mucho
desde la Edad Media.
											Es uno de los diseños
más perdurables de la historia.
									","
											Düğme ve düğme deliği
harika icatlar.
											Düğme deliğinden kaymakla kalmıyor,
											yerine tam oturuyor
											ve tekrar açılmayacağından
emin oluyorsunuz.
											Düğmenin tasarımı 
Orta Çağ'dan bu yana pek değişmedi.
											Tarihin en dayanıklı tasarımlarından biri.
									","
											Der Knopf und das Knopfloch
sind eine großartige Erfindung.
											Er schlüpft nicht nur durch das Knopfloch,
											sondern fällt auch 
an den richtigen Platz.
											Sie fühlen sich total sicher,
als würde er nie aufgehen.
											Seit dem Mittelalter hat sich das 
Knopfdesign nicht sonderlich geändert.
											Es ist eines der beständigsten 
Designs der Geschichte.
									","
											Le bouton et la boutonnière
sont une invention extraordinaire.
											Le bouton se glisse dans la boutonnière,
											mais il se met ensuite en place
											et c'est entièrement sécurisé,
cela ne va jamais s'ouvrir.
											La forme d'un bouton n'a pas beaucoup
changé depuis le Moyen-Âge.
											C'est l'un des designs
les plus durables de l'histoire.
									",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
","
","
","
","
",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
											For me, the best buttons
are usually round.
											There's either a dome button
with a little shank,
											or there's just this sort of round thing
with either a rim or not a rim,
											either two holes or four holes.
											Almost more important than the button
is the buttonhole.
											And the way you figure that out is:
											the diameter of the button
plus the width of the button,
											plus a little bit of ease.
									","
											Para mí, los mejores botones
normalmente son los redondos.
											Hay botones en forma de domo
con un solo agujero,
											o hay botones redondos con o sin borde
											que tienen dos agujeros o cuatro.
											Casi más importante que el botón
											es el ojal.
											Eso se calcula 
sumando el diámetro del botón
											al ancho del botón,
											más algo de flexibilidad.
									","
											Bana göre en iyi düğmeler 
genellikle yuvarlak.
											Ya küçük bir sapı olan
kubbeli düğmeler var
											ya da çerçevesi olan veya olmayan
yuvarlak benzeri çeşit var,
											ya iki delikliler ya da dört.
											Düğmeden daha önemli olan
düğme deliği.
											Bunu şöyle anlayabiliyoruz:
											düğmenin yarıçapıyla
genişliğini toplayıp
											çok az pay ekliyorsunuz.
									","
											Für mich sind die besten Knöpfe rund.
											Es gibt Kuppelknöpfe
mit einem kleinen Schaft
											oder diese runden Dinger
mit oder ohne Rahmen,
											mit zwei oder vier Löchern.
											Wichtiger als der Knopf an sich
ist das Knopfloch.
											So finden Sie das heraus:
											Durchmesser plus Breite,
											plus ein bisschen Bequemlichkeit.
									","
											Pour moi, les meilleurs boutons
sont en général ronds.
											Il y a soit un bouton en dôme
avec une petite queue
											ou il y a cette chose ronde
avec un pourtour ou non
											et deux ou quatre trous.
											Plus important que le bouton,
la boutonnière.
											Pour en déterminer la taille :
											le diamètre du bouton
plus l'épaisseur du bouton,
											plus un peu de marge.
									",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
"
","
","
","
","
",How the button changed fashion,Isaac Mizrahi,2:20,"design,fashion,history"
