es,tr,en,pt,title,speaker,duration,tags
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Imaginen que inventaron un dispositivo
											que pudiera grabar mis recuerdos,
											mis sueños, mis ideas
											y los transmitiera a su cerebro.
											Esa sería una tecnología
revolucionaria, ¿verdad?
											Pero de hecho, ya poseemos
este dispositivo,
											y se llama sistema
de comunicación humana
											y de narración efectiva.
											Y para entender cómo
funciona este dispositivo,
											tenemos que ""mirar""
dentro del cerebro.
											Y se debe formular la pregunta
de un modo ligeramente distinto.
									","
											Rüyalarımı, anılarımı, fikirlerimi
											kaydedebilen ve beyninize
											gönderebilen bir cihaz
											icat ettiğinizi hayal edin.
											Ezber bozan bir teknoloji olurdu,
öyle değil mi?
											Aslında zaten böyle bir
cihazımız var,
											adı da insan iletişim sistemi ve
											etkili hikâye anlatımı.
											Bu cihazın nasıl çalıştığını
anlamak için,
											beyinlerimize bakmamız gerekecek.
											Soruyu da biraz daha farklı 
formüle etmemiz gerekmekte.
									","
											Imagine that you invented a device
											that can record my memories,
											my dreams, my ideas,
											and transmit them to your brain.
											That would be a game-changing
technology, right?
											But in fact, we already
possess this device,
											and it's called human communication system
											and effective storytelling.
											To understand how this device works,
											we have to look into our brains.
											And we have to formulate the question
in a slightly different manner.
									","
											Imaginem que criaram um aparelho
											que pode gravar as minhas memórias,
											os meus sonhos, as minhas ideias,
											e que as transmite para os vossos cérebros.
											Seria uma tecnologia
que mudaria tudo, certo?
											Mas de facto, já possuímos
este instrumento.
											Chama-se sistema humano de comunicação
											e contador de histórias eficaz.
											Para compreender
como funciona este aparelho,
											temos de olhar para os nossos cérebros.
											E temos de formular a questão
de uma forma ligeiramente diferente.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Tenemos que preguntar
											cómo estos patrones
neuronales de mi cerebro
											que están asociados
con mis recuerdos e ideas
											son transmitidas a sus cerebros.
											Y creemos que hay dos factores
que nos permiten comunicarnos.
											Primero, sus cerebros están físicamente
asociados con las ondas sonoras
											que estoy transmitiendo a sus cerebros.
											Y segundo, hemos desarrollado
un protocolo neuronal común
											que nos permite comunicarnos.
									","
											Şimdi sormamız gereken,
											beynimde anılarım ve fikirlerimle
											bağlantılı bu sinir hücreleri modellerinin
											sizin beyninize nasıl aktarılacağıdır.
											Sanırım iletişim kurmamızı sağlayan
iki unsur bulunmakta.
											İlk olarak beyniniz, benim gönderdiğim
											ses dalgaları ile eşleşmekte.
											İkincisi, iletişim kurmamızı 
sağlayan ortak bir
											sinirsel protokol geliştirdik.
									","
											Now we have to ask
											how these neuron patterns in my brain
											that are associated
with my memories and ideas
											are transmitted into your brains.
											And we think there are two factors
that enable us to communicate.
											First, your brain is now
physically coupled to the sound wave
											that I'm transmitting to your brain.
											And second, we developed
a common neural protocol
											that enabled us to communicate.
									","
											Agora temos de perguntar
											como é que os padrões
dos neurónios no meu cérebro
											que estão associados
com as minhas memórias e ideias
											são transmitidos para os vossos cérebros.
											Pensamos que há dois fatores
que nos permitem comunicar.
											Primeiro, o vosso cérebro está agora
fisicamente ligado à onda sonora
											que eu estou a transmitir
para os vossos cérebros.
											Segundo, nós desenvolvemos 
um protocolo neural em comum
											que nos permite comunicar.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Pero, ¿cómo sabemos eso?
											En mi laboratorio en Princenton,
											llevamos a personas a un escáner IRMf
y analizamos sus cerebros
											mientras narraban o escuchaban
historias de la vida real.
											Y para darles una noción
del estímulo que usamos,
											permítanme reproducir 20 segundos
de una historia que usamos,
											contada por un narrador
muy talentoso,
											Jim O'Grady.
									","
											Bunu nasıl mı biliyoruz?
											Princeton'daki laboratuvarımda,
											insanları fMRI (emar) tarayıcılarına 
sokup hikâye anlatırken ya da
											gerçek yaşam hikâyeleri 
dinlerken beyinlerini taradık.
											Size, kullandığımız uyaran
hakkında fikir sahibi
											yapmak için çok yetenekli bir hikâye 
anlatıcısı tarafından anlatılan
											bir hikâyeden 20 dakika dinleteceğim.
											Jim O'Grady anlatmakta.
									","
											So how do we know that?
											In my lab in Princeton,
											we bring people to the fMRI scanner
and we scan their brains
											while they are either telling
or listening to real-life stories.
											And to give you a sense
of the stimulus we are using,
											let me play 20 seconds
from a story that we used,
											told by a very talented storyteller,
											Jim O'Grady.
									","
											Mas como sabemos isso?
											No meu laboratório em Princeton,
											submetemos pessoas a uma ressonância
RMf para observar o cérebro delas,
											enquanto elas contavam
ou ouviam histórias reais.
											Para dar uma ideia 
do estímulo utilizado,
											vou passar 20 segundos
de uma história que usámos,
											contada por um contador de histórias
muito talentoso:
											Jim O'Grady.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Audio) O'Grady: ""Entonces escribiré
de golpe mi historia y sé que es buena,
											y luego empezaré a mejorarla
									","
											(Ses) Jim O'Grady: Hikâyemi haykırıyorum,
hikâyemin çok güzel olduğunu
											biliyorum ve daha da 
iyi yapmaya başlıyorum—
									","
											(Audio) Jim O'Grady: So I'm banging out
my story and I know it's good,
											and then I start to make it better —
									","
											(Áudio) Eu estava a escrever
a minha história, e sabia que era boa,
											e aí comecei a aperfeiçoá-la...
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Risos)
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											añadiendo un elemento de estilización.
											Los reporteros lo llaman
""dar gato por liebre"".
									","
											onu süsleyerek.
											Muhabirler buna ''zırvalamak'' der.
									","
											by adding an element of embellishment.
											Reporters call this ""making shit up.""
									","
											embelezando-a.
											Os jornalistas chamam 
a isto ""inventar ninharias"".
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Risos)
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
											Y ellos recomiendan
no cruzar esa línea.
											Pero ya me había visto cruzar esa línea
entre un decano de gran prestigio
											y el asalto a una pastelería.
											Y creo que me gustó.""
									","
											Bu çizgiyi geçmeyi önermezler.
											Fakat çizginin yüksek nüfuzlu
bir dekan ve bir pasta saldırısıyla
											kesildiğine şahit oldum.
											Hoşuma gitmedi de değil.''
									","
											And they recommend
against crossing that line.
											But I had just seen the line crossed
between a high-powered dean
											and assault with a pastry.
											And I kinda liked it.""
									","
											E recomendam que não
ultrapassemos essa linha.
											Mas eu tinha acabado
de ver a linha ser ultrapassada
											entre um poderoso reitor
e uma agressão com uma tarte.
											E gostei bastante.
									",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
"
","
","
","
",This is your brain on communication,Uri Hasson,14:51,"brain,cognitive science,collaboration,language,communication,neuroscience,mind,science,speech"
