en,tr,es,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","
","
",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
											I love learning foreign languages.
											In fact, I love it so much that I like
to learn a new language every two years,
											currently working on my eighth one.
											When people find that out about me,
they always ask me,
											""How do you do that? What's your secret?""
											And to be honest, for many years,
my answer would be,
											""I don't know. I simply
love learning languages.""
											But people were never
happy with that answer.
											They wanted to know why they are spending
years trying to learn even one language,
											never achieving fluency,
											and here I come, learning
one language after another.
											They wanted to know
the secret of polyglots,
											people who speak a lot of languages.
											And that made me wonder, too,
											how do actually other polyglots do it?
											What do we have in common?
											And what is it that enables us
											to learn languages
so much faster than other people?
											I decided to meet other people
like me and find that out.
									","
											Ben dil öğrenmeyi çok seviyorum.
											Hatta öylesine çok seviyorum ki
iki yılda bir yeni bir dil öğreniyorum,
											şu anda da sekizinci dili öğreniyorum.
											İnsanlar bu merakımı öğrendiğinde
mutlaka soruyorlar,
											''Bunu nasıl yapıyorsun? Sırrın ne?''
											Aslında çok uzun bir süre
cevabım şöyleydi,
											''Bilmem. Dil öğrenmeyi
çok seviyor olmamdan.''
											Ama insanlar bu cevaptan
hiç tatmin olmuyorlardı.
											Onlar tek bir dil öğrenmek için
yıllarını harcarken
											ve pek başarılı olamazken
											benim nasıl dil üstüne dil
öğrenebildiğimi bilmek istiyorlardı.
											Poligotların sırrını bilmek istiyorlardı,
											yani çok dil konuşan insanların.
											Bu bende de merak uyandırdı,
											Poliglotlar gerçekten bunu nasıl yapıyor?
											Ortak yanımız ne?
											Ve diğer insanlara kıyasla
											çok daha hızlı dil öğrenmemizi
mümkün kılan şey ne?
											Benim gibi insanlarla tanışıp
bunu bulmaya karar verdım.
									","
											Me encanta aprender idiomas.
											Lo amo tanto que me gustaría aprender 
un nuevo idioma cada dos años
											y actualmente voy por el octavo.
											Cuando la gente se entera,
siempre me preguntan:
											""¿Cómo lo haces? 
¿Cuál es tu secreto?"".
											Para ser honesta, 
durante años respondí:
											""No sé, simplemente 
me encanta aprender idiomas"".
											Pero esa respuesta nunca
satisfacía a la gente.
											Querían saber por qué pasaban
años aprendiendo un idioma
											y no llegaban a hablarlo fluidamente,
											mientras que yo aprendía
un idioma tras otro.
											Querían saber el secreto
de los políglotas,
											la gente que habla varios idiomas.
											Eso hizo que me preguntara, también,
¿cómo lo hacen los otros políglotas?
											¿Qué tenemos en común?
											¿Qué es lo que nos permite
aprender idiomas
											mucho más rápido que los demás?
											Decidí reunirme con otros
como yo para averiguarlo.
									","
											J'adore apprendre des langues étrangères.
											J'adore tellement cela
											que j'aime apprendre
une nouvelle langue tous les deux ans,
											j'en suis actuellement à ma huitième.
											Quand les gens découvrent cela,
ils me demandent toujours :
											« Comment fais-tu ?
Quel est ton secret ? »
											Honnêtement, durant de nombreuses
années, ma réponse a été :
											« Je ne sais pas.
J'adore apprendre des langues. »
											Mais cette réponse
ne contentait jamais les gens.
											Ils voulaient savoir pourquoi
ils passaient des années
											à essayer d'apprendre une langue
											sans parvenir à la maîtriser
											et me voilà, qui apprends
une langue après l'autre.
											Ils voulaient connaître
le secret des polyglottes,
											les gens parlant de nombreuses langues.
											Je me suis aussi demandé :
											comment les autres polyglottes font-ils ?
											Qu'avons-nous en commun ?
											Qu'est-ce qui nous permet
											d'apprendre des langues
plus vite que les autres ?
											J'ai décidé de rencontrer des gens
comme moi pour le découvrir.
									","
											Eu adoro aprender idiomas estrangeiros.
											Gosto tanto disso que costumo
aprender um idioma novo a cada dois anos.
											De momento estou a estudar
um oitavo idioma.
											Quando conto isto a outras pessoas,
elas perguntam:
											""Como é que fazes isso?"" 
""Qual é o teu segredo?""
											Honestamente, durante muitos anos,
a minha resposta seria:
											""Não sei, simplesmente
adoro estudar idiomas.""
											Mas as pessoas não ficavam
satisfeitas com essa resposta.
											Queriam saber porque demoram anos 
a tentar aprender uma nova língua,
											sem nunca conseguir a fluência,
											e apareço eu, a aprender idiomas,
uns atrás de outros.
											Queriam saber o segredo dos poliglotas,
											as pessoas que falam vários idiomas.
											Por isso, fiquei a pensar:
											Como é que os outros poliglotas conseguem?
											O que é que temos em comum?
											O que é que nos permite
											estudar novas línguas
muito mais depressa que os outros?
											Decidi encontrar-me com
outros como eu e descobrir.
									","
											Ich liebe es, Fremdsprachen zu lernen.
											Tatsächlich liebe ich es so sehr,
											dass ich gerne alle 2 Jahre
eine neue Sprache lerne.
											Aktuell arbeite ich an meiner achten.
											Wenn Leute das über mich
erfahren, fragen sie immer:
											""Wie machst du das?
Was ist dein Geheimnis?""
											Ehrlich gesagt habe ich
viele Jahre lang geantwortet:
											""Ich weiß nicht. Ich liebe es einfach,
Sprachen zu lernen.""
											Die Leute sind nie zufrieden
mit dieser Antwort.
											Sie wollten wissen, warum sie
jahrelang eine Sprache lernen,
											diese aber nie perfekt beherrschen,
											und ich lerne eine Sprache
nach der Anderen.
											Sie wollten das Geheimnis
von Polyglotten wissen,
											von Leuten, die viele Sprachen sprechen.
											Da habe auch ich mich gefragt:
											Wie machen das andere
Polyglotte eigentlich?
											Was haben wir gemeinsam?
											Woran liegt es,
											dass wir Sprachen so viel schneller
als Andere lernen können?
											Ich beschloss, andere Leute wie mich
zu treffen, um das herauszufinden.
									",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
","
","
","
","
","
",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
											The best place to meet a lot of polyglots
											is an event where hundreds
of language lovers
											meet in one place
to practice their languages.
											There are several such polyglot events
organized all around the world,
											and so I decided to go there
											and ask polyglots
about the methods that they use.
									","
											Poliglotlarla tanışmak için en iyi yer
											yüzlerce dil tutkununun pratik yapmak için
											aynı noktada
bir araya geldiği bir etkinlik.
											Dünyada bunun gibi düzenlenen
birkaç poliglot etkinliği var,
											ben de oraya giderek
											poliglotlara yöntemlerini
sormaya karar verdim.
									","
											El mejor sitio para encontrar
un montón de políglotas
											es un evento en el que centenares
de amantes de la lengua
											se reúnen para practicar sus idiomas.
											Existen varios de estos eventos
organizados en todo el mundo,
											así que decidí participar
											para preguntarle a los políglotas
sobre sus métodos.
									","
											Le mieux pour rencontrer des polyglottes
											est un événement
où des amoureux des langues
											se rencontrent
pour pratiquer leurs langues.
											Il y a plusieurs événements polyglottes
organisés à travers le monde
											alors j'ai décidé d'y aller
											et de demander aux polyglottes
quelles méthodes ils utilisaient.
									","
											O melhor lugar
para encontrar poliglotas
											é em eventos onde centenas
de amantes de idiomas
											se encontram num só lugar
para praticar as suas línguas.
											Há alguns eventos organizados
por poliglotas em todo o mundo,
											e eu decidi ir a um deles
											e perguntar-lhes
qual o método que utilizam.
									","
											Der beste Ort um viele
Polyglotte zu treffen
											ist ein Event, bei dem sich
hunderte Philophile an einem Ort treffen,
											um ihre Sprachen zu üben.
											Es gibt weltweit mehrere
solcher mehrsprachiger Events.
											So beschloß ich dorthin zu reisen
											und Polyglotte zu fragen,
welche Methoden sie verwenden.
									",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
","
","
","
","
","
",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
											And so I met Benny from Ireland,
											who told me that his method
is to start speaking from day one.
											He learns a few phrases
from a travel phrasebook
											and goes to meet native speakers
											and starts having conversations
with them right away.
											He doesn't mind making
even 200 mistakes a day,
											because that's how he learns,
based on the feedback.
											And the best thing is, he doesn't
even need to travel a lot today,
											because you can easily have
conversations with native speakers
											from the comfort of
your living room, using websites.
									","
											Ve İrlanda'dan Benny'yle tanıştım,
											bana yönteminin ilk günden itibaren
konuşmak olduğunu söyledi.
											Bir seyahat konuşma kılavuzundan
birkaç şey öğreniyor
											ve o dili konuşanlarla tanışarak
											hemen onlarla sohbet etmeye başlıyor.
											Günde 200 hata yapmayı kafasına takmıyor
											çünkü geri bildirime bakılırsa
bu onun öğrenme şekli.
											İşin en güzel yanı da artık o kadar
seyahat etmesi de gerekmiyor
											çünkü internet siteleri sayesinde
oturma odanızın rahatlığıyla
											insanlarla ana dillerinde
sohbet edebiliyorsunuz.
									","
											Así conocí a Benny, de Irlanda,
											que me dijo que su método es
comenzar a hablar desde el primer día.
											Él aprende un par de frases
de los libros para viajeros
											y se reúne con hablantes nativos
											y entabla una conversación 
de inmediato.
											No le importa cometer 
200 errores diarios
											porque así aprende 
con las correcciones.
											Y lo mejor es que hoy en día
no le hace falta viajar
											porque puedes conversar
con hablantes nativos
											en la comodidad del hogar
usando sitios web.
									","
											J'ai rencontré Benny d'Irlande,
											qui m'a dit que sa méthode est
de commencer à parler dès le premier jour.
											Il apprend quelques phrases
d'un guide de conversation,
											va rencontrer des locuteurs natifs
											et entame des conversations
avec eux immédiatement.
											Cela ne le gêne pas
de faire 200 erreurs par jour
											car il apprend ainsi,
grâce aux retours qu'on lui fait.
											Le mieux, c'est qu'aujourd'hui,
il n'a pas besoin de voyager
											car vous pouvez facilement avoir
des conversations avec des natifs
											depuis le confort de votre salon,
via des sites internet.
									","
											Então, conheci Benny da Irlanda,
											que me contou que o seu método
é começar a falar desde o primeiro dia.
											Ele aprende algumas frases
de um livro de bolso para turistas
											e vai procurar falantes nativos
											e inicia imediatamente
uma conversa com eles.
											Ele não se importa
de fazer 200 erros por dia,
											porque é assim que ele aprende,
ouvindo ""feedbacks"".
											E o melhor é que nem é preciso
viajar muito, hoje em dia,
											porque facilmente podemos ter
conversações ""online"" com nativos
											no conforto da nossa sala,
usando as redes sociais.
									","
											Dort traf ich Benny aus Irland,
											der mir erzählte, seine Methode sei es,
von Anfang an zu sprechen.
											Er lernt ein paar Sätze
aus einen Sprachführer,
											trifft sich mit Muttersprachlern
											und fängt direkt Gespräche mit ihnen an.
											Es stört ihn nicht, wenn er
über 200 Fehler am Tag macht,
											denn so lernt er durch das Feedback.
											Und das Beste ist, er muss
heutzutage nicht mal viel reisen,
											weil man über Webseiten
leicht Gespräche mit Muttersprachlern
											aus dem Komfort des
eigenen Wohnzimmers führen kann.
									",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
","
","
","
","
","
",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
											I also met Lucas from Brazil
											who had a really interesting
method to learn Russian.
											He simply added a hundred random
Russian speakers on Skype as friends,
											and then he opened
a chat window with one of them
											and wrote ""Hi"" in Russian.
											And the person replied, ""Hi, how are you?""
											Lucas copied this and put it
into a text window with another person,
											and the person replied,
""I'm fine, thank you, and how are you?""
											Lucas copied this
back to the first person,
											and in this way, he had two strangers
have a conversation with each other
											without knowing about it.
									","
											Bir de Brezilya'dan Lucas'la tanuştım,
											çok ilginç bir Rusça öğrenme
yöntemi vardı.
											Yüz kadar Rusça konuşmacısını
Skype'ta rastgele arkadaş olarak eklemiş,
											sonra bir tanesiyle bir sohbet başlatarak
											Rusça ''Selam'' yazmış.
											Karşıdaki kişi cevap veriyor,
''Selam, nasılsın?''
											Lucas bunu kopyalıyor ve başka biriyle
açtığı sohbet penceresıne yapıştırıyor
											ve sonra o kişi cevap veriyor,
''İyiyim, teşekkürler, sen nasılsın?''
											Lucas da bunu kopyalayıp
ilk kişiye yapıştırıyor
											ve bu şekilde iki yabancının
birbiriyle sohbet etmesini sağlıyor,
											hem de hiç haberleri olmadan.
									","
											También conocí a Lucas, de Brasil,
											que usó un método interesante
para aprender ruso.
											Agregó a cientos de rusoparlantes
a su lista de amigos en Skype
											y luego abrió una ventana
de chat con uno de ellos
											y escribió ""Hola"" en ruso.
											La persona respondía:
""Hola, ¿cómo estás?"".
											Lucas copiaba la frase y la escribía
en otro chat con otra persona,
											y esta le respondía, ""Bien, ¿y tú?"",
											y Lucas copiaba esta frase de vuelta
al chat con la primera persona
											y así conseguía que dos extraños
conversaran entre ellos sin saberlo.
									","
											J'ai aussi rencontré Lucas du Brésil
											qui avait une méthode très intéressante
pour apprendre le russe.
											Il a ajouté aléatoirement une centaine
de russophones en amis sur Skype,
											a entamé une conversation
avec l'un d'entre eux
											et a dit « Salut » en russe.
											La personne a répondu :
« Salut, comment vas-tu ? »
											Lucas a copié cela et l'a collé
dans un chat avec quelqu'un d'autre,
											la personne a répondu :
« Bien, merci. Comment vas-tu ? »
											Lucas a copié et collé cela
à la première personne
											et il a ainsi eu deux inconnus
qui se parlaient l'un à l'autre
											sans le savoir.
									","
											Também conheci Lucas, do Brasil,
											que tinha um método interessante
para aprender russo.
											Simplesmente adicionou centenas 
de russos como amigos no Skype,
											e abriu uma sala de conversa 
com algum deles
											e escreveu ""Olá"" em russo.
											Uma pessoa respondeu:
""Olá, tudo bem?""
											Lucas copiou aquilo e colocou-o numa
outra conversa com outra pessoa,
											e essa pessoa respondeu:
""Estou bem, obrigado, e tu como estás?""
											Lucas copiou aquilo, e enviou-o
para a primeira pessoa.
											Dessa maneira, ele tinha dois estranhos
a conversar entre si
											sem darem por isso.
									","
											Ich traf auch Lucas aus Brasilien,
											der eine sehr interessante
Methode hatte, Russisch zu lernen.
											Er befreundete 100 zufällige
Russischsprecher auf Skype,
											dann öffnete er ein Chatfenster
zu einem von Ihnen
											und schrieb ""Hi"" auf Russisch.
											Die Person antwortete ""Hallo, wie geht's?""
											Lucas kopierte dies und
leitete es an eine andere Person weiter,
											und die Person antwortete:
""Mir geht's gut und dir?""
											Lucas kopierte dies wieder
in das erste Gespräch,
											und so hatte er zwei Fremde,
die ein Gespräch miteinander führten,
											ohne es zu wissen.
									",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
","
","
","
","
","
",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									",The secrets of learning a new language,Lýdia Machová,10:45,"language,education,communication,culture,personal growth,speech"
