en,es,tr,de,title,speaker,duration,tags
"
","
","
","
",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
											I was born and raised in Dakar, Senegal,
											and through a combination
of accidents and cosmic justice,
											became a chef in the US.
									","
											Nací y crecí en Dakar, Senegal,
											y por una combinación 
de accidentes y justicia cósmica,
											me hice chef en EE.UU.
									","
											Senegal'de, Dakar'da doğup büyüdüm
											ve türlü kazalar ile kozmik adaletin
bir birleşimi sonucu
											Amerika'da şef oldum.
									","
											Ich wuchs in Dakar im Senegal auf
											und wurde durch eine Kombination von
Zufällen und ""kosmischer Gerechtigkeit""
											ein Koch in den Vereinigten Staaten.
									",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
","
","
","
",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkaha)
									","
											(Lachen)
									",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
","
","
","
",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
											When I first arrived in New York,
											I began working in these restaurants —
different types of restaurants —
											from French bistro to Italian,
											global ethnic to modern American.
											At the time,
											New York was already well-established
as a food capital of the world.
											However ...
											with the exception of a few West African
and Ethiopian mom-and-pop eateries,
											there was no such thing
as African cuisine in the entire city.
									","
											Cuando llegué 
por primera vez a Nueva York,
											comencé a trabajar en restaurantes, 
en diferentes restaurantes,
											desde un bistró francés, uno italiano,
											otro étnico global hasta 
en uno estadounidense moderno.
											En el momento,
											Nueva York ya estaba bien establecida 
como una capital culinaria del mundo.
											Sin embargo, con la excepción
											de algunos restaurantes caseros familiares 
etíopes y del oeste de África,
											no había cocina africana 
en toda la ciudad.
									","
											New York'a ilk geldiğimde,
											restoranlarda çalışmaya başladım.
Farklı türde restoranlarda çalıştım.
											Fransız bistrolarından İtalyan mutfağına,
											küresel etnik'ten modern Amerikan'a...
											O zamanlar,
											New York dünyanın yemek başkenti
olarak çoktan yerini almıştı.
											Ancak,
											birkaç Batı Afrika ve Etiyopya
ev lokantası haricinde,
											koca şehirde Afrika mutfağı
yapan yer yok gibiydi.
									","
											Als ich zum ersten Mal in New York ankam
											arbeitete ich in verschieden Restaurants.

											In französischen Bistros,
italienischen Restaurants,
											in multikulturellen und modernen
amerikanischen Restaurants.
											Schon damals
											war New York als Hauptstadt des Essens
weltweit etabliert.
											Dennoch —
											abgesehen von wenigen westafrikanischen
und äthiopischen Tante-Emma-Lokalen
											gab es keine Afrikanische
Küche in der ganzen Stadt.
									",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
","
","
","
",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
											Early in my life,
											I was influenced
by Senegal's first president,
											Léopold Sédar Senghor,
											nicknamed, ""the poet president,""
											who talked about a new humanism,
											a universal civilization,
											in which all cultures would come together
around a communal table as equals,
											each bringing its own beautiful
contribution to share.
											He called it ""the rendezvous
of giving and receiving.""
											That concept resonated with me,
											and it has guided my career path.
									","
											Pronto en mi vida,
											tuve influencia del 
primer presidente de Senegal,
											Léopold Sédar Senghor,
											apodado ""el poeta presidente""
											quien habló de un nuevo humanismo,
											una civilización universal,
											en el que todas las culturas se reunirían
alrededor de una mesa común como iguales,
											cada uno con su propia contribución 
hermosa para compartir.
											Él lo llamó ""la cita de dar y recibir"".
											Ese concepto hizo eco en mí
											y ha guiado mi carrera.
									","
											Hayatımın ilk yıllarında,
											Senegal'in ilk cumhurbaşkanından
etkilenmiştim.
											Léopold Sédar Senghor,
											""Şair Başkan"" olarak da biliniyordu.
											Yeni bir hümanizmden,
											evrensel bir medeniyetten,
											tüm kültürlerin eşit şekilde
bir masa etrafında bir araya gelmesi
											ve kendi güzelliklerini paylaşıma
katmalarından bahsediyordu.
											Buna ""verme ve alma buluşması""
adını vermişti.
											Bu konsepti içselleştirdim
											ve kariyerimde bana yol gösterdi.
									","
											Schon früh wurde ich 
vom ersten Präsidenten des Senegals,
											Léopold Sédar Senghor, geprägt,
											der auch ""der Dichter-Präsident""
genannt wurde.
											Er sprach von einen neuen Humanismus,
											einer universellen Zivilisation,
											in der alle Kulturen gleichberechtigt
an einem Tisch sitzen
											und jeder seinen eigenen wunderbaren
Beitrag mit den anderen teilt.
											Er nannte dies ""das Rendezvous
des Gebens und Nehmens"".
											Dieses Konzept überzeugte mich
											und leitete mich in meiner Karriere.
									",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
","
","
","
",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
"
											After years of working in restaurants,
											I yearned for my work
to have a deeper impact
											that would go beyond
the last meal I had served.
											I wanted to give back, both to New York —
											the city that allowed me
the opportunity to follow my calling —
											but also to my origins
and ancestors in Senegal.
											I wanted to contribute
to that universal civilization
											Senghor had described.
											But I didn't know how to make
a measurable impact
											as a cook and writer.
									","
											Tras años trabajando en restaurantes,
											anhelaba que mi trabajo 
tuviera un impacto más profundo
											que fuera más allá de 
la última comida que había servido.
											Yo quería devolver tanto a Nueva York,
											la ciudad que me dio 
la oportunidad de seguir mi vocación
											como también a mis orígenes 
y antepasados ​​en Senegal.
											Quería contribuir 
a esa civilización universal
											de la que hablaba Senghor.
											Pero no sabía cómo crear
una repercusión cuantificable
											como cocinero y escritor.
									","
											Senelerce restoranlarda çalıştıktan sonra,
											işimin, son sunduğum yemekten
daha öteye taşınan
											daha derin bir etkisi
olmasını arzuladım.
											Bugüne dek aldıklarımı hem New York'a,
											bana hevesimi gerçekleştirme
imkanını sunan şehre;
											hem de Senegal'deki atalarıma ve
köklerime geri vermek istedim.
											Senghor'un tasvir ettiği
o evrensel medeniyete
											katkıda bulunmak istedim.
											Ama aşçı ve yazar kimliğimle
nasıl anlamlı bir etki
											yaratacağımı bilmiyordum.
									","
											Nach Jahren der Arbeit in Restaurants
											sehnte ich mich nach einer größeren
Bedeutung meines Kochens,
											die weiter als der letzte Teller reicht.
											Ich wollte sowohl New York,
											der Stadt die mir ermöglichte
meine Berufung zu leben,
											als auch meiner Heimat und Vorfahren
im Senegal etwas zurückgeben.
											Ich wollte etwas zu dieser universellen
Zivilisation von Senghor beitragen.
											Aber wie sollte ich als Koch und Autor
einen nennenswerten Effekt erreichen?
									",A forgotten ancient grain that could help Africa prosper,Pierre Thiam,15:34,"Africa,agriculture,farming,food,innovation"
