en,tr,fr,title,speaker,duration,tags
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											Colfax Avenue, here in Denver, Colorado,
											was once called the longest,
wickedest street in America.
											My office is there in the same place —
it's a medical desert.
											There are government clinics
and hospitals nearby,
											but they're not enough to handle
the poor who live in the area.
											By poor, I mean those who are on Medicaid.
											Not just for the homeless;
20 percent of this country is on Medicaid.
											If your neighbors have a family of four
and make less than $33,000 a year,
											then they can get Medicaid.
											But they can't find a doctor to see them.
									","
											Denver, Colorado'daki Colfax Caddesi
											bir zamanlar Amerika'daki en uzun,
en tehlikeli sokak olarak bilinirdi.
											İş yerim orada.
Tıbbi açıdan çok yetersiz bir bölge.
											Yakınlarda sağlık merkezleri 
ve hastaneler var
											ama bölgedeki yoksul insanların
tedavisinde yeterli değiller.
											Fakirden kastım sağlık için
devlet yardımı alanlar.
											Sadece evsizler de değil ülkenin
yüzde 20'si Medicaid'den yararlanıyor.
											Komşularınız dört kişilik bir aileyse
ve yıllık gelirleri 33.000 dolardan azsa
											devlet yardımı talep edebilirler.
											Fakat gidecek doktor bulamazlar.
									","
											Colfax Avenue, ici à Denver,
dans le Colorado
											a longtemps été considérée comme la rue
la plus longue et malfamée d'Amérique.
											C'est là que se trouve mon cabinet,
dans ce désert médical.
											Il y a des hôpitaux publics pas loin,
											mais ils ne peuvent pas soigner
toute la population pauvre du quartier.
											Je parle des personnes
qui disposent de Medicaid.
											20 % des Américains en bénéficient,
et pas seulement des sans-abri.
											Si vos voisins sont une famille de quatre 
et gagnent moins de 33 000 $ par an,
											ils peuvent bénéficier de Medicaid.
											Mais ils ne peuvent pas 
trouver de docteur.
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											A study by Merritt Hawkins
											found that only 20 percent
of the family doctors in Denver
											take any Medicaid patients.
											And of those 20 percent, some have caps,
like five Medicaid patients a month.
											Others make Medicaid patients
wait months to be seen,
											but will see you today,
if you have Blue Cross.
											This form of classist
discrimination is legal
											and is not just a problem in Denver.
											Almost half the family
doctors in the country
											refuse to see Medicaid patients.
									","
											Merritt Hawkins'in çalışmasına göre
											Denver'daki aile hekimlerinin 
sadece yüzde 20'si
											bu hastaların herhangi birine
bakmayı kabul ediyor.
											Bu yüzde 20'nin bazısı da ayda beş
Medicaid hastasından fazlasına bakmıyor.
											Diğerleri ise devlet yardımı alan
hastaları aylarca bekletiyorlar ama.
											Blue Cross'luysanız hemen bugün
randevu alabilirsiniz.
											Bu tür bir sınıf ayrımı yasal
											ve sadece Denver'da görülen
bir problem değil.
											Ülkedeki aile hekimlerinin 
neredeyse yarısı
											Medicaid hastalarına bakmayı reddediyor.
									","
											Une étude de Merrit Hawkins
											montre que seulement
20 % des généralistes de Denver
											soignent les patients Medicaid.
											Parmi ces 20 %, certains ont des quotas,
comme cinq patients Medicaid par mois.
											D'autres peuvent faire attendre
les patients Medicaid pendant des mois,
											mais vous verront le jour même 
si vous êtes assuré Blue Cross.
											Cette forme de discrimination de classe
est légale
											et n'est pas spécifique à Denver.
											Presque la moitié des généralistes du pays
											refusent de soigner des patients Medicaid.
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											Why?
											Well, because Medicaid pays less
than private insurance
											and because Medicaid patients
are seen as more challenging.
											Some show up late for appointments,
some don't speak English
											and some have trouble
following instructions.
											I thought about this
while in medical school.
											If I could design a practice
that caters to low-income folks
											instead of avoiding them,
											then I would have guaranteed customers
and very little competition.
									","
											Neden mi?
											Çünkü devlet, özel 
sigortalardan daha az ödüyor
											ve bu hastalar 
daha zorlayıcı olarak görülüyor.
											Bazıları randevulara geç geliyor,
bazısı İngilizce bilmiyor
											ve bazıları ise talimatları
uygulamakta zorluk yaşıyor.
											Tıp okurken bu konu hakkında
çok düşündüm.
											Eğer düşük gelirli vatandaşları 
yok saymak yerine onlara
											hizmet veren bir muayenehane açarsam
											her daim müşterim olur ve rakibim olmaz.
									","
											Pourquoi ?
											Parce que Medicaid paie moins 
que les assurances privées
											et parce que les patients Medicaid
sont considérés comme plus difficiles.
											Certains arrivent en retard,
ne parlent pas anglais
											et ont des difficultés 
à suivre les instructions.
											J'y ai réfléchi lorsque j'étais 
en école de médecine.
											Si je développais une pratique répondant
aux besoins des personnes défavorisées
											au lieu de les éviter,
											j'aurais une patientèle garantie
et très peu de concurrence.
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											So after residency, I opened up shop,
doing underserved medicine.
											Not as a nonprofit,
but as a private practice.
											A small business
seeing only resettled refugees.
											That was six years ago,
											and since then, we've served
50,000 refugee medical visits.
									","
											Mezun olduktan sonra az hizmet alanlara
yönelik bir muayenehane açtım.
											Kar amacı gütmeyen bir kurum değil
ama özel muayenehane.
											Sadece yeni yerleşen sığınmacılara
hizmet veren küçük bir iş yeri.
											6 sene önce başladık
											ve o zamandan beri 50.000'nin üzerinde
sığınmacıya tıbbi hizmet verdik.
									","
											Après mon internat, j'ai ouvert un cabinet
pour les populations défavorisées.
											Un cabinet privé,
et non une association caritative.
											Une petite entreprise
ne soignant que des réfugiés.
											C'était il y a six ans,
											et depuis nous avons dispensé
50 000 visites auprès des réfugiés.
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaudissements)
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											Ninety percent of our patients
have Medicaid,
											and most of the rest, we see for free.
											Most doctors say you can't
make money on Medicaid,
											but we're doing it just fine.
											How?
											Well, if this were real capitalism,
then I wouldn't tell you,
											because you'd become my competition.
									","
											Hastalarımızın yüzde doksanı
devlet yardımı alıyor
											ve geri kalanların çoğundan 
ücret almıyoruz.
											Çoğu doktor böyle para
kazanamayacağınızı söyler
											fakat bizim durumumuz gayet iyi.
											Nasıl mı?
											Eğer bu gerçek kapitalizm olsaydı,
size sırrımı söylemezdim
											çünkü bana rakip olurdunuz.
									","
											90 % de nos patients ont Medicaid,
											nous voyons la plupart 
des autres gratuitement.
											Beaucoup diront que Medicaid
n'est pas rentable,
											mais nous nous en sortons bien.
											Comment ?
											Si c'était du pur capitalisme, 
je ne vous en parlerais pas
											puisque vous seriez mon concurrent.
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											But I call this
""bleeding-heart"" capitalism.
									","
											Ben buna yufka yürekli kapitalizm diyorum.
									","
											Je l'appelle plutôt
le « capitalisme du cœur ».
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
","
","
",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
"
											And we need more people doing this,
not less, so here's how.
											We break down the walls
of our medical maze
											by taking the challenges
of Medicaid patients,
											turning them into opportunities,
and pocketing the difference.
											The nuts and bolts
may seem simple, but they add up.
											For example, we have no appointments.
											We're walk-in only.
											Of course, that's how it works
at the emergency room,
											at urgent cares and at Taco Bell.
									","
											Ve bunu yapan daha çok insana 
ihtiyaç var, o yüzden anlatayım.
											Sağlık sektöründeki engelleri,
Medicaid hastalarıyla gelen
											zorlukları kabul ederek,
bunları fırsata çevirerek
											ve farkı cebe atarak aşıyoruz.
											Kulağa çok basit gelebilir
ama sonuç olarak işe yarıyor.
											Mesela randevuyla çalışmıyoruz.
											Rezervasyonsuz çalışıyoruz.
											Tabii, acil serviste işler böyle yürür,
											bir de Taco Bell'de.
									","
											Nous avons besoin de plus de personnes 
qui le pratiquent, voici comment :
											nous abattons les murs
de notre labyrinthe médical
											en acceptant le défi
que représentent ces patients,
											en les transformant en opportunités
et en empochant la différence.
											Cela peut sembler simpliste, 
mais ce fonctionnement tient la route.
											Par exemple, nous n'avons
pas de rendez-vous,
											juste des consultations libres.
											Nous fonctionnons comme les urgences,
les premiers secours...
											et MacDo.
									",How doctors can help low-income patients (and still make a profit),P.J. Parmar,10:21,"medicine,TEDx,refugees,health,health care,public health,society,social change,United States,economics"
