en,pt,fr,es,tr,title,speaker,duration,tags
"
","
","
","
","
",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
											Have you ever noticed
when you ask someone to talk
											about a change they're making
for the better in their personal lives,
											they're often really energetic?
											Whether it's training for a marathon,
											picking up an old hobby,
											or learning a new skill,
											for most people,
											self-transformation projects
occupy a very positive emotional space.
									","
											Já repararam que,
quando pedem às pessoas para falar
											sobre algo que elas estão a mudar
para melhor, na sua vida pessoal,
											elas, normalmente,
estão cheias de energia?
											Quer seja treinar para uma maratona,
											readotar um ""hobby"" antigo,
											ou aprender uma nova qualificação,
											para a maioria das pessoas
											os projetos de autotransformação
ocupam um espaço emocional muito positivo.
									","
											Avez-vous vu que si vous demandez
à quelqu'un de parler
											d'un changement entrepris
pour améliorer sa vie personnelle,
											la personne est souvent très énergique ?
											Que ce soit s'entraîner pour un marathon,
											reprendre un vieux loisir
											ou apprendre une nouvelle compétence,
											pour la plupart des gens,
											les projets de transformation de soi
ont une place émotionnelle très positive.
									","
											¿Se han dado cuenta que cuándo
se pide a alguien que explique
											un cambio que haya supuesto 
algo positivo en su vida personal,
											normalmente se entusiasma mucho?
											Ya sea entrenar para un maratón,
											retomar un antiguo hobby,
											o aprender una nueva habilidad,
											para la mayoría,
											los proyectos de autotransformación
ocupan un espacio emocional muy positivo.
									","
											Birisine özel hayatında iyi yönde yaptığı
											değişim kararlarını sorduğunuzda
genelde ne kadar enerjik olduklarını
											fark ettiniz mi?
											İster bir maratona hazırlanmak,
											ister hobi edinmek
											veya yeni bir beceri edinmek olsun,
											birçok insan için
											kişisel dönüşüm projeleri
çok olumlu duygusal bir alan tutar.
									",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
","
","
","
","
",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
											Self-transformation is empowering,
											energizing, even exhilarating.
											I mean just take a look
at some of the titles of self-help books:
											""Awaken the Giant Within,""
											""Practicing the Power of Now,""
											or here's a great one
we can all relate to,
											""You are a Badass:
											How to Stop Doubting Your Greatness
and Start Living an Awesome Life.""
									","
											A autotransformação dá-nos poder,
											é estimulante e mesmo emocionante.
											Quer dizer, olhem só para alguns
dos títulos de livros de autoajuda:
											""Desperte o Gigante Interior,""
											""O Poder do Agora,""
											ou aqui está um ótimo
com que todos nós nos identificamos
											""És Demais:
											""Como Parar de Duvidar da tua Grandeza
e Começar a Viver uma Vida Fantástica.""
									","
											La transformation de soi est stimulante,
											énergisante voire exaltante.
											Regardez certains des titres
des livres de développement personnel :
											« Réveillez le géant qui est en vous »,
											« Pratiquer le pouvoir de maintenant »
											ou un autre, génial,
auquel je m'identifie :
											« Vous êtes un dur à cuire :
											comment arrêter
de douter de votre grandeur
											et commencer à vivre une vie formidable ».
									","
											La autotransformación es estimulante,
											estimulante, hasta emocionante.
											Fíjense en algunos títulos
de libros de autoayuda:
											""Despertando el gigante interior"",
											""Practicando el poder del ahora"",
											o aquí uno bueno
con el qué todos nos identificamos,
											""¡Eres un crack!
											Como dejar de dudar de tu grandeza
y empezar a vivir una vida maravillosa.""
									","
											Kişisel dönüşüm güçlendiricidir,
											enerji vericidir, hatta canlandırıcıdır.
											Kişisel gelişim kitaplarının
isimlerine bir bakın:
											''İçinizdeki devi uyandırın,''
											''Şimdinin Gücü''
											ya da hepimizin ilgileneceği 
harika bir örnek,
											''Sen bir baş belasısın:
											Kendi Mükemmelliğinden Şüphelenmeyi
Bırakıp Mükemmel Bir Hayat Nasıl Yaşanır.""
									",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
","
","
","
","
",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gülüşmeler)
									",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
","
","
","
","
",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
											When it comes to self-transformation,
											you can't help but get
a sense of the excitement.
											But there's another type of transformation
											that occupies a very different
emotional space.
											The transformation of organizations.
											If you're like most people,
											when you hear the words ""Our organization
is going to start a transformation,""
											you're thinking, ""Uh-oh.""
									","
											Quando o assunto é a autotransformação,
											é inevitável não sentir entusiasmo.
											Mas há outro tipo de transformação
											que ocupa um espaço emocional
muito diferente.
											A transformação de organizações.
											Se vocês são como a maioria,
											quando ouvem as palavras ""A nossa 
organização vai iniciar uma transformação""
											vocês pensam, ""Uh-oh.""
									","
											Quand il s'agit de transformation de soi,
											vous ne pouvez pas vous empêcher
d'être un peu excité.
											Mais il y a un autre type
de transformation
											qui occupe une place émotionnelle
très différente.
											La transformation des organisations.
											La majorité des gens,
											en entendant les mots « Notre organisation
va entreprendre une transformation »
											pensent : « Oh oh ».
									","
											Cuando se trata de autotransformación,
											uno no puede evitar
el sentimiento de emoción.
											Pero hay otro tipo de transformación
											que ocupa un espacio emocional
muy diferente.
											La transformación de las organizaciones.
											Si son como la mayoría,
											cuando escuchan las palabras 
""Nuestra organización va a cambiar,""
											Uds. piensan: ""Oh, Oh"".
									","
											Konu kişisel dönüşüm olunca 

											heyecanlanmamak elde değil.
											Ama çok farklı bir duygusal yer kaplayan
											değişik bir çeşit dönüşüm türü daha var.
											Kuruluşların değişimi.
											Çoğu insan gibiyseniz,
											""Kuruluşumuz dönüşüme giriyor""
kelimelerini duyduğunuzda
											""Eyvah!"" diye düşünürsünüz.
									",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
","
","
","
","
",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gülüşmeler)
									",5 ways to lead in an era of constant change,Jim Hemerling,13:21,"business,collaboration,innovation,communication,leadership,motivation,potential,success,work"
