pt,tr,title,speaker,duration,tags
"
","
",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
											Esta é uma escola básica
em Columbus, Ohio.
											Nesta escola andava 
um estudante chamado D.
											Quando o D entrou para
esta escola tinha seis anos,
											bonito e simpático,
											com um sorriso contagioso.
											No entanto, depois
de alguns meses na escola,
											o D tornou-se revoltado
											e aquele sorriso desvaneceu-se.
											O D começou por fazer 
coisas como virar carteiras,
											atirar com mesas e cadeiras,
											gritar com os professores,
											empoleirar-se nos parapeitos
das janelas,
											correr dentro e fora da sala de aula
											e até mesmo fugir da escola.
											Por vezes, este tipo de comportamentos
bloqueavam a escola toda
											até o D se recompor novamente,
											o que, por vezes, podia prolongar-se 
por mais de uma hora.
											Ninguém na escola sabia como ajudar o D.
									","
											Bu Columbus, Ohio'da bir ilköğretim okulu.
											Bu okulun içinde D adında
bir öğrenci var.
											D burada okula başladığında
6 yaşındaydı.
											Bir tomurcuk kadar tatlı,
											bir gülüşüyle tüm odayı aydınlatırdı.
											Ama okulda birkaç ay sonra,
											D sinirli biri oldu
											ve o gülüşü söndü.
											D, masaları ters çevirmeye,
											sıraları ve sandalyeleri fırlatmaya,
											öğretmenlere bağırmaya,
											pencere pervazlarında oturmaya,
											sınıfın içinde ve dışında koşmaya
											ve hatta okuldan kaçmaya başladı.
											Bazen bu öfke krizleri tüm okulu
acil durum haline sokar
											ve D kendini toparlayana kadar sürerdi.
											Bu, bazen bir saatten fazla sürerdi.
											Okulda kimse D'ye nasıl 
yardım edeceğini bilmiyordu.
									",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
","
",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
											Eu sei do que falo porque
era a directora desta escola.
											O que eu rápida e colectivamente
aprendi com os meus funcionários
											foi que esta situação era mais extrema
											do que qualquer formação
que tínhamos tido.
											Todas as vezes que o D se revoltava,
											eu pensava para mim própria:
											""O que é que eu perdi no curso
de preparação para directora?
											""O que é suposto eu fazer
com uma criança como o D?
											""e como vou impedi-lo de prejudicar
											""a aprendizagem dos outros alunos?
											Depois de tentarmos tudo
o que pensávamos resultar,
											tal como falar com o D,
											retirar-lhe privilégios
											e chamadas para os pais,
											a única opção real que ainda não
tinha sido utilizada era expulsá-lo
											mas eu sabia que isso não iria ajudá-lo.
									","
											Bunu biliyorum 
çünkü ben bu okulun müdürüydüm.
											Kadromla hızlı ve ortaklaşa 
bir şekilde öğrendiğim şey ise
											bu durumun daha önce eğitildiğimiz

											herhangi bir konudan 
daha zorlu olduğuydu.
											D her saldırganlaştığında
											kendi kendime hep şunları düşündüm:
											Müdürlüğe hazırlık 
çalışmalarımda neyi kaçırdım?
											D gibi bir çocukla ne yapmam gerekiyor?
											Onun diğer tüm öğrencilerin öğrenimini 
engellemesini nasıl durduracağım?
											D ile konuşma, haklarını 
elinden alma, ailesini arama gibi
											bildiğimizi düşündüğümüz
her şeyi yaptıktan sonra
											elimizde kalan tek gerçek
seçenek onu okuldan atmaktı
											ve bunun ona 
yardım etmeyeceğini biliyordum.
											Bu senaryo D'ye özel değil.
									",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
","
",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
											Este cenário não é exclusivo do D.
											Em todo o mundo, há estudantes
com dificuldades com o ensino
											e embora ainda não tenhamos
encontrado uma boa solução,
											acabámos por encontrar uma ideia simples
											para que crianças como o D
não apenas sobrevivam à escola
											mas tenham êxito.
											De alguma maneira, tivemos
de encontrar uma solução
											não apenas para lhes ensinar
a ler e a escrever
											mas também para lhes ensinar
como lidar com as suas emoções.
											Ao fazer isso, conseguimos
que a nossa escola deixasse de ser
											uma das escolas com pior
desempenho no estado do Ohio,
											com ""mau"" na avaliação,
											e subisse para ""suficiente""
apenas nalguns anos.
									","
											Dünya genelinde bütün öğrenciler
eğitimleriyle ilgili sıkıntı çekiyor.
											Kolay bozulmayan türden bir çözüm
bulamamamıza rağmen
											basit bir fikir bulduk:
											D gibi çocukları sadece
okulda tutabilmek değil,
											gelişimlerini sağlayabilmek için
											onlara okuma ve yazmayı öğretmenin yanında
											bir şekilde duygularını kontrol etmeye 
yardım edecek bir yol bulmak zorundaydık.
											Bunu yaparak sadece birkaç yıl içinde,
											okulumuzu F derecesiyle Ohio eyaletindeki
											en düşük performans gösteren 
okullardan biri olmaktan
											C derecesine kadar çıkarabildik.
									",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
","
",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
											Isto parece ser óbvio, certo?
											Claro, os professores devem estar focados
no bem-estar emocional das crianças
											mas, na verdade,
											quando estamos numa 
sala de aula com 30 alunos
											e um deles está a atirar mesas contra nós,
											é muito mais fácil expulsar essa criança
											do que compreender o que
se passa dentro da cabeça dela.
											Mas o que nós aprendemos com o D
											e para crianças como o D,
											foi que pequenas mudanças
fazem uma diferença gigante
											e podem ser aplicadas imediatamente.
											Não é preciso ter um orçamento
maior nem um grande plano estratégico
											simplesmente é necessário pensar
de forma inteligente no que temos
											e onde temos.
											No ensino, tendemos sempre a pensar
fora da caixa para obter respostas
											e raramente despendemos tempo,
dinheiro e empenho suficiente
											em desenvolver o que
já está dentro da caixa.
											É assim que mudanças substanciais
podem acontecer rapidamente.
											Isto foi o que eu aprendi sobre o D.
									","
											Apaçık ortada gibi görünebilir, değil mi?
											Tabii ki öğretmenler çocuklarının duygusal
refahları üzerinde odaklanmalılar.
											Ama gerçekte,
											30 öğencinin olduğu bir sınıftayken
											biri size masayı fırlattığında
çocuğu dışarı atmak
											onun kafasında olup bitenleri anlamaya
çalışmaktan çok daha kolaydır.
											Ama D ve onun gibi çocuklar
hakkında öğrendiğimiz şey,
											küçük değişikliklerin 
büyük farklılıklar yaratabildiği
											ve buna şu anda başlamanın 
mümkün olduğuydu.
											Yüksek bütçelere ya da büyük
strateji planlarına ihtiyacınız yok,
											sadece neye sahip olduğunuza 
ve ona nerede sahip olduğunuz hakkında
											daha akıllı düşünme
yollarına ihtiyacınız var.
											Eğitimde, aradığımız cevaplar için 
hep elimizde olmayan şeylerle ilgilendik
											ve halihazırda elimizde olanları
geliştirmek için gereken
											zaman, para ve çabayı çok nadir harcadık.
											Ancak bu şekilde anlamlı 
değişiklikler hızlı olabilir.
									",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
","
",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
											Eu queria investigar o porquê
de ele se ter tornado tão revoltado
											e descobri que o pai dele saíra de casa
											e a mãe estava a trabalhar
mais horas para sustentar a família,
											o que originara uma ausência
de adultos na vida do D.
											Ele ficou encarregue de cuidar
do seu irmão mais novo
											quando voltasse da escola.
											Deixem-me lembrar-vos
que o D tinha seis anos.
											Não o posso culpar por ter dificuldade
									","
											İşte, D hakkında öğrendiğim şey de bu.
											Nasıl bu kadar sinirlendiğini anlamak için
daha derine inmek istiyordum.
											Öğrendiğim şey ise
babasının evi terk ettiği
											ve annesinin aileye bakmak için
uzun mesailere kaldığıydı
											ve bu D ile ilgilenecek bir yetişkinin
olmadığını da gösteriyordu.
											D, ayrıca okuldan eve döndüğünde
											küçük kardeşine bakma 
sorumluluğunu yüklenmişti.
											Size D'nin 6 yaşında olduğunu
hatırlatmalı mıyım?
											Okul ortamına geçmekte
bazı sorunlar yaşadığı için
											onu suçladığımı söyleyemeyeceğim.
											Ama ona okuma ve matematiğin 
ana becerilerini öğretirken
											bu büyük duygulara yardım etmenin 
bir yolunu bulmak zorundaydık.
											Bize üç şey çok fazla yardım etti.
									",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
"
","
",Creative ways to get kids to thrive in school,Olympia Della Flora,13:22,"children,education,parenting,teaching,emotions,creativity"
