en,pt,es,tr,title,speaker,duration,tags
"
","
","
","
",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
											June 29, 2016.
									","
											29 de junho, 2016.
									","
											29 de junio de 2016.
									","
											29 Haziran 2016.
									",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
","
","
","
",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
											My dear fellow citizen:
									","
											Meu caro conterrâneo:
									","
											Mi querido ciudadano:
									","
											Sevgili yurttaşım:
									",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
","
","
","
",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
											I write to you today,
											to you who have lost in this era.
											At this moment in our common life,
											when the world is full of breaking
											and spite
											and fear,
									","
											Escrevo-lhe hoje,
											a si que perdeu nesta era.
											Neste momento na nossa vida comum,
											quando o mundo está cheio de rutura,
											de rancor
											e de medo,
									","
											Te escribo hoy
											a ti que has perdido en esta época.
											En este momento de nuestra vida en común,
											cuando el mundo está lleno de fracturas,
											pesares
											y miedo.
									","
											Bugün sana,
											bu çağın kaybedenine yazıyorum.
											Ortak yaşamımızda, şu anda,
											dünya parçalanırken,
											kin ve öfkeyle
											doluyken,
									",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
","
","
","
",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
											I address this letter
											simply to you,
											even though we both know
											there are many of you behind this ""you,""
											and many of me behind this ""I.""
									","
											eu endereço-lhe esta carta
											apenas a si,
											apesar de ambos sabermos
											que existem muitos como você
atrás deste ""você""
											assim como existem
muitos como eu atrás deste ""eu"".
									","
											Te dirijo esta carta
											simplemente para que,
											a pesar de que los dos sabemos
											hay muchos ""tús"" 
detrás de este ""tú""
											y muchos ""yoes"" detrás de este ""yo"".
									","
											ikimiz de bu ""sen"" kelimesinin
											ardında birçok sen olduğunu ve
											bu ""ben"" kelimesinin ardında
											birçok ben olduğunu bilsek de, bu mektubu
											yalnızca sana yazıyorum.
									",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
","
","
","
",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
"
											I write to you because at present,
											this quaking world we share scares me.
											I gather it scares you, too.
											Some of what we fear, I suspect,
											we fear in common.
											But much of what we fear
seems to be each other.
											You fear the world I want to live in,
											and I fear your visions in turn.
									","
											Escrevo-lhe porque, neste momento,
											este mundo tremido
que partilhamos assusta-me.
											Suponho que o assuste também.
											Parte do que tememos, suspeito,
											tememos em conjunto,
											Mas muito do que tememos
aparenta ser um do outro
											Você teme o mundo
no qual quero viver
											e, por sua vez, eu temo a sua visão.
									","
											Te escribo porque en la actualidad,
											este mundo estremecedor 
que compartimos, me asusta.
											Tengo entendido que 
también a ti te asusta.
											Algo a lo que tememos, sospecho,
											que es común.
											Pero gran parte de lo que tememos 
parece que es uno del otro.
											Temes el mundo en el que quiero vivir,
											y a su vez temo tu perspectiva.
									","
											Sana yazıyorum çünkü şu anda paylaştığımız
											sarsılan bu dünya, beni korkutuyor.
											Duyduğuma göre, seni de korkutuyor.
											Sanırım, benzer şeylerden
											korkuyoruz.
											Ancak görünen o ki,
çoğunlukla birbirimizden korkuyoruz.
											Sen, benim yaşamak
istediğim dünyadan korkuyorsun
											ve ben de senin görüşlerinden.
									",A letter to all who have lost in this era,Anand Giridharadas,16:37,"collaboration,communication,community,democracy,compassion,fear,government,humanity,history,identity,politics,society,social change"
