pt,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
											Gostaria de re-imaginar a educação.
											O ano passado
											assistiu à invenção de uma nova palavra 
de quatro letras.
											Começa com um M.
											MOOC: cursos ""online"" abertos em massa 
(Massive Open Online Courses).
											Muitas organizações
											oferecem estes cursos ""online""
											a estudantes de todo o mundo, aos milhões, 
de forma gratuita.
											Qualquer pessoa que tenha 
uma ligação à Internet
											e vontade de aprender, 
pode aceder a estes óptimos cursos
											de excelentes universidades
											e receber um certificado no final.
											Nesta conversa de hoje,
											vou focar-me
											em diversos aspectos dos MOOCs.
											Pegamos no que estamos a aprender
											e nas tecnologias que 
estamos a desenvolver em massa
											e aplicamo-las em pequena escala
											para criar um modelo combinado de educação
											para verdadeiramente 
re-inventar e re-imaginar
											o que fazemos na sala de aula.
									","
											Eğitimi tekrar düşünmek istiyorum.
											Geçen sene
											dört kelimeli yeni bir kelimenin icadı görüldü.
											M ile başlıyor.
											MOOC:dev serbest çevrimiçi dersler.
											Bir çok örgüt
											böyle çevrimiçi dersleri
											tüm dünyadaki milyonlarca öğrenciye bedava sunmakta.
											İnternet bağlantısı olan herkes
											bu büyük derslere erişim sağlayarak,
											mükemmel üniversitelerden öğrenebilecek
											ve sonunda bir belge alabiliyorlar.
											Şimdi bugün ki tartışmada,
											MOOC''a farklı bir
											tarafına odaklanacağım.
											Öğrendiklerimizden edindiğimiz şey şu
											çok büyük teknolojiler geliştiriyoruz ancak
											bu teknolojilere yeni eğitim modelleri
											yaratmak için çok az baş vuruyoruz.
											veya sınıfta yaptıklarımızı
											tekrar düşünmek ve keşfetmek için de
									","
											I'd like to reimagine education.
											The last year
											has seen the invention of a new four-letter word.
											It starts with an M.
											MOOC: massive open online courses.
											Many organizations
											are offering these online courses
											to students all over the world, in the millions, for free.
											Anybody who has an Internet connection
											and the will to learn can access these great courses
											from excellent universities
											and get a credential at the end of it.
											Now, in this discussion today,
											I'm going to focus
											on a different aspect of MOOCs.
											We are taking what we are learning
											and the technologies we are developing in the large
											and applying them in the small
											to create a blended model of education
											to really reinvent and reimagine
											what we do in the classroom.
									","
											J'aimerais ré-imaginer l'éducation.
											La dernière année
											a vu l'apparition d'un nouveau mot.
											Il commence par M.
											MOOC en anglais pour 
Cours en ligne ouvert et massif.
											Beaucoup d'organisations
											offrent ces cours en ligne
											à des millions d'étudiants
partout dans le monde gratuitement.
											N'importe qui ayant une connexion internet
											et la volonté d'apprendre 
peut accéder à ces superbes cours
											d'excellentes universités
											et obtenir un diplôme à la fin du cours.
											Dans cette intervention aujourd'hui,
											je vais me concentrer
											sur les différents aspects des MOOC.
											Nous prenons ce que nous apprenons
											et les technologies que nous développons là-bas
											et les appliquons ici
											pour créer un modéle d'éducation combiné
											afin de vraiment ré-inventer et ré-imaginer
											ce que l'on fait dans une salle de classe.
									","
											Ich möchte neue Wege in der Bildung gehen.
											Letztes Jahr
											wurde ein neues Wort
mit vier Buchstaben erfunden.
											Es fängt mit M an.
											MOOC: Massive Open Online Courses.
											Viele Organisationen
											bieten solche Online-Kurse kostenlos
											Millionen von Studenten 
in der ganzen Welt an.
											Jeder, der einen Internetanschluss
und Lernwillen besitzt,
											kann auf diese tollen Kurse
von ausgezeichneten Unis zugreifen
											und bei Abschluss einen Nachweis erhalten.
											In meinem heutigen Vortrag
											setze ich den Schwerpunkt
											auf einen anderen Aspekt der MOOCs.
											Wir legen unsere Erfahrungen
											und die zugehörigen entwickelten 
Technologien für den großen Maßstab
											auf einen kleinen Maßstab um.
											So gestalten wir ein 
gemischtes Lernkonzept
											und stoßen ein Umdenken zu neuen Konzepten
											im Klassenzimmer an.
									",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
","
","
","
","
",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
											As nossas salas de aulas 
já podiam ser modificadas.
											Então, aqui está uma sala de aula
											neste instituto de apenas três letras
											no Nordeste dos EUA, MIT.
											E isto é uma sala de aula 
de há cerca de 50 ou 60 anos,
											e isto é uma sala de aula nos dias de hoje.
											O que é que mudou?
											Os lugares são às cores.
											Viva!
											A educação realmente não mudou
											nos últimos 500 anos.
											A última grande inovação na educação
											foi a impressão e os manuais.
											Tudo o resto à nossa volta mudou.
											Sabem, desde a saúde aos transportes,
											tudo é diferente,
mas a educação não mudou.
									","
											Pekala, Sınıflarımız değişebilirdi.
											Peki, işte bir sınıf
											Amerika'nın kuzeydoğusunda
											bir enstitüde, MIT.
											Ve bu 50 60 sene öncesinden bir sınıftı
											ve burada günümüzdeki bir sınıf.
											Ne değişti?
											Koltuklar renklenmiş.
											Yani? Ne olmuş yani...
											Son 500 yılda eğitim
											gerçekten değişmedi.
											Eğitimdeki son büyük gelişme
											matbaa ve ders kitaplarıydı.
											Etrafımızdaki her şey değişti.
											Bilirsiniz, ulaşımdan sağlık sigortasına kadar,
											her şey değişik
ama eğitim değişmedi.
									","
											Now, our classrooms could use change.
											So, here's a classroom
											at this little three-letter institute
											in the Northeast of America, MIT.
											And this was a classroom about 50 or 60 years ago,
											and this is a classroom today.
											What's changed?
											The seats are in color.
											Whoop-de-do.
											Education really hasn't changed
											in the past 500 years.
											The last big innovation in education
											was the printing press and the textbooks.
											Everything else has changed around us.
											You know, from healthcare to transportation,
											everything is different,
but education hasn't changed.
									","
											Nos salles de classe ont besoin de changement
											Voici une salle de classe
											de ce petit insitut de 3 lettres
											dans le Nord Est des Etats-Unis, le MIT.
											Et ceci est une salle de classe 
d'il y a 50 ou 60 ans
											et ceci est une salle de classe 
d'aujourd'hui.
											Qu'est-ce qui a changé ?
											Les sièges sont en couleur.
											Youpi !
											L'éducation n'a pas vraiment changé
											durant les derniers 500 ans.
											La dernière grande innovation en éducation
											a été la machine à imprimer 
et les manuels scolaires.
											Tout le reste autour de nous a changé.
											Vous savez, depuis les soins médicaux 
jusqu'au transport,
											tout est différent, 
mais l'éducation n'a pas changé.
									","
											Unsere Klassenzimmer 
hätten eine Veränderung nötig.
											Hier haben wir einen Hörsaal
											in einem kleinen Institut
mit drei Buchstaben
											im Nordosten Amerikas, dem MIT.
											So sah er vor etwa 50 oder 60 Jahren aus,
											und dies ist ein moderner Hörsaal.
											Was hat sich geändert?
											Die Sitzplätze sind farbig.
											Na, großartig!
											(Gelächter)
											Die Bildung hat sich 
in den letzten 500 Jahren
											nicht wirklich verändert.
											Die letzten großen 
Neuerungen in der Bildung
											waren Druckerpresse und Schulbücher.
											Alles andere hat sich verändert.
											Vom Gesundheitswesen 
bis hin zum Tranportwesen
											ist alles anders, doch die Bildung 
hat sich nicht geändert.
									",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
","
","
","
","
",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
											Tem sido efectivamente um problema em 
termos de acesso.
											Então o que aqui vêem
											não é um concerto de ""rock"".
											E a pessoa que vêem na ponta do palco
											não é a Madonna.
											Isto é uma sala de aula
											na Universidade Obafemi Awolowo, 
na Nigéria.
											Agora, todos já ouvimos falar em educação
à distância,
											mas os estudantes lá do fundo,
											a 60 metros do professor,
											parece-me que estão a ter 
uma educação à distância.
											Agora, acredito realmente
											que podemos transformar a educação,
											tanto em qualidade, escala e acesso,
											através da tecnologia.
											Por exemplo, na edX,
											estamos a tentar transformar a educação
											através de tecnologias ""online"".
											Considerando que a educação tem estado 
calcificada há quinhentos anos,
											não podemos, de facto, 
pensar em reestruturá-la,
											com uma micro-gestão.
											Temos realmente de re-imaginá-la 
na totalidade.
											É como passar de carroça para avião.
											Até a infra-estrutura tem de mudar.
											Tudo tem de mudar.
											Temos de passar de lições no quadro
											para exercícios ""online"", vídeos ""online"".
											Temos de ir para laboratórios 
virtuais interactivos
											e usar técnicas aplicadas em jogos.
											Temos de ir para classificações 
exclusivamente ""online"",
											interacção de pares e fóruns de discussão.
											Tudo tem de verdadeiramente mudar.
									","
											Ayrıca erişim açısından da gerçek bir sorun oluştu.
											Burada gördüğünüz
											bir rock konserinden değil.
											Ve sahnenin ucunda gördüğünüz kişide
											Madonna değil.
											Bu Nijerya'da
											Obafemi Awolowo Üniversitesinde bir sınıf.
											Şimdi hepimiz uzaktan eğitimi duymuştuk
											ama arkadaki öğrenciler
											öğretmenlerinden 200 fit uzaktalar,
											Bence onlar çok-uzaktan eğitim görüyorlar.
											Şimdi, Gerçekten inanıyorum ki
											eğitimi dönüştürebiliriz,
											hem kalite hem boyut ve teknolojiye
											erişim olarak..
											Örneğin, edX'de,
											eğitimi çevrimiçi teknolojilerle
											dönüştürmeye çalışıyoruz.
											Son 500 senedir verilen eğitim kireçlenmiş durumda,
											onu yapılandırmayı ve ayrıntılı yönetmeyi
											gerçekten düşünemiyoruz.
											Ve gerçekten onu tamamıyla yeniden düşünmeliyiz.
											At arabasından uçağa geçmek gibi.
											Altyapı bile değişmeli.
											Herşey değişmeli.
											Dersleri kara tahtadan çevrimiçi alıştırmalara
											çevrimiçi videolara geçirmeliyiz.
											Etkileşimli görsel laboratuvarlara ve oyun içerikli
											öğrenmeye geçmeliyiz.
											Tamamıyla cevrimiçi sınıflandırmaya ve eşli etkileşim
											ve yine tartışma panolarına geçmeliyiz
											Her şey değişmeli.
									","
											It's also been a real issue in terms of access.
											So what you see here
											is not a rock concert.
											And the person you see at the end of the stage
											is not Madonna.
											This is a classroom
											at the Obafemi Awolowo University in Nigeria.
											Now, we've all heard of distance education,
											but the students way in the back,
											200 feet away from the instructor,
											I think they are undergoing long-distance education.
											Now, I really believe
											that we can transform education,
											both in quality and scale and access,
											through technology.
											For example, at edX,
											we are trying to transform education
											through online technologies.
											Given education has been calcified for 500 years,
											we really cannot think about reengineering it,
											micromanaging it.
											We really have to completely reimagine it.
											It's like going from ox carts to the airplane.
											Even the infrastructure has to change.
											Everything has to change.
											We need to go from lectures on the blackboard
											to online exercises, online videos.
											We have to go to interactive virtual laboratories
											and gamification.
											We have to go to completely online grading
											and peer interaction and discussion boards.
											Everything really has to change.
									","
											C'est aussi un vrai problème en terme d'accès.
											Ce que vous voyez ici,
											ce n'est pas un concert de rock.
											Et la personne qui vous voyez sur la scène
											n'est pas Madonna.
											Ceci est un cours magistral
											à l'Université de Obafemi Awolowo, au Nigeria.
											Nous avons tous entendu parler 
de l'éducation à distance
											mais les élèves tout au fond,
											60m derrière le professeur,
											je crois qu'ils font de l'éducation
très longue distance.
											Je crois réellement
											que nous pouvons transformer l'éducation,
											à la fois en qualité, en échelle et en accès
											grâce à la technologie.
											Par exemple, à edX,
											nous essayons de transformer l'éducation
											grâce aux technologies en ligne.
											Etant donné que l'éducation a été calcifiée 
pendant 500 ans,
											nous ne pouvons réellement pas penser 
à en combler les trous,
											à la micro-manager.
											Nous devons réellement
la ré-imaginer complètement.
											C'est comme passer 
de la charrue et des boeufs à l'avion.
											Même l'infrastructure doit changer.
											Tout doit changer.
											Nous devons passer 
du cours magistral sur le tableau
											à des exercices en ligne, 
à des vidéos en ligne.
											Nous devons passer 
aux laboratoires virtuels interactifs
											et à la gamification.
											Nous devons passer complètement 
à la notation en ligne
											et à l'interaction et aux groupes de discussions.
											Tout doit réellement changer.
									","
											Das beinhaltet auch 
ein echtes Zugangsproblem.
											Sie sehen hier
											kein Rockkonzert
											und die Person hinten auf dem Podium
											ist nicht Madonna.
											Dies ist ein Hörsaal
											der Universität 
Obademi Awolowo in Nigeria.
											Wir alle kennen den Begriff 
Fernunterricht,
											aber die Studenten ganz hinten, 
60 m vom Dozenten entfernt,
											erleben meiner Meinung nach
gerade Fernunterricht.
											Ich glaube wirklich,
											dass wir die Bildung
											hinsichtlich Qualität, Ausmaß und Zugang
											mit Hilfe von Technologie 
verändern können.
											Bei edX, zum Beispiel,
											versuchen wir die Bildung durch
Online-Technologien zu verändern.
											Bedenkt man, dass sich Bildungsstrukturen 
500 Jahre lang verfestigt haben,
											kommt eine Überarbeitung
oder Feinsteuerung nicht in Frage.
											Wir müssen sie komplett neu erfinden.
											Es ist wie der Übergang 
von Ochsenkarren zu Flugzeugen.
											Sogar die Infrastruktur muss sich ändern.
Alles muss sich ändern.
											Wir müssen von Vorlesungen auf der Tafel
											zu Online-Übungen, 
Online-Videos übergehen.
											Wir müssen zu interaktiven, 
virtuellen Laboren
											und Gamifizierung übergehen.
											Wir müssen hin zu 
kompletter Online-Bewertung,
											Peer-Interaktion und Diskussionsforen.
											Alles muss sich komplett verändern.
									",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
","
","
","
","
",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
											Então, na edX e noutras organizações,
											estamos a aplicar estas tecnologia 
na educação
											através dos MOOCs para realmente
aumentar o acesso à educação.
											E conhecem este exemplo,
											quando lançámos o nosso primeiro curso
											— e este foi um difícil curso do MIT
											de circuitos e electrónica —
											há cerca de ano e meio,
											155 000 estudantes de 162 países
											inscreveram-se neste curso.
											E não tínhamos qualquer orçamento 
para ""marketing"".
											Agora, 155 000 é um grande número.
											É um valor maior
											do que o total de alunos do MIT
											na sua história de 150 anos.
											7 200 estudantes passaram no curso,
											e este era um curso difícil.
											7 200 é também um número alto.
											Se eu desse aulas no MIT, 
dois semestres em cada ano,
											teria de dar aulas por 40 anos
											até conseguir ter tantos alunos.
									","
											Pekala edX ve diğer örgütlerin bir kısmında,
											MOOC aracılıyla bu teknolojileri eğitime uyguluyoruz
											ve gerçekten eğitime olan erişim artıyor.
											Ve bu örneği duydunuz
											Bu dersleri ilk başlattığımız yerde
											ki bu MIT
											devreler ve elektronik dersiydi
											yaklaşık bir bir buçuk sene önce,
											162 ülkeden 155.000 öğrenci
											bu derse katıldı.
											Ve pazarlama bütçemizde yoktu.
											Şimdi 155.000 büyük bir rakam.
											Bu rakam
											MIT 'nin 150 yıllık tarihindeki tüm
											mezunlarından daha fazla.
											7.200 öğrenci bu dersi geçti
											ve bu zor bir dersti.
											7.200 de büyük bir rakam.
											Eğer MIT'de her yıl 2 sene boyunca öğretiyor olsaydım,
											Bu kadar öğrenciye öğretebilmek için
											40 sene boyunca öğretmenlik yapmam gerekirdi.
									","
											So at edX and a number of other organizations,
											we are applying these technologies to education
											through MOOCs to really
increase access to education.
											And you heard of this example,
											where, when we launched our very first course —
											and this was an MIT-hard
											circuits and electronics course —
											about a year and a half ago,
											155,000 students from 162 countries
											enrolled in this course.
											And we had no marketing budget.
											Now, 155,000 is a big number.
											This number is bigger
											than the total number of alumni of MIT
											in its 150-year history.
											7,200 students passed the course,
											and this was a hard course.
											7,200 is also a big number.
											If I were to teach at MIT two semesters every year,
											I would have to teach for 40 years
											before I could teach this many students.
									","
											Donc à edX et dans certains autres organisations,
											nous appliquons ces technologies à l'éducation
											à travers les MOOC 
pour vraiment accroître l'accès à l'éducation.
											Et vous avez entendu parler de cet exemple,
											dans lequel, lorsque nous avons lancé 
notre tout premier cours -
											et c'était un cours approfondi du MIT,
											un cours sur les circuits et l'électronique -
											il y a environ un an et demi,
											155 000 étudiants de 162 pays
											se sont inscrits au cours.
											Et nous n'avions pas de budget marketing.
											Maintenant, 155 000 est un grand nombre.
											Ce nombre est plus grand
											que le nombre total d'alumni du MIT
											dans ces 150 ans d'existence.
											7 200 étudiants ont réussi le cours
											et c'était un cours difficile.
											7 200 est aussi un grand nombre.
											Si je devais enseigner au MIT 
deux semestres chaque année,
											je devrais enseigner pendant 40 ans
											avant d'enseigner à autant d'étudiants.
									","
											Bei edX und einigen anderen Organisationen
											wenden wir diese Technologien nun
durch MOOCs auf die Bildung an,
											um den Zugang zu Bildung zu erleichtern.
											Sie haben von diesem Beispiel gehört,
											als wir unseren ersten Kurs einführten —
											und das war ein schwieriger MIT-Kurs
zu Stromkreisen und Elektronik.
											Vor etwa anderthalb Jahren
											schrieben sich 155 000 Studenten 
aus 162 Ländern für diesen Kurs ein.
											Wir hatten kein Budget fürs Marketing.
											155 000 ist eine große Zahl.
											Diese Zahl übersteigt
											die Gesamtanzahl der MIT-Absolventen
											während seiner 150-jährigen Geschichte.
											7 200 Studenten bestanden den Kurs,
											und dies war ein schwieriger Kurs.
											7 200 ist auch eine große Zahl.
											Wenn ich zwei Semester pro Jahr 
am MIT lehren würde,
											müsste ich 40 Jahre lang unterrichten,
											um diese Zahl von Studenten zu erreichen.
									",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
","
","
","
","
",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
"
											Estes elevados números
											são apenas uma parte da história.
											E então hoje quero discutir 
um aspecto diferente,
											o outro lado dos MOOCs,
											olhar numa perspectiva diferente.
											Estamos a pegar no que desenvolvemos
e aprendemos em larga escala
											e aplicamo-lo na pequena escala
											na sala de aula, para criar um modelo 
combinado de aprendizagem.
									","
											Şimdi sayıların
											büyük olması hikayenin sadece bir kısmı.
											Bu yüzden bugün farklı bir bakış açısı ile
											MOOC'un diğer bir tarafını
											farklı bir yüzünü tartışmak istiyorum.
											Öğrendiğimiz ve geliştirdiğimizi büyük olarak alıp
											küçük olarak sınıflara
											harmanlaşmış bir eğitim modeli
yaratmak için uyguluyoruz
									","
											Now these large numbers
											are just one part of the story.
											So today, I want to discuss a different aspect,
											the other side of MOOCs,
											take a different perspective.
											We are taking what we develop
and learn in the large
											and applying it in the small
											to the classroom, to create
a blended model of learning.
									","
											Maintenant ces grands nombres
											constituent juste une partie de l'histoire.
											Donc aujourd'hui, je veux parler d'un aspect différent,
											l'autre face des MOOC,
											avoir une perspective différente.
											Nous prenons ce que nous développons 
et apprenons là-bas
											et l'appliquons ici
											à une salle de classe, 
pour créer un modèle d'apprentissage combiné.
									","
											Doch diese großen Zahlen
											sind nur ein Teil der Geschichte.
											Heute möchte ich einen anderen Aspekt,
											die andere Seite der MOOCs erörtern,
											eine andere Perspektive einnehmen.
											Was wir im Großen entwickeln und lernen,
											wenden wir im Kleinen an,
im Klassenzimmer,
											um ein Integriertes Lernkonzept 
zu gestalten.
									",Why massive open online courses (still) matter,Anant Agarwal,15:19,"Internet,education,technology,teaching"
