en,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
											[This is an improvised talk (and intro)
											based on a suggested topic
from the audience.
											The speaker doesn't know
the content of the slides.]
									","
											[Bu konuşma (ve giriş) doğaçlama olup
											izleyicilerin önerdiği
bir konu hakkındadır.
											Konuşmacı slayt gösterilerinin
içeriğini bilmemektedir.]
									","
											[Intervention improvisée (et intro)
											sur un thème suggéré par le public.
											L’orateur ignore le contenu des slides.]
									","
											[Esta es una presentación improvisada
											basada en un tema sugerido por el público.
											El ponente desconoce el
contenido de las diapositivas]
									","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
","
","
","
","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
											Moderator: Our next speaker —
									","
											Moderatör: Sıradaki konuşmacı —
									","
											Modérateur : Notre prochain orateur —
									","
											Moderador: El siguiente ponente...
									","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
","
","
","
","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Risas)
									","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
","
","
","
","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
											is an —
											incredibly —
									","
											aslında —
											inanılmaz bir —
									","
											est —
											un incroyablement —
									","
											es un...
											increíblemente...
									","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
","
","
","
","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Risas)
									","""Stumbling towards intimacy"": An improvised TED Talk",Anthony Veneziale,11:11,"comedy,curiosity,love,communication,humor"
