en,tr,title,speaker,duration,tags
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											(Music)
									","
											(Müzik)
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											(Singing) I was walking down the line,
									","
											Kaldırımda yürüyordum
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											trying to find some peace of mind.
									","
											kafamı dinlemeye çalışıyordum
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											Then I saw you.
									","
											sonra seni gördüm.
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											You were takin' it slow
and walkin' it one step at a time.
									","
											Küçük adımlarla yavaş yavaş ilerliyordun.
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											I said, ""Listen, stranger,
									","
											Dedim ki ""Dinle yabancı""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											I'm feeling low now.
									","
											""kendimi kötü hissediyorum""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											I don't know which way to go.""
									","
											""nereye gideceğimi bilmiyorum""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											I said, ""If you're lost now,
									","
											""Sende kaybolduysan""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											maybe I could help you along
and sing you a song,
									","
											""belki sana bir şarkı söyleyerek""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											and move you on and on and on.""
									","
											""yürümene yardımcı olabilirim"" dedim.
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											Singing down the line.
									","
											Yol boyunca şarkı söylüyorum.
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											Where shall we go? Where shall we go?
									","
											Nereye gitsek? Nereye gitsek?
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											She said, ""I'm looking
for a kind of shelter.
									","
											Dedi ki, ""bana ait olan""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											A place for me to call my own.
									","
											""ev gibi bir yer arıyorum""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											I've been walking all night long,
									","
											""bütün gece yürüdüm""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
											but I don't know where to call my home.""
									","
											""ama nereye evim diyebilirim bilmiyorum.""
									",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
"
","
",A one-man musical phenomenon,Jacob Collier,15:14,"art,music,performance,live music,visualizations,performance art,singer,vocals,entertainment"
