en,tr,title,speaker,duration,tags
"
","
","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
											I would like to invite you
											to come along on a visit
											to a dark continent.
											It is the continent hidden
											under the surface of the earth.
											It is largely unexplored,
											poorly understood,
and the stuff of legends.
											But it is made also of dramatic landscapes
											like this huge underground chamber,
											and it is rich with surprising
biological and mineralogical worlds.
									","
											Sizleri, hep beraber
											karanlık bir kıtayı
											ziyarete davet ediyorum.
											Yeryüzünün altında gizli
											olan bir kıta.
											Büyük kısmı keşfedilmemiş,
											düzgünce anlaşılamamış ve
efsanelerde yer almış.
											İçerisinde bu büyük yeraltı boşluğu
											gibi etkileyici manzaralar barındırıyor
											ve şaşırtıcı biyolojik ve mineralojik 
dünyalarca da oldukça zengin.
									","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
","
","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
											Thanks to the efforts of intrepid voyagers
in the last three centuries —
											actually, we know also thanks
to satellite technology, of course —
											we know almost every single square meter
of our planet's surface.
											However, we know still very little
about what is hidden inside the earth.
											Because a cave landscape,
like this deep shaft in Italy, is hidden,
											the potential of cave exploration —
the geographical dimension —
											is poorly understood and unappreciated.
											Because we are creatures
living on the surface,
											our perception of the inner
side of the planet
											is in some ways skewed,
											as is that of the depth of the oceans
											or of the upper atmosphere.
									","
											Geçen 3 yüzyıl içindeki 
cesur kaşiflerin çabalarına teşekkürler—
											aslında biliyoruz ki, uydu 
teknolojisine de teşekkürler tabi ki—
											gezegenimiz yüzeyinin neredeyse
her bir metre karesini biliyoruz.
											Yine de dünyanın içinde neyin saklı
olduğu hakkında çok az bilgimiz var.
											Çünkü, İtalya'daki bu derin oyuk gibi,
bir mağaranın manzarası saklanmış,
											mağara kaşifliği—
coğrafik boyutu—
											düzgünce anlaşılamamış ve önemsenmemiş
olabilir.
											Çünkü bizler yüzeyde yaşayan canlılarız,
											gezegenin iç kısmına bakış açımız
											tam olarak düz değil,
											okyanus derinliklerine
											ya da atmosferin üstüne olduğu gibi.
									","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
","
","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
											However, since systematic cave exploration
started about one century ago,
											we know actually that caves exist
in every continent of the world.
											A single cave system,
like Mammoth Cave, which is in Kentucky,
											can be as long
as more than 600 kilometers.
											And an abyss like Krubera Voronya,
which is in the Caucasus region,
											actually the deepest cave
explored in the world,
											can go as far as more than 2,000
meters below the surface.
											That means a journey of weeks
for a cave explorer.
									","
											Fakat sistematik mağara kaşifliğinin 
yüz sene önce başlamasıyla birlikte,
											aslında bu mağaraların, dünyanın her
kıtasında bulunduğunu öğrendik.
											Kentucky'deki Mammoth Cave mağarası gibi
tek bir mağara sistemi,
											600 kilometreden uzun olabilir.
											Ve Kafkasya bölgesindeki Krubera Voronya
gibi dipsiz bir uçurum,
											aslında dünyanın keşfedilen 
en derin mağarası,
											yüzeyden 2000 metre derinliğe
uzanabilir.
											Bu mağara kaşifleri için haftalarca süren
bir yolculuk demek.
									","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
","
","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
											Caves form in karstic regions.
											So karstic regions are areas of the world
											where the infiltrating water
along cracks, fractures,
											can easily dissolve soluble lithologies,
											forming a drainage system
of tunnels, conduits —
											a three-dimensional network, actually.
											Karstic regions cover almost 20 percent
of the continents' surface,
											and we know actually that speleologists
in the last 50 years
											have explored roughly 30,000 kilometers
of cave passages around the world,
											which is a big number.
											But geologists have estimated
that what is still missing,
											to be discovered and mapped,
											is something around 10 million kilometers.
									","
											Karstik bölgeler içindeki
mağaraların şekilleri.
											Yani dünyadaki karstik bölgeler aslında
											çatlaklar ve yarıklardan sızan suyun

											kayaçları kolayca eritip,
											su kanalları ve tüneller oluşturduğu—
											üç boyutlu ağlar olan yerler.
											Karstik bölgeler kıta yüzeylerinin
neredeyse yüzde 20'sini kaplar,
											ve mağarabilimcilerinin son 50 yılda
dünya genelinde
											tahminen 30.000 kilometre mağara pasajı
keşfettiğini biliyoruz,
											ki çok büyük bir rakam.
											Ancak jeolojistlerin tahmin ettiğine göre
hala gizli olan,
											keşfedilmemiş ve haritalandırılmamış,
											yaklaşık 10 milyon kilometrelik 
bir kısım mevcut.
									","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
","
","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
"
											That means that for each meter
of a cave that we already know,
											that we have explored,
											there are still some tens of kilometers
of undiscovered passages.
											That means that this is really
an endless continent,
											and we will never be able
to explore it completely.
											And this estimation is made
without considering other types of caves,
											like, for example, inside glaciers
or even volcanic caves,
											which are not karstic,
but are formed by lava flows.
											And if we have a look at other planets
like, for example, Mars,
											you will see that this characteristic
											is not so specific of our home planet.
											However, I will show to you now
that we do not need to go to Mars
											to explore alien worlds.
									","
											Bunun anlamı, bugün bildiğimiz,
tüm mağaraların her bir metresi için,
											keşfedilmeyi bekleyen
											hala onlarca kilometrelik keşfedilmemiş
bölüm mevcut.
											Yani tamamını hiçbir zaman
keşfedemeyeceğimiz,
											gerçekten uçsuz bir kıta anlamına geliyor.
											Ve bu tahmin, karstik olmayan
ancak lava akıntısıyla oluşan
											örnek olarak iç buzullar ya da
volkanik mağaralar gibi
											diğer tip mağaralar dahil
edilmeden yapılıyor.
											Ve eğer Mars gibi diğer
gezegenlere bakacak olursak
											bu karakteristik özelliğin
											dünyamıza özgü olmadığını görürsün.
											Bununla birlikte, şimdi size
yabancı dünyaları keşfetmek için
											Mars'a gitmemize gerek
olmadığını göstereceğim.
									","Deep under the Earth's surface, discovering beauty and science",Francesco Sauro,14:37,"adventure,geology,science,environment,exploration,beauty,glacier,biodiversity,science and art,ecology,photography,South America"
