en,fr,pt,es,title,speaker,duration,tags
"
","
","
","
",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
											In the summer of 2017,
											a woman was murdered
by her partner in Sofia.
											The woman, let's call her ""V,""
											was beaten for over 50 minutes
											before she died.
											The morning after,
											her neighbors told the press
that they heard her screams,
											but they didn't intervene.
											You see, in Bulgaria
and many other societies,
											domestic violence is typically seen
as a private matter.
											Neighbors, however, are quick to react
to any other kind of noise.
									","
											Durant l'été 2017,
											une femme a été assassinée
par son conjoint à Sofia.
											La femme, appelons-la « V »,
											a été battue pendant plus de 50 minutes
											avant de mourir.
											Le matin suivant,
											ses voisins ont dit à la presse
qu'ils ont entendu ses cris
											mais ils ne sont pas intervenus.
											En Bulgarie et dans beaucoup
d'autres sociétés,
											la violence domestique est généralement
vue comme étant du domaine privé.
											Les voisins, cependant, réagissent vite
à n'importe quel autre type de bruit.
									","
											No verão de 2017,
											uma mulher foi assassinada
pelo seu companheiro em Sófia.
											A mulher, vamos chamá-la de ""V,""
											foi espancada durante mais de 50 minutos
											antes de morrer.
											Na manhã seguinte,
											os vizinhos contaram à imprensa
que tinham ouvido os gritos dela,
											mas não intervieram.
											Estão a ver, na Bulgária
e em muitas outras sociedades,
											a violência doméstica é vista
como um assunto privado.
											Os vizinhos, no entanto, reagem depressa
quando há qualquer outro tipo de barulho.
									","
											En el verano de 2017,
											una mujer fue asesinada
por su pareja en Sofía.
											La mujer, llamémosla ""V"",
											fue golpeada por cerca de 50 minutos
											antes de que muriera.
											La mañana después,
											sus vecinos contaron a la prensa
que escucharon sus gritos,
											pero no intervinieron.
											Verán, en Bulgaria
y en otras muchas sociedades,
											la violencia doméstica es típicamente
vista como un asunto privado.
											Los vecinos, sin embargo, reaccionan
rápido a cualquier otro tipo de sonido.
									",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
","
","
","
",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
											We wanted to expose and affect
the absurdity of this.
											So we designed an experiment.
											We rented the apartment
just below V's for one night.
											And at 10pm,
											Maksim, the artist in our group,
											sat on the drum set
we had assembled in the living room
											and started beating it.
											Ten seconds.
											Thirty seconds.
											Fifty seconds.
											A minute.
											A light came on in the hallway.
											One minute and 20 seconds.
											A man was standing at the door,
hesitant to press the bell.
											One minute and 52 seconds.
											The doorbell rang,
											a ring that could have saved a life.
									","
											Nous voulions exposer
et changer cette absurdité.
											Alors nous avons conçu une expérience.
											Nous avons loué un appartement
juste en dessous de celui de V
											pour une nuit.
											Et à 22 heures,
											Maksim, l'artiste de notre groupe,
											s'est assis devant la batterie
que nous avions assemblée dans le salon
											et a commencé à jouer.
											Dix secondes.
											Trente secondes.
											Cinquante secondes.
											Une minute.
											Une lumière s'est allumée dans le couloir.
											Une minute et 20 secondes.
											Un homme se tenait à la porte,
hésitant à sonner.
											Une minute et 52 secondes.
											La sonnette a retenti,
											une sonnette qui aurait pu sauver une vie.
									","
											Nós queríamos denunciar
o absurdo que isto é.
											Então, concebemos uma experiência.
											Alugámos por uma noite o apartamento
no andar por baixo de V.
											E às 10 horas da noite,
											Maksim, o artista do nosso grupo,
											sentou-se a uma bateria
que colocámos na sala de estar
											e começou a tocar.
											Dez segundos.
											Trinta segundos.
											Cinquenta segundos.
											Um minuto.
											Acendeu-se uma luz no corredor.
											Um minuto e 20 segundos.
											Um homem estava à porta,
hesitando em tocar à campainha.
											Um minuto e 52 segundos.
											A campainha tocou,
											um toque que poderia ter salvo uma vida.
									","
											Queríamos exponer y modificar
lo absurdo de esto.
											Así que diseñamos un experimento.
											Alquilamos un apartamento 
justo debajo del de V una noche.
											Y a las 10 p. m.,
											Maksim, el artista en nuestro grupo,
											se sentó en la batería que habíamos
montado en la sala de estar
											y empezó a golpearla.
											Diez segundos.
											Treinta segundos.
											Cincuenta segundos.
											Un minuto.
											Una luz se encendió en el pasillo.
											Un minuto y 20 segundos.
											Un hombre estaba frente a la puerta,
dudando si pulsar el timbre.
											Un minuto y 52 segundos.
											El timbre sonó,
											un timbre que pudo haber salvado una vida.
									",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
","
","
","
",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
											""Beat."" is our project exploring
the ominous silence
											surrounding domestic violence.
											We filmed the experiment,
and it became instantly viral.
											Our campaign amplified
the voices of survivors
											who shared similar stories online.
											It equipped neighbors
with specific advice,
											and many committed to taking action.
											In a country where every other week,
											the ground quietly embraces
the body of a woman
											murdered by a partner or a relative,
											we were loud,
											and we were heard.
									","
											« Battement. » est notre projet
explorant le silence assourdissant
											autour de la violence domestique.
											Nous avons filmé l'expérience
et elle est immédiatement devenue virale.
											Notre campagne a amplifié
la voix des survivantes
											qui ont partagé
de telles histoires en ligne.
											Elle a armé les voisins
de conseils spécifiques
											et beaucoup se sont engagés à agir.
											Dans un pays où, toutes les deux semaines,
											le sol étreint en silence
le corps d'une femme
											assassinée par un partenaire
ou par un parent,
											nous avons fait du bruit
											et nous avons été entendus.
									","
											""Beat"" é o nosso projeto
para explorar o silêncio sinistro
											que envolve a violência doméstica.
											Filmámos a experiência
que se tornou viral instantaneamente.
											A nossa campanha amplificou
as vozes de sobreviventes
											que partilhavam histórias
similares na Internet.
											Serviu de aviso específico
para vizinhos
											e muitos deles comprometeram-se a agir.
											Num país onde todas as semanas
											o chão aceita silenciosamente
o corpo de uma mulher,
											assassinada pelo seu parceiro ou parente,
											nós fizemos barulho,
											e fomos ouvidos.
									","
											""Golpear"" es nuestro proyecto 
explorando el ominoso silencio
											que rodea a la violencia doméstica.
											Grabamos el experimento,
y se convirtió al instante en viral.
											Nuestra campaña amplificó
las voces de las supervivientes
											que compartían
historias similares en línea.
											Esto dio a los vecinos 
consejos específicos,
											y muchos se comprometieron
a tomar medidas.
											En un país en que cada dos semanas,
											el suelo abraza silenciosamente
el cuerpo de una mujer
											asesinada por una pareja o familiar,
											fuimos ruidosos,
											y fuimos escuchados.
									",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
","
","
","
",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
											I am an activist,
											passionate about human rights innovation.
											I lead a global organization
for socially engaged creative solutions.
											In my work, I think about
how to make people care and act.
											I am here to tell you
that creative actions can save the world,
											creative actions and play.
											I know it is weird to talk about play
and human rights in the same sentence,
											but here is why it's important.
											More and more, we fear
that we can't win this.
											Campaigns feel dull,
											messages drown,
											people break.
											Numerous studies, including a recent one
published by Columbia University,
											show that burnout and depression
are widespread amongst activists.
											Years ago, I myself was burned out.
											In a world of endless ways forward,
I felt at my final stop.
									","
											Je suis une activiste
											passionnée par l'innovation
en termes de droits de l'Homme.
											Je dirige une organisation mondiale
											pour des solutions créatives
socialement engagées.
											Dans mon travail,
je réfléchis à comment faire
											pour que cela importe aux gens
et qu'ils agissent.
											Je suis ici pour vous dire
											que des actes créatifs
peuvent sauver le monde,
											des actes créatifs et des jeux.
											Je sais qu'il est bizarre de parler de jeu
											et de droits de l'Homme
dans la même phrase,
											mais voici pourquoi cela est important.
											Nous craignons de plus en plus
de ne pas pouvoir gagner ce combat.
											Les campagnes sont mornes,
											les messages sombrent,
											les gens craquent.
											De nombreuses études,
											dont une récente publiée
par l'université de Columbia,
											montrent que l'épuisement et la dépression
sont répandus chez les activistes.
											Il y a quelques années,
je me suis retrouvée surmenée.
											Dans un monde avec une infinité
de voies pour aller de l'avant,
											j'avais l'impression d'en être
à mon dernier panneau stop.
									","
											Eu sou uma ativista,
											apaixonada pela inovação
nos direitos humanos.
											Lidero uma organização mundial
											para soluções criativas
empenhadas socialmente
											No meu trabalho, penso em como levar
as pessoas a preocuparem-se e agirem.
											Venho aqui para vos dizer que as ações
criativas podem salvar o mundo,
											ações criativas e brincadeiras.
											Eu sei que é estranho falar de brincadeira
e direitos humanos na mesma frase,
											mas aqui está a razão 
por que é importante.
											Cada vez mais, tememos
não poder vencer isto.
											As campanhas parecem aborrecidas,
											as mensagens afogam-se,
											as pessoas cedem.
											Inúmeros estudos, incluindo um recente
publicado pela Universidade da Colúmbia,
											mostram que o esgotamento e a depressão
são comuns entre ativistas.
											Há anos, eu mesma sentia-me esgotada.
											Num mundo de infinitas possibilidades
para avançar,
											eu sentia-me na última paragem.
									","
											Yo soy una activista,
											apasionada por la innovación
en derechos humanos
											Dirijo una organización global para
soluciones creativas comprometidas.
											En mi trabajo, pienso cómo hacer
que la gente se preocupe y actúe.
											Estoy aquí para decirles que las acciones
creativas pueden salvar el mundo,
											acciones creativas y juego.
											Sé que es raro hablar de juego
y derechos humanos en la misma frase,
											pero esto es por lo que es importante.
											Más y más, tememos no poder ganar esto.
											Las campañas se sienten aburridas,
											los mensajes se pierden,
											la gente se harta.
											Numerosos estudios, incluyendo uno recién
publicado por la Universidad de Columbia,
											muestran que el hastío y la depresión
están extendidos entre los activistas.
											Hace años, yo misma estaba hastiada.
											En un mundo con infinitas maneras 
de avanzar, me sentía en mi final.
									",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
","
","
","
",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
"
											So what melts fear or dullness or gloom?
											Play.
											From this very stage, psychiatrist
and play researcher Dr. Stuart Brown
											said that nothing
lights up the brain like play,
											and that the opposite of play is not work,
											it's depression.
											So to pull out of my own burnout,
											I decided to turn my activism
into what I call today ""play-tivism.""
									","
											Qu'est-ce qui fait fondre
la peur, la grisaille ou la morosité ?
											Les jeux.
											Sur cette scène, le psychiatre
et chercheur spécialiste du jeu,
											Dr Stuart Brown,
											a dit que rien n'illuminait
le cerveau comme le jeu
											et que le contraire du jeu
n'était pas le travail,
											mais la dépression.
											Pour me sortir de mon épuisement,
											j'ai décidé de transformer mon activisme
en ce que j'appelle « jeutivisme ».
									","
											Então, como acabar com o medo,
o aborrecimento ou o pessimismo?
											Brincar.
											Neste mesmo palco, o Dr. Stuart Brown,
psiquiatra e estudioso de brincadeiras,
											disse que nada alegra tão bem
o cérebro quanto brincar
											e que o oposto de brincar
não é trabalhar,
											é a depressão.
											Então, para sair do meu esgotamento,
											decidi transformar o meu ativismo
no que eu chamo de ""brinca-tivismo.""
									","
											¿Qué derrite el miedo,
lo insulso o el pesimismo?
											El juego.
											Desde esta misma etapa, el psiquiatra
e investigador del juego Dr. Stuart Brown
											dijo que nada ilumina el cerebro
como el juego,
											y que el opuesto del juego 
no es el trabajo,
											es la depresión.
											Así que para salir de
mi propio agotamiento,
											decidí convertir mi activismo en 
lo que hoy llamo ""juego-tivismo""
									",How to recover from activism burnout,Yana Buhrer Tavanier,7:56,"communication,TED Residency,activism,social change,society,TED Fellows,play,art,creativity"
