fr,tr,title,speaker,duration,tags
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											(Music: ""Interpassion"")
									","
											(Müzik:""Interpassion"")
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											Hi, mon nom est je m'appelle
											celle qui emmêle les consonnes
et les voyelles.
									","
											Merhaba, benim adım benim adım
											ünlü ve ünsüz harfleri karıştıran.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											Je suis internationale.
									","
											Ben uluslararasıyım.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											¿Hola, qué tal?
									","
											Selam, nasılsın?
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											¿Hola, qué tal?
									","
											Selam, nasılsın?
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											¿Hola, qué tal?
									","
											Selam, nasılsın?
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											¿Hola, qué —
									","
											Selam, nasıl —
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											Hey! I speak a little bit —
											you don't understand,
											but I speak a little bit
											and I'm sure you are my friend.
									","
											Selam! Ben biraz konuşuyorum —
											sen anlamıyorsun
											ama ben biraz konuşuyorum
											ve eminim sen benim arkadaşımsın.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											You are my friend,
											you are my friend,
											you are my friend,
											you are my —
									","
											Arkadaşımsın,
											arkadaşımsın,
											arkadaşımsın,
											sen benim —
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											J'aime les gens.
									","
											İnsanları severim.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											J'trouve ça bien
quand on s'fait tous des câlins,
											quand on mélange nos voyelles,
											qu'on se fait la courte échelle.
									","
											Bence bu harika,
birbirimizi kucakladığımızda,
											ünlü harfleri karıştırdığımızda
											ve birbirimize yardım ettiğimizde.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											J'aime moins les consonnes
de ceux qu'on a pas sonnés.
									","
											Sesi olmayan ünsüzleri daha az severim.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											J'appuie sur l'interphone;
											je suis interpassionée.
									","
											Dahili telefonu çeviriyorum.
											ben tutkular arasıyım.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											Interpassion,
											interpassion,
											interpassion.
									","
											Tutkular arası,
											tutkular arası,
											tutkular arası.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
											Je suis interpassionée.
									","
											Ben tutkular arasıyım.
									","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
"
","
","""Interpassion"" / ""Ba$$in""",Yelle,7:22,"live music,music,performance,performance art,dance,singer"
