es,tr,en,fr,title,speaker,duration,tags
"
","
","
","
",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
											""Feromona"" es una palabra 
muy poderosa.
											Evoca el sexo, abandono, 
pérdida de control,
											y pueden ver, que es 
muy importante como palabra.
											Pero solo tiene 50 años. 
Fue inventada en 1959.
											Si ponen esa palabra en la web, 

											como tal vez lo habrán hecho,
											surgirán millones de páginas,
											y casi todos esos sitios 
tratan de venderles
											algo que los hará irresistibles
											por 10 dólares o más.
											Es una idea muy atractiva,
											y las moléculas que mencionan
											suenan muy científicas.
											Tienen muchas sílabas.
											Son cosas como androstenol, 
androstenona
											o androstenediona.
											Se pone cada vez mejor,
											cuando lo combinan
con batas blancas de laboratorio,
											seguro imaginan que hay
											ciencia fantástica detrás de esto.
											Pero, lamentablemente, 
son afirmaciones fraudulentas
											apoyadas por ciencia poco fiable.
									","
											""Feromon"" güçlü çağrışımları olan bir sözcük.
											Akla seks, ayrılık, kontrolün yitirilmesi gibi şeyler getiriyor.
											Sözcük olarak çok büyük bir öneme sahip.
											Ama sadece 50 yıldır kulllanılıyor.
1959 yılında türetildi.
											Günümüzde, bu sözcüğü internette aratacak olursanız,
											-muhtemelen aratmışsınızdır-
											karşınıza milyonlarca sonuç çıkar
											ve karşınıza çıkan bu sitelerin neredeyse tamamı
											arzu edilmenizi sağlayacak birşeyler satmaya çalışır
											aşağı yukarı 10 dolar karşılığında.
											Bu çok cazip bir fikir,
											bahsettikleri moleküller
											bilimsel gerçeklermiş gibi gelir.
											Uzun uzun isimleri vardır;
											androstenol, androstenon
											androstenedione...
											Bu böyle sürüp gider,
											işin içine bir de beyaz laboratuvar önlükleri katılınca
											aklınıza ister istemez, bunun arkasında
											büyük bir bilimsel çalışma varmış gibi gelir.
											Ama ne yazık ki bunlar aldatıcı bilimle desteklenen
											içi boş iddialardan ibaret.
									","
											""Pheromone"" is a very powerful word.
											It conjures up sex, abandon, loss of control,
											and you can see, it's very important as a word.
											But it's only 50 years old. It was invented in 1959.
											Now, if you put that word into the web,
											as you may have done,
											you'll come up with millions of hits,
											and almost all of those sites are trying to sell you
											something to make you irresistible
											for 10 dollars or more.
											Now, this is a very attractive idea,
											and the molecules they mention
											sound really science-y.
											They've got lots of syllables.
											It's things like androstenol, androstenone
											or androstadienone.
											It gets better and better,
											and when you combine that with white lab coats,
											you must imagine that there is
											fantastic science behind this.
											But sadly, these are fraudulent claims
											supported by dodgy science.
									","
											Phéromone est un mot très puissant.
											Il évoque le sexe, l'abandon, 
la perte de contrôle,
											comme vous pouvez le constater,
il est très important en tant que mot.
											Mais il n'existe que depuis 50 ans.
Il fut inventé en 1959.
											Si vous faites une recherche sur internet,
											ce que vous avez peut-être fait,
											vous trouvez des millions de résultats,
											et presque tous ces sites 
essayent de vous vendre
											quelque chose 
qui est censé vous rendre irrésistible
											pour 10 dollars ou plus.
											C'est une idée extrêmement plaisante,
											et les molécules qu'ils mentionnent
											semblent vraiment pseudo-scientifiques.
											Elles ont beaucoup de syllabes.
											Des choses comme androsténol, androsténone
											ou encore androstènedione.
											C'est une surenchère de termes,
											combinée avec des blouses de laboratoire,
											vous attendez derrière tout ça
											une science hors du commun.
											Malheureusement, 
ce sont des allégations frauduleuses
											basées sur une science douteuse.
									",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
","
","
","
",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
											El problema es que, 
aunque hay muchos
											buenos científicos trabajando 
en lo que piensan
											son las feromonas humanas,
											y publican sus artículos 
en diarios respetables,
											con base en esto,
											a pesar de experimentos 
muy sofisticados,
											no hay evidencia científica seria,
											porque se soportan en un problema,
											que es, que nadie ha estudiado 
sistemáticamente
											todos los olores 
que los humanos producen,
											y hay miles de moléculas 
que producimos.
											Somos mamíferos. 
Producimos una gran cantidad de olor.
											Nadie ha estudiado sistemáticamente
											para saber qué moléculas 
son verdaderamente feromonas.
											Solo han investigado algunas,
											y todos estos experimentos 
se basan en ellas,
											pero no hay ninguna 
evidencia confiable en absoluto.
									","
											Asıl sorun, insan feromonu üzerinde
											çalışan ve makaleleri önemli dergilerde
											yayınlanan pekç ok
											başarılı bilim insanı olmasına karşın
											temelde
											yapılan onca kapsamlı deneye rağmen
											bunun arkasında bilimin bulunmaması.
											Çünkü temeli bir sorunsala dayanmaktadır;
											insanın ürettiği bütün kokular
											sistematik bir biçimde incelenememiştir.
											-ki binlerce molekülden bahsetmek mümkündür.
											Memeli canlılar olarak bizler bir sürü koku salgılarız.
											Hangi moleküllerin gerçekten feromon olduklarını
											anlamaya yönelik hiçbir sistematik çalışma yapılmadı.
											Sadece birkaç tanesi cımbızlanarak alınır
											ve tüm bu deneyler bu çalışmalara dayandırılır,
											fakat bu geçerli bir kanıt oluşturmaz.
									","
											The problem is that, although there are many
											good scientists working on what they think
											are human pheromones,
											and they're publishing in respectable journals,
											at the basis of this,
											despite very sophisticated experiments,
											there really is no good science behind it,
											because it's based on a problem,
											which is nobody has systematically gone through
											all the odors that humans produce —
											and there are thousands of
molecules that we give off.
											We're mammals. We produce a lot of smell.
											Nobody has gone through systematically
											to work out which molecules really are pheromones.
											They've just plucked a few,
											and all these experiments are based on those,
											but there's no good evidence at all.
									","
											Le problème est le suivant :
bien qu'il y ait
											à la base de nombreux scientifiques avérés
											travaillant sur ce qu'ils pensent être
											véritablement les phéromones humaines
											et qui publient 
dans des journaux respectables,
											malgré des expériences très sophistiquées,
											il n'existe aucune vraie science 
derrière tout cela,
											parce que toutes ces recherches
se heurtent à un problème,
											qui est le suivant : personne ne connaît
											toutes les odeurs émises par l'homme.
											Nous dégageons des centaines de molécules.
											Nous sommes des mammifères. 
Nous produisons quantité d'odeurs.
											Personnes ne les a recensées 
de manière systématique
											pour permettre de travailler sur celles
qui sont réellement des phéromones.
											Toutes les expériences sont basées
											sur quelques-unes mises en évidence,
											mais rien qui ne permette d'aboutir
à des conclusions réelles.
									",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
","
","
","
",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
											Eso no quiere decir
											que el olor no sea importante 
para la gente.
											Lo es, y algunas personas 
son verdaderos entusiastas,
											y uno de ellos fue Napoleón.
											Tal vez recordarán,
											que estando fuera preparándose 
para la guerra,
											le escribió a su amante, 
la emperatriz Josefina,
											diciendo: ""No te bañes. 
Regreso a casa"".
											(Risas)
											No quería que ella perdiera
su fragancia
											mientras él regresaba.
											Al día de hoy, 
encontrarán sitios web
											que ofrecen esto 
como gran excentricidad.
											Aunque, al mismo tiempo,
											gastamos casi la misma 
cantidad de dinero
											para quitarnos los olores
											y para ponérnoslos 
otra vez en perfumes,
											y los perfumes son un negocio 
de miles de millones de dólares.
									","
											Kokunun insanlar için
											önemsiz olduğu anlamına gelmez bu.
											Önemlidir ve konunun meraklısı çoktur,
											onlardan biri de Napolyon'du.
											Bilindiği üzere, belki anımsarsınız.
											Savaşa giderken sevgilisi
											İmparatoriçe Josephine'e bir mektup yazar,
											""Sakın yıkanma. Eve dönüyorum."" der.
											(Gülüşmeler)
											Yani, kendisi eve varmadan sevgilisinin
											kokusunun bir zerresini dahi kaybetmek istemiyordu.
											Günümüzde bazı internet siteleri
											bu durumu tuhaflık olarak nitelendiriyor.
											Öteki taraftan,
											kendi kokumuzu gidermek için harcadığımız para kadar
											bu kokuları parfüm şeklinde
											satın almak için harcıyoruz.
											Parfüm, işi milyon dolarlık bir pazar.
									","
											Now, that's not to say
											that smell is not important to people.
											It is, and some people are real enthusiasts,
											and one of these was Napoleon.
											And famously, you may remember
											that out on the campaign trail for war,
											he wrote to his lover, Empress Josephine,
											saying, ""Don't wash. I'm coming home.""
											(Laughter)
											So he didn't want to lose any of her richness
											in the days before he'd get home,
											and it is still, you'll find websites
											that offer this as a major quirk.
											At the same time, though,
											we spend about as much money
											taking the smells off us
											as putting them back on in perfumes,
											and perfumes are a multi-billion-dollar business.
									","
											Bien sûr, cela ne veut pas dire
											que les odeurs n'ont pas d'importance
pour les gens.
											Elles le sont, certaines personnes 
y sont particulièrement sensibles,
											Napoléon en est un exemple typique.
											Vous devez vous rappeler
											qu'au retour d'une campagne,
											il écrivait à sa chère et tendre,
l'impératrice Joséphine
											pour lui dire :
« Ne te lave pas. J'arrive. »
											(Rires)
											Il ne voulait rien perdre 
de toute sa richesse sensorielle
											pendant les quelques jours 
qui précédaient son retour.
											Encore maintenant, 
vous trouverez des sites
											qui vous présentent cela
comme une excentricité...
											En même temps, pourtant,
											nous dépensons à peu près autant d'argent
											pour supprimer nos odeurs
											que pour nous en couvrir de nouvelles,
avec des parfums,
											les parfums sont une industrie
à plusieurs milliards de dollars.
									",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
","
","
","
",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
											Así que lo que haré en el resto 
de esta charla
											es decirles qué son realmente 
las feromonas,
											decirles por qué suponemos
											que los humanos tienen feromonas,
											contarles algunas de las confusiones 
entorno a las feromonas,

											y, finalmente, quisiera terminar con
											una vía prometedora que nos muestra
											el camino que deberíamos de seguir.
									","
											Konuşmanın geri kalanında sizlere
											feromonların gerçekte ne olduklarını anlatmak ve
											insanların niçin feromonlara sahip olması
											gerektiğini açıklamak;
											feromonlar hakkında doğru bilinen yanlışları göstermek
											ve konuşmamın sonunda
											izlememiz gereken yola dair umut veren
											bir gelişmeden söz etmek istiyorum.
									","
											So what I want to do in the rest of this talk
											is tell you about what pheromones really are,
											tell you why I think we would expect
											humans to have pheromones,
											tell you about some of the
confusions in pheromones,
											and then finally, I want to end with
											a promising avenue which shows us
											the way we ought to be going.
									","
											Ce que je souhaite faire 
dans cette conférence,
											c'est vous expliquer 
ce que sont réellement les phéromones,
											vous dire pourquoi l'on pense
											que les humains produisent des phéromones,
											vous parler de quelques confusions
existantes au niveau des phéromones,
											et je souhaite finir en vous parlant
											d'un chemin prometteur qui nous montre

											vers où nous devrions nous diriger.
									",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
","
","
","
",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
"
											Los antiguos griegos sabían
											que los perros se enviaban 
señales invisibles unos a otros.
											Una hembra en celo
											enviaba una señal invisible 
a los perros
											en kilómetros a la redonda,
											y no era un sonido, era un olor.
											Podían tomar el olor de la hembra,
											y los perros perseguían el trapo.
											Pero el problema para todos
											quienes podían ver este efecto
											era que no podían identificar 
las moléculas.
											No podían demostrar que era químico.
											La razón de eso, por supuesto,
											es que cada uno de estos animales
											produce cantidades pequeñas,
											y en el caso del perro,
											los perros machos pueden olerlo, 
pero nosotros no.
											Y fue hasta 1959 
que un equipo alemán,
											después de pasar 20 años en la
búsqueda de estas moléculas,

											descubrió e identificó
a la primera feromona,
											la feromona sexual 
de la polilla de la seda.
											Fue una elección increíble 
de Adolf Butenandt y su equipo,

											porque necesitó 
medio millón de polillas
											para conseguir suficiente material 
para el análisis químico.
											Pero él creó el modelo
											de cómo llevar a cabo el análisis 
de las feromonas.
											Básicamente lo hizo 
de forma sistemática,
											demostrando que solo 
la molécula en cuestión
											era la que estimulaba a los machos,
											no todas las demás.
											La analizó cuidadosamente.
											Sintetizó la molécula,
											y luego probó la molécula sintetizada 
en los machos
											y consiguió que estos respondieran 
demostrando que era,
											en efecto, esa molécula.
											Eso cierra el círculo.
											Es algo que nunca 
se ha hecho con humanos,
											nada sistemático, 
ninguna demostración real.
									","
											Antik Yunanlılar, köpeklerin
											birbirlerine gizli mesajlar gönderdiklerini biliyorlardı.
											Kızışan dişi köpek
											kilometreler boyunca
											gizli bir mesaj gönderiyordu;
											bu mesaj sesle değil kokuyla iletiliyordu.
											Dişi köpeğin kokusunu bir kumaş parçasına sürdüğünüzde
											köpekler bu kumaşın peşinden koşarlardı.
											Bu etkiyi bilen kişi için
											asıl sorun
											meolekülleri saptayamamaktı.
											Kimyasal olduğu ortaya koyulamıyordu.
											Bunun nedeni ise, elbette
											bu hayvanların her birinin
											çok küçük miktarlarda koku üretmesi
											ve köpek örneğinde ise
											erkek köpeklerin kokuyu alabilirken, insanların alamamasıdır.
											1959 yılında Alman bir ekip,
											bu melokülleri aramakla geçen 20 yılın ardından
											ilk feromonu keşfedip saptayabildiler.
											Buldukları molekül, ipek güvesinin seks feromonuydu.
											Adolf Butenandt ve ekibinin
bu tercihlerinin önemli bir gerekçesi vardı,
											çünkü kimyasal analizi mümkün kılmak için
											yarım milyon güveye ihtiyaçları vardı.
											Feromon analizinin
											nasıl yapılacağına ilişkin modeli yarattı.
											Temelde sistematik bir yaklaşımla
											yalnızca söz konusu molekülün
											-bütün diğer moleküller hariç-
											erkek güveleri uyardığını gösterdi.
											Analizi, titizlikle yürüttü.
											Molekülü sentezleyerek
											sentez melokülü erkekler üzerinde denedi
											böylece tepki vermelerini sağlayarak
											molekülün oynadığı rolü gösterdi.
											Daire kapanmış oluyordu.
											İnsanlar üzerinde daha önce denenmeyen şey budur:
											sistematik biçimde ortaya koyma.
									","
											So the ancient Greeks knew
											that dogs sent invisible signals between each other.
											A female dog in heat
											sent an invisible signal to male dogs
											for miles around,
											and it wasn't a sound, it was a smell.
											You could take the smell from the female dog,
											and the dogs would chase the cloth.
											But the problem for everybody
											who could see this effect
											was that you couldn't identify the molecules.
											You couldn't demonstrate it was chemical.
											The reason for that, of course,
											is that each of these animals
											produces tiny quantities,
											and in the case of the dog,
											males dogs can smell it, but we can't smell it.
											And it was only in 1959 that a German team,
											after spending 20 years in
search of these molecules,
											discovered, identified, the first pheromone,
											and this was the sex pheromone of a silk moth.
											Now, this was an inspired choice 
by Adolf Butenandt and his team,
											because he needed half a million moths
											to get enough material to do the chemical analysis.
											But he created the model
											for how you should go about pheromone analysis.
											He basically went through systematically,
											showing that only the molecule in question
											was the one that stimulated the males,
											not all the others.
											He analyzed it very carefully.
											He synthesized the molecule,
											and then tried the synthesized
molecule on the males
											and got them to respond and showed it was,
											indeed, that molecule.
											That's closing the circle.
											That's the thing which has
never been done with humans:
											nothing systematic, no real demonstration.
									","
											Les Grecs anciens savaient
											que les chiens pouvaient s'envoyer, 
entre eux, des signaux invisibles.
											Une chienne en chaleur
											envoie des signaux invisibles aux mâles
											à des kilomètres à la ronde,
											et ce n'était pas un bruit,
mais une odeur.
											Vous pouviez prendre 
l'odeur de la femelle,
											et les chiens courraient après le tissu.
											Le problème pour nous tous
											qui sommes témoins de cet effet
											était l'impossibilité
d'identifier la molécule,
											de démontrer que c'était chimique.
											La raison en est, bien sûr,
											que chacun de ces animaux
											produit de très faibles quantités.
											Dans le cas du chien,
											les mâles peuvent sentir cela, 
mais pas nous.
											C'est seulement en 1959 
qu'une équipe allemande,
											après avoir passé 20 ans 
à rechercher ces molécules,
											a découvert, identifié, 
la première phéromone,
											c'était la phéromone sexuelle 
du ver à soie.
											C'était un choix judicieux, 
fait par Adolf Butenandt et son équipe,
											parce qu'il lui fallait
un demi million de vers
											pour avoir assez de matière 
pour faire les analyses chimiques.
											Il a créé le modèle
											à suivre pour toutes
les analyses de phéromones.
											Il a étudié de manière systématique
											et montré que 
seule la molécule en question
											était celle qui stimulait les mâles,
											et aucune autre.
											Il a analysé tout cela très attentivement.
											Il a synthétisé la molécule,
											et ensuite testé la molécule synthétisée
sur les mâles,
											il a obtenu des réponses 
de leur part et montré,
											que c'était vraiment cette molécule.
											La boucle était bouclée.
											Cela n'a encore jamais été fait 
avec les êtres humains :
											rien de systématique, 
pas de vraie démonstration.
									",The smelly mystery of the human pheromone,Tristram Wyatt,14:53,"TEDx,animals,biology,smell"
