en,fr,pt,tr,es,title,speaker,duration,tags
"
","
","
","
","
",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
											So, imagine that you take
a 19-hour, very long drive
											to Disney World,
											with two kids in the back seat.
											And 15 minutes into this 19-hour trip,
											the immutable laws of nature dictate
											that you get the question:
											""Are we there yet?""
									","
											Imaginez que vous conduisez 
pendant 19 heures
											jusqu'à Disney World
											avec deux enfants à l'arrière.
											Au bout de 15 minutes,
											les lois immuables de la nature font
											qu'ils vous posent la question : 

											« On est bientôt arrivés ? »
									","
											Imaginem que fazem uma viagem
bem longa, de 19 horas,
											para a Disneylândia.
											com duas crianças no banco de trás.
											Em cada 15 minutos,
nessa viagem de 19 horas,
											as imutáveis leis da natureza
impõem que vos perguntem:
											""Já chegámos?""
									","
											Arka koltuğunuzda iki çocukla beraber
Disney World'e gitmek için
											19 saat sürecek uzun bir
											yola çıktığınızı hayal edin.
											19 saatlik yolculuğun ilk 15 dakikasından
											itibaren doğanın değişmez kanunları
											size şu soruyu dikte ettirir:
											""Gelmedik mi hala?""
									","
											Imagina que haces un viaje
en coche de 19 largas horas
											hasta Disney World,
											con dos niños en los asientos traseros.
											Y a solo 15 minutos de empezar el viaje
											la inalterable ley de la naturaleza ordena
											que recibas la siguiente pregunta:
											""¿Ya llegamos?"".
									",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
","
","
","
","
",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Risas)
									",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
","
","
","
","
",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
											So you answer this question
a hundred more times, easily,
											in the negative,
											but you finally arrive.
											You have a wonderful,
wonderful, wonderful trip.
											You drive 19 long hours back home.
											And when you get there,
											the police are waiting on you.
											They accuse you of committing a crime
											that occurred while you
were away in Florida.
											You tell anybody and everybody
who will listen,
											""I didn't do it!
											I couldn't have done it!
											I was hanging out with Mickey
and Minnie and my kids!""
											But no one believes you.
											Ultimately, you're arrested,
											you're tried,
											you're convicted
											and you are sentenced.
											And you spend 25 years in jail,
											until someone comes along and proves —
											has the evidence to prove —
											that you actually were in Florida
											when this crime was committed.
											So.
									","
											Vous répondez donc 
à cette question au moins 100 fois
											par « Non »,
											puis, vous arrivez enfin.
											Vous passez un séjour merveilleux.
											Vous repartez pour 19 heures
vers votre maison.
											Et en y arrivant,
											la police vous attend.
											Elle vous accuse d'avoir commis un crime
											perpétré alors que vous étiez en Floride.
											Vous dites à qui veut l'entendre :
											« Je n'ai rien fait !
											Je n'aurais pas pu !
											J'étais avec Mickey, Minnie 
et mes enfants ! »
											Mais personne ne vous croit.
											Vous êtes finalement arrêté.
											Vous passez au tribunal,
											vous êtes reconnu coupable,
											et condamné.
											Vous passez 25 ans derrière les barreaux,
											jusqu'à ce que quelqu'un démontre
											grâce aux preuves trouvées
											que vous étiez effectivement en Floride
											lorsque le crime a été commis.
											Alors.
									","
											Vocês respondem a essa pergunta 
mais de cem vezes, facilmente,
											de maneira negativa,
											mas finalmente chegam.
											Tiveram uma ótima viagem.
											Conduzem 19 longas horas
de volta para casa
											e quando lá chegam,
											a polícia está à vossa espera.
											Acusam-vos de ter praticado um crime
											que ocorreu enquanto vocês
estavam na Flórida.
											Vocês dizem a todos os que puderem:
											""Eu não fiz isso!""
											""Eu não podia ter feito isso!""
											""Eu estava a divertir-me com o Mickey,
a Minnie e os meus filhos!""
											Mas ninguém acredita em vocês.
											Sem mais, vocês são presos,
											são julgados,
											são considerados culpados,
											e são condenados.
											E passam 25 anos na cadeia,
											até que apareça alguém que prova
											— que tem provas para provar —
											que vocês estavam mesmo na Flórida
											quando esse crime aconteceu.
											Bem...
									","
											Bu soruyu yüzlerce kez kolayca ve
											kızgınlıkla cevaplarsınız
											fakat sonunda varırsınız.
											Harika bir yolculuk yapmışsınızdır.
											19 saatte eve dönersiniz.
											Oraya vardığınızda
											polisler sizi bekliyordur.
											Florida'da olduğunuz sırada
											işlenen bir suç için sizi suçluyorlardır.
											Sizi dinleyecek herkese şunu dersiniz:
											""Onu ben yapmadım!
											Yapamazdım!
											Ben çocuklarımla Mickey
ve Minnie ile takılıyordum!""
											Fakat hiçkimse size inanmaz.
											Sonuçta, tutuklanırsınız,
											çabalarsınız,
											hüküm giyersiniz
											ve ceza alırsınız.
											Ve 25 yıl hapiste yattıktan sonra
											birisi ortaya çıkıp
											- ispat edecek delille birlikte -
											cinayet işlendiği sırada
											aslında Florida'da olduğunuzu ispat eder.
											İşte böyle.
									","
											Así que respondes a esta pregunta, 
fácilmente, cien veces más,
											negativamente,
											pero acabas por llegar.
											Pasas unas estupendas, estupendas,
estupendas vacaciones.
											Conduces otras 19 largas horas hasta casa.
											Y cuando llegas,
											la policía te está esperando.
											Te acusan de haber cometido un crimen
											que ocurrió mientras estabas en Florida.
											Le cuentas a todo el que quiera escuchar,
											""¡Yo no lo hice!
											¡No pude haberlo hecho!
											Estaba pasando el rato con Mickey
y Minnie y mis niños!"".
											Pero nadie te cree.
											Acabas siendo arrestado,
											juzgado,
											condenado,
											y sentenciado.
											Y pasas 25 años en la cárcel,
											hasta que alguien llega y prueba...
											tiene las evidencias para probar...
											que realmente estabas en Florida
											cuando el crimen se cometió.
											En fin...
									",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
","
","
","
","
",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
											So, I'm a Harvard Law professor,
											and the last several years,
I have worked on
											winning the release of innocent people
											who've been wrongfully convicted —
											people like Jonathan Fleming,
											who spent 24 years, eight months in jail
											for a murder that was committed
in Brooklyn, New York,
											while he was in Disney World
											with his kids.
											How do we know this?
											Because when he was arrested,
											among his property in his back pocket
											was a receipt —
											time-stamped receipt
											that showed that he was in Disney World.
											That receipt was put in the police file,
											a copy of it was put
in the prosecutor's file,
											and they never gave it
to his public defender.
											In fact, nobody even knew it was there.
											It just sat there for 20-some-odd years.
											My team looked through the file,
and we found it,
											did the rest of the investigation,
											and figured out someone else
committed the crime.
											Mr. Fleming was in Disney World,
											and he is now released.
									","
											J'enseigne le droit à Harvard,
											et j'ai passé les dernières années
											à contribuer à la libération
de personnes innocentes
											condamnées à tort.
											Par exemple, Jonathan Flemming.
											Il a passé 24 ans et huit mois en prison
											pour un meurtre commis 
à Brooklyn, à New York,
											alors qu'il était à Disney World
											avec ses enfants.
											Comment le savons-nous ?
											Quand il a été arrêté,
											se trouvait dans sa poche arrière
											un reçu,
											un reçu horodaté,
											qui prouvait qu'il était à Disney World.
											Ce reçu a été ajouté 
au dossier de la police,
											une copie a été ajoutée
au dossier du procureur,
											et n'a jamais été transmis 
à son défenseur public.
											Personne ne connaissait son existence.
											Il est resté là, près de 20 ans.
											Mon équipe a parcouru le dossier,
l'a trouvé,
											a terminé l'enquête,
											et a conclu qu'un autre 
individu était coupable.
											M. Flemming était à Disney World,
											et a désormais été libéré.
									","
											Sou professor de Direito em Harvard.
											Nos últimos anos, tenho trabalhado
											para libertar pessoas inocentes
											que foram erradamente condenadas.
											Pessoas como Jonathan Fleming,
											que passou 24 anos e 8 meses na cadeia
											por um assassínio praticado
em Brooklyn, Nova Iorque,
											enquanto ele estava na Disneylândia
											com os seus filhos.
											Como é que sabemos isso?
											Porque, quando ele foi preso,
											entre os seus pertences, no bolso de trás,
											havia um recibo
											— um recibo com horário estampado —
											que mostrava que ele estava na Disneylândia.
											Esse recibo foi inserido
no processo da polícia,
											uma cópia foi inserida
na pasta do promotor,
											mas eles nunca o deram
ao advogado de defesa.
											De facto, ninguém sabia que estava ali.
											Ficou ali durante 20 anos.
											A minha equipa estudou os arquivos,
e encontrámo-lo.
											Fizemos o resto da investigação
											e descobrimos que outra pessoa 
praticara o crime.
											Fleming estava na Disneylândia
											e agora foi libertado.
											Vou dar-vos um pouco do contexto.
									","
											Ben bir Harvard hukuk profesörüyüm,
											geçtiğimiz birkaç yılda,
											çocukları ile Disney World'de iken,
											Brooklyn, New York' da işlenen bir
											cinayet nedeniyle 24 yıl 8 ayını
											hapiste geçiren Jonathan Fleming gibi
											yanlışlıkla suçlanan masum insanların
											serbest bırakılmasının üzerinde
											çalışıyorum.
											Bunu nereden biliyoruz?
											Çünkü o tutuklandığında,
											arka cebinden çıkanlar arasında
											bir fiş vardı —
											Disney World'de olduğunu gösteren
											tarihili bir fiş vardı.
											Bu fiş polis dosyasına konuldu,
											bir kopyası da savcının dosyasına konuldu
											fakat onlar bu fişi savunma
avukatına hiç vermediler.
											Aslında hiç kimse
orada olduğunu bilmiyordu.
											Sadece 20 yıl boyunca orada öyle durdu.
											Ekibim dosyayı inceledi ve fişi buldu,
											soruşturmanın geri kalanını yaptılar
											ve başkasının suçu işlediğini 
ortaya çıkardılar.
											Bay Fleming Disney World' teydi
											ve şu anda serbest.
									","
											Soy profesor de derecho en Harvard,
											y durante los últimos años,
he trabajado en
											conseguir sacar de la cárcel
a personas inocentes
											que habían sido condenadas injustamente...
											como, por ejemplo, Jonathan Fleming,
											quien pasó 24 años 
y ocho meses en la cárcel
											por un asesinato que se cometió en
Brooklyn, Nueva York,
											mientras él estaba en Disney World
											con sus hijos.
											¿Cómo sabemos esto?
											Porque cuando fue arrestado,
											entre sus pertenencias
en su bolsillo trasero
											se encontraba un recibo...
											un recibo con fecha
											que probaba que él se
encontraba en Disney World.
											Se puso una copia en
los archivos policiales,
											otra copia en los archivos del fiscal,
											pero nunca se puso ninguna copia 
en los archivos de su abogado.
											De hecho, nadie sabía que estaba ahí.
											Pasó veintipico años ahí guardado.
											Mi equipo rebuscó entre los archivos
y lo encontramos,
											continuamos investigando,
											y descubrimos que otro
había cometido el crimen.
											El Sr. Fleming estaba en Disney World,
											y ahora ha sido liberado.
									",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
","
","
","
","
",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
"
											Let me give you a little bit of context.
											So about three years ago, I got a call
from the Brooklyn District Attorney.
											He asked whether I'd be interested
in designing a program
											called a ""conviction review unit.""
											So I said yes.
											A conviction review unit is essentially
a unit in a prosecutor's office
											where prosecutors look at their past cases
											to determine whether or not
they made mistakes.
											Over the course of the first year,
											we found about 13 wrongful convictions,
											people having been in jail for decades,
											and we released all of them.
											It was the most in New York history.
											The program is still going on,
											and they're up to 21 releases now —
											21 people who spent
significant time behind bars.
									","
											Voici quelques éléments de contexte :
											il y a trois ans, j'ai reçu un appel 
du procureur de Brookyln.
											Il m'a demandé si j'étais intéressé 
par la conception d'un programme appelé
											« Unité de révision des jugements ».
											J'ai accepté.
											L'unité de révision des jugements 
dépend du bureau du procureur.
											Ceux-ci réexaminent leurs dossiers passés
											et déterminent s'ils ont fait des erreurs.
											Au cours de la première année,
											nous avons trouvé 13 condamnations à tort.
											Ces personnes étaient en prison
depuis des décennies.
											Nous les avons toutes libérées.
											C'était un record pour New York.
											Le programme continue d'agir
											et nous en sommes à 21 libérations
jusqu'à présent.
											Ces 21 personnes ont passé 
un temps considérable en prison.
									","
											Há três anos, recebi um telefonema
do advogado do Distrito de Brooklyn
											Perguntou-me se eu não estaria
interessado em desenvolver um programa
											chamado ""unidade de revisão 
de acusação"".
											Eu disse que sim.
											Uma unidade de revisão de acusação
											é essencialmente uma unidade
no gabinete do promotor
											em que o promotor observa casos antigos
											para determinar
se houve ou não algum erro.
											Ao longo do primeiro ano,
encontrámos 13 condenações erradas.
											Pessoas que estavam na cadeia há décadas
											foram todas libertadas.
											Foi um recorde na história de Nova Iorque.
											Esse programa ainda está ativo,
									","
											Konu hakkında size biraz bilgi vereyim.
											Yaklaşık 3 yıl önce, Brooklyn Bölge
Savcısından bir telefon aldım.
											""Mahkumiyet inceleme birimi"" adında
bir programın tasarlanması ile
											ilgilenip ilgilenmeyeceğimi sordu.
											Ben de evet dedim.
											Mahkumiyet inceleme birimi
geçmiş davalarda hata yapılıp
											yapılmadığının savcılar tarafından
belirlendiği
									","
											Déjenme darles
un poco de contexto.
											Hace unos tres años, recibí una llamada
del Fiscal del Distrito de Brooklyn.
											Preguntaba si estaría interesado
en diseñar un programa
											llamado ""unidad de estudio de condenas"".
											Dije que sí.
											La unidad de estudio de condenas
es una unidad en la oficina del fiscal
											en que los fiscales revisan 
sus casos pasados
											para determinar si se cometieron errores.
											Durante el curso del primer año,
											encontramos 13 condenas injustas,
											personas que habían estado 
en prisión por décadas,
											todas puestas en libertad.
											Fue la mayor en
la historia de Nueva York
											El programa aún está activo,
											y ya lleva 21 casos.
											21 personas que han pasado un
tiempo significativo tras las rejas.
									",How I help free innocent people from prison,Ronald Sullivan,11:54,"criminal justice,inequality,law,social change,TEDx,society,United States,justice system"
