en,tr,pt,title,speaker,duration,tags
"
","
","
",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
											I'm thrilled to be here tonight
											to share with you something
we've been working on
											for over two years,
											and it's in the area
of additive manufacturing,
											also known as 3D printing.
									","
											İki yıldır üzerinde çalışmakta
											olduğumuz bir şeyi sizinle paylaşmak için
											burada olduğumdan dolayı çok heyecanlıyım
											ve bu 3B baskı olarak da bilinen
											katmanlı üretim konusuyla ilgili.
									","
											É emocionante estar aqui esta noite
											para partilhar algo
em que estivemos a trabalhar
											durante mais de dois anos.
											É na área da manufatura aditiva,
											também conhecida como impressão 3D.
									",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
","
","
",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
											You see this object here.
											It looks fairly simple,
but it's quite complex at the same time.
											It's a set of concentric
geodesic structures
											with linkages between each one.
											In its context, it is not manufacturable
by traditional manufacturing techniques.
											It has a symmetry such
that you can't injection mold it.
											You can't even manufacture it
through milling.
											This is a job for a 3D printer,
											but most 3D printers would take between
three and 10 hours to fabricate it,
											and we're going to take the risk tonight
to try to fabricate it onstage
											during this 10-minute talk.
											Wish us luck.
									","
											Burada bu objeyi görüyorsunuz.
											Oldukça basit görünüyor, 
ama aynı zamanda oldukça kompleks.
											Birbiri arasında bağlantıları olan 

											eşmerkezli jeodezik bir yapı seti.
											Bu kapsamda, geleneksel üretim 
teknikleriyle üretilemez.
											Simetrisinden dolayı enjeksiyon 
kalıplama yapamazsınız.
											Frezeleme ile bile imal edemezsiniz.
											Bu 3B yazıcının yapabileceği bir iş,
											ama çoğu 3B yazıcının bunu imal etmesi
üç ila on saat arasında sürer.
											Bu akşam bu 10 dakikalık 
konuşma sırasında sahnede
											bunu imal etme riskini alacağız.
											Bize şans dileyin.
									","
											Vejam este objeto aqui.
											Parece bastante simples,
mas ao mesmo tempo é muito complexo.
											É um conjunto de estruturas
geodésicas concêntricas
											com ligações entre cada uma delas.
											Neste contexto, não é fabricável
com técnicas tradicionais de manufatura.
											A sua simetria torna impossível
moldá-la por injeção.
											Não é sequer possível fabricá-la
através de moagem.
											Este é um trabalho para uma impressora 3D,
											mas a maioria das impressoras 3D levaria
três a dez horas para fabricá-la,
											e vamos correr o risco esta noite
de tentar fabricá-la no palco
											ao longo desta palestra de 10 minutos.
											Desejem-nos sorte.
									",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
","
","
",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
											Now, 3D printing is actually a misnomer.
											It's actually 2D printing
over and over again,
											and it in fact uses the technologies
associated with 2D printing.
											Think about inkjet printing where you
lay down ink on a page to make letters,
											and then do that over and over again
to build up a three-dimensional object.
											In microelectronics, they use something
											called lithography to do
the same sort of thing,
											to make the transistors
and integrated circuits
											and build up a structure several times.
											These are all 2D printing technologies.
									","
											3B baskı aslında yanlış bir tanımlama.
											Aslında bu tekrar tekrar 2B basım yapmak
											ve doğrusu 2B baskıyla ilgili 
teknolojileri kullanıyor.
											Mürekkep püskürtmeli yazıcıyla basımı düşünün. 
Harfleri elde etmek için sayfaya 

											mürekkep bırakırsınız ve üç boyutlu bir obje 
oluşturmak için bunu üst üste yaparsınız.
											Mikro elektronikte buna 
benzer şeyler yapmak için,
											transistör ve entegre 
devreler yapmak için,
											pek çok defa bir yapıyı elde etmek için
											litografi denen şey kullanılır.
											Bunların hepsi 2B baskı teknolojileri.
									","
											Impressão 3D é um nome errado.
											É, na verdade, impressão 2D
repetidas vezes,
											e, de facto, usa as tecnologias
associadas com a impressão 2D.
											Pensem na impressão com jato de tinta,
											que coloca tinta na página
para escrever letras
											e façam isso repetidas vezes
até construir um objeto tridimensional.
											Na microeletrónica, usam uma coisa,
											de seu nome litografia
para fazer a mesma coisa,
											para criar transístores
e circuitos integrados
											e construir uma estrutura várias vezes.
											Todas essas técnicas são de impressão 2D.
									",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
","
","
",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
											Now, I'm a chemist,
a material scientist too,
											and my co-inventors
are also material scientists,
											one a chemist, one a physicist,
											and we began to be
interested in 3D printing.
											And very often, as you know,
new ideas are often simple connections
											between people with different experiences
in different communities,
											and that's our story.
									","
											Ben bir kimyagerim 
ve bir malzeme bilimciyim,
											yanımdaki mucitler de malzeme bilimci,
											biri kimyager, diğeri fizikçi
											ve 3B baskıyla ilgilenmeye başladık.
											Bildiğiniz gibi çoğunlukla yeni 
fikirler farklı alanlardan,
											farklı deneyimlere sahip insanlar 
arasındaki basit bağlantılardır
											ve bu bizim hikâyemiz.
									","
											Sou químico,
e também engenheiro de materiais
											e os meus colegas
são também engenheiros de materiais,
											um químico, um físico.
											Começámos a interessar-nos
pela impressão 3D.
											Muito frequentemente, como sabem,
novas ideias são simplesmente ligações
											entre pessoas com experiências distintas
em comunidades diferentes,
											e é essa a nossa história.
									",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
","
","
",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
"
											Now, we were inspired
											by the ""Terminator 2"" scene for T-1000,
											and we thought, why couldn't a 3D printer
operate in this fashion,
											where you have an object
arise out of a puddle
											in essentially real time
											with essentially no waste
											to make a great object?
											Okay, just like the movies.
											And could we be inspired by Hollywood
											and come up with ways
to actually try to get this to work?
											And that was our challenge.
											And our approach would be,
if we could do this,
											then we could fundamentally address
the three issues holding back 3D printing
											from being a manufacturing process.
									","
											Biz Terminatör 2'deki T-1000
											sahnesinden esinlendik
											ve neden bir 3B yazıcı bu şekilde 
çalışmasın diye düşündük.
											Harika bir obje yapmak üzere
											gerçek zamanlı olarak,
											hiçbir atık olmadan
											sıvı içinden çıkan bir objeniz var.
											Evet, aynı filmdekiler gibi.
											Hollywood'dan esinlenip gerçekte
											bunun olması için yollar bulabilir miydik?
											İşte bu bizim uğraştığımız şeydi.
											Bizim yaklaşımımız, 
bunu yapabildiğimiz zaman,
											aslında 3B baskının üretim 
süreci olmasını önleyen
											üç soruna çözüm getirebilmiş olmaktı.
									","
											Fomos inspirados
											pela cena do T-1000 no filme
""Exterminador Implacável 2"",
											e pensámos:
											Porque não poderá uma impressora 3D
operar desta maneira
											quando existe um objeto 
a erguer-se fora de uma poça
											em tempo real,
											praticamente sem desperdícios,
											para fazer um grande objeto?
											Tal como nos filmes.
											Poderíamos ser inspirados por Hollywood
											e encontrar maneiras de realmente
fazer com que isto funcione?
											Foi esse o nosso desafio.
											A nossa abordagem seria:
											Se conseguíssemos fazê-lo,
											podíamos resolver os três problemas
que impedem a impressão 3D
											de ser um processo de manufatura.
									",What if 3D printing was 100x faster?,Joseph DeSimone,10:45,"demo,design,technology,manufacturing,3D printing"
